date,open,high,low,close,volume
2015-01-02,9.4853,9.4853,9.1162,9.2638,158638
2015-01-05,9.3229,9.3229,9.1162,9.1900,194403
2015-01-06,9.1900,9.2122,8.8652,8.9686,440829
2015-01-07,9.0202,9.0424,8.6659,8.7914,975270
2015-01-08,8.8652,8.9390,8.6955,8.7988,675333
2015-01-09,8.8431,8.8431,8.5700,8.6659,597842
2015-01-12,8.7028,8.7028,8.5035,8.5626,285306
2015-01-13,8.6364,8.7619,8.5552,8.7102,258889
2015-01-14,8.6733,8.7545,8.4962,8.6733,450447
2015-01-15,8.6807,8.7840,8.4888,8.4888,201854
2015-01-16,8.5257,8.7619,8.5183,8.7102,255231
2015-01-19,8.6881,8.8726,8.4445,8.6364,130731
2015-01-20,8.6733,8.6733,8.4445,8.4888,320122
2015-01-21,8.5331,8.6955,8.4888,8.5257,288828
2015-01-22,8.5626,8.6216,8.4814,8.5109,425385
2015-01-23,8.5626,8.5995,8.3928,8.4888,241142
2015-01-26,8.4888,8.5035,8.3338,8.4371,404929
2015-01-27,8.4223,8.6290,8.2526,8.3854,222988
2015-01-28,8.3411,8.4371,8.3042,8.3042,79251
2015-01-29,8.3559,8.3780,8.2599,8.3411,87380
2015-01-30,8.3190,8.4150,8.2895,8.3780,156742
2015-02-02,8.3264,8.3707,8.1861,8.3042,114881
2015-02-03,8.3264,8.4445,8.3042,8.3780,173405
2015-02-04,8.4519,8.5626,8.3411,8.5626,257398
2015-02-05,8.6216,8.7102,8.5921,8.7102,278532
2015-02-06,8.7988,8.8800,8.6069,8.7840,211067
2015-02-09,8.7102,8.7840,8.6881,8.7840,59066
2015-02-10,8.7914,8.8578,8.6585,8.7397,196977
2015-02-11,8.7397,8.9686,8.6290,8.9686,408857
2015-02-12,8.9317,8.9390,8.8283,8.9243,180856
2015-02-13,8.9095,8.9390,8.8209,8.9317,155658
2015-02-18,8.9317,8.9760,8.8209,8.8578,243580
2015-02-19,8.8652,8.9390,8.7840,8.7840,446925
2015-02-20,8.7767,8.9095,8.7102,8.9095,199551
2015-02-23,8.9464,8.9760,8.8431,8.8431,271081
2015-02-24,8.8431,8.9317,8.7545,8.8874,144143
2015-02-25,8.8505,8.8874,8.6659,8.8357,360087
2015-02-26,8.8578,8.8726,8.7840,8.7840,373228
2015-02-27,8.8357,8.9612,8.6438,8.8209,759462
2015-03-02,8.8209,9.1014,8.7693,9.0350,560452
2015-03-03,9.0129,9.0793,8.8800,8.9612,282867
2015-03-04,8.8800,8.9686,8.7176,8.9095,667204
2015-03-05,8.8578,8.9464,8.7176,8.8209,525770
2015-03-06,8.8578,8.8874,8.7176,8.8136,314839
2015-03-09,8.7840,8.8136,8.4592,8.4592,291808
2015-03-10,8.4002,8.4519,8.2083,8.3190,652844
2015-03-11,8.3264,8.4150,8.3190,8.3190,134389
2015-03-12,8.3633,8.4888,8.1861,8.2821,329064
2015-03-13,8.2969,8.3042,8.0164,8.0828,273520
2015-03-16,8.0902,8.1714,8.0090,8.0459,735076
2015-03-17,8.0459,8.2969,8.0311,8.1935,550833
2015-03-18,8.2009,8.4888,8.1787,8.3411,320664
2015-03-19,8.3338,8.5404,8.3338,8.4223,218789
2015-03-20,8.4666,8.8209,8.4297,8.4888,414412
2015-03-23,8.4150,8.6216,8.3780,8.5257,301563
2015-03-24,8.5552,8.5921,8.4076,8.5700,240193
2015-03-25,8.5700,8.5847,8.2009,8.5257,563161
