date,open,high,low,close,volume
2015-01-02,16.1400,16.5600,15.7700,16.0200,19396500
2015-01-05,15.9100,15.9700,15.5400,15.7300,13795900
2015-01-06,15.7300,16.4200,15.5600,16.3300,18610500
2015-01-07,16.3400,16.7200,16.1400,16.5600,20493500
2015-01-08,16.4300,16.6800,16.2600,16.5400,9054500
2015-01-09,16.4700,16.6500,16.3000,16.5000,11695700
2015-01-12,16.5500,16.8200,16.4100,16.7100,11265500
2015-01-13,16.7000,16.9900,16.6600,16.7100,19614100
2015-01-14,16.5300,16.8000,16.5300,16.7600,9324100
2015-01-15,16.6900,16.9900,16.6100,16.7900,12612300
2015-01-16,16.7400,17.0000,16.6900,16.9100,9191600
2015-01-19,16.8100,16.9000,16.5400,16.6000,6363500
2015-01-20,16.7800,16.9500,16.6900,16.9000,7114500
2015-01-21,16.9500,17.2000,16.8400,17.0900,9327600
2015-01-22,17.2000,17.4000,16.9800,17.2800,13341900
2015-01-23,17.0500,17.2100,16.9900,17.0300,7567000
2015-01-26,16.8800,17.1200,16.8100,16.9900,7286700
2015-01-27,16.8700,17.0300,16.7700,16.9600,10007400
2015-01-28,16.8300,17.1800,16.7800,17.0300,9768700
2015-01-29,17.0800,17.7200,16.9500,17.6600,17203000
2015-01-30,17.4400,17.8700,17.3100,17.6900,19490600
2015-02-02,17.5200,17.6300,17.2800,17.4900,9556100
2015-02-03,17.5800,17.7200,17.3800,17.5500,10228200
2015-02-04,17.5200,17.7000,17.2200,17.3400,12135600
2015-02-05,17.3400,17.7400,17.1600,17.7400,10794300
2015-02-06,17.5900,17.9200,17.3500,17.9100,10346700
2015-02-09,17.8800,18.2000,17.7500,18.1700,10351800
2015-02-10,18.0600,18.1300,17.8300,18.0400,10680600
2015-02-11,17.9700,18.0700,17.6800,18.0400,12420900
2015-02-12,18.0900,18.1900,17.9600,18.0900,10312000
2015-02-13,18.1400,18.2200,17.8100,18.0000,9207400
2015-02-18,18.1300,18.3800,18.0500,18.2000,12971300
2015-02-19,18.1600,18.3600,18.0600,18.2300,4536700
2015-02-20,18.2900,18.3000,18.0500,18.1700,5547500
2015-02-23,18.1600,18.4800,18.1600,18.4800,9354500
2015-02-24,18.4800,18.6000,18.3600,18.4800,10065500
2015-02-25,18.4400,18.4400,18.1700,18.2500,9801500
2015-02-26,18.3900,18.4900,18.0800,18.4900,15277800
2015-02-27,18.3100,18.8800,18.2900,18.3100,19534900
2015-03-02,18.3100,18.3300,18.0300,18.1000,9160400
2015-03-03,18.1800,18.5200,18.0500,18.4300,9012500
2015-03-04,18.1400,18.4200,18.0000,18.3100,12821800
2015-03-05,18.3400,18.5300,18.2100,18.3600,23429800
2015-03-06,18.3700,18.4400,18.1100,18.2300,7333600
2015-03-09,18.1100,18.3200,18.0200,18.2400,10550500
2015-03-10,18.1800,18.2900,17.3500,17.7000,13599600
2015-03-11,17.6500,18.1900,17.6000,18.1400,9992700
2015-03-12,18.3000,18.3700,17.8400,18.0400,11867600
2015-03-13,17.5900,18.1900,17.5000,18.1400,16727500
2015-03-16,18.2500,18.3600,17.9600,18.0000,8016300
2015-03-17,18.1800,18.3100,18.0300,18.1700,11610600
2015-03-18,18.1400,18.7000,18.0800,18.4300,14337800
2015-03-19,18.3900,18.6000,18.3000,18.5000,7329200
2015-03-20,18.6600,18.9000,18.5700,18.6700,16893900
2015-03-23,18.7100,18.9700,18.5700,18.8400,8901700
2015-03-24,18.8500,18.8900,18.4200,18.6500,8195300
2015-03-25,18.7400,18.9000,18.3800,18.4200,11088000
2015-03-26,18.3300,18.3800,18.0200,18.0800,16105200
2015-03-27,18.0800,18.3700,18.0000,18.2800,9339600
2015-03-30,18.2700,18.6500,18.2700,18.6500,7648500
2015-03-31,18.4000,18.6100,18.3200,18.4800,8654300
2015-04-01,18.6500,19.0000,18.4200,18.9500,19780900
2015-04-02,18.8500,19.0600,18.6900,18.8500,16451500
2015-04-06,18.9900,19.3800,18.9200,19.2400,10617600
2015-04-07,19.3900,19.6000,19.2500,19.4400,10859100
2015-04-08,19.6400,19.6900,19.3000,19.4300,11241600
2015-04-09,19.3800,19.6200,19.2200,19.3300,9188900
2015-04-10,19.2900,19.5900,19.2500,19.5200,10474500
2015-04-13,19.4100,19.6100,19.4100,19.4100,7812300
2015-04-14,19.5200,19.5400,19.0600,19.1200,9021900
2015-04-15,19.2900,19.3600,19.0000,19.1400,11306200
2015-04-16,19.0400,19.1300,18.9300,19.1000,10102200
2015-04-17,19.0000,19.1900,18.9400,19.0700,9685500
2015-04-20,19.0000,19.1800,18.7500,18.8900,9854000
2015-04-22,18.9700,19.0000,18.7300,18.9600,10326700
2015-04-23,18.9200,19.0500,18.7100,18.8600,11694800
2015-04-24,19.0300,19.1000,18.8500,18.9300,9154900
2015-04-27,18.9900,19.0500,18.7100,18.8000,12587700
2015-04-28,18.9900,18.9900,18.6100,18.9000,10194900
2015-04-29,18.7700,18.9100,18.7300,18.8500,8790600
2015-04-30,18.7500,19.0000,18.7500,18.9500,9396600
2015-05-04,19.0300,19.4800,19.0000,19.3400,9874100
2015-05-05,19.2000,19.7300,19.1300,19.5700,11569000
2015-05-06,19.7500,20.2900,19.5400,19.8400,19716900
2015-05-07,19.7200,19.7800,19.4600,19.5100,6641700
2015-05-08,19.7800,19.9200,19.5200,19.8800,10733600
2015-05-11,19.7500,19.8800,19.6500,19.7300,5292100
2015-05-12,19.6800,19.7900,19.4200,19.4400,12868700
2015-05-13,19.4800,19.5200,19.2600,19.5000,6990900
2015-05-14,19.5500,19.6700,19.3200,19.4000,7393500
2015-05-15,19.3400,19.7000,19.3400,19.6700,9548600
2015-05-18,19.5800,19.7600,19.2500,19.2800,11291500
2015-05-19,19.3800,19.4300,19.1500,19.2400,8007400
2015-05-20,19.0000,19.0900,18.3500,18.4800,11007100
2015-05-21,18.5100,18.8900,18.4500,18.8400,10942700
2015-05-22,18.8800,18.9900,18.5900,18.7500,12629700
2015-05-25,18.7400,18.9500,18.5900,18.9000,2710100
2015-05-26,18.6800,18.9000,18.4500,18.5300,10073800
2015-05-27,18.4500,18.5700,18.2700,18.5000,9311200
2015-05-28,18.3000,18.5400,18.1500,18.4800,8894300
2015-05-29,18.3500,18.5500,18.2200,18.5300,19991200
2015-06-01,18.5000,18.6700,18.4800,18.6000,11308900
2015-06-02,18.5800,18.6200,18.4000,18.5500,12307700
2015-06-03,18.5700,18.5700,18.0900,18.4200,20628200
2015-06-05,18.5000,18.7000,18.3400,18.7000,15198600
2015-06-08,18.6600,18.8100,18.4600,18.4600,17427000
2015-06-09,18.4500,18.5600,18.4000,18.5300,15863100
2015-06-10,18.6800,18.8300,18.5100,18.7600,10555700
2015-06-11,18.8100,18.9900,18.6700,18.6700,12381300
2015-06-12,18.6300,18.8100,18.6100,18.7400,13970800
2015-06-15,18.5300,18.5600,18.3000,18.3000,9410400
2015-06-16,18.5500,18.8700,18.4700,18.7300,13264500
2015-06-17,18.6500,18.7400,18.5000,18.6600,9599400
2015-06-18,18.7400,18.9300,18.4600,18.6700,11190200
2015-06-19,18.5900,18.9100,18.5900,18.8700,13488500
2015-06-22,18.9800,19.1600,18.8800,18.9500,10484300
2015-06-23,19.1000,19.2000,18.9100,18.9100,7479100
2015-06-24,19.0200,19.1300,18.8900,18.9000,6618200
2015-06-25,18.9300,18.9800,18.7500,18.9200,8910400
2015-06-26,18.8900,19.2400,18.8600,19.1400,10507500
2015-06-29,19.1000,19.1000,18.9100,18.9600,6181200
2015-06-30,19.0000,19.1700,18.9400,18.9900,19852600
2015-07-01,19.0500,19.2700,19.0500,19.1300,11488900
2015-07-02,19.2300,19.3400,19.0200,19.0400,9698500
2015-07-03,19.0100,19.2000,18.9200,19.1500,3145100
2015-07-06,18.9700,19.2800,18.9500,19.2200,7129500
2015-07-07,19.0700,19.3500,19.0300,19.3100,9841600
2015-07-08,19.2400,19.3400,19.0900,19.1000,8821900
2015-07-10,19.3000,19.6100,19.2000,19.4300,16642900
2015-07-13,19.5700,19.7500,19.5300,19.5400,10619500
2015-07-14,19.5100,19.7000,19.4400,19.6500,9391200
2015-07-15,19.5300,19.7500,19.5300,19.7500,9788200
2015-07-16,19.8000,19.8900,19.5600,19.7300,10172500
2015-07-17,19.6900,19.8900,19.6200,19.7000,11119200
2015-07-20,19.7100,19.8200,19.6000,19.7400,9206000
2015-07-21,19.7800,19.8500,19.4700,19.6200,7856200
2015-07-22,19.4800,19.7800,19.3400,19.5300,7946000
2015-07-23,19.3300,19.4800,19.1500,19.1900,13250100
2015-07-24,19.2300,19.2800,18.9100,18.9600,12659100
2015-07-27,18.9300,19.0400,18.6400,18.6800,11884500
2015-07-28,18.8000,18.9000,18.3900,18.7900,13952400
2015-07-29,18.6500,18.9500,18.5700,18.6100,13833800
2015-07-30,18.7700,18.9800,18.6900,18.8900,10116700
2015-07-31,19.0200,19.4800,18.9600,19.4700,13350700
2015-08-03,19.3500,19.6400,19.3200,19.6000,8680800
2015-08-04,19.4600,19.7400,19.4600,19.7300,9232200
2015-08-05,19.8000,19.9600,19.5700,19.9500,8460200
2015-08-06,19.8200,20.0600,19.7100,19.8800,13756600
2015-08-07,19.7600,19.8500,19.3700,19.3800,10133400
2015-08-10,19.5200,19.7000,19.4400,19.5400,8460300
2015-08-11,19.5700,19.7500,19.3500,19.7300,11079800
2015-08-12,19.5000,19.6500,18.7800,18.9000,26481200
2015-08-13,18.9700,19.1400,18.6100,18.6600,11600900
2015-08-14,18.6800,18.8000,18.5600,18.5600,8693600
2015-08-17,18.6000,18.7500,18.5000,18.5900,10787900
2015-08-18,18.5400,19.2300,18.4600,18.6800,18604700
2015-08-19,18.5600,18.8000,18.1100,18.1200,16872800
2015-08-20,18.0500,18.5200,17.9300,18.4800,13520800
2015-08-21,18.3200,18.4300,18.0000,18.0600,12298100
2015-08-24,17.3500,18.0900,16.9600,18.0800,26010200
2015-08-25,18.3800,18.6000,18.1000,18.3100,23538400
2015-08-26,18.5200,18.9000,18.4300,18.8600,14208800
2015-08-27,19.0000,19.3500,18.7500,19.0600,16167900
2015-08-28,19.0200,19.2500,18.8200,19.2400,11792500
2015-08-31,19.0000,19.1500,18.5500,19.0900,22414200
2015-09-01,18.6500,19.0000,18.6200,18.7100,14942800
2015-09-02,18.8700,19.1700,18.6500,19.1400,16775500
2015-09-03,19.2800,19.6800,18.9600,19.6300,19103600
2015-09-04,19.4500,19.8700,19.3800,19.8500,29001000
2015-09-08,20.0700,20.1800,19.4500,19.6100,12962200
2015-09-09,19.6500,19.8200,19.1400,19.2100,12570100
2015-09-10,18.6200,19.4400,18.5500,19.1700,15656500
2015-09-11,19.0800,19.1300,18.7500,18.8600,12074800
2015-09-14,18.9000,19.0300,18.6800,18.8600,16419800
2015-09-15,18.9400,19.2000,18.8100,19.0600,12608700
2015-09-16,19.5000,19.6300,19.2200,19.4500,33098100
2015-09-17,19.2700,19.7700,19.2600,19.4900,15112200
