date,open,high,low,close,volume
2020-11-12,134.4000,141.8000,121.0000,122.0000,535975
2020-11-13,121.8000,129.6000,121.4000,128.4000,141545
2020-11-16,130.6000,139.6000,130.6000,136.0000,278435
2020-11-17,138.0000,141.0000,134.4000,134.6000,196145
2020-11-18,136.8000,137.2000,130.8000,134.6000,67625
2020-11-19,134.6000,136.0000,132.6000,136.0000,102950
2020-11-23,136.4000,137.8000,135.0000,136.2000,90695
2020-11-24,136.2000,138.4000,134.0000,136.0000,71625
2020-11-25,136.0000,136.2000,133.6000,134.6000,95860
2020-11-26,134.2000,134.4000,132.2000,133.4000,59740
2020-11-27,133.4000,135.4000,132.0000,134.8000,25365
2020-11-30,135.6000,136.0000,133.0000,133.0000,72820
2020-12-01,134.0000,137.6000,133.4000,136.0000,54755
2020-12-02,136.0000,138.0000,134.4000,138.0000,36890
2020-12-03,140.0000,140.0000,138.0000,138.0000,38455
2020-12-04,138.4000,139.6000,136.8000,139.4000,15130
2020-12-07,140.0000,146.0000,139.6000,144.8000,102835
2020-12-08,145.8000,152.0000,145.4000,149.0000,57675
2020-12-09,151.8000,151.8000,146.2000,147.8000,47935
2020-12-10,149.8000,149.8000,143.8000,146.6000,68035
2020-12-11,145.0000,146.2000,143.2000,144.8000,44625
2020-12-14,146.8000,151.2000,144.4000,147.0000,109070
2020-12-15,147.0000,148.8000,144.0000,146.4000,178150
2020-12-16,146.2000,149.0000,145.0000,147.6000,172475
2020-12-17,147.4000,149.6000,147.4000,149.6000,61960
2020-12-18,150.0000,152.0000,148.6000,150.8000,113780
2020-12-21,150.8000,160.8000,148.4000,158.8000,178805
2020-12-22,162.0000,185.0000,161.2000,181.8000,296465
2020-12-23,187.8000,207.4000,187.2000,193.2000,534765
2020-12-28,195.8000,202.0000,195.8000,198.2000,252210
2020-12-29,199.2000,214.4000,198.6000,206.8000,268260
2020-12-30,208.0000,216.0000,200.0000,200.0000,278790
2021-01-04,207.8000,215.2000,200.6000,210.6000,250190
2021-01-05,211.2000,217.0000,203.6000,206.2000,254440
2021-01-06,208.0000,210.0000,202.0000,202.6000,128450
2021-01-07,203.4000,209.8000,203.4000,207.4000,183060
2021-01-08,207.8000,213.8000,204.4000,213.2000,151130
2021-01-11,210.0000,231.6000,208.2000,230.0000,327465
2021-01-12,233.2000,242.4000,231.4000,238.4000,310130
2021-01-13,238.8000,255.6000,238.8000,246.6000,253750
2021-01-14,251.2000,261.2000,247.0000,257.8000,341275
2021-01-15,257.8000,275.8000,256.2000,261.0000,572535
2021-01-18,266.4000,270.4000,258.2000,262.6000,262240
2021-01-19,265.0000,267.6000,239.2000,239.2000,452585
2021-01-20,243.6000,262.0000,230.4000,260.0000,742720
2021-01-21,271.0000,278.0000,249.0000,256.4000,942125
2021-01-22,252.8000,263.6000,244.2000,247.2000,546145
2021-01-26,253.0000,256.4000,235.8000,244.4000,455410
2021-01-27,241.8000,243.2000,232.4000,234.8000,381785
2021-01-28,234.0000,246.0000,221.0000,244.4000,374615
2021-01-29,240.0000,243.8000,230.4000,236.8000,272265
2021-02-01,243.6000,249.6000,239.4000,249.0000,207830
2021-02-02,253.0000,255.0000,246.2000,248.6000,258885
2021-02-03,249.2000,250.6000,242.2000,242.2000,173995
2021-02-04,242.2000,245.8000,239.0000,239.4000,173335
2021-02-05,242.0000,242.4000,232.4000,234.4000,202905
2021-02-08,237.0000,241.8000,229.0000,238.0000,453535
2021-02-09,241.2000,241.8000,235.2000,237.0000,201975
2021-02-10,225.8000,231.6000,216.0000,220.0000,794895
2021-02-11,220.0000,220.0000,206.6000,208.2000,318380
2021-02-12,203.8000,222.8000,198.0000,222.0000,571180
2021-02-17,222.8000,226.8000,218.4000,219.6000,392635
2021-02-18,219.6000,221.4000,203.0000,207.2000,437525
2021-02-19,207.2000,213.6000,201.0000,203.4000,326020
2021-02-22,197.0000,206.2000,191.6000,202.0000,255180
2021-02-23,204.0000,213.4000,202.4000,212.2000,209500
2021-02-24,230.8000,237.6000,217.2000,222.2000,560130
2021-02-25,222.0000,226.4000,214.0000,216.8000,257065
2021-02-26,216.4000,219.0000,201.4000,203.8000,280930
2021-03-01,205.4000,211.8000,196.6000,196.6000,264985
2021-03-02,196.2000,198.2000,184.8000,192.6000,277570
2021-03-03,193.8000,200.8000,185.0000,198.6000,189615
2021-03-04,198.0000,203.8000,189.2000,190.4000,216905
2021-03-05,191.4000,192.4000,180.6000,183.8000,250340
2021-03-08,181.8000,185.2000,170.2000,176.2000,280125
2021-03-09,175.6000,185.4000,173.6000,177.8000,212160
2021-03-10,179.8000,194.6000,178.0000,194.4000,242785
2021-03-11,195.0000,199.4000,189.0000,192.8000,177245
2021-03-12,193.4000,200.0000,191.8000,197.6000,113250
2021-03-15,197.6000,203.2000,196.8000,197.4000,163555
2021-03-16,199.2000,199.4000,191.4000,193.4000,86985
2021-03-17,193.0000,195.4000,190.0000,192.0000,94750
2021-03-18,192.0000,196.8000,185.2000,186.6000,127925
2021-03-19,186.8000,192.2000,185.8000,187.0000,76710
2021-03-22,187.8000,189.8000,185.2000,185.6000,75135
2021-03-23,184.2000,188.2000,178.4000,178.8000,1012020
2021-03-24,179.4000,187.4000,178.2000,180.4000,192805
2021-03-25,180.4000,187.0000,178.6000,184.0000,122495
2021-03-26,186.2000,187.4000,178.4000,182.0000,72640
2021-03-29,180.4000,183.4000,177.6000,180.0000,118800
2021-03-30,177.0000,179.4000,172.4000,178.2000,326255
2021-03-31,177.6000,182.2000,176.4000,176.8000,179270
2021-04-01,177.0000,179.4000,166.0000,170.6000,529680
2021-04-05,172.0000,178.0000,169.2000,169.4000,174425
2021-04-06,169.4000,176.6000,168.2000,176.0000,194780
2021-04-07,176.0000,181.8000,173.2000,180.4000,310910
2021-04-08,180.4000,184.0000,175.2000,175.2000,179500
2021-04-09,174.8000,177.4000,173.2000,174.0000,119290
2021-04-12,174.0000,175.6000,172.2000,175.2000,103710
2021-04-13,175.2000,177.4000,173.2000,174.0000,142625
2021-04-14,174.0000,176.2000,168.8000,170.8000,162855
2021-04-15,170.8000,172.0000,166.4000,166.4000,136330
2021-04-16,166.6000,168.4000,161.6000,162.0000,210315
2021-04-19,163.8000,165.8000,161.4000,163.0000,111725
2021-04-20,162.6000,164.6000,158.4000,159.8000,178495
2021-04-22,160.4000,167.6000,160.2000,164.0000,178355
2021-04-23,164.8000,167.8000,162.2000,163.4000,114460
2021-04-26,163.2000,166.2000,161.4000,166.0000,111205
2021-04-27,166.0000,182.8000,166.0000,176.0000,537755
2021-04-28,176.0000,188.8000,176.0000,181.8000,514535
2021-04-29,183.0000,185.2000,174.2000,180.4000,212300
2021-04-30,181.2000,184.8000,174.8000,180.0000,394690
2021-05-03,183.2000,183.6000,176.8000,180.2000,168715
2021-05-04,180.0000,180.0000,171.2000,172.0000,165300
2021-05-05,173.0000,173.8000,162.2000,166.0000,286170
2021-05-06,167.4000,172.8000,165.2000,172.0000,172215
2021-05-07,172.2000,176.0000,170.6000,175.8000,115470
2021-05-10,175.6000,178.8000,168.8000,169.8000,113770
2021-05-11,168.2000,168.6000,161.0000,165.4000,180330
2021-05-12,164.4000,173.6000,164.2000,171.4000,202550
2021-05-13,172.2000,178.0000,166.6000,171.2000,228610
2021-05-14,172.4000,173.0000,169.2000,170.4000,128520
2021-05-17,169.2000,170.4000,163.4000,166.4000,150150
2021-05-18,166.6000,170.6000,165.4000,170.6000,117700
2021-05-19,168.2000,170.2000,166.0000,167.8000,83975
2021-05-20,167.6000,168.8000,165.0000,166.0000,83865
2021-05-21,167.0000,167.0000,164.2000,166.0000,88600
2021-05-24,166.4000,175.0000,166.0000,173.6000,167440
2021-05-25,175.2000,176.2000,170.0000,171.2000,125610
2021-05-26,172.2000,173.8000,167.6000,168.0000,117725
2021-05-27,169.0000,176.2000,168.4000,174.0000,341975
2021-05-28,175.4000,183.2000,174.6000,182.0000,224950
2021-05-31,186.0000,193.8000,186.0000,190.0000,311975
2021-06-01,194.0000,200.8000,190.6000,199.6000,373585
2021-06-02,200.2000,206.4000,195.0000,199.4000,312865
2021-06-04,201.2000,201.2000,195.6000,197.4000,184115
2021-06-07,200.0000,207.0000,199.2000,202.2000,295640
2021-06-08,202.4000,205.0000,190.6000,195.6000,286385
2021-06-09,197.0000,197.0000,191.6000,192.0000,133560
2021-06-10,192.0000,193.8000,185.4000,188.8000,156375
