date,open,high,low,close,volume
2019-08-05,35.5200,35.6000,34.6300,34.6300,0
2019-08-06,34.6400,36.1500,34.4000,35.0000,1045800
2019-08-07,35.3900,37.5800,34.2100,36.8200,3198400
2019-08-08,38.0800,38.0800,36.4300,36.8500,1147100
2019-08-09,36.9800,37.5500,36.5300,37.0900,1120900
2019-08-12,37.3500,37.3500,36.3300,36.5000,469200
2019-08-13,36.4300,36.9200,36.1200,36.9000,670600
2019-08-14,37.1500,37.1500,36.2100,36.5000,490400
2019-08-15,36.5000,36.5100,35.3500,35.9900,595800
2019-08-16,35.9900,36.5700,35.4500,36.5000,685200
2019-08-19,36.5000,37.3400,35.5100,36.3900,1337700
2019-08-20,36.0300,37.1100,35.2000,36.8900,429100
2019-08-21,36.5000,37.2300,36.3100,36.9500,827400
2019-08-22,36.5100,37.1300,36.1200,36.4000,528500
2019-08-23,35.8500,36.1800,34.8300,35.7900,571600
2019-08-26,36.4700,36.4700,34.6000,35.5000,467100
2019-08-27,36.1500,36.2900,34.9600,35.9900,461100
2019-08-28,35.9500,36.0900,35.4100,35.9900,487700
2019-08-29,36.1700,36.2700,35.3400,36.2000,553000
2019-08-30,36.3900,38.1000,36.1000,37.5900,2177600
2019-09-02,37.0900,37.5600,36.4000,37.0400,1038600
2019-09-03,37.4200,37.4200,36.2100,36.5000,794200
2019-09-04,36.5700,36.6900,35.8400,36.5000,383300
2019-09-05,36.5000,36.9300,36.3300,36.6500,442900
2019-09-06,36.3300,36.7800,36.0100,36.4500,566600
2019-09-09,36.4500,36.4500,34.5900,35.8000,617700
2019-09-10,35.2800,35.4900,34.7600,35.4900,534800
2019-09-11,35.3100,36.4200,35.2100,36.2400,507200
2019-09-12,36.2400,36.4500,35.7000,36.2000,394900
2019-09-13,36.0000,36.1400,35.0700,35.5300,441300
2019-09-16,35.0500,35.0900,34.3600,34.8000,852900
2019-09-17,35.1300,35.2500,34.3800,34.8700,808900
2019-09-18,34.9200,35.9500,34.5400,35.9500,1320800
2019-09-19,35.9900,38.4800,35.9900,37.9000,1565500
2019-09-20,37.3100,38.5000,37.3100,38.5000,1395400
2019-09-23,38.5100,38.5800,37.6100,38.5800,940400
2019-09-24,38.4100,38.9900,38.0000,38.8900,997700
2019-09-25,38.8500,38.8900,38.0700,38.8900,862100
2019-09-26,38.8900,39.1000,38.5300,39.0000,582800
2019-09-27,39.0000,39.4800,38.6100,39.4800,905600
2019-09-30,39.4800,39.4900,38.8500,39.4900,1154400
2019-10-01,39.7600,39.7600,38.5900,39.3700,1075600
2019-10-02,39.2800,39.3200,38.5200,39.1000,1007900
2019-10-03,39.1000,39.3500,38.2900,39.3500,641300
2019-10-04,39.3600,39.3600,38.9100,38.9800,784000
2019-10-07,38.5300,38.7800,37.9000,38.6200,965900
2019-10-08,38.7000,38.7600,38.0800,38.4500,618600
2019-10-09,38.7500,38.7600,38.1500,38.7300,551400
2019-10-10,38.4000,38.6000,38.0800,38.3200,895900
2019-10-11,38.5400,38.7800,38.0900,38.7400,364000
2019-10-14,38.7000,38.8300,38.1200,38.8300,439500
2019-10-15,38.7900,38.7900,37.5700,38.1500,2708700
2019-10-16,38.1000,39.0000,37.6500,38.8500,606200
2019-10-17,38.5600,39.0000,38.4100,39.0000,470000
2019-10-18,39.0000,39.5000,38.6400,39.5000,1872100
2019-10-21,40.0000,40.6500,39.1800,40.0000,2960600
2019-10-22,39.9500,40.1900,39.1100,39.3200,1440500
2019-10-23,39.6500,40.8700,38.8800,40.8700,1367400
2019-10-24,41.0000,41.0000,39.6700,40.4900,1170200
2019-10-25,40.5400,40.9500,39.7500,40.7900,503800
2019-10-28,40.9900,41.8800,40.6100,41.7500,674700
2019-10-29,41.7800,41.8500,40.9100,40.9100,863300
2019-10-30,40.9000,41.8500,40.6400,41.7000,1104900
2019-10-31,41.6900,42.8000,41.2500,42.5500,1430700
2019-11-01,42.7200,42.7200,42.2500,42.5400,527600
2019-11-04,42.5400,42.6000,42.1800,42.4000,431600
2019-11-05,42.4300,42.4700,41.6100,41.8300,855600
2019-11-06,42.2200,42.3400,41.6100,42.1900,416400
2019-11-07,42.0700,42.3300,41.7900,42.0900,530300
2019-11-08,42.0900,42.0900,41.3300,41.8200,365800
2019-11-11,41.7200,42.0000,41.4900,42.0000,287300
