date,open,high,low,close,volume
2015-01-02,5.7396,5.7875,5.5157,5.5797,373287
2015-01-05,5.5077,5.5557,5.3399,5.4278,1641641
2015-01-06,5.4278,5.4838,5.3079,5.3798,509017
2015-01-07,5.3958,5.5077,5.2679,5.3159,795738
2015-01-08,5.3319,5.4358,5.3159,5.3958,2502805
2015-01-09,5.4118,5.4438,5.3239,5.3719,205908
2015-01-12,5.3159,5.5957,5.3159,5.5957,5347750
2015-01-13,5.5957,5.7795,5.5957,5.6277,572691
2015-01-14,5.6596,5.6756,5.4198,5.5157,327252
2015-01-15,5.5237,5.7316,5.4998,5.6596,241436
2015-01-16,5.6676,5.7556,5.6037,5.6756,236307
2015-01-19,5.6756,5.8915,5.6356,5.6516,466860
2015-01-20,5.6756,5.9714,5.6756,5.9074,810625
2015-01-21,5.9714,6.1632,5.9314,6.1552,921961
2015-01-22,6.1632,6.6029,6.0673,6.4670,1394575
2015-01-23,6.4750,6.6429,6.4750,6.6349,1069324
2015-01-26,6.6429,6.7548,6.4750,6.7148,1195922
2015-01-27,6.7148,6.8187,6.5709,6.7708,746075
2015-01-28,6.7708,6.7708,6.6748,6.7308,802744
2015-01-29,6.7948,6.8587,6.6429,6.8187,1127119
2015-01-30,6.8187,6.8667,6.7468,6.8187,1030670
2015-02-02,6.9067,6.9067,6.6748,6.7148,457102
2015-02-03,6.7308,6.8107,6.5629,6.6029,1076580
2015-02-04,6.6109,6.6109,6.4270,6.5549,402435
2015-02-05,6.5549,6.6669,6.4350,6.6349,399308
2015-02-06,6.6029,6.6029,6.3951,6.4990,612347
2015-02-09,6.4510,6.5869,6.4350,6.5869,643746
2015-02-10,6.5469,6.5869,6.4510,6.4590,317244
2015-02-11,6.4830,6.4830,6.2831,6.3951,503763
2015-02-12,6.3471,6.6828,6.3471,6.5549,606467
2015-02-13,6.6029,6.6828,6.5390,6.6349,815128
2015-02-18,6.6349,6.8587,6.6349,6.7468,1421471
2015-02-19,6.7708,6.7948,6.6908,6.7148,518650
2015-02-20,6.7788,6.8347,6.6748,6.7308,921961
2015-02-23,6.8427,6.9786,6.7948,6.8347,806246
2015-02-24,6.8347,6.8987,6.7708,6.8347,937473
2015-02-25,6.8347,6.8747,6.7948,6.8747,708046
2015-02-26,6.9147,7.2744,6.8507,7.2344,1260847
2015-02-27,7.2584,7.4822,7.2344,7.4023,1516669
2015-03-02,7.4023,7.5062,7.3543,7.4103,664012
2015-03-03,7.5142,7.5142,7.2744,7.3943,968747
2015-03-04,7.3303,7.4023,7.1145,7.3303,675646
2015-03-05,7.2744,7.4183,7.2744,7.3543,1325022
2015-03-06,7.3623,7.3943,7.2424,7.3144,329504
2015-03-09,7.3064,7.3463,7.2584,7.3144,1946626
2015-03-10,7.2744,7.3223,7.2584,7.2904,1780373
2015-03-11,7.2984,7.4263,7.2984,7.3943,1356421
2015-03-12,7.4103,7.4822,7.3783,7.4343,1144507
2015-03-13,7.4982,7.7380,7.4343,7.7380,3421889
2015-03-16,7.5941,7.6101,7.4423,7.4982,1984405
2015-03-17,7.6581,7.7540,7.4662,7.7540,987761
2015-03-18,7.7540,7.7860,7.5702,7.6741,2160041
2015-03-19,7.6501,7.8260,7.6341,7.8020,2114381
2015-03-20,7.8340,8.1377,7.7940,8.1377,2427622
2015-03-23,8.0738,8.0977,7.8899,7.8899,1225820
2015-03-24,7.9139,7.9379,7.8020,7.8979,292225
2015-03-25,7.9139,7.9459,7.6581,7.8340,734816
2015-03-26,7.8100,7.8340,7.7460,7.8340,680775
2015-03-27,7.8499,7.9459,7.7460,7.7620,1685675
2015-03-30,7.7940,7.8419,7.7460,7.7620,170006
2015-03-31,7.8100,7.8340,7.7540,7.8260,359902
2015-04-01,7.9139,7.9459,7.7540,7.7620,330379
2015-04-02,7.7700,7.9299,7.7140,7.8340,932719
2015-04-06,7.8739,8.1137,7.8499,8.0178,819882
2015-04-07,8.0258,8.3695,8.0258,8.3695,951859
2015-04-08,8.3855,8.6094,8.3855,8.4735,2584243
2015-04-09,8.4095,8.4255,8.0818,8.1137,445218
2015-04-10,8.0898,8.1537,7.9539,8.1297,495757
2015-04-13,8.0418,8.2816,8.0098,8.0977,327627
2015-04-14,8.1537,8.2256,8.0977,8.1377,417321
2015-04-15,8.1937,8.2336,8.1137,8.1297,375039
2015-04-16,8.1377,8.3695,8.0578,8.3136,318120
2015-04-17,8.2896,8.3536,8.2177,8.3536,667264
2015-04-20,8.3615,8.4575,8.2896,8.3615,3207849
2015-04-22,8.3855,8.4415,8.1217,8.1217,239309
2015-04-23,8.0898,8.4415,7.9139,8.3216,467986
2015-04-24,8.3216,8.5534,8.3216,8.3935,306486
2015-04-27,8.4894,8.5534,8.2416,8.3775,443967
2015-04-28,8.3536,8.4335,8.2656,8.3935,238433
2015-04-29,8.3536,8.4655,8.2177,8.2256,544419
2015-04-30,8.2177,8.2416,7.7940,7.9219,561683
2015-05-04,8.0818,8.4415,7.9858,8.4175,663636
2015-05-05,8.1937,8.3216,8.0738,8.0738,437587
2015-05-06,8.0418,8.1457,7.8899,8.1137,248066
2015-05-07,8.1137,8.1937,8.0098,8.0258,259199
2015-05-08,8.0977,8.4255,8.0338,8.3855,469362
2015-05-11,8.4335,8.4655,8.0098,8.0098,1146759
2015-05-12,8.0578,8.1057,7.7540,7.8340,240560
2015-05-13,7.8340,7.9858,7.8180,7.8739,241436
2015-05-14,7.9219,8.0977,7.9139,8.0338,204407
2015-05-15,8.0977,8.3935,8.0738,8.3136,271834
2015-05-18,8.3615,8.4255,8.1857,8.2736,168755
2015-05-19,8.2736,8.3536,8.1457,8.2177,382420
2015-05-20,8.2336,8.2656,8.1057,8.1617,348143
2015-05-21,8.1377,8.2896,8.0018,8.2896,861164
2015-05-22,8.2736,8.3216,7.9379,7.9938,381169
2015-05-25,7.9539,8.0338,7.7060,7.7780,245939
2015-05-26,7.7940,7.9139,7.7540,7.8419,1308134
2015-05-27,7.8340,7.9539,7.7940,7.8340,375539
2015-05-28,7.8579,7.9938,7.8260,7.9139,323124
2015-05-29,7.9459,7.9698,7.8340,7.9139,444968
2015-06-01,7.8739,7.9938,7.8659,7.9299,338260
2015-06-02,7.9299,7.9619,7.8340,7.8340,1068949
2015-06-03,7.8340,7.9139,7.8340,7.8819,176135
2015-06-05,7.9459,7.9858,7.7940,7.8020,593582
2015-06-08,7.7780,7.8579,7.5622,7.6501,704543
2015-06-09,7.5941,7.6661,7.3943,7.5542,330504
2015-06-10,7.6181,7.6501,7.4742,7.6261,239935
2015-06-11,7.4343,7.6581,7.4343,7.5062,167254
2015-06-12,7.3943,7.5222,7.3943,7.4343,301482
2015-06-15,7.3943,7.4343,7.0585,7.0665,1595230
2015-06-16,7.0745,7.1465,7.0585,7.1145,473990
2015-06-17,7.0905,7.1465,7.0266,7.0346,583575
2015-06-18,7.0905,7.1225,7.0186,7.0985,472239
2015-06-19,7.0825,7.0825,6.7868,6.7868,727936
2015-06-22,6.8027,6.9306,6.8027,6.8747,278589
2015-06-23,7.0346,7.0346,6.7148,6.7148,341013
2015-06-24,6.7548,6.7548,6.5390,6.5390,541667
2015-06-25,6.5789,6.6269,6.3711,6.4270,619978
2015-06-26,6.4590,6.5070,6.4270,6.4750,547297
2015-06-29,6.5150,6.5310,6.4110,6.4990,666389
2015-06-30,6.4750,6.6828,6.4750,6.6029,692659
2015-07-01,6.5549,6.7468,6.5549,6.7068,429080
2015-07-02,6.7548,6.7548,6.6349,6.6669,263703
2015-07-03,6.7548,6.8107,6.6189,6.6748,123595
2015-07-06,6.6429,6.7308,6.6109,6.6349,143986
2015-07-07,6.6109,6.6908,6.4910,6.6269,113962
2015-07-08,6.6349,6.6429,6.5949,6.6189,360653
2015-07-10,6.6269,6.6669,6.5390,6.6189,105706
2015-07-13,6.6988,6.7388,6.6189,6.6669,173884
2015-07-14,6.6509,6.7068,6.6109,6.6189,256823
2015-07-15,6.6269,6.7548,6.5949,6.7068,248066
2015-07-16,6.7628,6.8747,6.7388,6.8267,370160
2015-07-17,6.8667,6.9946,6.7468,6.7468,207910
2015-07-20,6.8907,6.8907,6.6269,6.6349,350770
2015-07-21,6.6988,6.6988,6.4350,6.5070,231053
2015-07-22,6.4910,6.5230,6.4270,6.4910,230803
2015-07-23,6.5150,6.5150,6.2192,6.2352,196651
2015-07-24,6.2432,6.3951,6.0833,6.2831,310489
2015-07-27,6.2272,6.2752,6.1073,6.2512,431332
2015-07-28,6.2831,6.3711,6.1313,6.1552,304109
2015-07-29,6.1632,6.2272,6.1153,6.2032,283593
2015-07-30,6.2592,6.2592,6.1233,6.1952,281842
2015-07-31,6.2032,6.2512,6.1712,6.2352,321247
2015-08-03,6.2192,6.3551,6.1552,6.3071,236557
2015-08-04,6.3551,6.3951,6.2672,6.3231,863791
2015-08-05,6.3791,6.4830,6.3151,6.3471,81938
2015-08-06,6.3471,6.5070,6.3471,6.4031,354398
2015-08-07,6.4190,6.4750,6.3711,6.4031,297979
2015-08-10,6.4590,6.4750,6.2032,6.2352,669766
2015-08-11,6.1313,6.2352,6.1313,6.1872,1783625
2015-08-12,6.2112,6.2352,6.1153,6.1153,2749370
2015-08-13,6.1393,6.1393,6.0034,6.0433,908826
2015-08-14,6.0034,6.1233,6.0034,6.0673,285094
2015-08-17,6.1153,6.2991,6.1073,6.1952,384421
2015-08-18,6.2032,6.3071,6.0433,6.1952,744824
2015-08-19,6.1712,6.1712,5.9474,6.0593,339762
2015-08-20,6.1073,6.1073,5.9074,5.9874,176135
2015-08-21,6.0194,6.0273,5.8755,5.9234,543043
