date,open,high,low,close,volume
2015-01-02,2118.3362,2192.9661,1965.2496,2095.3733,4849
2015-01-05,2095.3733,2095.3733,2004.4781,2028.3978,24563
2015-01-06,2014.0460,2102.0708,2003.5212,2034.1387,23720
2015-01-07,2045.6201,2050.4041,1990.1262,2014.0460,3819
2015-01-08,2008.3053,2008.3053,1913.5829,1948.0273,4357
2015-01-09,1942.2866,1965.2496,1921.2372,1951.8546,2415
2015-01-12,1928.8916,1958.5521,1882.9656,1904.0150,2333
2015-01-13,1932.7188,1950.8978,1892.5334,1915.4965,2261
2015-01-14,1914.5397,1946.1138,1795.8976,1894.4470,5249
2015-01-15,1882.0088,1920.2804,1848.5211,1902.1014,3971
2015-01-16,1884.8792,1917.4100,1860.0026,1915.4965,3945
2015-01-19,1909.7557,1926.9780,1888.7063,1890.6199,9667
2015-01-20,1904.0150,1914.5397,1882.9656,1907.8422,2659
2015-01-21,1894.4470,1971.9471,1892.5334,1970.9904,2781
2015-01-22,1961.4225,2121.2065,1960.4657,2112.5955,3620
2015-01-23,2111.6387,2193.9229,2106.8547,2182.4414,3788
2015-01-26,2182.4414,2196.7932,2106.8547,2196.7932,2672
2015-01-27,2172.8733,2191.0525,2085.8054,2114.5090,2570
2015-01-28,2090.5894,2134.6018,2051.3608,2124.0769,1720
2015-01-29,2102.0708,2191.0525,2051.3608,2181.4846,2680
2015-01-30,2159.4783,2219.7561,2113.5522,2163.3054,4086
2015-02-02,2220.7129,2228.3672,2183.3982,2203.4907,2486
2015-02-03,2224.5400,2248.4600,2128.8611,2178.6140,2769
2015-02-04,2214.9722,2248.4600,2152.7808,2200.6204,2543
2015-02-05,2179.5710,2192.9661,2134.6018,2160.4351,1770
2015-02-06,2125.0337,2159.4783,2032.2251,2088.6758,2133
2015-02-09,2049.4473,2099.2004,2014.0460,2099.2004,4175
2015-02-10,2100.1572,2108.7683,1973.8607,2009.2621,2404
2015-02-11,1999.6941,1999.6941,1871.4841,1901.1447,3947
2015-02-12,1896.3606,1904.9718,1808.3358,1869.5704,5095
2015-02-13,1879.1384,1941.3298,1834.1692,1906.8854,2567
2015-02-18,1944.2002,2008.3053,1944.2002,1970.9904,1263
2015-02-19,1980.5583,2046.5769,1913.5829,2010.2189,3014
2015-02-20,2013.0892,2016.9164,1953.7682,1969.0768,1728
2015-02-23,1945.1570,1973.8607,1900.1879,1932.7188,3082
2015-02-24,1896.3606,1973.8607,1896.3606,1913.5829,3347
2015-02-25,1919.3236,1925.0645,1845.6508,1894.4470,2286
2015-02-26,1900.1879,1932.7188,1893.4902,1913.5829,2879
2015-02-27,1913.5829,1999.6941,1906.8854,1913.5829,5763
2015-03-02,1932.7188,1948.9841,1901.1447,1901.1447,4148
2015-03-03,1927.9348,2011.1757,1906.8854,1908.7990,5890
2015-03-04,1908.7990,2028.3978,1908.7990,2028.3978,3684
2015-03-05,2021.7003,2055.1880,1938.4595,1947.0706,6268
2015-03-06,1963.3361,1970.0336,1926.9780,1947.0706,2896
2015-03-09,1927.9348,1953.7682,1922.1940,1947.0706,3098
2015-03-10,1914.5397,1928.8916,1816.9470,1871.4841,6127
2015-03-11,1866.7001,1886.7927,1839.9099,1865.7433,3544
2015-03-12,1885.8359,2068.5830,1885.8359,2007.3485,4717
2015-03-13,2028.3978,2104.9412,1837.0396,1954.7250,7025
2015-03-16,1913.5829,1958.5521,1820.7742,1829.3853,4747
2015-03-17,1863.8297,1902.1014,1832.2556,1832.2556,3221
2015-03-18,1832.2556,1856.1754,1772.9346,1789.2001,2674
2015-03-19,1779.6321,1798.7679,1734.6628,1770.0642,2814
2015-03-20,1760.4962,1843.7372,1760.4962,1770.0642,5783
2015-03-23,1810.2494,1893.4902,1807.3790,1861.9161,1731
2015-03-24,1882.9656,1910.7125,1772.9346,1798.7679,2833
2015-03-25,1798.7679,1823.6445,1710.7432,1726.0518,3360
2015-03-26,1726.0518,1726.0518,1616.9775,1616.9775,5845
2015-03-27,1594.9713,1607.4097,1555.7429,1568.1812,4211
2015-03-30,1578.7059,1755.7123,1578.7059,1734.6628,8057
2015-03-31,1686.8234,1961.4225,1686.8234,1932.7188,34031
2015-04-01,1937.5027,2272.3796,1937.5027,2037.9658,13452
2015-04-02,2061.8855,2216.8857,1966.2064,2094.4165,9629
2015-04-06,2124.0769,2247.5032,2079.1079,2164.2622,11028
2015-04-07,2162.3486,2172.8733,2018.8300,2018.8300,3709
2015-04-08,2018.8300,2141.2993,2015.9596,2114.5090,5151
2015-04-09,2131.7314,2228.3672,2108.7683,2128.8611,3596
2015-04-10,2138.4290,2200.6204,2119.2930,2191.0525,3743
2015-04-13,2210.1882,2418.7688,2195.8364,2412.0713,11582
2015-04-14,2444.6021,2454.1702,2307.7810,2328.8303,7807
2015-04-15,2346.0527,2559.4172,2335.5278,2522.1023,6812
2015-04-16,2463.7380,2545.0652,2440.7749,2487.6577,3469
2015-04-17,2454.1702,2509.6641,2413.0281,2509.6641,4554
2015-04-20,2499.1392,2557.5037,2427.3799,2536.4541,7389
2015-04-22,2525.9294,2707.7197,2507.7505,2679.0161,4474
2015-04-23,2659.8801,2691.4543,2564.2012,2564.2012,8520
2015-04-24,2560.3740,2691.4543,2539.3245,2625.4358,3877
2015-04-27,2651.2690,2715.3740,2639.7876,2664.6643,9547
2015-04-28,2674.2322,2841.6707,2669.4482,2736.4236,13042
2015-04-29,2736.4236,2755.5593,2576.6394,2682.8433,3626
2015-04-30,2656.0530,2717.2878,2536.4541,2600.5591,2815
2015-05-04,2625.4358,2684.7568,2578.5530,2578.5530,3660
2015-05-05,2582.3801,2731.6396,2502.0098,2723.0286,8184
2015-05-06,2692.4111,2724.9421,2509.6641,2566.1147,5497
2015-05-07,2547.9355,2578.5530,2353.7070,2372.8428,4832
2015-05-08,2377.6267,2533.5837,2377.6267,2484.7874,3366
2015-05-11,2534.5405,2566.1147,2467.5652,2482.8738,1916
2015-05-12,2506.7937,2622.5654,2430.2502,2599.6023,2165
2015-05-13,2597.6887,2636.9172,2559.4172,2612.0408,2210
2015-05-14,2622.5654,2667.5347,2596.7319,2658.9233,1328
2015-05-15,2657.9666,2678.0593,2597.6887,2630.2197,2142
2015-05-18,2636.9172,2674.2322,2598.6455,2645.5283,1911
2015-05-19,2659.8801,2659.8801,2433.1206,2473.3059,53610
2015-05-20,2458.9541,2611.0840,2433.1206,2611.0840,3618
2015-05-21,2586.2073,2685.7136,2586.2073,2621.6086,2000
2015-05-22,2648.3987,2657.9666,2510.6208,2540.2813,4440
2015-05-25,2506.7937,2611.0840,2506.7937,2584.2937,691
2015-05-26,2560.3740,2631.1765,2383.3674,2454.1702,7910
2015-05-27,2430.2502,2474.2627,2411.1145,2458.9541,5582
2015-05-28,2465.6516,2468.5220,2332.6575,2359.4478,3502
2015-05-29,2357.5342,2439.8181,2301.0835,2406.3306,6741
2015-06-01,2403.4602,2421.6392,2339.3550,2372.8428,2283
2015-06-02,2357.5342,2405.3738,2346.0527,2391.9785,27972
2015-06-03,2432.1638,2432.1638,2279.0771,2286.7317,6461
2015-06-05,2277.1636,2282.9043,2203.4907,2277.1636,3041
2015-06-08,2249.4167,2260.8982,2143.2129,2206.3611,3065
2015-06-09,2206.3611,2224.5400,2146.0833,2168.0894,3208
2015-06-10,2196.7932,2268.5525,2196.7932,2238.8921,2431
2015-06-11,2250.3735,2254.2007,2162.3486,2205.4043,2886
2015-06-12,2183.3982,2236.9785,2171.9165,2187.2253,2672
2015-06-15,2187.2253,2272.3796,2167.1326,2239.8489,1787
2015-06-16,2239.8489,2339.3550,2239.8489,2315.4353,3712
2015-06-17,2297.2563,2330.7439,2286.7317,2315.4353,1038
2015-06-18,2292.4724,2324.0464,2205.4043,2205.4043,2818
2015-06-19,2209.2314,2219.7561,2167.1326,2173.8301,2323
2015-06-22,2181.4846,2191.0525,2133.6450,2136.5154,1711
2015-06-23,2152.7808,2153.7375,2044.6633,2068.5830,4793
2015-06-24,2055.1880,2055.1880,1969.0768,1999.6941,3573
2015-06-25,1999.6941,2084.8486,1980.5583,2082.9351,6983
