date,open,high,low,close,volume
2021-03-01,14.4020,15.2060,13.8760,14.2800,64088000
2021-03-02,14.0820,14.8000,13.6960,14.5000,14717000
2021-03-03,14.3580,14.5640,13.8800,14.2600,17545000
2021-03-04,14.2520,14.7900,14.1580,14.6400,12300000
2021-03-05,14.5020,15.7000,14.4000,15.0000,18499500
2021-03-08,14.9660,15.0580,13.7460,14.2020,12366000
2021-03-09,13.9980,14.1600,13.7020,14.1600,10167000
2021-03-10,14.2020,14.7000,13.9400,14.2000,15699500
2021-03-11,14.4420,14.9080,14.3600,14.6980,16646000
2021-03-12,14.3000,14.8080,14.3000,14.5560,7509000
2021-03-15,14.5540,14.7620,14.3460,14.5700,11593000
2021-03-16,14.5800,14.6500,14.2120,14.3100,7789500
2021-03-17,14.3100,14.8200,14.2120,14.8000,4753000
2021-03-18,14.4180,14.7580,14.4180,14.6500,2304000
2021-03-19,14.6960,14.7820,14.1800,14.2680,14098000
2021-03-22,14.3600,14.3600,13.8560,14.0000,5803000
2021-03-23,14.0000,14.1560,13.7120,14.1560,7916000
2021-03-24,14.0220,14.1880,13.5500,13.7000,12174500
2021-03-25,13.6000,14.4000,13.5220,14.3740,6602000
2021-03-26,14.2700,14.8780,14.2060,14.5400,4396500
2021-03-29,14.4440,14.7000,14.2040,14.7000,6557000
2021-03-30,14.5000,14.8300,14.5000,14.7000,8433000
2021-03-31,14.7100,14.7880,14.4020,14.7680,3663000
2021-04-01,14.8400,15.1680,14.7720,15.0120,9940000
2021-04-05,15.0600,15.6780,15.0600,15.5000,6073500
2021-04-06,15.5000,15.5040,15.3000,15.3620,5821500
2021-04-07,15.2220,15.5660,14.6680,15.2640,10992000
2021-04-08,15.2000,15.5240,15.0240,15.4840,6395000
2021-04-09,15.4100,15.5200,15.1740,15.5000,7012500
2021-04-12,15.4800,15.5880,15.3000,15.4800,4711000
2021-04-13,15.4780,15.6000,15.3000,15.4500,5449500
2021-04-14,15.4300,15.7400,15.4000,15.7320,5841000
2021-04-15,15.6300,16.0120,15.6300,15.9940,11554500
2021-04-16,16.5640,16.5640,15.7980,15.9500,13035000
2021-04-19,15.9500,16.3320,15.8020,16.1000,5017000
2021-04-20,16.1760,16.4880,15.8680,16.3000,6029000
2021-04-22,16.3280,16.5900,16.0020,16.0920,8470500
2021-04-23,16.2800,16.3640,16.0280,16.2320,4653000
2021-04-26,16.3080,16.3420,15.9720,16.0720,3662000
2021-04-27,16.0600,16.1100,15.9040,15.9320,4986500
2021-04-28,15.9540,16.1720,15.8480,15.9960,5371500
2021-04-29,16.0100,16.0740,15.6400,15.9620,5343000
2021-04-30,15.8400,16.2260,15.6600,16.1780,22683000
2021-05-03,16.2000,16.4380,16.0440,16.2940,8474000
2021-05-04,16.4000,16.5200,16.1120,16.5000,9407500
2021-05-05,16.8720,17.4000,16.8000,17.1220,17262500
2021-05-06,17.1180,17.4600,16.9520,17.4340,9404500
2021-05-07,17.4800,17.8800,17.2340,17.7940,8422500
2021-05-10,17.8020,17.8500,17.3640,17.6380,7669500
2021-05-11,17.4400,17.6060,17.3000,17.4000,6191000
2021-05-12,17.2980,17.3900,16.8280,16.9160,6728500
2021-05-13,16.9680,17.3280,16.9180,17.2380,6595000
2021-05-14,17.3580,17.4800,16.9280,17.3360,5923000
2021-05-17,17.3140,17.3380,16.8480,17.1480,4728000
2021-05-18,17.1500,17.1940,16.6660,16.8480,6527500
2021-05-19,16.7680,17.1700,16.4440,16.6040,6358000
2021-05-20,16.6820,16.8180,16.4660,16.8180,7278000
2021-05-21,16.8200,17.4400,16.5320,17.2400,10145000
2021-05-24,17.3520,17.8980,17.2000,17.8420,10386000
2021-05-25,17.8500,17.9000,17.6020,17.7120,5307000
2021-05-26,17.8580,17.9500,17.4760,17.7720,5462000
2021-05-27,17.7800,18.1080,17.5240,17.7800,5669000
2021-05-28,17.7400,17.9900,17.3760,17.8180,4590500
2021-05-31,17.9300,18.1000,17.6980,17.8900,4641000
2021-06-01,18.0200,18.2640,17.6500,17.8000,13722000
2021-06-02,17.9000,18.1060,17.5600,17.5880,9352500
2021-06-04,17.5420,17.6400,17.2100,17.5940,8097000
2021-06-07,17.5940,17.5940,16.8160,17.3480,10336000
2021-06-08,17.4140,17.4240,16.7100,16.8700,9246000
2021-06-09,16.8700,17.2000,16.6000,16.9560,10294500
2021-06-10,16.9480,17.1480,16.7600,17.1020,4720000
2021-06-11,17.1020,17.1040,16.6520,16.8580,5133000
2021-06-14,16.9560,16.9860,16.6280,16.8000,4317000
2021-06-15,16.8000,16.8120,16.2460,16.6360,8432500
2021-06-16,16.4720,16.9040,16.4300,16.6780,10606500
2021-06-17,16.6760,16.7920,16.4600,16.7600,7246000
2021-06-18,16.7720,17.1660,16.4480,17.0020,12012000
2021-06-21,17.0020,17.4060,16.7840,17.2920,6798000
2021-06-22,17.2740,17.3040,16.9220,17.2800,6518000
2021-06-23,17.2040,17.2620,17.0040,17.2000,5819500
2021-06-24,17.2760,17.5460,17.2000,17.4620,8527500
2021-06-25,17.4620,17.5680,16.8400,16.9780,6078000
2021-06-28,17.0200,17.1820,16.7200,17.1760,6202500
2021-06-29,17.1700,17.3500,16.9100,17.2280,8958000
2021-06-30,17.1920,17.3080,16.9840,17.3080,6685000
2021-07-01,17.4800,17.4800,16.9400,17.1600,8503000
2021-07-02,17.1700,17.2640,17.0100,17.2000,5948000
2021-07-05,17.2120,17.3580,17.0480,17.2200,3871000
2021-07-06,17.1920,17.1920,16.9020,17.1400,3828000
2021-07-07,17.2000,17.3960,16.9420,17.2500,12086500
2021-07-08,17.0600,17.6220,17.0400,17.2400,7435000
2021-07-12,17.2360,17.4160,17.0720,17.3100,4327500
2021-07-13,17.2600,17.7400,17.2360,17.6100,6446000
2021-07-14,17.7600,17.9260,17.4900,17.5420,5548000
2021-07-15,17.5420,17.6900,17.2460,17.2560,3746000
2021-07-16,17.3520,17.6960,17.3320,17.4880,7965000
2021-07-19,17.3980,17.6200,17.2080,17.4700,7763500
2021-07-20,17.4700,17.5360,17.2660,17.3200,3835500
2021-07-21,17.3260,17.4100,17.2200,17.4100,4032000
2021-07-22,17.4000,17.4980,17.2500,17.4600,2829500
2021-07-23,17.4600,17.5500,17.3720,17.5000,4154500
2021-07-26,17.5720,18.0600,17.3720,18.0400,9987000
2021-07-27,17.9840,18.1480,17.7000,17.8000,6666500
2021-07-28,18.2000,18.2320,17.2280,17.6160,14614500
2021-07-29,17.6000,17.6000,17.0720,17.4400,12625000
2021-07-30,17.4400,17.5520,17.1080,17.3360,16469000
2021-08-02,17.5000,17.6640,17.1640,17.3320,8100500
2021-08-03,17.4980,17.4980,17.0580,17.3400,5450500
2021-08-04,17.2900,17.6560,17.1500,17.4160,6533500
2021-08-05,17.4060,17.7680,17.2820,17.4000,13427000
2021-08-06,17.4460,17.6060,17.1780,17.5600,15424500
2021-08-09,17.4320,18.2080,17.4320,18.1680,10558500
2021-08-10,18.0660,18.5300,17.9440,18.4100,10281500
2021-08-11,18.4400,18.4400,18.0400,18.0520,6265000
2021-08-12,17.8200,18.0900,17.5000,17.7500,14059400
2021-08-13,17.6500,18.1200,17.3400,17.7400,5547600
2021-08-16,17.6900,17.8800,17.0700,17.2500,7814500
2021-08-17,16.9600,17.2000,16.4700,16.9600,9967800
2021-08-18,16.9600,17.1000,16.4100,16.6600,10736900
2021-08-19,16.4800,17.7000,16.3400,17.4800,14455000
2021-08-20,17.3500,18.2700,17.1800,17.7800,9513400
2021-08-23,17.8100,18.0100,17.3300,17.5100,5050600
2021-08-24,17.6100,17.8900,17.4800,17.7400,4198100
2021-08-25,17.8600,18.0400,17.6100,17.8500,4269900
2021-08-26,17.7600,17.8400,17.3700,17.3700,4969900
2021-08-27,17.3700,17.5400,17.2000,17.4000,5662600
2021-08-30,17.2800,17.6200,16.9600,17.1600,16747200
2021-08-31,17.1800,17.4500,16.8100,16.8100,8477100
2021-09-01,17.1000,17.6000,16.6700,17.0300,7651500
2021-09-02,16.9600,17.8700,16.8900,17.5400,17566400
2021-09-03,17.7300,18.2100,17.5100,18.1600,19565300
2021-09-06,18.1500,18.5300,17.8800,18.3500,6471000
2021-09-08,18.3500,18.4100,17.6700,17.9100,11069100
2021-09-09,17.9100,18.3000,17.7500,18.2000,12544000
2021-09-10,18.1800,18.4700,17.8500,18.1800,19125200
2021-09-13,18.4400,18.8500,18.3500,18.6700,17075500
2021-09-14,18.7000,19.0400,18.2500,18.3300,6594500
2021-09-15,18.3200,18.7000,18.1200,18.5900,8756500
2021-09-16,18.5900,19.2300,18.5900,19.1600,17281800
2021-09-17,19.1800,19.3500,19.0000,19.0000,23104900
2021-09-20,18.9100,19.0100,18.5000,18.8200,15522000
2021-09-21,18.9500,19.6600,18.7000,19.4900,17756900
2021-09-22,19.5300,19.6000,19.1100,19.2900,5973600
2021-09-23,19.2400,19.4400,18.9600,19.1900,20822300
2021-09-24,19.0200,19.1600,18.7500,18.9800,18657800
2021-09-27,18.9000,19.3700,18.7100,19.2500,7788100
2021-09-28,19.1300,19.1900,18.9000,19.1800,11310100
2021-09-29,19.1900,19.3300,18.8500,18.9700,10203400
2021-09-30,19.2000,19.5400,18.9300,19.0400,10293000
2021-10-01,19.0900,19.4700,18.8900,19.3600,5841800
2021-10-04,19.2900,19.4000,18.9600,19.3200,9789400
2021-10-05,19.2400,19.4000,18.9300,19.2200,8000200
2021-10-06,18.9600,19.5000,18.9000,19.1200,10611600
2021-10-07,19.1200,19.2200,18.8300,18.9200,7169200
2021-10-08,18.9000,19.1800,18.1700,18.3000,14612800
2021-10-11,18.2300,18.3400,17.2400,17.4000,31512800
2021-10-13,17.4000,18.2100,17.4000,17.9200,10150700
2021-10-14,17.7500,17.9400,17.3800,17.8600,10051300
2021-10-15,16.7000,17.7200,16.6000,17.5400,78021300
2021-10-18,17.3600,17.4500,16.8500,16.9600,13070300
2021-10-19,16.8000,16.8200,16.3600,16.5500,17605400
2021-10-20,16.6800,16.9700,16.4400,16.7300,11472200
2021-10-21,16.5500,16.9700,16.0300,16.4300,11995800
2021-10-22,16.1100,16.3700,15.4500,16.1100,24678500
2021-10-25,16.1100,16.3900,15.8400,16.1300,20484500
2021-10-26,16.1000,16.1600,15.7100,15.9500,7090300
2021-10-27,16.1000,16.1000,15.5000,15.6400,9783700
2021-10-28,15.7200,15.8400,15.3800,15.6500,8208600
2021-10-29,15.7000,15.9200,15.1800,15.2900,13706000
2021-11-01,15.4500,15.4600,14.8600,14.9800,10277500
2021-11-03,14.8000,15.5600,14.7300,15.4300,21906500
2021-11-04,15.3800,15.4200,14.9700,15.2000,4262500
2021-11-05,15.2200,15.4000,14.8300,15.2400,8161700
2021-11-08,15.0600,15.5900,14.9500,15.4200,8290300
2021-11-09,15.4900,15.7900,15.3500,15.5000,6124400
2021-11-10,15.5300,16.1000,15.4000,15.9700,10223900
2021-11-11,16.1500,16.2400,15.7800,15.9000,5555700
2021-11-12,15.7900,15.9400,15.5100,15.5300,7831400
2021-11-16,15.5000,15.5500,14.6500,14.8400,11424100
2021-11-17,15.0900,15.0900,14.1200,14.2600,10535200
2021-11-18,14.2900,14.3300,13.7500,13.9800,21252300
2021-11-19,13.9700,14.3800,13.9000,14.0800,11060800
2021-11-22,14.1500,14.2000,13.7300,13.7900,12046100
2021-11-23,13.8500,14.0400,13.6000,13.8600,3755200
2021-11-24,13.7000,14.0100,13.5800,13.7200,5705900
2021-11-25,13.7400,13.8900,13.4900,13.8500,5547700
2021-11-26,13.5400,13.6300,13.2300,13.3600,6311300
2021-11-29,13.4800,13.7200,13.0000,13.0500,13464500
2021-11-30,12.9600,13.0200,12.3900,12.7500,16793700
2021-12-01,12.8700,12.9500,12.3600,12.4700,5991300
2021-12-02,12.7100,12.7100,12.2600,12.4500,7306700
2021-12-03,12.5500,13.3400,12.5100,13.3000,16852000
2021-12-06,13.4300,13.9000,13.3700,13.7500,6605800
2021-12-07,14.2000,14.4000,14.0300,14.0500,14090400
2021-12-08,14.0500,14.6800,13.8900,14.3900,14295000
2021-12-09,14.3800,14.3800,14.0600,14.2200,9843600
2021-12-10,14.3800,14.8500,14.3800,14.5600,8247400
2021-12-13,14.6100,14.7800,14.3000,14.3800,11783000
2021-12-14,14.5300,14.8000,14.2000,14.4000,6761100
2021-12-15,14.5700,14.7100,14.3700,14.6900,6373000
2021-12-16,14.8700,14.9500,14.4700,14.5400,5287600
2021-12-17,14.4900,14.6600,14.2800,14.4600,8250000
2021-12-20,14.4600,14.5100,13.9100,14.1000,6680500
2021-12-21,14.1100,14.3000,13.9900,14.2500,4083800
2021-12-22,14.2200,14.3000,13.9100,14.1600,6990400
2021-12-23,14.0400,14.2900,13.9400,14.0900,4198000
2021-12-27,14.0900,14.1900,13.5000,13.6400,14666400
2021-12-28,13.7300,13.7300,12.8900,13.1000,22962600
2021-12-29,13.1000,13.1200,12.8200,12.8400,10451000
2021-12-30,12.9000,13.0800,12.8200,12.9600,5913100
2022-01-03,13.0800,13.0800,12.4000,12.7200,16124600
2022-01-04,12.7700,12.8200,12.4500,12.7200,9389900
2022-01-05,12.6800,12.7000,11.9400,11.9900,11220000
2022-01-06,12.1000,12.1600,11.5400,11.5900,15779400
2022-01-07,11.5200,11.6300,11.2100,11.3600,11641900
2022-01-10,11.2600,11.3600,11.0300,11.3000,8755800
2022-01-11,11.2000,11.4700,11.1600,11.4500,6045500
2022-01-12,11.4500,11.8100,11.3100,11.8000,7862000
2022-01-13,11.8000,12.1100,11.6700,12.0200,9668300
2022-01-14,11.9400,12.2000,11.9200,12.1300,7586600
2022-01-17,12.1300,12.1500,11.9400,12.0100,4569300
2022-01-18,12.0100,12.0300,11.8200,11.9200,7771300
2022-01-19,11.9500,12.2400,11.9500,12.0300,5074700
2022-01-20,12.1000,12.2400,11.8900,11.9500,7365800
2022-01-21,11.9000,12.1700,11.7400,12.0200,8537100
