date,open,high,low,close,volume
2015-01-02,31.8500,31.9000,29.9000,30.3500,3619600
2015-01-05,30.3400,30.4000,28.9800,29.4400,4337500
2015-01-06,29.4500,30.6900,29.3900,30.6900,5199200
2015-01-07,30.8300,30.9900,29.8300,30.2000,7372400
2015-01-08,30.5900,30.5900,29.5500,30.1100,5638900
2015-01-09,29.8800,30.1500,29.0000,29.1300,5022100
2015-01-12,29.1500,30.1400,28.8900,29.8000,7234800
2015-01-13,29.8500,30.3700,29.1800,29.1800,4740100
2015-01-14,29.0200,29.3100,28.3500,28.6800,6425000
2015-01-15,28.6000,29.4600,28.6000,29.2500,6330400
2015-01-16,29.0000,30.5400,29.0000,30.3000,3972700
2015-01-19,30.1000,30.3700,29.4900,29.6000,3533900
2015-01-20,30.1500,30.1800,29.0100,29.1700,2935200
2015-01-21,29.2500,30.6900,29.2500,30.3500,3975800
2015-01-22,30.5400,31.0000,29.4500,30.4200,4900000
2015-01-23,29.9600,30.2500,29.7500,30.1500,3927700
2015-01-26,29.8100,30.3600,29.6100,29.9700,4210800
2015-01-27,29.8000,30.1000,28.8700,29.5800,3849700
2015-01-28,29.2000,29.3800,28.7800,28.9100,5159300
2015-01-29,28.8500,29.5700,28.5100,29.5200,4158400
2015-01-30,28.9500,29.7900,28.6100,29.7900,6339900
2015-02-02,29.8000,30.2800,29.6900,29.9800,4256800
2015-02-03,30.3900,30.4400,29.9700,30.2600,5564300
2015-02-04,30.3500,30.4700,29.2700,30.1900,4708100
2015-02-05,29.7400,30.7800,29.7400,30.1400,5497800
2015-02-06,29.8200,30.1800,28.8600,29.3300,8553400
2015-02-09,29.2200,30.1200,28.9100,30.0500,5283600
2015-02-10,30.4900,30.6800,29.0200,29.3100,12976500
2015-02-11,29.3100,29.7500,28.3500,29.4900,16143800
2015-02-12,29.5000,30.4900,29.4600,30.2500,7004300
2015-02-13,29.7000,29.9900,29.3700,29.9900,5371300
2015-02-18,30.0000,30.6600,29.9700,30.2900,3698300
2015-02-19,30.2900,31.9600,30.2600,31.6000,7672200
2015-02-20,31.4100,31.8700,31.1500,31.8400,2897400
2015-02-23,31.5300,32.0000,31.2800,32.0000,4041300
2015-02-24,31.9500,33.1200,31.5800,32.6700,6411600
2015-02-25,32.2300,33.0800,32.2300,32.9000,6702200
2015-02-26,32.7800,33.2000,32.5600,33.0600,3272300
2015-02-27,32.8800,33.3000,32.0100,32.1600,4703300
2015-03-02,32.1000,32.8000,32.0100,32.6000,2796300
2015-03-03,32.7000,32.9600,32.4100,32.7600,9933600
2015-03-04,32.2000,32.3100,31.4200,31.7600,3661500
2015-03-05,31.7500,32.0600,31.1400,31.5200,5914500
2015-03-06,31.4900,31.6300,30.4000,30.4500,5104200
2015-03-09,30.4400,30.5000,29.7000,29.8500,4369900
2015-03-10,29.1600,30.3300,29.1500,29.9500,12036300
2015-03-11,29.9000,30.7000,29.8400,30.5400,11313700
2015-03-12,30.9500,30.9900,29.6100,29.8300,6170400
2015-03-13,29.2100,30.1200,29.2100,29.5200,4009800
2015-03-16,29.7100,30.2500,29.6600,30.1000,4736500
2015-03-17,30.0600,31.7500,30.0600,31.5400,4389400
2015-03-18,31.3200,32.7300,31.1000,32.6700,7685800
2015-03-19,32.5000,32.7900,32.2600,32.7200,3462800
2015-03-20,32.9000,33.4200,32.4700,32.7000,4673400
2015-03-23,32.9200,33.1900,32.6200,32.8000,4388300
2015-03-24,33.0800,33.2000,32.0300,32.8600,5014600
2015-03-25,32.9800,33.1800,32.2400,32.7600,3181600
2015-03-26,32.5600,32.7900,31.1600,31.7200,6608900
2015-03-27,31.4000,32.4100,31.4000,31.8800,4479400
2015-03-30,31.9500,33.0000,31.8500,32.8500,3393500
2015-03-31,32.6000,33.1300,32.4300,32.8700,3797700
2015-04-01,33.0100,33.8000,32.9200,33.4500,3196600
2015-04-02,33.2900,34.9200,33.1700,34.4700,7395800
2015-04-06,35.0000,35.9900,34.5000,35.9900,6910300
2015-04-07,35.8000,36.4700,34.2500,34.8000,9798000
2015-04-08,35.1200,35.3900,33.7700,33.8000,11010700
2015-04-09,33.8000,34.2900,33.4300,33.9500,2932700
2015-04-10,33.9600,35.5000,33.8300,35.4100,4725000
2015-04-13,34.9900,35.7500,34.9900,35.3200,4571700
2015-04-14,35.5000,35.9700,34.4600,34.9000,6985000
2015-04-15,35.2500,36.0800,35.0200,36.0100,5428700
2015-04-16,36.0000,36.7000,35.6400,36.1900,6399200
2015-04-17,35.5100,35.6900,35.0500,35.4000,3457200
2015-04-20,35.6000,35.6000,34.3100,35.0200,2352100
2015-04-22,34.9200,36.0300,34.8700,35.4900,4261600
2015-04-23,35.2500,36.5000,35.2500,36.5000,5184200
2015-04-24,36.5100,36.6400,36.0300,36.0900,5474700
2015-04-27,35.9200,36.0700,34.3100,34.4800,6839900
2015-04-28,34.3300,35.1500,34.3300,35.0300,3627200
2015-04-29,34.5100,34.9000,34.5100,34.6600,2727900
2015-04-30,34.4000,35.3000,34.1100,35.1900,6571600
2015-05-04,35.2600,35.4900,34.5500,35.1100,2848400
2015-05-05,34.8700,35.3900,34.7300,35.1400,2590700
2015-05-06,35.0000,35.9700,34.5700,35.9500,4065500
2015-05-07,36.4800,36.8700,35.8200,36.2400,9108800
2015-05-08,36.4800,37.3900,36.3200,37.3800,8280100
2015-05-11,37.1000,37.6500,37.1000,37.3100,9474900
2015-05-12,37.3900,37.4900,36.6500,36.7600,3947500
2015-05-13,36.6900,37.0700,36.0800,36.3300,3665900
2015-05-14,36.4500,36.8000,35.8400,36.2900,3710800
2015-05-15,36.0600,37.1200,36.0600,36.7000,2929600
2015-05-18,37.0000,37.0900,35.8500,35.9300,4123900
2015-05-19,36.0100,36.2200,34.9700,35.2300,4834600
2015-05-20,35.3500,35.3500,34.5500,34.7400,6134800
2015-05-21,34.8700,35.1900,34.6000,35.1900,3038500
2015-05-22,35.0100,35.0100,33.5000,33.8000,5692900
2015-05-25,33.7500,34.9500,33.6200,34.2700,2219700
2015-05-26,34.0500,34.3800,33.8300,34.0800,3003000
2015-05-27,34.1500,34.2400,33.7200,34.0000,4345100
