date,open,high,low,close,volume
2015-01-02,9.7445,9.7838,9.3216,9.3216,257196
2015-01-05,9.3020,9.3020,8.8497,8.8792,675077
2015-01-06,8.9381,8.9775,8.7415,8.7513,908577
2015-01-07,8.8005,9.4200,8.7513,9.3315,869525
2015-01-08,9.1250,9.3315,9.0955,9.2921,811150
2015-01-09,9.1545,9.2823,9.0168,9.1250,610091
2015-01-12,9.0561,9.1545,8.8202,8.8497,479408
2015-01-13,8.8890,9.2921,8.7808,9.0266,337436
2015-01-14,8.9971,9.1643,8.8890,9.0266,571446
2015-01-15,8.9381,9.6265,8.9283,9.4888,1022480
2015-01-16,9.6166,9.6363,9.2233,9.5871,569717
2015-01-19,9.6265,9.6265,9.0463,9.0955,187431
2015-01-20,9.0463,9.1938,8.7907,8.8103,1101805
2015-01-21,8.8497,8.9971,8.7218,8.9087,506765
2015-01-22,9.1250,9.3413,8.6727,8.7513,1147468
2015-01-23,8.7612,8.8202,8.5645,8.7120,497816
2015-01-26,8.7218,8.7218,8.3482,8.7022,474323
2015-01-27,8.5350,8.6333,8.0729,8.5448,2049944
2015-01-28,8.4465,8.4760,8.2695,8.4268,689518
2015-01-29,8.4465,8.6038,8.3482,8.4760,386760
2015-01-30,8.3678,8.6038,8.2892,8.6038,783691
2015-02-02,8.5547,8.6825,8.3088,8.3580,431406
2015-02-03,8.4957,8.4957,8.0827,8.1712,959529
2015-02-04,8.1613,8.4072,8.0827,8.2990,593616
2015-02-05,8.4760,8.4760,8.2007,8.2892,415643
2015-02-06,8.1908,8.2990,8.1613,8.2597,306317
2015-02-09,8.2203,8.3678,8.1613,8.3580,288824
2015-02-10,8.3580,8.5448,8.0925,8.1023,634804
2015-02-11,8.1417,8.1417,7.7877,7.9057,1165977
2015-02-12,7.8959,7.9549,7.5419,7.6992,946308
2015-02-13,7.6992,7.9647,7.5910,7.9647,1192826
2015-02-18,8.0335,8.2793,7.8664,8.1712,762741
2015-02-19,8.2498,8.5448,8.0237,8.3875,653313
2015-02-20,8.3383,8.4760,8.2007,8.4760,299198
2015-02-23,8.6530,8.8202,8.5743,8.7710,807794
2015-02-24,8.7513,8.7513,8.3187,8.5547,1092754
2015-02-25,8.5350,8.6530,8.4563,8.4957,370794
2015-02-26,8.5940,8.9087,8.4957,8.9087,586599
2015-02-27,8.8497,8.9381,8.6038,8.8398,1001327
2015-03-02,8.8300,8.8300,8.4957,8.7022,417067
2015-03-03,8.7710,8.9283,8.6628,8.7218,1314763
2015-03-04,8.7120,8.8497,8.5940,8.7513,1038955
2015-03-05,8.7710,8.8202,8.3973,8.4858,877051
2015-03-06,8.5448,8.5448,7.9647,7.9942,1207979
2015-03-09,8.0237,8.0532,7.3157,7.3157,2044961
2015-03-10,7.3059,7.6992,7.3059,7.4829,1725220
2015-03-11,7.4927,7.6304,7.2370,7.4435,1005293
2015-03-12,7.5320,7.6894,7.3550,7.6599,722875
2015-03-13,7.6304,7.6894,7.4140,7.4927,1466091
2015-03-16,7.5517,7.6402,7.2272,7.3157,655042
2015-03-17,7.3944,7.4927,7.2764,7.4730,704163
2015-03-18,7.4140,7.5615,7.2960,7.4632,755419
2015-03-19,7.5320,7.8074,7.4337,7.7680,846846
2015-03-20,7.7484,8.0434,7.7484,8.0335,1010378
2015-03-23,8.0729,8.0729,7.7385,7.7975,790302
2015-03-24,7.8762,7.9057,7.6009,7.7189,1463142
2015-03-25,7.7189,7.9155,7.5419,7.7385,765792
2015-03-26,7.6992,7.7090,7.3059,7.3059,1007937
2015-03-27,7.3255,7.3649,7.0011,7.0011,1154587
2015-03-30,7.0404,7.2764,7.0404,7.2665,587107
2015-03-31,7.2567,7.2764,7.0896,7.2764,889967
2015-04-01,7.2862,7.3157,7.0404,7.1781,1108111
2015-04-02,7.1682,7.3550,7.0896,7.3550,922307
2015-04-06,7.2862,7.6894,7.2665,7.5714,990242
2015-04-07,7.6894,7.7582,7.4337,7.7189,691044
2015-04-08,7.7582,8.1810,7.6599,7.7680,793149
2015-04-09,7.8369,7.9942,7.6500,7.8172,532902
2015-04-10,7.8074,8.1613,7.7189,8.0630,1336221
2015-04-13,8.0729,8.3088,7.9450,7.9745,722672
2015-04-14,7.9942,8.0434,7.8172,7.8762,559445
2015-04-15,7.9155,7.9942,7.8467,7.8664,446458
2015-04-16,7.8467,7.8467,7.5910,7.7189,845422
2015-04-17,7.6500,7.8074,7.5025,7.5025,1070889
2015-04-20,7.5615,7.6894,7.4042,7.6894,277129
2015-04-22,7.6992,7.8565,7.5615,7.6205,445136
2015-04-23,7.6894,7.7090,7.4829,7.5222,642126
2015-04-24,7.5714,7.5812,7.4239,7.4730,718401
2015-04-27,7.6107,7.6107,7.2370,7.4337,751961
2015-04-28,7.4042,7.6304,7.3550,7.5714,417982
2015-04-29,7.5714,7.9155,7.4730,7.8860,500663
2015-04-30,8.0532,8.6923,8.0139,8.5055,2043130
