date,open,high,low,close,volume
2019-11-29,8.5400,8.5400,8.3000,8.4000,1580100
2019-12-02,8.5100,8.7300,8.4400,8.5900,2430100
2019-12-03,8.7600,8.8000,8.4900,8.5800,955700
2019-12-04,8.5900,8.6300,8.3000,8.4900,2725200
2019-12-05,8.5300,8.5300,8.3000,8.3700,1230900
2019-12-06,8.3700,8.4600,8.2200,8.3500,5217100
2019-12-09,8.3700,8.6600,8.3700,8.5100,1106500
2019-12-10,8.6100,8.9500,8.5400,8.6800,2770200
2019-12-11,8.8500,8.9500,8.7500,8.9100,2082800
2019-12-12,8.9400,9.3800,8.9000,9.3500,3284300
2019-12-13,9.5000,9.7400,9.4200,9.7400,4368300
2019-12-16,9.8500,9.8900,9.2400,9.5500,2271600
2019-12-17,9.5500,9.6000,9.3100,9.4500,1835600
2019-12-18,9.5000,9.5500,9.2500,9.5000,1047900
2019-12-19,9.5900,9.5900,9.2600,9.4300,2136400
2019-12-20,9.3100,9.3100,8.8200,8.9600,6088300
2019-12-23,9.1100,9.1600,9.0100,9.0900,4998500
2019-12-26,9.1400,9.5000,9.1100,9.5000,1591900
2019-12-27,9.6000,9.6400,9.2600,9.6000,1482900
2019-12-30,9.5800,9.8000,9.4000,9.7900,4771800
2020-01-02,9.9400,9.9400,9.5400,9.5900,2710100
2020-01-03,9.4000,9.6100,9.2200,9.5100,1179000
2020-01-06,9.5000,9.5000,9.2600,9.2900,1397400
2020-01-07,9.3500,9.4500,9.2300,9.3000,930800
2020-01-08,9.3100,9.3200,9.1100,9.2500,1330600
2020-01-09,9.3200,9.3200,9.1300,9.2800,2137900
2020-01-10,9.2700,9.3900,9.1400,9.3000,1134000
2020-01-13,9.3000,9.8300,9.2900,9.7600,6790000
2020-01-14,9.8000,9.9600,9.7000,9.8100,2711100
2020-01-15,9.7800,9.9300,9.7600,9.8500,1515500
2020-01-16,9.9300,10.0500,9.7700,9.9000,2509900
2020-01-17,9.9000,10.2500,9.9000,10.1600,2705700
2020-01-20,10.1900,10.3100,10.1200,10.3000,1527800
2020-01-21,10.3000,10.4500,10.2000,10.3000,1431200
2020-01-22,10.4200,10.4500,9.7700,10.1800,6030700
2020-01-23,10.1300,10.3800,10.0500,10.2000,2220800
2020-01-24,10.3000,10.3500,10.1500,10.3000,1490600
2020-01-27,9.9600,10.1900,9.7700,10.1900,1657300
2020-01-28,10.2900,10.4000,9.9800,10.2000,2388100
2020-01-29,10.2200,10.2800,9.7800,9.9000,4397900
2020-01-30,9.7500,9.7500,9.4200,9.6700,1957200
2020-01-31,9.6700,9.6800,9.4100,9.5500,1429700
2020-02-03,9.5400,9.7500,9.4300,9.6300,911600
2020-02-04,9.8000,9.9200,9.6500,9.6500,1177900
2020-02-05,9.7900,9.8600,9.6100,9.6900,1308000
2020-02-06,9.7400,9.8900,9.5900,9.6900,1628800
2020-02-07,9.5700,9.6500,9.2000,9.4900,1087000
2020-02-10,9.5500,9.5500,9.1500,9.1900,828600
2020-02-11,9.2700,9.4400,9.1900,9.2400,798000
2020-02-12,9.2800,9.4200,9.1900,9.1900,1007500
2020-02-13,9.1600,9.2800,9.0200,9.1600,1490900
2020-02-14,8.6400,8.6400,7.4100,7.5500,30631300
2020-02-17,7.6600,7.7700,7.4000,7.4000,4705300
2020-02-18,7.3500,7.3500,7.0100,7.1900,6466900
2020-02-19,7.2000,7.3300,7.1200,7.2500,3967700
2020-02-20,7.2500,7.5500,7.2000,7.3500,3159500
2020-02-21,7.2500,7.3200,7.1200,7.2000,2567700
2020-02-26,6.8500,6.9000,6.6600,6.6800,2541200
2020-02-27,6.5000,6.6400,6.4000,6.5000,4097100
2020-02-28,6.4400,6.4600,6.1000,6.2500,4362100
2020-03-02,6.3300,6.5000,6.2500,6.5000,2915300
2020-03-03,6.6000,6.7500,6.4500,6.5500,2387500
2020-03-04,6.6500,6.7300,6.3200,6.5000,3281000
2020-03-05,6.4800,6.6300,6.3400,6.3600,1959200
2020-03-06,6.1000,6.1600,5.9000,5.9200,1554400
2020-03-09,5.0300,5.4300,5.0100,5.2200,1790200
2020-03-10,5.4900,5.5600,5.0100,5.3400,1704500
2020-03-11,5.2500,5.3200,4.7200,4.8000,1529000
2020-03-12,4.1000,4.7200,3.9100,4.7000,1978800
2020-03-13,5.0300,5.3900,4.5800,5.1000,1812000
2020-03-16,4.5300,4.6600,4.2600,4.2600,1014600
2020-03-17,4.3500,4.4800,4.1000,4.1000,1215100
2020-03-18,3.9000,3.9300,3.1700,3.4000,2137000
2020-03-19,3.2000,4.1000,3.2000,3.9700,2158900
2020-03-20,4.2000,4.2600,4.0100,4.0600,1501700
2020-03-23,4.0000,4.0500,3.4500,3.5500,1315100
2020-03-24,3.8900,3.9500,3.6100,3.6100,1423600
2020-03-25,3.6500,3.9800,3.5800,3.9000,2798200
2020-03-26,3.8700,4.1700,3.8500,4.0100,2050600
2020-03-27,3.8600,4.0500,3.7500,3.9100,1695000
2020-03-30,3.9100,4.0400,3.7300,3.7600,1669700
2020-03-31,3.8000,3.8500,3.6100,3.6100,1230900
2020-04-01,3.5500,3.6000,3.4000,3.6000,991800
2020-04-02,4.0000,4.1900,3.6700,3.7000,3614000
2020-04-03,3.7400,4.0000,3.6700,4.0000,1641500
2020-04-06,4.1700,4.3500,4.1500,4.1700,1293200
2020-04-07,4.3700,4.4700,4.0100,4.1500,1767500
2020-04-08,4.1700,4.4700,4.0100,4.4000,1044100
2020-04-09,4.4600,4.6700,4.3000,4.4800,969900
2020-04-13,4.4800,4.8000,4.4000,4.7000,657000
2020-04-14,4.8000,5.0800,4.7200,4.8500,866900
2020-04-15,4.8000,5.0400,4.6500,4.9500,662400
2020-04-16,5.0100,5.2100,4.7200,4.7900,1367000
2020-04-17,4.9500,5.0300,4.8000,4.9000,819300
2020-04-20,4.7900,4.9400,4.6300,4.8700,690100
2020-04-22,4.8700,4.9800,4.8500,4.8600,510900
2020-04-23,4.9600,5.2400,4.9400,5.0300,1221100
2020-04-24,5.0300,5.0300,4.3700,4.5900,1568800
2020-04-27,4.7600,4.8000,4.5900,4.6800,610400
2020-04-28,4.8100,5.0300,4.7400,4.9500,1246400
2020-04-29,5.0400,5.1600,4.7900,5.0000,1039200
2020-04-30,4.9800,4.9800,4.7000,4.8700,1055200
2020-05-04,4.7000,4.7500,4.4500,4.6700,863600
2020-05-05,4.7900,4.8400,4.5500,4.6500,578100
2020-05-06,4.7000,4.7300,4.4700,4.5800,610900
2020-05-07,4.6500,4.7300,4.3800,4.3800,789700
2020-05-08,4.5000,4.6700,4.2600,4.4800,1187500
2020-05-11,4.4400,4.5600,4.2900,4.2900,1144200
2020-05-12,4.3100,4.3900,4.0700,4.0700,1046000
2020-05-13,4.1000,4.1700,3.9100,3.9900,917400
2020-05-14,3.9000,4.2300,3.8000,4.1800,1523800
2020-05-15,4.1200,4.2900,4.0000,4.0000,793100
2020-05-18,4.1500,4.2000,4.0500,4.1900,697100
2020-05-19,4.1800,4.3400,4.1100,4.1800,1160700
2020-05-20,4.2400,4.3200,4.0300,4.1700,717500
2020-05-21,4.1400,4.2600,4.0500,4.1200,1212200
2020-05-22,4.1100,4.1700,4.0600,4.0700,982000
2020-05-25,4.1900,4.3500,4.1300,4.2800,1805100
2020-05-26,4.4100,4.4800,4.2800,4.3400,1266900
2020-05-27,4.3600,4.6700,4.3200,4.6400,1666600
2020-05-28,4.6400,4.7000,4.5300,4.6600,951600
2020-05-29,4.6100,4.6500,4.5500,4.6500,531000
2020-06-01,4.6600,4.9000,4.6500,4.8700,1698900
2020-06-02,4.9200,5.1300,4.9200,5.0600,1382600
2020-06-03,5.1900,5.5400,5.1900,5.5000,2364500
2020-06-04,5.4500,5.8400,5.3100,5.5900,2048600
2020-06-05,5.9000,5.9200,5.6500,5.6800,1604400
2020-06-08,5.8200,6.0000,5.7300,5.9900,1478200
2020-06-09,5.8500,5.9400,5.7000,5.8800,1451900
2020-06-10,5.9900,6.0500,5.5400,5.5400,1589800
2020-06-12,5.2900,5.5500,5.1500,5.4500,1498000
2020-06-15,5.2500,5.4300,5.1000,5.3600,831000
2020-06-16,5.5900,5.6500,5.3700,5.4200,724100
2020-06-17,5.3500,5.5300,5.3300,5.3300,1040500
2020-06-18,5.3300,5.4900,5.2700,5.3200,1147400
2020-06-19,5.4200,5.4400,5.2400,5.3000,878800
2020-06-22,5.3900,5.6000,5.3000,5.6000,1563400
2020-06-23,5.7400,5.8000,5.5100,5.5400,1555700
2020-06-24,5.5200,5.5900,5.3000,5.3800,1007700
2020-06-25,5.3900,5.6000,5.1800,5.3400,1978700
2020-06-26,5.3600,5.3900,5.0100,5.0800,1367000
2020-06-29,5.1600,5.3700,5.0100,5.3700,1534800
2020-06-30,5.3000,5.4700,5.2600,5.4000,1362200
2020-07-01,5.4500,5.5600,5.2900,5.4800,1351500
2020-07-02,5.6100,5.7300,5.4100,5.4900,1039100
2020-07-03,5.5000,5.5800,5.3900,5.5100,756400
2020-07-06,5.5900,5.7500,5.3900,5.4600,1800400
2020-07-07,5.4500,5.5500,5.3200,5.3600,1468800
2020-07-08,5.4300,5.5500,5.4000,5.5200,1118400
2020-07-09,5.5500,5.6100,5.4200,5.4600,1081300
2020-07-10,5.5000,5.5300,5.4300,5.5000,962900
