date,open,high,low,close,volume
2015-01-02,6.4815,6.4815,6.1404,6.2602,3156041
2015-01-05,6.1588,6.2556,5.9468,6.2003,2975126
2015-01-06,6.2280,6.4999,6.2141,6.4769,9783534
2015-01-07,6.5046,6.7535,6.5046,6.6475,2766444
2015-01-08,6.7627,6.7627,6.5276,6.7443,1001542
2015-01-09,6.6152,6.7397,6.5460,6.6060,1942129
2015-01-12,6.5875,6.6382,6.3985,6.5368,1718696
2015-01-13,6.6843,6.8411,6.6428,6.7074,2543228
2015-01-14,6.5414,6.5414,6.1312,6.1772,6314469
2015-01-15,6.1450,6.3202,6.0159,6.2187,3077081
2015-01-16,6.1496,6.5737,6.1312,6.4907,2421099
2015-01-19,6.4170,6.4585,6.2694,6.3893,3744125
2015-01-20,6.5414,6.5967,6.4216,6.5645,2389645
2015-01-21,6.6152,6.6751,6.4400,6.6521,1683771
2015-01-22,6.6843,6.8365,6.4953,6.5230,2356673
2015-01-23,6.4400,6.4861,6.1358,6.1542,2909614
2015-01-26,6.0390,6.0436,5.8177,5.8177,3905083
2015-01-27,5.7670,5.8085,5.5826,5.6656,4456723
2015-01-28,5.5826,5.6517,5.4996,5.4996,5574321
2015-01-29,5.5826,5.5964,5.2184,5.2783,4354769
2015-01-30,5.2092,5.4304,5.1400,5.3936,4356504
2015-02-02,5.4397,5.6241,5.3060,5.6241,4005519
2015-02-03,5.6794,5.9744,5.6794,5.8177,7628818
2015-02-04,5.8269,5.9929,5.6886,5.7393,4832004
2015-02-05,5.6702,5.8684,5.5734,5.7762,3385982
2015-02-06,5.7070,5.8269,5.5549,5.6932,9995252
2015-02-09,5.5780,6.0482,5.5780,6.0021,4551520
2015-02-10,5.8361,5.9560,5.6748,5.6748,3320687
2015-02-11,5.6794,5.9698,5.6471,5.9698,4190340
2015-02-12,6.0390,6.1496,6.0021,6.1265,3184675
2015-02-13,6.0897,6.3478,6.0897,6.2971,4180578
2015-02-18,6.3155,6.4631,6.3155,6.4170,3107450
2015-02-19,6.3202,6.3386,6.1542,6.2003,2919810
2015-02-20,6.2095,6.3663,6.1219,6.3155,1380076
2015-02-23,6.1957,6.2141,6.0205,6.0851,2678372
2015-02-24,6.1219,6.2833,6.0528,6.2510,1867507
2015-02-25,6.1819,6.3294,6.1772,6.2787,2159922
2015-02-26,6.2556,6.2602,5.9514,6.0851,2802020
2015-02-27,6.0758,6.1726,6.0251,6.0620,3852154
2015-03-02,5.9975,6.1035,5.7854,5.8361,3590759
2015-03-03,5.8638,5.9929,5.8546,5.9652,3042156
2015-03-04,5.8269,5.9145,5.7624,5.8914,2008508
2015-03-05,5.8177,5.8315,5.5595,5.6241,8420377
2015-03-06,5.6379,5.7024,5.4950,5.6056,3139338
2015-03-09,5.5734,5.6748,5.4950,5.4950,3729374
2015-03-10,5.4489,5.5457,5.3659,5.3659,2448866
2015-03-11,5.4212,5.4304,5.3106,5.3705,3241076
2015-03-12,5.4304,5.4627,5.2968,5.3060,5297742
2015-03-13,5.2414,5.3429,5.1631,5.2461,5655668
2015-03-16,5.3060,5.3936,5.1400,5.2414,4033069
2015-03-17,5.2553,5.5088,5.2553,5.4858,10731062
2015-03-18,5.4397,5.4443,5.2507,5.3475,16379138
2015-03-19,5.3705,5.3751,5.1907,5.1953,4195329
2015-03-20,5.2691,5.5503,5.2322,5.4950,15622070
2015-03-23,5.6056,5.6056,5.4351,5.5319,3050616
2015-03-24,5.5319,5.5549,5.2829,5.3475,3503121
2015-03-25,5.3843,5.4166,5.2737,5.4028,3066885
2015-03-26,5.3244,5.3982,5.1539,5.1539,3460387
2015-03-27,5.1631,5.2046,4.9187,4.9787,6050688
2015-03-30,5.0109,5.0709,4.9602,5.0202,3784690
2015-03-31,5.0017,5.0340,4.8450,4.8542,4449348
2015-04-01,4.8634,4.8911,4.7344,4.7574,4419412
2015-04-02,4.7805,4.9326,4.6744,4.8957,3613753
2015-04-06,4.9464,5.1262,4.8911,4.8911,4101834
2015-04-07,4.9879,5.1124,4.9556,5.0939,5000771
2015-04-08,5.1631,5.2000,4.9925,5.0570,5379305
2015-04-09,5.0248,5.1078,4.9280,5.0017,4839162
2015-04-10,4.9787,5.0156,4.9141,4.9326,3600954
2015-04-13,4.9049,5.0109,4.8219,4.8634,4741329
2015-04-14,4.9187,5.0570,4.8819,4.9556,8380029
2015-04-15,5.0017,5.0663,4.9280,5.0063,5499265
2015-04-16,5.0156,5.0340,4.9095,4.9326,5382776
2015-04-17,4.8680,4.9602,4.8219,4.9280,6885633
2015-04-20,4.9787,4.9925,4.8496,4.9234,4682542
2015-04-22,4.9418,5.2553,4.9418,5.2184,16202995
2015-04-23,5.2322,5.5503,5.1861,5.5134,13031552
