date,open,high,low,close,volume
2024-12-05,3.0600,3.1500,2.9700,3.0600,78000
2024-12-06,3.1800,3.2200,3.0600,3.0600,122000
2024-12-09,3.0600,3.1000,3.0000,3.0100,466900
2024-12-10,3.0100,3.0700,2.9800,3.0700,205900
2024-12-11,3.0000,3.0900,2.9800,3.0000,239100
2024-12-12,2.9900,3.0100,2.9600,3.0100,213400
2024-12-13,3.0600,3.0600,2.9500,2.9500,104200
2024-12-16,2.9500,2.9800,2.8600,2.8800,427500
2024-12-17,2.8600,2.9400,2.8400,2.9400,172800
2024-12-18,2.9000,2.9300,2.7600,2.7600,326900
2024-12-19,2.7700,2.9800,2.7000,2.7600,502200
2024-12-20,2.7300,2.8600,2.7300,2.8300,122400
2024-12-23,2.8300,2.8300,2.7100,2.7100,261000
2024-12-26,2.7500,2.7500,2.5700,2.5700,509600
2024-12-27,2.6400,2.6500,2.5000,2.5000,279100
2024-12-30,2.5100,2.6500,2.5100,2.5800,125600
2025-01-02,2.5800,2.6400,2.4900,2.4900,127100
2025-01-03,2.5000,2.5600,2.4500,2.4500,305400
2025-01-06,2.4900,2.5200,2.4500,2.4500,82900
2025-01-07,2.4400,2.5800,2.4400,2.5700,381800
2025-01-08,2.5000,2.6000,2.3800,2.4200,297800
2025-01-09,2.4100,2.4700,2.4100,2.4200,192200
2025-01-10,2.4200,2.4700,2.3800,2.4700,398400
2025-01-13,2.4700,2.5100,2.4000,2.4300,121700
2025-01-14,2.4100,2.5000,2.4000,2.4800,77200
2025-01-15,2.4500,2.5600,2.4500,2.5500,149400
2025-01-16,2.5300,2.5700,2.5100,2.5300,126300
2025-01-17,2.5200,2.6500,2.5100,2.5700,178300
2025-01-20,2.6000,2.6200,2.5300,2.6000,147400
2025-01-21,2.6000,2.6800,2.5600,2.6000,96500
2025-01-22,2.6000,2.6600,2.5000,2.5000,202300
2025-01-23,2.5600,2.6000,2.5000,2.5500,153600
2025-01-24,2.5200,2.6000,2.5200,2.5800,204000
2025-01-27,2.5400,2.6400,2.5400,2.5500,258600
2025-01-28,2.5500,2.6200,2.5000,2.5000,129400
2025-01-29,2.5000,2.6000,2.5000,2.6000,206100
2025-01-30,2.5700,2.6500,2.5600,2.6000,281300
2025-01-31,2.6000,2.7500,2.6000,2.7200,139200
2025-02-03,2.6600,2.8300,2.6600,2.7400,136600
2025-02-04,2.7100,2.8200,2.7100,2.7100,142700
2025-02-05,2.7200,2.7700,2.7100,2.7100,90900
2025-02-06,2.7000,2.7600,2.7000,2.7300,78800
2025-02-07,2.7300,2.7600,2.6700,2.7300,164500
2025-02-10,2.7900,2.7900,2.7000,2.7100,143700
2025-02-11,2.7100,2.8900,2.7100,2.8300,220400
2025-02-12,2.8300,2.8900,2.8100,2.8500,160200
2025-02-13,2.8100,3.1000,2.7900,3.1000,306000
2025-02-14,3.0700,3.4000,3.0600,3.2600,327000
2025-02-17,3.2500,3.3700,3.1800,3.1900,451600
2025-02-18,3.2300,3.2600,3.1100,3.1100,301900
2025-02-19,3.1100,3.1600,2.9800,2.9800,225900
2025-02-20,3.0100,3.0600,2.9700,3.0100,105800
2025-02-21,3.0100,3.0300,2.9000,2.9000,180300
