date,open,high,low,close,volume
2017-09-28,9.0000,9.0000,8.6600,8.9900,20084500
2017-09-29,8.9500,9.0900,8.8900,9.0000,4560500
2017-10-02,9.0800,9.0800,8.9500,9.0000,1836900
2017-10-03,9.0500,9.0500,8.9300,8.9600,5428400
2017-10-04,8.7500,8.7800,8.5100,8.6600,6089500
2017-10-05,8.6900,8.8000,8.5600,8.7000,1150300
2017-10-06,8.6400,8.7400,8.6000,8.7400,1573400
2017-10-09,8.7400,8.7400,8.5500,8.5500,1211700
2017-10-10,8.6800,8.7300,8.4500,8.6000,2256200
2017-10-11,8.6800,8.6800,8.4700,8.5500,1121000
2017-10-12,8.5500,8.5500,8.5500,8.5500,0
2017-10-13,8.6000,8.6300,8.5000,8.6000,724400
2017-10-16,8.5400,8.7400,8.3600,8.4500,2004000
2017-10-17,8.4700,8.4800,8.0000,8.3500,7358500
2017-10-18,8.3700,8.4400,8.1300,8.2500,1768000
2017-10-19,8.1500,8.3400,8.1000,8.3400,958600
2017-10-20,8.3400,8.6600,8.2600,8.6500,3731800
2017-10-23,8.7000,8.7000,8.5000,8.6000,1063500
2017-10-24,8.5500,8.6900,8.5300,8.6200,1889000
2017-10-25,8.6200,8.6400,8.5200,8.6000,1226800
2017-10-26,8.5800,8.6000,8.4600,8.5000,1531100
2017-10-27,8.4600,8.4900,8.2500,8.4000,2095200
2017-10-30,8.4000,8.4000,8.1600,8.1600,3144400
2017-10-31,8.2000,8.2000,7.9200,8.0600,1907300
2017-11-01,8.0600,8.2400,7.9100,8.2400,790100
2017-11-02,8.2400,8.2400,8.2400,8.2400,0
2017-11-03,8.1200,8.2400,7.9500,8.0000,1312800
2017-11-06,8.1300,8.2500,8.0100,8.0600,1847300
2017-11-07,8.1600,8.2700,7.9600,8.0000,7753300
2017-11-08,8.0500,8.1500,7.9800,8.0400,4595900
2017-11-09,8.0700,8.1400,8.0300,8.0500,744900
2017-11-10,8.0600,8.1100,7.9800,8.0100,3799100
2017-11-13,8.0000,8.1000,7.9500,8.0000,2383700
2017-11-14,7.9500,8.0900,7.9400,8.0000,1837200
2017-11-15,8.0000,8.0000,8.0000,8.0000,0
2017-11-16,8.0800,8.1300,7.9800,8.0000,680500
2017-11-17,8.0300,8.4500,7.9800,8.4000,9066000
2017-11-20,8.4000,8.4000,8.4000,8.4000,0
2017-11-21,8.4500,8.8900,8.4200,8.8500,4925200
2017-11-22,8.8700,8.9200,8.6900,8.6900,5706400
2017-11-23,8.6900,8.7400,8.5000,8.6700,1348100
2017-11-24,8.7600,8.7600,8.5100,8.5200,737200
2017-11-27,8.4800,8.5200,8.3000,8.3500,2101000
