date,open,high,low,close,volume
2021-07-16,12.0465,12.2462,11.5470,11.8866,4492441
2021-07-19,11.7668,11.7668,11.2673,11.3273,1465744
2021-07-20,11.2673,11.4771,11.1874,11.4771,1039766
2021-07-21,11.5071,11.6569,11.1874,11.5670,1555245
2021-07-22,11.4971,11.5171,11.2374,11.2374,1748161
2021-07-23,11.3373,11.3872,11.1375,11.3872,2791733
2021-07-26,11.4372,11.4771,11.1874,11.2873,724312
2021-07-27,11.2374,11.2873,10.7679,11.1874,2570584
2021-07-28,11.1175,11.2673,10.9777,10.9877,4950956
2021-07-29,10.9877,11.2773,10.9877,11.2274,2177744
2021-07-30,11.1974,11.3373,10.9877,11.2374,1017441
2021-08-02,11.2574,11.3273,11.0875,11.1375,424976
2021-08-03,11.1275,11.3373,10.9877,11.3373,1077208
2021-08-04,11.3672,11.4272,11.2374,11.3273,1436311
2021-08-05,11.4372,11.4372,11.1874,11.3373,2923781
2021-08-06,11.3373,11.4372,11.1874,11.3872,558927
2021-08-09,11.4372,11.5470,11.3073,11.3173,946462
2021-08-10,11.3872,11.6369,11.2474,11.6269,753645
2021-08-11,11.5870,11.6169,11.3173,11.5370,964882
2021-08-12,11.5870,11.9566,11.3373,11.9566,513976
2021-08-13,11.8167,11.9566,11.6569,11.6969,275709
2021-08-16,11.6669,11.6669,10.9976,11.2474,1070000
2021-08-17,11.2474,11.3173,10.3883,10.6680,1831555
2021-08-18,10.6181,10.7279,10.1286,10.2585,1155296
2021-08-19,9.9488,10.7279,9.7890,10.4383,1152993
2021-08-20,10.2785,11.7368,10.1886,10.9877,703289
2021-08-23,11.1575,11.7967,11.1575,11.4671,1618616
2021-08-24,11.6869,11.9865,11.5970,11.8367,1387657
2021-08-25,11.8467,11.9965,11.5870,11.8167,1576068
2021-08-26,11.7668,11.9066,11.5071,11.8567,698283
2021-08-27,11.8367,11.9666,11.6469,11.8467,511173
2021-08-30,11.7368,11.9865,11.6869,11.9666,725614
2021-08-31,11.9765,12.1963,11.7368,12.1364,830632
2021-09-01,12.0465,12.6358,11.8866,12.4860,1102337
2021-09-02,12.4061,13.3450,12.2263,12.7856,3859831
2021-09-03,12.7856,13.2651,12.6158,12.6158,1294452
2021-09-06,12.7856,13.8844,12.7157,13.4848,2333518
2021-09-08,13.4948,14.1941,12.8855,13.3350,2785325
2021-09-09,13.4049,13.9643,13.1552,13.8544,3093271
2021-09-10,14.1841,14.4438,13.6147,13.7246,2408402
2021-09-13,13.9843,15.0331,13.9843,14.1841,3758918
2021-09-14,14.2440,14.6136,13.9943,14.2040,2264140
2021-09-15,14.2540,15.2529,14.1042,14.3139,4275998
2021-09-16,14.1841,14.3838,13.4948,13.9543,2444443
2021-09-17,13.9743,13.9843,13.1752,13.7545,1744057
2021-09-20,13.4848,13.5248,12.2263,12.7856,2245720
2021-09-21,12.7856,13.1952,12.7357,12.9455,1296354
2021-09-22,13.2052,14.6336,13.1153,14.6336,4127532
2021-09-23,14.8134,14.9832,14.0143,14.3838,2302283
2021-09-24,14.2840,14.4438,13.6946,14.1141,1752666
2021-09-27,14.3838,14.6835,13.2551,13.7845,2673300
2021-09-28,13.7845,14.4637,13.1952,13.1952,2319803
2021-09-29,13.0953,13.7645,12.7657,13.5248,2938597
2021-09-30,13.6047,14.0342,13.3650,13.9643,1776393
2021-10-01,13.9843,15.2129,13.8245,14.1441,5615602
2021-10-04,14.1042,15.1230,14.0043,14.8433,4098599
2021-10-05,14.9732,14.9832,14.1841,14.1841,1660463
2021-10-06,13.9343,14.7035,13.2152,14.5736,5715113
2021-10-07,14.7135,14.7834,13.9044,14.1641,2800242
2021-10-08,14.2840,14.2939,13.8345,13.8644,2537447
2021-10-11,14.0842,14.6236,14.0542,14.6236,1775092
2021-10-13,14.6435,14.9832,14.5836,14.9832,1615412
2021-10-14,15.1130,16.2118,15.0631,15.4526,6348825
2021-10-15,15.6524,16.3316,15.1430,16.2817,4861856
2021-10-18,16.1818,16.9310,15.7823,15.9820,3362473
2021-10-19,15.9321,16.4615,15.4526,15.4526,3164751
2021-10-20,15.6125,15.9221,15.0431,15.1430,3166653
2021-10-21,14.6735,15.1829,13.6646,14.0842,3376188
2021-10-22,13.7845,14.3339,13.2951,13.9843,4255275
2021-10-25,14.0842,14.8333,14.0842,14.6935,2033281
2021-10-26,14.5836,14.9532,14.2340,14.8034,2045395
2021-10-27,14.6835,14.7235,13.7146,13.7146,2416111
2021-10-28,13.6746,13.6946,12.6358,12.6957,4157565
2021-10-29,12.7657,12.8855,11.9666,12.7557,2443342
2021-11-01,12.9455,12.9455,12.1364,12.5359,1341805
2021-11-03,12.4660,13.2851,12.2962,13.2152,2397090
2021-11-04,13.2451,13.3850,12.3262,12.4860,3532564
2021-11-05,12.4960,12.9954,12.3062,12.9255,2125285
2021-11-08,12.9854,13.2851,12.7856,12.9954,1850877
2021-11-09,12.7856,12.8056,12.0465,12.6957,2327512
2021-11-10,12.7057,12.8655,12.3661,12.4960,1365932
2021-11-11,12.6358,13.6946,12.6358,13.6946,2457958
2021-11-12,13.5648,13.6247,12.8955,13.2152,2585801
2021-11-16,13.1153,13.2351,12.4061,12.4860,1704012
2021-11-17,12.5958,12.8156,11.8966,12.4260,2336221
2021-11-18,12.4660,12.5259,12.1264,12.3461,1419392
2021-11-19,12.3461,12.6558,12.1264,12.4660,1683088
2021-11-22,12.4760,12.7657,12.3561,12.3561,1608004
2021-11-23,12.5859,13.2751,12.3661,13.2251,2101158
2021-11-24,13.1253,13.4848,12.9954,13.1053,1914848
2021-11-25,13.2551,13.5548,12.9355,13.4349,1183828
2021-11-26,13.0453,13.4349,12.6658,12.9255,1391761
2021-11-29,13.1852,13.7446,13.0254,13.4749,1769485
2021-11-30,13.3650,13.8345,11.9566,11.9566,7088054
2021-12-01,12.3162,12.4460,11.3772,11.3772,2492697
2021-12-02,11.4871,11.9166,10.9577,11.1874,3056330
2021-12-03,11.2174,11.9965,11.1575,11.9965,3443464
2021-12-06,11.9965,12.7357,11.9066,12.7357,1835960
2021-12-07,12.8855,13.1452,12.5659,12.8056,1977419
2021-12-08,12.8556,13.0054,12.5159,12.5958,2436934
2021-12-09,12.5958,12.7756,12.3062,12.4360,2201871
2021-12-10,12.4360,12.5059,11.8866,12.3262,2843791
2021-12-13,12.3262,12.8156,12.3262,12.3561,1563254
2021-12-14,12.3861,12.5659,12.0664,12.0664,921834
2021-12-15,12.0065,12.5059,11.8667,12.4460,1051880
2021-12-16,12.4860,12.6058,12.2962,12.3361,1977919
2021-12-17,12.3761,12.3761,11.6969,11.9066,11217889
2021-12-20,11.9466,11.9666,11.2873,11.5370,1404075
2021-12-21,11.5370,12.3961,11.3572,12.2063,3199690
2021-12-22,12.3062,12.6758,12.0465,12.1963,2817461
2021-12-23,12.2363,12.6758,12.1863,12.3861,1907040
2021-12-27,12.5759,12.7956,12.2462,12.7956,1713623
2021-12-28,12.7457,12.9055,12.4760,12.7856,2152816
2021-12-29,12.7257,13.2851,12.5559,12.8955,1779997
2021-12-30,12.9155,13.6547,12.8556,13.6547,5828741
2022-01-03,13.6547,13.7246,13.2052,13.3850,1426500
2022-01-04,13.4848,13.6347,12.7257,12.7257,920733
2022-01-05,12.7357,12.9155,11.8367,12.1863,2333719
2022-01-06,12.1863,12.5659,11.9066,12.4560,1681587
2022-01-07,12.3861,12.9754,12.0964,12.9754,1811633
2022-01-10,12.8655,13.9244,12.6658,13.7346,3205397
2022-01-11,13.7845,14.3938,13.6746,14.3838,2377167
2022-01-12,14.3838,14.9832,14.3039,14.8833,2327812
2022-01-13,14.7734,15.1430,14.6735,14.9432,2630452
2022-01-14,14.7334,15.4526,14.6336,15.2229,2012959
2022-01-17,15.1829,15.5625,14.8233,15.0231,1157799
2022-01-18,15.2229,15.7823,15.0831,15.7024,2237911
2022-01-19,15.9820,16.5414,15.7623,16.1319,3418436
2022-01-20,16.1918,16.6813,16.0120,16.2318,1988231
2022-01-21,16.1618,16.6813,15.9920,16.1019,1463442
2022-01-24,15.9920,16.1519,15.4526,15.8822,2593110
2022-01-25,15.9021,16.4615,15.6924,16.0420,2270648
2022-01-26,16.1918,16.8411,16.0719,16.7312,2699729
2022-01-27,16.8511,16.8511,16.1319,16.4915,2711342
2022-01-28,16.4315,16.9310,16.2517,16.8810,2950210
2022-01-31,16.9310,17.4304,16.6912,17.3205,2058710
2022-02-01,17.3006,17.7600,16.9909,17.2506,2315999
2022-02-02,17.3805,17.6102,17.0109,17.3705,1254007
2022-02-03,17.4204,17.5603,17.1008,17.3106,920633
2022-02-04,17.3305,17.4004,16.8511,17.3805,2926183
2022-02-07,17.3106,18.0497,17.3106,17.4504,2179646
2022-02-08,17.5303,18.8089,17.3905,18.6790,5830843
2022-02-09,18.6790,19.4182,18.5791,19.0786,2407001
2022-02-10,19.4781,19.9776,19.0186,19.1884,2999466
2022-02-11,19.1485,19.9776,18.5991,19.7778,4923825
2022-02-14,19.9776,20.9065,19.7778,20.2972,2889943
2022-02-15,20.2972,20.6468,19.9376,20.2872,2666092
2022-02-16,20.5569,20.7866,20.3871,20.6868,2430027
2022-02-17,20.6868,20.6868,19.8177,19.9576,1959098
2022-02-18,20.0175,20.1873,19.3882,19.4981,2030678
2022-02-21,19.4981,20.5869,19.4382,20.2772,2194863
2022-02-22,20.6068,20.9565,19.9476,20.0774,1743056
2022-02-23,20.1274,20.4071,18.9088,18.9987,1849775
2022-02-24,19.2783,20.1773,18.6191,19.1385,3435755
2022-02-25,19.1285,19.9376,18.7589,19.9376,1876305
2022-03-02,22.1751,22.3749,20.5269,22.1751,2927785
2022-03-03,22.4947,23.4337,21.8455,22.1251,3703756
2022-03-04,22.2650,23.5935,21.7356,23.4437,2644467
2022-03-07,24.8721,24.8721,21.4459,21.9753,4030523
2022-03-08,22.1551,22.4947,21.1562,22.1951,2940800
2022-03-09,22.2950,22.2950,20.4171,20.5369,3382496
2022-03-10,20.5769,21.1962,19.7178,20.9764,4280003
2022-03-11,20.7667,21.6557,20.3971,20.3971,1640040
2022-03-14,20.0974,20.7267,19.0586,19.1285,2892245
2022-03-15,18.9787,19.6579,18.6690,19.0086,2554767
2022-03-16,19.9875,20.1873,18.3094,19.0086,4866361
2022-03-17,19.1485,19.9276,19.0186,19.5380,2595112
2022-03-18,19.5281,20.0774,19.4481,19.8477,1468948
2022-03-21,20.2772,22.2850,20.2772,22.2051,3411228
2022-03-22,22.2051,22.9342,21.9254,22.6246,3685235
2022-03-23,22.7145,23.7433,22.5247,23.2539,2669696
2022-03-24,23.3138,23.6534,22.5247,22.8443,2323007
2022-03-25,22.6545,22.9642,22.3349,22.7045,1704813
2022-03-28,22.7045,22.7045,21.8854,22.2850,1579472
2022-03-29,21.8155,21.9753,21.0164,21.5758,2510317
2022-03-30,20.9664,21.0364,19.9276,20.2772,5720019
2022-03-31,20.2273,20.5769,19.5780,20.0275,1997541
2022-04-01,20.1274,20.6668,19.6879,19.9076,2818563
2022-04-04,20.1474,20.2772,19.6180,19.9476,1606502
2022-04-05,19.9476,19.9576,19.0786,19.5181,2204273
2022-04-06,19.3882,19.7778,19.0086,19.2584,3541674
2022-04-07,19.1685,19.1685,18.2095,18.3294,7452663
2022-04-08,18.3194,18.9687,17.7101,17.8699,8112704
2022-04-11,17.4204,18.2395,17.0608,17.9798,4555312
2022-04-12,18.0797,18.3993,17.4804,17.5603,4642009
2022-04-13,17.6302,18.3893,17.6302,18.1496,3391806
2022-04-14,18.0497,18.3194,17.8699,18.0297,2605924
2022-04-18,18.0098,18.3394,17.7301,17.9398,2050300
2022-04-19,17.8100,18.0098,17.2306,17.4704,2826772
2022-04-20,17.2906,17.8599,17.2906,17.7600,3956239
2022-04-22,17.2906,17.3805,15.2828,15.7223,10373842
2022-04-25,15.2629,15.8322,14.6036,15.7723,7927496
2022-04-26,15.5925,16.1918,15.0031,16.1718,5458425
2022-04-27,16.5714,17.0309,16.1918,17.0009,3263362
2022-04-28,17.0508,17.3205,16.6113,17.3205,2460060
2022-04-29,17.5303,17.6402,16.9210,17.1208,4100702
2022-05-02,17.0209,17.0209,16.0520,16.4515,3615757
2022-05-03,16.3816,16.5714,15.7523,16.2218,3287589
2022-05-04,16.1219,16.2517,15.2429,16.2517,6779908
2022-05-05,16.1519,16.3316,15.3328,15.5126,2941100
2022-05-06,15.4526,15.5325,14.4637,14.5636,6058198
2022-05-09,14.1941,14.3039,12.2962,12.4760,11918175
2022-05-10,12.6857,13.0653,12.2063,12.9455,6106553
2022-05-11,12.9954,13.3750,12.6857,13.1452,9390638
2022-05-12,13.0054,13.0953,12.3961,12.7157,3333240
2022-05-13,12.7856,13.4549,12.6957,13.1552,2979643
2022-05-16,13.0753,13.3650,12.9155,13.1952,2063816
2022-05-17,13.6846,14.6435,13.6846,14.2540,6912057
2022-05-18,14.2040,14.3239,13.6247,14.2240,3140124
2022-05-19,14.2340,14.8233,13.7246,14.6336,5079300
2022-05-20,14.8633,15.5425,14.5437,14.8933,4041535
2022-05-23,15.0131,15.7823,14.9432,15.3727,4513164
2022-05-24,14.9832,15.3827,14.7934,15.3827,3643589
2022-05-25,15.2529,15.9421,15.0831,15.7523,3114595
2022-05-26,15.9820,16.1119,15.1230,15.4626,3835404
2022-05-27,15.5725,16.0320,15.5725,15.6824,3064439
2022-05-30,15.7024,16.1319,15.4426,16.0320,1887217
2022-05-31,16.2318,16.6113,15.8222,16.3716,4594255
2022-06-01,16.4315,16.4315,15.8122,16.2817,2649673
