date,open,high,low,close,volume
2019-11-05,18.0000,18.0000,17.7600,18.0000,862100
2019-11-06,18.0000,18.0600,17.6400,17.8500,1352600
2019-11-07,17.8500,17.8500,17.1300,17.7000,2452400
2019-11-08,17.6500,17.8400,17.2400,17.5000,463500
2019-11-11,17.3200,17.5500,17.1800,17.4900,2507900
2019-11-12,17.4800,17.5600,16.6300,16.8000,2855600
2019-11-13,16.3000,16.5000,14.8200,15.0000,9002100
2019-11-14,15.0600,15.4200,14.1700,15.0000,6889800
2019-11-18,15.1000,15.8800,15.0200,15.6200,4129300
2019-11-19,15.8000,15.9400,15.2600,15.4000,1475000
2019-11-21,15.4100,15.6000,15.1200,15.4600,946900
2019-11-22,15.2700,15.9000,15.2400,15.8400,1005200
2019-11-25,15.8500,16.0400,15.6100,15.9100,316000
2019-11-26,15.6900,16.3600,15.6800,16.3600,3631800
2019-11-27,16.5000,16.5300,16.0500,16.2700,575100
2019-11-28,16.2700,16.6700,16.2100,16.6700,238200
2019-11-29,16.6000,16.8000,16.2800,16.7600,377300
2019-12-02,16.7700,17.1800,16.5900,17.1500,881700
2019-12-03,17.1400,17.6200,16.9300,17.5000,976200
2019-12-04,17.7500,17.9200,17.4200,17.8200,976000
2019-12-05,18.1500,18.1900,18.0000,18.0000,1168600
2019-12-06,18.2000,18.2400,17.8600,17.9200,1067700
2019-12-09,18.0800,18.1200,17.9400,18.0000,474400
2019-12-10,18.1000,18.7800,17.9400,18.5000,1162400
2019-12-11,18.7900,19.7500,18.7300,19.3500,2363200
2019-12-12,19.5500,19.7300,19.0100,19.1500,1801300
2019-12-13,19.3700,19.3700,18.0200,18.5000,3257200
2019-12-16,18.7400,18.8600,18.4000,18.6300,1329000
2019-12-17,18.6500,18.7000,18.2800,18.5000,664900
2019-12-18,18.5000,18.7800,17.9300,18.3200,2120800
2019-12-19,18.1000,18.3600,18.0800,18.1500,961700
2019-12-20,18.1500,18.2800,17.5000,18.0200,984600
2019-12-23,18.0500,18.3800,17.8100,18.1300,766700
2019-12-26,18.3600,18.3600,18.1200,18.2800,1111500
2019-12-27,18.3900,18.3900,17.9800,18.3000,1050700
2019-12-30,18.5000,18.5200,17.9400,17.9400,1191300
2020-01-02,17.9900,18.2200,17.7100,18.1000,1102600
2020-01-03,17.7000,18.1900,17.6800,18.0000,1551100
2020-01-06,18.0000,18.0900,17.8000,17.8100,970100
2020-01-07,17.9700,17.9800,17.1100,17.1800,2404100
2020-01-08,17.2900,17.4000,16.2100,16.2700,3770700
2020-01-09,16.4700,16.6800,15.6100,15.7100,3315800
2020-01-10,15.9000,16.4600,15.7700,16.1800,2521000
2020-01-13,16.4900,16.8500,16.4400,16.8000,2402600
2020-01-14,16.7500,17.1800,16.6300,17.1500,2831800
2020-01-15,17.1500,17.2000,16.7500,17.2000,1838000
