date,open,high,low,close,volume
2015-01-02,6.5076,6.5224,6.1963,6.3248,7645045
2015-01-05,6.1765,6.4137,6.1617,6.1617,8083599
2015-01-06,6.1963,6.2853,6.0629,6.1074,6344966
2015-01-07,6.1765,6.2111,6.0728,6.1074,6604415
2015-01-08,6.2013,6.3100,6.0580,6.0580,8349119
2015-01-09,6.0530,6.0530,5.7862,5.8455,10990764
2015-01-12,5.7961,5.8060,5.6231,5.6528,7888911
2015-01-13,5.7071,5.8257,5.6775,5.7318,5074637
2015-01-14,5.6676,5.8158,5.6034,5.7615,9324381
2015-01-15,5.7763,6.0530,5.6577,5.8751,9656686
2015-01-16,5.8751,6.2260,5.8307,6.1222,9802398
2015-01-19,6.1420,6.1420,5.7318,5.7318,4725737
2015-01-20,5.9295,5.9295,5.7071,5.7813,8051421
2015-01-21,5.8257,5.9048,5.6676,5.8109,7770115
2015-01-22,5.7763,6.0085,5.7516,5.8405,11113810
2015-01-23,5.7763,6.0085,5.6182,5.6380,6468417
2015-01-26,5.5441,5.6577,5.4601,5.5589,7971886
2015-01-27,5.5589,5.7121,5.4107,5.6627,7037100
2015-01-28,5.5638,5.8158,5.5292,5.7961,8606342
2015-01-29,5.8010,6.1222,5.6725,6.1222,10746291
2015-01-30,5.9789,5.9789,5.7615,5.8850,9253953
2015-02-02,5.9344,6.2260,5.8109,6.1667,6853948
2015-02-03,6.2408,6.3100,6.0234,6.0431,6712485
2015-02-04,6.0777,6.1469,5.8801,5.9740,5953769
2015-02-05,5.9196,6.0333,5.8455,5.8653,5329229
2015-02-06,5.8307,5.9394,5.5638,5.6676,7266395
2015-02-09,5.6528,5.8060,5.5589,5.6972,3207292
2015-02-10,5.6182,5.7615,5.5342,5.5391,5848735
2015-02-11,5.5638,5.6627,5.5095,5.5787,3466943
2015-02-12,5.6676,5.8257,5.5688,5.8257,11371033
2015-02-13,5.6874,5.9987,5.6874,5.9097,7891137
2015-02-18,6.0085,6.1617,5.9542,6.1222,6753568
2015-02-19,6.1024,6.1420,6.0184,6.0925,3191911
2015-02-20,6.1123,6.1123,5.9493,6.0085,4086828
2015-02-23,5.9591,6.1321,5.9542,6.0777,4617262
2015-02-24,6.0333,6.2161,6.0333,6.1024,5746938
2015-02-25,6.0234,6.2062,5.9789,6.1518,3872510
2015-02-26,6.1963,6.4483,6.0530,6.4483,5782557
2015-02-27,6.4236,6.4928,6.3396,6.4137,10818136
2015-03-02,6.4483,6.4730,6.1914,6.2013,5678332
2015-03-03,6.2013,6.2803,5.9888,6.0530,6087541
2015-03-04,5.9937,6.0777,5.8998,5.8998,8751245
2015-03-05,5.9394,6.1074,5.9295,6.0777,11575031
2015-03-06,6.1024,6.1617,5.9493,6.1074,5641904
2015-03-09,5.9937,6.1123,5.7615,5.7615,9102574
2015-03-10,5.7022,6.0530,5.7022,5.8208,7131813
2015-03-11,5.8998,5.8998,5.6923,5.8554,5840842
2015-03-12,5.9641,6.0283,5.8307,6.0036,9244644
2015-03-13,5.8158,5.8949,5.7516,5.8060,8297108
2015-03-16,5.8850,5.9147,5.6972,5.6972,4473169
2015-03-17,5.7022,5.8900,5.6380,5.8504,7737937
2015-03-18,5.8751,6.0135,5.7664,5.9641,9190609
2015-03-19,5.9542,5.9690,5.8257,5.8554,5056221
2015-03-20,5.9493,6.2606,5.8603,6.1815,12372401
2015-03-23,6.2606,6.4631,6.2161,6.4236,5598190
2015-03-24,6.4236,6.5916,6.3841,6.4730,7598498
2015-03-25,6.5718,6.6064,6.4335,6.4335,7073124
2015-03-26,6.4335,6.4335,6.1864,6.2507,10553222
2015-03-27,6.2507,6.3940,6.1716,6.3100,9532426
2015-03-30,6.3050,6.4780,6.2606,6.4038,4561810
2015-03-31,6.3297,6.5224,6.3248,6.3347,4819033
2015-04-01,6.4137,6.7547,6.3643,6.5916,9457748
2015-04-02,6.6015,6.9029,6.5966,6.8387,7904899
2015-04-06,6.9128,7.0956,6.8288,6.9326,8314108
2015-04-07,6.9919,7.0166,6.7300,6.8930,6365811
2015-04-08,6.9919,7.0017,6.6904,6.6904,6937328
2015-04-09,6.6954,6.8881,6.6954,6.8782,7772746
2015-04-10,6.8733,6.9227,6.7744,6.8584,3727202
2015-04-13,6.8189,7.1351,6.8189,7.1302,6650153
2015-04-14,7.1351,7.1599,6.9079,6.9424,4953817
2015-04-15,6.9919,7.1351,6.9424,7.0017,4538537
2015-04-16,7.0759,7.1500,6.9721,7.1055,4425205
2015-04-17,7.0166,7.1302,7.0067,7.0907,6701152
2015-04-20,7.0907,7.2093,6.9869,7.0413,5999304
2015-04-22,7.0660,7.2093,7.0561,7.1450,5984530
2015-04-23,7.1154,7.3970,7.1154,7.2834,5473727
2015-04-24,7.3180,7.4959,7.2686,7.2686,5548810
2015-04-27,7.2735,7.4464,7.0907,7.1500,6801127
2015-04-28,7.2636,7.4069,7.1944,7.3624,5769807
2015-04-29,7.3624,7.4119,7.2735,7.2784,7999207
2015-04-30,7.2735,7.3822,7.1006,7.1895,11170072
2015-05-04,7.0067,7.2389,6.9177,7.2241,8229514
2015-05-05,7.1599,7.5799,7.1203,7.5453,11875360
2015-05-06,7.5057,7.9356,7.4909,7.7825,12969215
2015-05-07,7.6639,7.7825,7.6194,7.6836,11537388
2015-05-08,7.8220,7.8467,7.6589,7.7182,3867248
2015-05-11,7.6787,7.9455,7.6787,7.8220,4904639
2015-05-12,7.7825,7.9060,7.6935,7.7133,7037910
2015-05-13,7.6688,7.7479,7.3921,7.4761,5794902
2015-05-14,7.5156,7.7380,7.4217,7.7380,6648331
2015-05-15,7.7133,7.7973,7.6046,7.7330,5834770
2015-05-18,7.8665,7.9208,7.4366,7.4959,8541986
2015-05-19,7.5552,7.6836,7.3427,7.5057,10498175
2015-05-20,7.5057,7.6737,7.5057,7.5453,5440335
2015-05-21,7.5403,7.5996,7.0017,7.1154,11383378
2015-05-22,7.1401,7.1697,6.9029,7.1203,12155857
