date,open,high,low,close,volume
2021-02-22,8.9200,9.3000,8.6700,9.2900,10507000
2021-02-23,9.5000,9.6000,9.1000,9.1200,9243700
2021-02-24,9.1600,9.2800,9.0700,9.1500,6550600
2021-02-25,9.1800,9.2900,9.0000,9.0500,6054200
2021-02-26,9.1500,9.1700,8.9000,8.9300,4849000
2021-03-01,9.0500,9.0900,8.8200,8.9500,6578700
2021-03-02,8.9700,9.0500,8.5100,8.8000,6141500
2021-03-03,8.9000,8.9000,8.1800,8.4900,10191700
2021-03-04,8.5100,8.5500,8.0900,8.4500,17915200
2021-03-05,8.4000,8.5400,8.3000,8.5100,9965700
2021-03-08,8.4000,8.5200,8.3500,8.5100,4979600
2021-03-09,8.4500,8.4900,8.2600,8.4700,3953300
2021-03-10,8.5000,8.5000,8.2000,8.3900,9782800
2021-03-11,8.4500,8.7300,8.3100,8.5000,7448100
2021-03-12,8.4600,8.5100,8.3600,8.4900,2243400
2021-03-15,8.4500,8.5300,8.3600,8.4900,2556300
2021-03-16,8.4900,8.6500,8.4700,8.5000,2252700
2021-03-17,8.5100,8.7300,8.4500,8.6200,2550800
2021-03-18,8.6000,8.6600,8.4200,8.4900,4666500
2021-03-19,8.5300,8.5300,8.3900,8.5300,2795400
2021-03-22,8.4400,8.4800,8.3100,8.4000,2194800
2021-03-23,8.4000,8.4400,8.2400,8.3200,2289600
2021-03-24,8.3800,8.4100,8.3100,8.3600,1764200
2021-03-25,8.5000,8.5500,8.3000,8.3000,4809400
2021-03-26,8.4500,8.5000,8.3100,8.3600,4067400
2021-03-29,8.3600,9.2000,8.3600,9.1700,10506900
2021-03-30,9.1500,9.4400,9.0000,9.0200,8874400
2021-03-31,9.0500,9.2500,9.0500,9.1900,5409900
2021-04-01,9.3000,9.4200,9.0200,9.0500,6402600
2021-04-05,9.1800,9.3000,9.1700,9.2000,3784100
2021-04-06,9.2200,9.3700,9.2100,9.2500,4143800
2021-04-07,9.3400,9.3800,9.2600,9.3800,4412700
2021-04-08,9.3900,9.5000,9.3000,9.3000,4841100
2021-04-09,9.3000,9.4300,9.1600,9.3700,3099000
2021-04-12,9.3800,9.5000,9.3200,9.4300,4062100
2021-04-13,9.4300,9.4500,9.3100,9.3800,3709000
2021-04-14,9.3700,9.4800,9.3000,9.4700,10782400
2021-04-15,9.5300,9.7700,9.5300,9.6900,10601300
2021-04-16,9.6900,9.8300,9.4700,9.5700,7175300
2021-04-19,9.6800,9.7800,9.6200,9.7200,5841400
2021-04-20,9.7900,10.0700,9.6500,9.6600,7337800
2021-04-22,9.8200,9.8400,9.5400,9.6600,5257900
2021-04-23,9.7500,9.8600,9.6800,9.7500,4640400
2021-04-26,9.9100,10.0300,9.8300,9.9200,7569500
2021-04-27,9.9800,10.4000,9.9500,10.2500,10525600
2021-04-28,10.2500,10.7100,10.2500,10.6600,7548900
2021-04-29,10.9000,11.2000,10.5200,10.8000,16410300
2021-04-30,10.7500,10.7500,10.4900,10.4900,7332800
2021-05-03,10.5400,10.5800,10.1700,10.1900,8011400
2021-05-04,10.2300,10.2900,9.8100,10.1200,9051100
2021-05-05,10.1900,10.2800,9.9100,10.1000,15848800
2021-05-06,10.3000,10.5000,10.2000,10.5000,10379600
2021-05-07,10.6600,10.8500,10.5000,10.6200,9213900
2021-05-10,11.0000,11.0700,10.4100,10.6200,13198600
2021-05-11,10.5500,10.9000,10.3200,10.9000,8752700
2021-05-12,10.2500,10.4700,10.0400,10.0400,142911300
2021-05-13,10.0000,10.1500,9.7100,9.8700,13571300
2021-05-14,9.7000,9.8200,9.5000,9.5400,11768300
2021-05-17,9.6000,9.8400,9.5800,9.6500,7634200
2021-05-18,9.7800,9.9800,9.6200,9.7700,13950600
2021-05-19,9.6000,9.6000,9.3200,9.4100,9867200
2021-05-20,9.4500,9.4900,9.3100,9.3400,7367800
2021-05-21,9.2800,9.3000,9.1000,9.2300,8097000
2021-05-24,9.1400,9.2500,9.0300,9.2400,9010300
2021-05-25,9.2900,9.4000,9.0600,9.1200,6475700
2021-05-26,9.0400,9.1700,8.9100,9.0600,15932800
2021-05-27,9.1300,9.3300,9.1200,9.2200,10164300
2021-05-28,9.3500,9.4400,9.2000,9.3200,7474900
2021-05-31,9.4300,9.5000,9.3000,9.3900,5398300
2021-06-01,9.5900,9.6200,9.4500,9.6000,6978600
2021-06-02,9.6000,9.6900,9.4800,9.6600,7619300
2021-06-04,9.6000,9.6800,9.4100,9.4600,7392300
2021-06-07,9.4200,9.4200,9.1500,9.3800,5470300
2021-06-08,9.3700,9.4600,9.2300,9.3100,3924200
2021-06-09,9.3900,9.4400,9.3000,9.4300,3996300
2021-06-10,9.4500,9.5200,9.3500,9.5200,3959300
2021-06-11,9.6100,9.7100,9.5600,9.7100,4887200
2021-06-14,9.7400,9.8900,9.6400,9.7000,5471800
2021-06-15,9.6900,9.7000,9.5300,9.6700,3631100
2021-06-16,9.6100,9.6300,9.4100,9.4700,6982100
2021-06-17,9.4700,9.4800,9.2600,9.3300,6984000
2021-06-18,9.3500,9.4500,9.2800,9.4500,4857800
2021-06-21,9.2300,9.4400,9.0200,9.4400,5364100
2021-06-22,9.4100,9.4300,9.3200,9.3900,3472300
2021-06-23,9.4300,9.4600,9.3300,9.3700,5450700
2021-06-24,9.4100,9.4800,9.3100,9.3800,11729500
2021-06-25,9.4000,9.4300,9.3300,9.3600,5822100
2021-06-28,9.3700,9.3800,9.1500,9.3000,6553500
2021-06-29,9.2800,9.3800,9.2200,9.2800,5205200
2021-06-30,9.2500,9.2900,9.1100,9.1600,7203500
2021-07-01,9.1900,9.2400,9.0500,9.1000,6259100
2021-07-02,9.1300,9.2200,9.1200,9.1300,3312800
2021-07-05,9.2500,9.2600,9.1400,9.1700,2446600
2021-07-06,9.1600,9.2500,9.1000,9.1500,2984800
2021-07-07,9.2100,9.2100,9.0900,9.1400,5528200
2021-07-08,9.0800,9.1400,8.7600,9.0600,6475700
2021-07-12,9.1600,9.2300,9.0700,9.1600,5345900
2021-07-13,9.1600,9.2300,9.0900,9.1300,3092900
2021-07-14,9.1500,9.2200,9.1100,9.1400,4232200
2021-07-15,9.1300,9.2000,9.1000,9.1000,2324600
2021-07-16,9.1800,9.1800,9.0700,9.1000,3552400
2021-07-19,9.0600,9.0600,8.9100,9.0300,5242700
2021-07-20,9.0300,9.1000,8.9600,9.0700,3512900
2021-07-21,9.0400,9.1400,9.0100,9.0100,3668100
2021-07-22,8.9900,9.0700,8.9200,9.0700,3074900
2021-07-23,9.0600,9.0700,8.9800,9.0400,2337200
2021-07-26,9.0400,9.2500,9.0100,9.2000,5387000
2021-07-27,9.2200,9.2300,8.9700,9.1700,4846700
2021-07-28,9.3000,9.3000,9.0300,9.1100,9089300
2021-07-29,9.2200,9.5000,9.1800,9.4800,11595000
2021-07-30,9.3500,9.4400,9.1600,9.2000,8118200
2021-08-02,8.9900,9.1000,8.8800,8.9500,4999900
2021-08-03,8.9700,8.9800,8.5700,8.7100,8180500
2021-08-04,8.7900,8.8300,8.6500,8.7500,5443700
2021-08-05,8.7000,8.7400,8.4800,8.5000,9572300
2021-08-06,8.5500,8.5900,8.4700,8.5000,3334600
2021-08-09,8.4000,8.4300,8.2300,8.3500,7047000
2021-08-10,8.3500,8.4700,8.3000,8.3100,4218300
2021-08-11,8.3600,8.3800,8.2500,8.2800,3600800
2021-08-12,8.2800,8.3000,8.1200,8.2300,3931200
2021-08-13,8.2700,8.2800,7.9200,8.0400,5751400
2021-08-16,8.0400,8.0400,7.4300,7.7600,15754800
2021-08-17,7.7100,7.7500,7.1300,7.2300,15353900
2021-08-18,7.1200,7.2900,7.0100,7.0100,10851000
2021-08-19,6.7900,7.0900,6.7000,6.9900,9604400
2021-08-20,6.9900,7.2200,6.8100,6.8100,8400300
2021-08-23,6.8500,6.9300,6.6500,6.6800,9417400
2021-08-24,6.8400,7.4300,6.8400,7.4000,9553500
2021-08-25,7.4000,7.5400,7.2700,7.2900,5837300
2021-08-26,7.3200,7.3700,7.0500,7.0500,6015900
2021-08-27,7.1500,7.4400,7.1500,7.3400,7532800
2021-08-30,7.3400,7.5700,7.3200,7.5400,6011800
2021-08-31,7.4700,7.4700,7.1200,7.1200,9548900
2021-09-01,7.0300,7.1600,6.8700,7.0100,6161700
2021-09-02,7.0500,7.0900,6.8000,6.8000,8316900
2021-09-03,6.9900,7.2400,6.8500,6.9400,7334800
2021-09-06,6.8000,7.0700,6.8000,7.0300,3919200
2021-09-08,6.9300,6.9700,6.7500,6.7500,8648700
2021-09-09,6.7500,6.8100,6.5500,6.6500,9799700
