date,open,high,low,close,volume
2015-01-02,18.0377,18.0572,17.0719,17.3255,1033492
2015-01-05,16.9743,17.2182,16.8085,17.1012,1347453
2015-01-06,17.2865,17.6182,16.9841,17.4133,788923
2015-01-07,17.4719,18.3889,17.3060,18.0279,1229506
2015-01-08,18.1840,18.5742,17.7548,18.3986,1249182
2015-01-09,18.4767,18.4767,17.2085,17.3938,2725055
2015-01-12,17.1109,17.4524,16.8865,17.0719,940086
2015-01-13,17.1304,17.8426,17.1304,17.5402,1778304
2015-01-14,17.4133,18.5937,17.3841,18.3108,2065926
2015-01-15,18.2328,18.6718,17.7353,17.9401,1591493
2015-01-16,17.7743,18.7596,17.7060,18.3596,930671
2015-01-19,18.2523,18.3889,16.7402,17.2182,1608206
2015-01-20,17.7060,17.7060,16.4768,16.8280,2677030
2015-01-21,16.7305,17.3938,16.4866,17.3451,2647517
2015-01-22,17.4621,17.4621,16.6329,16.8573,1995158
2015-01-23,16.5939,16.7402,16.0086,16.2232,2217829
2015-01-26,16.1549,16.4671,15.7257,16.3793,1868854
2015-01-27,15.9988,16.8670,15.9988,16.7695,1308631
2015-01-28,16.5744,17.0426,16.4866,16.7792,669389
2015-01-29,16.7695,17.2377,16.5841,17.1207,1007152
2015-01-30,16.8670,16.9743,16.3890,16.4378,955319
2015-02-02,16.5354,17.9109,16.3500,17.7158,1981300
2015-02-03,18.0084,18.3206,16.9646,17.5792,1830878
2015-02-04,17.6084,17.6865,17.0426,17.1499,1363321
2015-02-05,16.8768,17.3841,16.8768,17.1207,961454
2015-02-06,16.9743,17.3060,16.7012,17.0329,1094740
2015-02-09,17.1597,17.9694,17.0231,17.7158,1088498
2015-02-10,17.2963,17.6865,17.0036,17.2182,1051686
2015-02-11,16.8865,17.3938,16.7890,16.9939,1588637
2015-02-12,17.2475,17.7548,16.9939,17.5694,1744983
2015-02-13,17.4231,17.9987,17.2963,17.9791,1389131
2015-02-18,18.2425,18.2425,17.8036,17.9304,1429752
2015-02-19,17.7255,18.1547,17.7255,18.0084,985890
2015-02-20,18.0670,18.0962,17.5207,17.7743,526478
2015-02-23,17.4524,17.9791,17.4036,17.6377,547422
2015-02-24,17.6377,18.3889,17.5011,18.1255,1113040
2015-02-25,17.9499,18.3206,17.8718,18.1060,1109549
2015-02-26,18.3401,18.7596,18.0474,18.7108,1070410
2015-02-27,18.7401,18.9547,18.0572,18.1450,1818184
2015-03-02,18.1450,18.2035,17.8523,17.9987,999959
2015-03-03,18.2913,18.2913,17.7158,17.9011,821398
2015-03-04,17.5987,17.8133,17.1304,17.4719,1049147
2015-03-05,17.3255,17.7060,17.2280,17.4524,1992090
2015-03-06,17.5402,17.5402,17.1012,17.5011,713818
2015-03-09,17.4133,17.4133,16.9158,17.2182,762478
2015-03-10,17.0914,17.6670,16.8378,17.0134,1368504
2015-03-11,17.1792,17.4036,16.9256,17.4036,614700
2015-03-12,17.5694,17.8328,17.4036,17.8231,1491952
2015-03-13,17.4133,17.7158,17.3646,17.5109,1477460
2015-03-16,17.4816,17.8036,17.3158,17.6572,678804
2015-03-17,17.7938,18.1450,17.4914,17.9987,890368
2015-03-18,18.0670,18.7693,17.8621,18.6328,1206763
2015-03-19,18.4669,18.5254,18.0084,18.0962,760468
2015-03-20,18.1352,19.2571,18.1352,18.7401,1640047
2015-03-23,18.8571,19.2278,18.6133,19.2278,1299428
2015-03-24,19.0913,19.3839,18.6913,19.2961,976158
2015-03-25,19.1596,19.4034,18.8766,18.8766,1033492
2015-03-26,18.7401,18.9059,18.1743,18.2230,1422241
2015-03-27,18.3401,18.9742,18.2230,18.6815,3781925
2015-03-30,18.6230,19.3156,18.6230,19.2961,2116596
2015-03-31,19.3156,19.9790,19.1205,19.9595,1674638
2015-04-01,20.0863,20.5253,19.8815,20.3302,1571923
2015-04-02,20.3887,20.6619,20.0766,20.2229,1397065
2015-04-06,20.3790,20.8960,20.2717,20.4863,979649
2015-04-07,20.7107,20.8765,20.1448,20.3790,648127
2015-04-08,20.5546,20.8667,20.2522,20.3790,1122983
2015-04-09,20.4668,20.7204,20.3595,20.4863,1249499
2015-04-10,20.5936,20.6814,20.0473,20.2522,1147419
2015-04-13,20.2522,20.3790,19.9205,19.9985,739734
2015-04-14,20.1351,20.4082,19.9107,19.9107,1131869
2015-04-15,20.0668,20.4863,20.0571,20.2912,892167
2015-04-16,20.0375,20.4570,20.0375,20.3985,711385
2015-04-17,20.0473,20.2522,19.5400,19.6278,1100875
2015-04-20,19.6571,20.1839,19.5790,19.6961,774643
2015-04-22,19.7936,20.3595,19.6083,19.9010,1274252
2015-04-23,19.9985,20.6034,19.9205,20.5838,473798
2015-04-24,20.5741,20.6716,20.0961,20.2424,941778
2015-04-27,20.1156,20.2912,19.8034,20.0668,972350
2015-04-28,20.2034,20.4863,19.8327,20.4570,1105847
2015-04-29,20.1644,20.4570,20.0083,20.3790,856624
2015-04-30,20.0937,20.2649,19.4696,19.9729,1488512
2015-05-04,19.2474,19.8034,19.1205,19.7644,1177402
2015-05-05,19.9888,20.5643,19.7546,20.0961,1440026
2015-05-06,20.2424,20.4570,19.6668,19.9985,1328395
2015-05-07,19.5107,19.7546,19.3839,19.5107,1055930
2015-05-08,19.7156,19.8424,19.3352,19.8034,1004471
2015-05-11,19.8034,19.8815,19.1303,19.5107,1462988
2015-05-12,19.6083,20.1058,19.3742,20.0961,2216931
2015-05-13,19.9010,19.9595,19.0425,19.2376,2051382
2015-05-14,19.1205,19.9985,18.9449,19.9985,2163115
2015-05-15,19.7839,20.2912,19.5693,20.0375,1744371
2015-05-18,20.3302,20.4278,19.5498,19.6571,1380879
2015-05-19,19.6863,19.8327,19.4815,19.6863,1236549
2015-05-20,19.4717,19.7937,19.3644,19.4132,1895980
2015-05-21,19.2766,19.3644,18.9644,19.1596,1607011
2015-05-22,19.1596,19.2278,18.7498,19.1986,1638378
2015-05-25,19.2961,19.7546,18.8864,19.4132,560306
2015-05-26,19.3156,19.3742,18.7693,19.0230,1349717
2015-05-27,19.1205,19.1791,18.5742,19.0230,788898
2015-05-28,18.8864,19.1596,18.7498,18.9059,1376267
2015-05-29,18.7498,18.9157,18.6230,18.8571,12886127
2015-06-01,18.8669,19.1888,18.6523,19.1205,1181502
2015-06-02,19.0620,19.3742,18.9449,18.9840,1292005
2015-06-03,19.4132,19.4620,18.9742,19.2961,2702510
2015-06-05,18.8571,19.1205,18.6913,18.9742,1609266
2015-06-08,19.0327,19.3742,18.7596,19.1303,1785989
2015-06-09,19.1303,19.1303,18.6230,18.8864,1531873
2015-06-10,18.7498,19.0620,18.7401,19.0132,1548274
2015-06-11,19.1108,19.1303,18.7498,18.9644,1494560
2015-06-12,18.7889,18.9254,18.7011,18.8279,1969683
2015-06-15,18.7791,18.7889,18.4962,18.7498,968594
2015-06-16,18.7889,18.9937,18.6328,18.6718,1964250
2015-06-17,18.7986,18.8181,18.3889,18.6328,2813116
2015-06-18,18.7303,19.0132,18.4962,18.9059,1318042
2015-06-19,18.7693,19.0327,18.6913,19.0230,2297297
2015-06-22,19.0718,19.3059,19.0327,19.1205,889868
2015-06-23,19.2181,19.3742,18.9449,18.9449,895403
2015-06-24,18.9547,19.0718,18.6035,18.7596,1524903
2015-06-25,18.5547,18.7693,18.0962,18.1840,1467293
2015-06-26,18.3206,18.9644,18.1548,18.9644,2486424
2015-06-29,18.6425,18.7889,18.3791,18.3791,839229
2015-06-30,18.3401,18.7791,18.3206,18.6815,1526030
2015-07-01,18.9157,18.9157,18.1645,18.1645,1607934
2015-07-02,18.3694,18.6620,18.2425,18.3401,1197391
2015-07-03,18.1548,18.6230,18.1548,18.3791,436682
2015-07-06,18.2230,18.3694,18.0377,18.2230,1106262
2015-07-07,18.2913,18.8669,18.0377,18.8279,2519226
2015-07-08,18.8962,19.0718,18.5547,18.5645,1352382
2015-07-10,19.0425,19.1108,18.5157,18.6913,1347257
2015-07-13,18.9254,19.1596,18.8181,19.0132,1894442
2015-07-14,18.8376,19.0815,18.7596,19.0132,1451507
2015-07-15,18.9157,19.5595,18.7596,19.4815,1248440
2015-07-16,19.4620,19.6083,18.9742,19.0718,923285
2015-07-17,19.1498,19.3937,18.9644,18.9644,1169611
2015-07-20,18.9449,19.3156,18.8669,18.9547,2026267
2015-07-21,19.2571,19.2571,18.8474,18.8571,1004471
2015-07-22,18.8864,19.1400,18.6523,18.6913,864446
2015-07-23,18.7401,18.8669,18.3401,18.3401,1538946
2015-07-24,18.5742,18.5742,17.7548,18.1548,1305844
2015-07-27,18.0962,18.4377,17.8426,18.2035,714067
2015-07-28,18.1743,18.5352,17.9109,18.5352,1957075
2015-07-29,18.2621,18.4377,17.7255,17.7255,699614
2015-07-30,17.9792,18.6815,17.8133,18.4377,868956
2015-07-31,18.4377,18.9547,18.2621,18.8084,1232961
2015-08-03,18.8766,19.0425,18.7693,18.9352,709250
2015-08-04,18.6913,19.1596,18.5059,18.6815,649180
2015-08-05,18.7206,18.7596,18.1352,18.3791,627244
2015-08-06,18.0084,18.2133,17.7060,17.8621,923490
2015-08-07,17.7353,17.7645,17.3548,17.3743,654100
2015-08-10,17.4231,17.8621,17.3743,17.7645,1082275
2015-08-11,17.6377,18.0377,17.4231,18.0377,1245979
2015-08-12,17.5597,17.8231,17.1695,17.7060,1549914
2015-08-13,17.5304,17.5597,16.9744,17.0134,620786
2015-08-14,17.1695,17.1695,16.5256,16.5841,1687070
2015-08-17,16.5744,16.9451,16.4280,16.5061,996168
2015-08-18,16.4378,16.9548,16.4378,16.5841,1019643
2015-08-19,16.6622,16.7207,16.2915,16.7012,812782
2015-08-20,16.3598,16.7402,16.3012,16.5841,1060953
2015-08-21,16.6036,16.8183,15.9988,15.9988,962443
2015-08-24,15.8232,15.8232,14.8087,15.6281,2353779
2015-08-25,15.6574,15.8915,15.1111,15.1208,2657407
2015-08-26,15.4428,15.8525,15.2964,15.6086,2214676
2015-08-27,15.7549,16.3012,15.6574,16.0964,1885422
2015-08-28,16.0964,16.1549,15.3354,15.7062,1796138
2015-08-31,15.5501,15.5501,15.0330,15.3159,2610766
2015-09-01,14.9257,15.2184,14.8087,15.0038,2456287
2015-09-02,15.1111,15.1111,14.5648,14.7794,2858424
2015-09-03,14.8867,15.5891,14.8477,15.4818,2149276
2015-09-04,15.3745,15.5110,14.7501,14.7599,1769178
2015-09-08,15.4623,15.4623,14.5843,14.8379,832976
2015-09-09,14.9452,15.2672,14.7794,14.8769,1451097
2015-09-10,14.5355,15.1111,14.5355,14.8672,1935035
2015-09-11,14.7599,15.3550,14.6818,15.3062,1033276
2015-09-14,15.3550,15.6086,15.1501,15.6086,1275604
2015-09-15,15.7159,15.7354,15.0721,15.3257,946247
2015-09-16,15.3354,15.9598,15.3257,15.9598,1042194
2015-09-17,15.8135,16.1647,15.5696,15.8427,1755340
2015-09-18,15.7354,15.7354,14.5550,14.6331,2632292
2015-09-21,14.5355,14.8867,14.4575,14.7111,941224
2015-09-22,14.5355,14.6038,13.9795,14.2721,2437118
2015-09-23,14.2428,14.7599,14.0185,14.0965,2026677
2015-09-24,13.7551,14.1843,13.4234,13.9404,1757185
2015-09-25,14.0282,14.0965,13.7648,14.0672,1564470
2015-09-28,13.9697,13.9697,13.6965,13.8234,1076842
2015-09-29,13.8234,14.3697,13.7941,14.2916,1355252
2015-09-30,14.3794,14.8282,14.3697,14.5062,1889215
2015-10-01,14.6818,14.6818,13.8526,14.1550,1316300
2015-10-02,14.2526,14.6721,13.9795,14.6721,1277757
2015-10-05,14.8867,14.9160,14.5160,14.6818,1210204
2015-10-06,14.6818,14.8282,14.3014,14.5355,1453147
2015-10-07,14.6818,14.8087,14.3404,14.7696,1392873
2015-10-08,14.6526,15.2964,14.6428,15.2964,1296516
2015-10-09,15.4330,15.4818,14.7209,14.9940,973207
2015-10-13,15.1013,15.2672,14.8769,14.9745,1023128
2015-10-14,14.8672,15.0721,14.4867,14.4867,3207565
2015-10-15,14.4380,14.8282,14.4282,14.6818,1003446
2015-10-16,14.6331,14.8282,14.3404,14.3404,2336558
2015-10-19,14.3404,14.7501,14.2526,14.5745,2549056
2015-10-20,14.5745,15.1891,14.5745,14.8965,1461143
2015-10-21,15.0623,15.2086,14.6038,14.9647,1053880
2015-10-22,14.9550,15.4915,14.9160,15.4915,1146752
2015-10-23,16.0769,16.0769,15.0818,15.0818,1205796
2015-10-26,14.9452,15.3745,14.8867,14.9745,1242084
2015-10-27,14.9647,15.1208,14.8184,15.0525,1210717
2015-10-28,14.9550,15.0525,14.9160,15.0428,80263
2015-10-29,14.5550,15.1013,14.5550,14.8769,1193598
2015-10-30,14.7696,15.3647,14.6721,15.1111,1829658
2015-11-03,15.1208,15.9403,15.0330,15.6866,2135438
2015-11-04,15.6964,16.6134,15.6964,16.0086,1901208
2015-11-05,15.9208,16.1159,15.5013,15.7062,1107799
2015-11-06,15.6086,15.8037,14.8184,15.4915,1173096
2015-11-09,15.4135,15.5013,15.0135,15.0428,1004266
2015-11-10,14.9355,15.3550,14.8282,15.3550,1597068
2015-11-11,15.5013,15.9110,15.4330,15.6086,1654677
2015-11-12,15.7159,16.0964,15.6184,15.8037,1609471
2015-11-13,16.0866,16.3793,15.7354,15.9500,1897005
2015-11-16,15.9500,16.0964,15.6184,15.7062,921235
2015-11-17,15.8135,15.9891,15.5403,15.7062,1652832
2015-11-18,15.8720,16.4378,15.7647,16.2817,1473239
2015-11-19,16.4378,16.4378,16.0769,16.0866,1814179
2015-11-23,16.2037,16.4671,16.0573,16.2622,1188780
2015-11-24,16.1451,16.4280,16.0573,16.3012,1022615
2015-11-25,16.2427,16.2915,15.8330,15.9110,1613059
2015-11-26,16.0281,16.1549,15.9208,16.1159,815037
2015-11-27,15.9988,16.1842,15.4623,15.5110,2273926
2015-11-30,15.4037,15.5793,15.1306,15.3550,1994285
2015-12-01,15.4623,15.6574,15.1794,15.3745,1127583
2015-12-02,15.4818,15.9208,14.9160,14.9452,1771946
2015-12-03,15.1696,15.7549,15.1501,15.3452,1758927
2015-12-04,15.2476,15.4428,14.9062,15.2574,1326653
2015-12-07,15.3452,15.5891,15.1306,15.2964,1104314
2015-12-08,15.2964,15.4135,14.7696,14.8769,1439514
2015-12-09,14.9940,15.7940,14.9940,15.5793,1800853
2015-12-10,15.6866,15.7647,14.8574,15.2672,1299181
2015-12-11,15.1599,15.6379,15.0038,15.0818,1624027
2015-12-14,14.9745,15.3257,14.8184,15.0428,1331676
2015-12-15,15.1111,15.5598,15.0525,15.1599,1469856
2015-12-16,15.0525,15.5208,14.8282,15.3745,1530540
2015-12-17,15.4818,15.7842,15.3452,15.3452,1361813
2015-12-18,15.2086,15.2379,14.6428,14.7794,1605166
2015-12-21,14.7891,14.9745,14.3502,14.3502,1802288
2015-12-22,14.4477,14.9062,14.3892,14.7209,1062798
2015-12-23,14.8769,15.1696,14.8574,15.0135,788898
2015-12-28,15.1696,15.1696,14.7989,14.8282,1063106
2015-12-29,14.7696,15.0916,14.5843,14.6818,540830
2015-12-30,14.5843,14.9452,14.5843,14.8087,1757697
2016-01-04,14.7013,14.7891,14.2526,14.4380,1466473
2016-01-05,14.3404,14.6331,14.2916,14.6331,1024563
2016-01-06,14.5258,14.7013,14.3306,14.4867,946862
2016-01-07,14.3892,14.3892,13.7453,13.9014,1365298
2016-01-08,13.7453,14.1941,13.7258,13.8624,1161206
2016-01-11,13.9502,14.2916,13.8331,13.9112,1004266
2016-01-12,13.9990,14.2428,13.6380,13.7258,1366221
2016-01-13,13.9404,14.0282,13.7161,13.9014,1532693
2016-01-14,14.0965,14.2233,13.8039,13.8721,2383814
2016-01-15,13.8721,13.9209,13.5307,13.8136,1418295
2016-01-18,13.8429,13.8624,13.5112,13.5600,794638
2016-01-19,13.7258,13.9599,13.5990,13.7258,1303486
