date,open,high,low,close,volume
2015-01-02,7.1250,7.1600,6.8900,6.9500,6262400
2015-01-05,6.8500,6.8700,6.4750,6.5375,7609200
2015-01-06,6.5625,6.6025,5.9900,6.2800,11667600
2015-01-07,6.3000,6.5325,6.1550,6.3725,10079200
2015-01-08,6.4975,6.5450,6.2525,6.4500,7828400
2015-01-09,6.3850,6.5900,6.2500,6.2500,7223600
2015-01-12,6.2250,6.2825,5.8600,5.8600,8142800
2015-01-13,5.8500,6.2450,5.8275,6.2000,9527200
2015-01-14,6.1250,6.5775,6.0725,6.2700,7838000
2015-01-15,6.2775,6.6125,6.2500,6.5950,8799600
2015-01-16,6.6250,6.8025,6.4425,6.4825,3834400
2015-01-19,6.4800,6.5525,6.1500,6.1500,4446000
2015-01-20,6.4575,6.6400,6.3500,6.4250,8954400
2015-01-21,6.4600,6.5625,6.2950,6.4525,7246000
2015-01-22,6.5025,6.9500,6.5000,6.7900,12705600
2015-01-23,6.5025,7.0375,6.5000,6.8250,6195200
2015-01-26,6.7475,6.9400,6.6950,6.7875,5332000
2015-01-27,6.7600,6.8775,6.5975,6.6250,6306000
2015-01-28,6.6000,6.6400,6.3950,6.4475,3557600
2015-01-29,6.4850,6.5700,6.3800,6.5100,5338800
2015-01-30,6.4450,6.4450,6.0600,6.1325,8293200
2015-02-02,6.1525,6.3525,5.9500,6.2575,7679600
2015-02-03,6.3200,6.4375,6.2525,6.3975,6981600
2015-02-04,6.3975,6.4300,6.2500,6.3575,4366800
2015-02-05,6.3575,6.6050,6.3575,6.5825,4253200
2015-02-06,6.4875,6.5225,6.2850,6.3125,5542800
2015-02-09,6.3250,6.5800,6.2225,6.4750,3998000
2015-02-10,6.4250,6.6025,6.3875,6.5875,6080800
2015-02-11,6.5325,6.6625,6.4225,6.6300,8127600
2015-02-12,6.7000,7.0425,6.6725,6.9750,10449600
2015-02-13,6.9750,7.0975,6.8625,6.9575,6239600
2015-02-18,6.9725,7.1200,6.9275,7.0000,4472000
2015-02-19,6.9725,7.0025,6.8550,6.9000,4944400
2015-02-20,6.9400,7.0250,6.8075,6.9500,3692800
2015-02-23,6.8875,7.0325,6.7400,6.7875,3822400
2015-02-24,6.7900,6.9525,6.7300,6.8750,6632400
2015-02-25,6.8250,6.8475,6.7575,6.8375,6560000
2015-02-26,6.8675,7.0500,6.8150,7.0200,6748000
2015-02-27,7.0550,7.1675,6.9625,7.0725,6567200
2015-03-02,7.0725,7.1150,6.9650,7.0025,3690800
2015-03-03,6.9750,7.0750,6.8625,6.9275,4860000
2015-03-04,6.8200,6.8825,6.7250,6.7675,6021200
2015-03-05,6.8550,6.9225,6.6850,6.7375,8501200
2015-03-06,6.7250,6.7875,6.5825,6.6700,3298400
2015-03-09,6.5750,6.6100,6.4775,6.6000,4392800
2015-03-10,6.5725,6.6625,6.5000,6.5950,3752400
2015-03-11,6.5700,6.6800,6.4925,6.6550,3828800
2015-03-12,6.8225,6.8225,6.5525,6.5925,3531600
2015-03-13,6.5075,6.5375,6.3225,6.3975,8148800
2015-03-16,6.4300,6.4875,6.3750,6.4575,5828000
2015-03-17,6.4225,6.6225,6.3850,6.6225,6456800
2015-03-18,6.6000,7.0000,6.5300,7.0000,6054400
2015-03-19,7.0125,7.0300,6.6575,6.8450,6680800
2015-03-20,6.8750,7.1250,6.8625,6.9800,6732000
2015-03-23,6.9775,7.1175,6.9300,6.9750,6688800
2015-03-24,7.0050,7.0925,6.9250,7.0125,3600400
2015-03-25,7.0025,7.2775,7.0025,7.2775,9283600
2015-03-26,7.2750,7.2750,7.0400,7.1300,5730400
2015-03-27,7.0800,7.1275,6.8125,6.8250,6792400
2015-03-30,6.8500,6.9750,6.8450,6.9275,4892000
2015-03-31,6.8500,7.0975,6.8475,6.9725,5156000
2015-04-01,6.9900,7.3450,6.9900,7.2450,7850400
2015-04-02,7.2150,7.4725,7.0625,7.2500,8077200
2015-04-06,7.3600,7.4325,7.1975,7.1975,4948000
2015-04-07,7.2200,7.3600,7.2075,7.3275,3968800
2015-04-08,7.4025,7.4800,7.3675,7.3900,5364000
2015-04-09,7.3275,7.4725,7.2100,7.2850,3899200
2015-04-10,7.2475,7.4125,7.2250,7.3500,3358800
2015-04-13,7.3500,7.4700,7.3500,7.4000,4424800
2015-04-14,7.4450,7.4500,7.2875,7.3000,2721600
2015-04-15,7.3350,7.4725,7.3350,7.4500,4034000
2015-04-16,7.4150,7.4500,7.3050,7.3175,2789200
2015-04-17,7.1875,7.2750,7.1225,7.2250,5154400
2015-04-20,7.2600,7.3750,7.1025,7.1925,4010000
2015-04-22,7.2275,7.5300,7.2050,7.4600,5480000
2015-04-23,7.4725,7.6075,7.3750,7.5100,4305200
2015-04-24,7.5475,7.5550,7.3475,7.3650,4367600
2015-04-27,7.3500,7.3975,7.2350,7.2425,3696000
2015-04-28,7.2500,7.3700,7.1850,7.3575,5005200
2015-04-29,7.2525,7.2875,7.1875,7.2250,3077600
2015-04-30,7.1900,7.3750,7.1875,7.3750,5720800
2015-05-04,7.3650,7.4125,7.2025,7.2525,10034800
2015-05-05,7.2400,7.3175,6.9275,6.9625,8197200
2015-05-06,6.9750,7.1125,6.8225,7.1125,10183200
2015-05-07,7.0150,7.0375,6.7825,6.8825,11865200
2015-05-08,6.9300,6.9625,6.8075,6.9350,4496000
2015-05-11,6.9325,6.9900,6.6675,6.6950,11581600
2015-05-12,6.6275,6.8450,6.6250,6.7750,8132400
2015-05-13,6.7750,6.9075,6.7750,6.8625,4973200
2015-05-14,6.9250,6.9925,6.8575,6.9400,5624000
2015-05-15,6.8925,6.9925,6.8625,6.9275,3133600
2015-05-18,6.9475,6.9850,6.8375,6.9125,3319600
2015-05-19,6.9150,6.9250,6.7825,6.8375,3513600
2015-05-20,6.8200,6.9750,6.8125,6.9625,4623600
2015-05-21,6.9200,7.0625,6.9150,7.0100,3818000
2015-05-22,7.0250,7.1000,6.9050,6.9625,5400800
2015-05-25,6.9275,6.9550,6.8375,6.9000,1304000
2015-05-26,6.8800,6.9175,6.6525,6.6925,3594400
2015-05-27,6.6975,6.7275,6.5025,6.7100,3705200
2015-05-28,6.7050,6.7050,6.4500,6.4850,4362400
2015-05-29,6.4850,6.4900,6.1875,6.2900,7438800
2015-06-01,6.2750,6.3275,6.1950,6.2800,1927200
2015-06-02,6.3225,6.5650,6.3225,6.4650,11075600
2015-06-03,6.5175,6.5675,6.4125,6.5300,7786400
2015-06-05,6.4950,6.5375,6.3850,6.4375,3490800
2015-06-08,6.4225,6.5250,6.4075,6.4550,5018000
2015-06-09,6.4550,6.6450,6.4000,6.5650,7028000
2015-06-10,6.6475,6.6925,6.5125,6.6750,4426000
2015-06-11,6.7025,6.7425,6.5300,6.6750,3221600
2015-06-12,6.6075,6.6650,6.5075,6.6000,6350000
2015-06-15,6.5875,6.5875,6.3775,6.4475,3606400
2015-06-16,6.4475,6.4925,6.2875,6.2875,4136000
2015-06-17,6.2875,6.4050,6.2875,6.3000,4033600
2015-06-18,6.3250,6.5725,6.2675,6.5000,3406000
2015-06-19,6.4700,6.4700,6.3225,6.3450,2879600
2015-06-22,6.3650,6.5375,6.3650,6.4550,2479600
2015-06-23,6.5275,6.5750,6.4800,6.5750,3099200
2015-06-24,6.6125,6.6625,6.4275,6.5425,4640000
2015-06-25,6.4950,6.5500,6.4050,6.4550,4630400
2015-06-26,6.4550,6.6000,6.4550,6.5000,3046400
2015-06-29,6.4250,6.4925,6.2875,6.3075,2359600
2015-06-30,6.3425,6.3825,6.2250,6.2875,8717600
2015-07-01,6.3050,6.3175,6.1400,6.2075,7018400
2015-07-02,6.2400,6.2525,6.0100,6.0250,4940400
2015-07-03,5.9800,6.0850,5.9275,5.9475,3262400
2015-07-06,5.9050,5.9050,5.7275,5.7500,6364000
2015-07-07,5.7250,5.7500,5.5100,5.7025,10436800
2015-07-08,5.6700,5.7400,5.5400,5.6700,4376400
2015-07-10,5.7500,5.9200,5.6625,5.8550,6322800
2015-07-13,5.9100,5.9100,5.8150,5.8950,3352000
2015-07-14,5.8625,6.0050,5.8200,5.9625,2307600
2015-07-15,5.9500,5.9625,5.6975,5.7800,4602000
2015-07-16,5.8100,5.8275,5.5975,5.6875,3568000
2015-07-17,5.6375,5.6950,5.5200,5.5625,3766000
2015-07-20,5.5550,5.5875,5.3750,5.4500,5862800
2015-07-21,5.4550,5.5850,5.2900,5.3150,6772800
2015-07-22,5.2275,5.3425,5.2000,5.3025,4769600
2015-07-23,5.2950,5.3700,5.1275,5.1775,7256800
2015-07-24,5.1325,5.1975,5.0025,5.1625,3163200
2015-07-27,5.1150,5.3650,5.0375,5.2250,4843600
2015-07-28,5.3275,5.3600,5.0825,5.1625,5409200
2015-07-29,5.1325,5.2250,5.0600,5.1225,11034000
2015-07-30,5.0775,5.1825,5.0600,5.1275,2954000
2015-07-31,5.1100,5.2725,5.1050,5.2000,2938000
2015-08-03,5.1500,5.1500,5.0200,5.0975,5167200
2015-08-04,5.1175,5.1850,4.8750,5.0625,3847600
2015-08-05,5.0975,5.1475,4.9775,5.0025,2174000
2015-08-06,4.9875,5.1725,4.8825,5.1125,5906800
2015-08-07,5.0400,5.0675,4.9800,5.0000,4372400
2015-08-10,5.0000,5.1500,4.9525,5.0975,3177200
2015-08-11,5.0650,5.1625,5.0200,5.1625,3762800
2015-08-12,5.1575,5.1575,4.9900,5.1250,6557200
2015-08-13,5.0875,5.2875,4.9375,5.0500,7343600
2015-08-14,5.0750,5.0750,4.9375,5.0500,6874000
2015-08-17,5.0000,5.0275,4.8750,4.8750,4557200
2015-08-18,4.8475,4.8900,4.7275,4.7750,5535200
2015-08-19,4.7475,4.7600,4.6450,4.7100,3189200
2015-08-20,4.6400,4.6500,4.4725,4.4950,7909200
2015-08-21,4.4225,4.5600,4.3925,4.5525,5096000
2015-08-24,4.3875,4.5750,4.2625,4.4625,7202800
2015-08-25,4.5625,4.6025,4.4750,4.5450,4784400
2015-08-26,4.5625,4.6925,4.4375,4.6925,5229600
2015-08-27,4.7425,4.9500,4.6875,4.8275,9118000
2015-08-28,4.7275,4.8550,4.6700,4.7750,5056000
2015-08-31,4.7400,4.7400,4.4875,4.5375,9268800
2015-09-01,4.4275,4.5475,4.3875,4.4125,6838000
2015-09-02,4.4425,4.5300,4.3250,4.4250,7354400
2015-09-03,4.5000,4.6500,4.4600,4.6500,8050800
2015-09-04,4.6750,4.8500,4.6600,4.8325,15505600
2015-09-08,4.9300,4.9975,4.8025,4.9475,8572000
2015-09-09,4.9950,5.0725,4.6950,4.7125,9999600
2015-09-10,4.5325,4.7900,4.5325,4.7325,5693600
2015-09-11,4.7000,4.8150,4.6550,4.8150,4306400
2015-09-14,4.8175,4.9600,4.6975,4.9425,7458400
2015-09-15,4.8175,4.8625,4.7575,4.8250,7940000
2015-09-16,4.8375,5.0700,4.8375,5.0025,5936000
2015-09-17,4.9875,5.1575,4.9875,5.0200,5044800
2015-09-18,5.0150,5.0150,4.7750,4.8825,6568400
2015-09-21,4.8750,4.9575,4.7775,4.8225,1932800
2015-09-22,4.6800,4.8875,4.6350,4.8650,3255200
2015-09-23,4.8550,4.8800,4.6550,4.6725,4916000
2015-09-24,4.5875,4.8375,4.5150,4.7000,3204400
2015-09-25,4.7650,4.8650,4.6600,4.7775,4079200
2015-09-28,4.7025,4.7850,4.5750,4.7325,4642400
2015-09-29,4.7325,4.9100,4.7050,4.7500,5531200
2015-09-30,5.0250,5.2225,4.9575,5.0325,18904800
2015-10-01,5.1200,5.1550,4.8775,5.1125,6712400
2015-10-02,5.1375,5.3500,5.0525,5.3325,7164400
2015-10-05,5.5350,5.5350,5.2125,5.3050,7806400
2015-10-06,5.3050,5.5975,5.3050,5.5625,6649200
2015-10-07,5.6150,5.8725,5.6000,5.7900,9107200
2015-10-08,5.7925,5.8600,5.6000,5.6375,5458400
2015-10-09,5.6750,5.8575,5.6525,5.8500,4439600
2015-10-13,5.7625,5.7700,5.5625,5.6125,8303600
2015-10-14,5.5625,5.7025,5.5625,5.6375,5856800
2015-10-15,5.6425,5.7000,5.4550,5.5500,4179200
2015-10-16,5.5725,5.7525,5.4850,5.6400,6300400
2015-10-19,5.6500,5.7625,5.5300,5.7000,2671600
2015-10-20,5.6975,5.9000,5.6750,5.8400,5465200
2015-10-21,5.7875,5.9725,5.7275,5.7600,3992800
2015-10-22,5.7900,6.0800,5.7875,5.9800,4365200
2015-10-23,6.0750,6.1250,5.9025,5.9200,3016000
2015-10-26,5.9700,6.0250,5.8500,5.8850,3578400
2015-10-27,5.9225,5.9775,5.8600,5.9275,4440400
2015-10-28,5.9225,6.0375,5.8875,5.9625,972400
2015-10-29,5.8950,6.0750,5.8300,5.8625,3636000
2015-10-30,5.8600,6.1775,5.8350,6.1775,8405200
2015-11-03,6.1275,6.6150,6.1275,6.3550,8862000
2015-11-04,6.3775,6.5450,6.2500,6.3125,4889600
2015-11-05,6.3150,6.4875,6.2525,6.4650,4122400
2015-11-06,6.4425,6.4450,6.1850,6.3375,3902000
2015-11-09,6.3250,6.4175,6.2225,6.2500,2254800
2015-11-10,6.1925,6.3450,6.1525,6.3450,3473600
2015-11-11,6.4250,6.4475,6.3175,6.4375,4252800
2015-11-12,6.4250,6.7350,6.4050,6.6250,5339200
2015-11-13,6.5425,6.6850,6.3625,6.4500,5809600
2015-11-16,6.4850,6.5200,6.3625,6.4000,3764400
2015-11-17,6.4150,6.5450,6.4000,6.4000,5928400
2015-11-18,6.3775,6.4350,6.3475,6.4050,4545200
2015-11-19,6.4000,6.5025,6.3300,6.5000,5540400
2015-11-23,6.5375,6.6950,6.5075,6.5175,3394400
2015-11-24,6.4825,6.6650,6.4725,6.5500,5941200
2015-11-25,6.4750,6.4750,6.2325,6.2750,9174800
2015-11-26,6.2875,6.4425,6.2750,6.3525,3039200
2015-11-27,6.3025,6.4475,6.1675,6.2900,3775600
2015-11-30,6.2500,6.2875,6.0250,6.0250,10964400
2015-12-01,5.9625,6.2175,5.8900,6.1875,3991200
2015-12-02,6.1725,6.2575,6.0775,6.1975,2721200
2015-12-03,6.2950,6.4175,6.2225,6.3550,3660800
2015-12-04,6.3025,6.3675,6.2000,6.2250,3544400
2015-12-07,6.3175,6.4375,6.2250,6.2750,5786000
2015-12-08,6.2750,6.3400,6.0650,6.1000,6945200
2015-12-09,6.1350,6.5600,6.1350,6.4075,9625600
2015-12-10,6.4400,6.4525,6.1475,6.3325,5315600
2015-12-11,6.2350,6.4225,6.1950,6.2500,2265600
2015-12-14,6.2075,6.3000,6.1150,6.2400,2049600
2015-12-15,6.3225,6.3675,6.2000,6.2375,1534800
2015-12-16,6.1650,6.3150,5.9850,6.2625,3678800
2015-12-17,6.3625,6.5150,6.2900,6.3225,2106400
2015-12-18,6.2000,6.2200,5.9600,6.1075,6510800
2015-12-21,6.0725,6.2000,5.9550,6.1000,3178800
2015-12-22,6.1275,6.2025,6.0350,6.1500,3742400
2015-12-23,6.2200,6.2650,6.1025,6.1950,2177200
2015-12-28,6.1650,6.4025,6.1300,6.3275,2667200
2015-12-29,6.3275,6.4750,6.3275,6.3550,1743600
2015-12-30,6.3575,6.4000,6.1500,6.3000,2965600
2016-01-04,6.2325,6.2550,5.9200,6.0000,3398400
2016-01-05,6.0375,6.1200,5.9175,6.0300,2979200
2016-01-06,5.9625,6.0000,5.7750,5.9150,4631600
2016-01-07,5.7750,5.8500,5.5875,5.8500,4624800
2016-01-08,5.8425,5.9450,5.7525,5.8500,4653600
2016-01-11,5.8350,5.9800,5.7775,5.8600,4982800
2016-01-12,5.8325,5.9100,5.4150,5.5475,8174400
2016-01-13,5.5950,5.8375,5.5700,5.7500,6355600
2016-01-14,5.7500,5.7900,5.4925,5.7800,5107200
2016-01-15,5.7225,5.7900,5.5875,5.7000,5773200
2016-01-18,5.6450,5.6950,5.5525,5.5550,2416000
2016-01-19,5.6750,5.7175,5.5150,5.5250,4041200
2016-01-20,5.4500,5.6550,5.4025,5.6550,6308000
2016-01-21,5.5725,5.7625,5.5725,5.6500,5328000
2016-01-22,5.7100,5.9300,5.7100,5.8625,6440400
2016-01-26,5.7675,6.0500,5.7675,5.8750,9073600
2016-01-27,5.9475,6.1000,5.8650,6.0000,10127600
2016-01-28,6.0750,6.1750,5.9450,6.1450,9838000
2016-01-29,6.1975,6.3725,6.1300,6.2850,7411200
2016-02-01,6.2500,6.3150,6.1475,6.2775,4465600
2016-02-02,6.2000,6.3125,6.1100,6.1500,6249600
2016-02-03,6.2200,6.2400,5.9450,5.9950,10612800
2016-02-04,6.0625,6.1250,5.9525,6.0150,8168400
2016-02-05,5.9675,6.0500,5.7650,5.8450,6723600
2016-02-10,5.6750,5.9175,5.6750,5.8950,3325600
2016-02-11,5.7975,5.8450,5.6100,5.7250,4632400
2016-02-12,5.7200,5.9675,5.7200,5.8875,6433600
2016-02-15,6.0000,6.1850,6.0000,6.0775,4018000
2016-02-16,6.0825,6.2275,6.0550,6.1275,4369200
2016-02-17,6.2150,6.2250,5.9875,6.1000,5200800
2016-02-18,6.0225,6.1525,6.0000,6.1000,3711600
2016-02-19,6.0025,6.1025,5.8350,6.0000,4954800
2016-02-22,6.1250,6.2875,6.1100,6.2125,9504800
2016-02-23,6.1900,6.4525,6.1675,6.2800,6569600
2016-02-24,6.2300,6.4850,6.1325,6.4825,9137200
2016-02-25,6.3500,6.6075,6.3300,6.5075,4508000
2016-02-26,6.5725,6.7325,6.4375,6.5100,3872800
2016-02-29,6.6475,6.7425,6.5525,6.6875,7758000
2016-03-01,6.7225,6.9600,6.7000,6.8500,6702000
2016-03-02,6.8250,6.9475,6.7475,6.9075,4508800
2016-03-03,6.9450,7.0925,6.9250,7.0350,6606000
2016-03-04,7.1175,7.3800,7.0450,7.1300,6614800
2016-03-07,7.1550,7.2000,6.9550,7.0425,4730000
2016-03-08,6.9725,7.1275,6.8175,7.0300,4738800
2016-03-09,7.0350,7.2350,6.9500,7.0850,4318800
2016-03-10,7.1525,7.3400,7.0475,7.1850,7490000
2016-03-11,7.1750,7.3150,7.1275,7.1875,4170000
2016-03-14,7.1525,7.2800,7.0075,7.2075,2790400
2016-03-15,7.0725,7.2725,7.0075,7.1275,4146400
2016-03-16,7.0775,7.3400,7.0325,7.1775,3640400
2016-03-17,7.2775,7.7600,7.2750,7.5750,9943600
2016-03-18,7.6275,7.7550,7.5025,7.6025,7488000
2016-03-21,7.6525,7.8875,7.6300,7.6625,5517200
2016-03-22,7.6975,7.8725,7.6875,7.8600,6536000
2016-03-23,7.8475,7.8750,7.6300,7.8750,4256400
2016-03-24,7.7750,7.8675,7.6900,7.7500,2700400
