date,open,high,low,close,volume
2015-01-02,5.4600,5.5800,5.0300,5.0800,5823600
2015-01-05,5.0400,5.0400,4.7700,4.8300,7627400
2015-01-06,4.8900,5.3700,4.8600,5.2200,10139900
2015-01-07,5.3700,5.8000,5.2800,5.7900,9987200
2015-01-08,5.8600,5.9900,5.4500,5.6000,9124600
2015-01-09,5.5000,5.5400,5.2600,5.3600,8553900
2015-01-12,5.3600,5.4200,5.1600,5.2700,3910700
2015-01-13,5.3600,5.6300,5.0600,5.0900,8787100
2015-01-14,4.9800,5.0500,4.8200,4.9500,7945100
2015-01-15,4.9200,5.1600,4.8500,4.8700,7296000
2015-01-16,4.9400,5.2500,4.8700,5.1600,6641600
2015-01-19,5.1300,5.1500,4.7800,4.8200,5926000
2015-01-20,4.9400,5.1800,4.8500,5.0700,8780800
2015-01-21,5.0700,5.2700,4.9100,5.2600,6248300
2015-01-22,5.3000,5.5200,5.2600,5.3600,5477100
2015-01-23,5.2600,5.2800,5.0000,5.0000,4600600
2015-01-26,4.9500,5.0400,4.8300,5.0200,6029200
2015-01-27,4.9200,4.9800,4.7500,4.7900,6366800
2015-01-28,4.7500,4.7700,4.5600,4.5700,6594900
2015-01-29,4.6100,4.6800,4.3700,4.4000,7142900
2015-01-30,4.3000,4.3600,4.1500,4.2000,7664000
2015-02-02,4.2400,4.3600,4.1500,4.3600,4262200
2015-02-03,4.4200,4.6500,4.4200,4.5500,4733300
2015-02-04,4.5500,4.6800,4.4200,4.4300,4668000
2015-02-05,4.4000,4.5400,4.3500,4.4300,4117800
2015-02-06,4.3900,4.5900,4.3000,4.5700,9262200
2015-02-09,4.5800,5.1200,4.5700,4.9800,8011100
2015-02-10,4.9000,5.2400,4.8900,5.0000,7931100
2015-02-11,4.9400,5.1100,4.8100,5.0400,4499500
2015-02-12,5.1300,5.2000,4.7900,4.8200,5892900
2015-02-13,4.8600,5.0700,4.7000,4.9300,6218700
2015-02-18,4.9300,5.1500,4.9300,5.0300,3883200
