date,open,high,low,close,volume
2020-09-21,8.9100,9.6900,8.7200,9.4600,17307900
2020-09-22,9.4100,9.6700,9.2900,9.6700,2531900
2020-09-23,9.6300,9.7300,9.5300,9.6400,2641500
2020-09-24,9.6400,10.0000,9.5200,10.0000,1182700
2020-09-25,9.9800,10.3900,9.8200,10.3900,863900
2020-09-28,10.3900,10.7000,9.9100,10.2900,1667600
2020-09-29,10.7500,10.9700,10.1500,10.2200,2452000
2020-09-30,10.4000,10.8000,10.1100,10.8000,1756200
2020-10-01,10.6900,11.1000,10.5600,11.1000,2213400
2020-10-02,10.9100,11.2000,10.6000,10.6800,1126100
2020-10-05,10.8000,10.9000,10.4000,10.9000,1528700
2020-10-06,10.9000,11.1900,10.7200,11.1000,1082100
2020-10-07,11.1000,11.1000,10.8100,10.9500,668900
2020-10-08,11.0000,11.0200,10.7800,10.9000,743000
2020-10-09,11.0400,11.3500,10.9200,10.9600,1189500
2020-10-13,10.9600,11.1000,10.7500,10.7500,1092000
2020-10-14,10.8000,10.9500,10.6100,10.7200,493300
2020-10-15,10.7600,11.0900,10.5400,10.6400,1254100
2020-10-16,10.7900,10.8000,10.4400,10.5500,1282200
2020-10-19,10.8000,10.8000,10.4400,10.5100,339400
2020-10-20,10.5100,10.7000,10.5100,10.6600,322600
2020-10-21,10.6900,10.9500,10.5900,10.6800,745400
2020-10-22,10.8000,10.8500,10.4300,10.6000,768900
2020-10-23,10.5400,10.6700,10.2000,10.2000,1338000
2020-10-26,10.3400,10.4500,10.1700,10.2000,442000
2020-10-27,10.3100,10.3500,9.9700,10.3300,371000
2020-10-28,10.1900,10.2500,9.7800,9.8300,742400
2020-10-29,9.7700,10.4000,9.7200,10.4000,301000
2020-10-30,10.2600,10.7900,9.9600,10.7900,811400
2020-11-03,10.6900,10.7400,10.4400,10.7000,959700
2020-11-04,10.7500,11.3300,10.5800,11.2100,573000
2020-11-05,11.2100,11.3900,11.0600,11.2700,541400
2020-11-06,11.1600,11.5500,10.9500,11.3400,593700
2020-11-09,11.5500,11.7800,11.1900,11.3300,936300
2020-11-10,11.4600,11.4600,10.8300,10.8300,1107400
2020-11-11,10.9000,11.0300,10.7000,10.8500,558100
2020-11-12,10.8400,10.9600,10.5000,10.6000,558000
2020-11-13,10.6500,10.7500,10.4300,10.6000,692500
2020-11-16,10.5100,11.2300,10.5100,11.1000,684900
2020-11-17,10.9700,11.0000,10.8600,10.9400,399000
2020-11-18,10.9400,10.9400,10.4200,10.4200,723400
2020-11-19,10.4900,10.7400,10.3800,10.5500,524600
2020-11-23,10.9300,11.1000,10.5600,11.1000,698100
2020-11-24,11.0000,11.1900,10.7600,10.9400,1592200
2020-11-25,10.9000,11.2500,10.8600,11.2500,676800
2020-11-26,11.2100,11.3400,11.0000,11.1100,704700
2020-11-27,11.1200,11.3000,11.0700,11.3000,627700
2020-11-30,11.2800,11.4000,11.1400,11.3000,761900
2020-12-01,11.3800,11.4800,11.1800,11.3300,508800
2020-12-02,11.4000,11.4000,11.0000,11.1000,1036100
2020-12-03,11.1500,11.2900,11.0200,11.1700,524200
2020-12-04,11.1600,11.2600,10.9000,10.9000,617800
2020-12-07,10.9000,11.0500,10.6500,10.9000,562800
2020-12-08,10.7800,10.9800,10.7600,10.9000,423300
2020-12-09,10.9000,10.9800,10.6400,10.6400,576300
2020-12-10,10.6700,10.7300,10.1500,10.1500,1383200
2020-12-11,10.0800,10.2900,10.0100,10.2500,913800
2020-12-14,10.2500,10.4200,10.1300,10.1300,745900
2020-12-15,10.1300,10.3400,10.1300,10.3100,581400
2020-12-16,10.4000,10.4100,10.1500,10.4100,444100
2020-12-17,10.4300,10.5500,10.2900,10.5500,609100
2020-12-18,10.5600,10.6200,10.3500,10.6200,642100
2020-12-21,10.4400,10.4700,10.2100,10.2100,1171100
2020-12-22,10.2200,10.3100,9.9600,10.1400,1388500
2020-12-23,10.3900,10.4800,10.1900,10.2400,932300
2020-12-28,10.3400,10.4000,10.2100,10.3000,887500
2020-12-29,10.3000,10.8400,10.3000,10.5900,1074100
2020-12-30,10.6600,10.7700,10.4000,10.4000,1134000
2021-01-04,10.4400,10.6900,10.3100,10.4500,1296800
2021-01-05,10.6000,10.8900,10.4100,10.5900,978200
2021-01-06,10.6100,10.6800,10.1000,10.1800,1689800
2021-01-07,10.3500,10.6100,10.3300,10.5400,926900
2021-01-08,10.6300,10.9700,10.4300,10.6100,1182400
2021-01-11,10.6000,10.9500,10.5100,10.7100,1019700
2021-01-12,10.8600,10.8700,10.6400,10.7500,543700
2021-01-13,10.7400,11.2000,10.7400,11.1800,548200
2021-01-14,11.2100,11.4400,11.1400,11.3700,729400
2021-01-15,11.3700,11.5900,11.2000,11.5900,436700
2021-01-18,11.7400,11.7600,11.1500,11.1500,629500
2021-01-19,11.2300,11.5400,11.1500,11.3900,415500
2021-01-20,11.4200,11.6000,11.2600,11.5600,911400
2021-01-21,11.6600,11.7400,11.2700,11.5600,413200
2021-01-22,11.3800,11.4000,11.0100,11.0400,541000
2021-01-26,11.0400,11.2000,10.7800,11.0500,472500
2021-01-27,11.0500,11.1500,10.9200,11.0500,307800
2021-01-28,11.0500,11.1700,10.8800,11.0800,386300
2021-01-29,11.0700,11.1200,10.6800,10.8000,530900
2021-02-01,11.0100,11.0900,10.8000,11.0500,456700
2021-02-02,11.0700,11.4700,11.0100,11.1600,642000
2021-02-03,11.3100,11.4500,11.2500,11.3900,437100
2021-02-04,11.4200,11.6800,11.1100,11.1200,821500
2021-02-05,11.2600,11.3000,10.9300,11.1900,568300
2021-02-08,11.2400,11.3100,10.9900,11.1600,464200
2021-02-09,11.1900,11.1900,10.7300,10.7800,575400
2021-02-10,10.8300,10.8800,10.5100,10.7700,606800
2021-02-11,10.7700,10.8800,10.5300,10.8000,620500
2021-02-12,10.7200,10.7200,10.4300,10.5400,599700
2021-02-17,10.6200,10.6200,10.2000,10.4400,564500
2021-02-18,10.4400,10.4800,10.1500,10.1500,554500
2021-02-19,10.2300,10.3900,10.0800,10.3600,603800
2021-02-22,10.0000,10.0700,9.7700,9.9200,897500
2021-02-23,10.0300,10.1300,9.8100,10.0100,600700
2021-02-24,10.0900,10.0900,9.8100,10.0900,494300
2021-02-25,10.0000,10.0600,9.7300,9.8100,588300
2021-02-26,9.8400,9.8500,9.4300,9.5500,675600
2021-03-01,9.6300,9.6700,9.2500,9.3700,935800
2021-03-02,9.3500,9.4900,9.0200,9.2700,1100900
2021-03-03,9.2500,9.2700,8.6900,8.9600,965400
2021-03-04,9.0600,9.3400,8.9100,9.3300,1082100
2021-03-05,9.3300,9.4600,8.9900,9.4600,905900
2021-03-08,9.3400,9.3500,8.6200,8.6500,908200
2021-03-09,8.6900,8.8100,8.2400,8.4800,1676700
2021-03-10,8.5100,8.7500,8.2600,8.5100,1069100
2021-03-11,8.6200,8.7200,8.4100,8.6100,1165500
2021-03-12,8.5000,8.7200,8.4400,8.7200,469600
2021-03-15,8.6500,8.8400,8.5700,8.7800,607000
2021-03-16,8.7500,8.8600,8.5300,8.6700,709800
2021-03-17,8.6700,8.9500,8.5900,8.8800,617600
2021-03-18,8.9000,8.9000,8.6100,8.8600,605900
2021-03-19,8.9100,9.5000,8.8800,9.2500,1069200
2021-03-22,9.3400,9.4400,9.1100,9.3500,686500
2021-03-23,9.3500,9.5400,9.1600,9.3500,1044100
2021-03-24,9.3600,9.4400,8.8600,8.8600,520800
2021-03-25,8.9000,9.7800,8.7400,8.9800,2487500
2021-03-26,9.0800,9.1900,8.8800,9.0000,1244000
2021-03-29,9.0000,9.0900,8.7700,9.0800,561600
2021-03-30,9.0700,9.4200,9.0000,9.3500,2669100
2021-03-31,9.3500,9.7400,9.3400,9.7400,1006800
2021-04-01,9.5700,9.7400,9.4700,9.5700,815200
2021-04-05,9.5600,9.8500,9.4700,9.8500,919500
2021-04-06,9.8500,9.9800,9.5600,9.8700,1216300
2021-04-07,9.7600,9.9900,9.7100,9.8100,1383000
2021-04-08,9.8600,9.9800,9.7100,9.9000,895700
2021-04-09,9.7600,10.2500,9.6700,10.2000,731800
2021-04-12,10.1900,10.1900,9.9600,10.0700,712500
2021-04-13,10.0700,10.1000,9.7300,9.9700,2033500
2021-04-14,10.2500,10.4500,9.8200,10.0600,1184800
2021-04-15,10.1500,10.3700,9.7100,10.1000,3040600
2021-04-16,10.1600,10.3900,10.0200,10.3700,731900
2021-04-19,10.3700,10.4900,10.1700,10.4900,785600
2021-04-20,10.4900,10.4900,10.1000,10.4500,926100
