date,open,high,low,close,volume
2015-01-02,12.6925,12.7090,12.4205,12.5277,115750
2015-01-05,12.6678,12.6678,12.2639,12.3628,160885
2015-01-06,12.3546,12.7255,12.1156,12.1980,161734
2015-01-07,12.2722,12.3216,12.0167,12.0909,169378
2015-01-08,12.1650,12.1980,11.6623,11.6623,240235
2015-01-09,11.7200,11.7200,11.4150,11.5387,104466
2015-01-12,11.5799,11.7035,11.0689,11.0854,405974
2015-01-13,11.1595,11.5387,11.1266,11.4480,141229
2015-01-14,11.4562,11.5057,11.2337,11.3491,336937
2015-01-15,11.5304,11.8106,11.3326,11.5387,118176
2015-01-16,11.6623,11.7612,11.3408,11.6788,484475
2015-01-19,11.6458,11.8271,11.4150,11.8271,91362
2015-01-20,11.8683,11.8683,11.2584,11.5387,366663
2015-01-21,11.5469,11.7859,11.3656,11.6211,88450
2015-01-22,11.5799,11.7777,11.3821,11.7777,177265
2015-01-23,11.5799,11.8189,11.3821,11.8189,105558
2015-01-26,11.7117,11.7447,11.4974,11.4974,156396
2015-01-27,11.5057,11.5139,11.2914,11.2914,247515
2015-01-28,11.2007,11.2667,10.8216,10.8793,108591
2015-01-29,10.9864,11.0194,10.4754,10.8793,214271
2015-01-30,10.5991,10.6568,10.3271,10.4013,800665
2015-02-02,10.2529,10.5496,10.1458,10.5496,164039
2015-02-03,10.6320,11.2914,10.2282,11.2914,297625
2015-02-04,11.2007,11.2007,10.7639,11.0112,159914
2015-02-05,10.9370,11.6046,10.9123,11.2914,883170
2015-02-06,11.7035,11.9672,11.5222,11.8271,1186741
2015-02-09,11.9013,12.0744,11.8848,12.0744,554241
2015-02-10,12.0826,12.4041,11.9507,11.9507,199104
2015-02-11,11.9343,12.1898,11.8931,11.9920,218881
2015-02-12,12.1073,12.3216,11.9590,11.9920,351132
2015-02-13,11.9425,12.2804,11.6623,12.2804,186850
2015-02-18,12.2887,12.4205,12.0002,12.0744,92939
2015-02-19,11.9837,12.1568,11.9837,12.0744,124607
2015-02-20,12.0991,12.2392,11.9507,12.0332,85781
2015-02-23,12.0167,12.1238,11.7612,11.7859,137589
2015-02-24,11.7117,11.9343,11.6458,11.8271,338999
2015-02-25,11.7777,12.1815,11.7200,11.9178,119147
2015-02-26,11.8601,11.9755,11.4562,11.8189,586272
2015-02-27,11.8518,12.0249,11.7365,11.7777,240478
2015-03-02,11.7694,11.8189,11.5963,11.6788,126548
2015-03-03,11.8601,11.8601,11.4480,11.6211,125335
2015-03-04,11.5222,11.7777,11.4810,11.7777,378311
2015-03-05,11.8271,11.9425,11.7365,11.7365,96094
2015-03-06,11.7117,11.7200,11.4150,11.6623,223128
2015-03-09,11.6046,11.6293,11.1183,11.2749,1799949
2015-03-10,11.2007,11.4562,11.0359,11.4562,206869
2015-03-11,11.3738,11.4562,11.2914,11.4150,279789
2015-03-12,11.4810,11.5799,11.3738,11.5387,208325
2015-03-13,11.5057,11.5057,11.1760,11.2914,256494
2015-03-16,11.3161,11.3985,10.9947,11.1183,256251
2015-03-17,11.0854,11.2255,11.0277,11.1266,236110
2015-03-18,11.1101,11.4150,11.0112,11.4150,491755
