date,open,high,low,close,volume
2021-04-30,10.1900,10.2200,10.0000,10.0100,6254200
2021-05-03,10.1000,10.1500,9.7300,9.8800,6947800
2021-05-04,9.8900,9.8900,9.5000,9.7000,11185100
2021-05-05,9.7400,9.9400,9.6000,9.9400,4151800
2021-05-06,9.9300,10.3900,9.7800,10.3900,8034200
2021-05-07,10.2700,10.9500,10.1200,10.9500,8605000
2021-05-10,10.9500,11.3900,10.7500,11.2300,9466400
2021-05-11,11.0800,11.9900,11.0500,11.8300,11765200
2021-05-12,11.8300,12.2500,11.4000,11.6500,12877700
2021-05-13,11.7500,12.2000,11.7200,12.1400,8102600
2021-05-14,12.2900,12.4400,12.2100,12.3300,5249200
2021-05-17,12.4500,12.9500,12.2000,12.3000,5857800
2021-05-18,12.4300,12.5800,12.1600,12.4000,4891400
2021-05-19,12.3000,12.4000,11.8900,12.2800,5181300
2021-05-20,12.2000,12.3000,12.0200,12.3000,4082200
2021-05-21,12.3200,12.3900,11.9900,11.9900,2817700
2021-05-24,12.0500,12.1500,11.8000,12.0000,3721400
2021-05-25,12.0100,12.1500,11.8800,12.1500,3450400
2021-05-26,12.2100,12.3000,12.0000,12.0000,2363000
2021-05-27,12.0400,12.1900,12.0400,12.1900,1789300
2021-05-28,12.2300,12.2500,12.0400,12.1500,1658800
2021-05-31,12.1700,12.2900,12.0500,12.2900,2325600
2021-06-01,12.2500,12.4000,11.8800,12.0000,3233700
2021-06-02,12.0300,12.1300,11.8200,11.9400,3111800
2021-06-04,11.9300,12.0500,11.5900,11.7000,3727100
2021-06-07,11.7200,11.8200,11.6500,11.7800,1284400
2021-06-08,11.7600,11.7700,11.0100,11.1000,4315100
2021-06-09,11.1400,11.2400,10.9600,11.1400,1577700
2021-06-10,11.2100,12.1000,11.1700,11.7800,7858200
2021-06-11,12.1300,12.2800,11.8100,11.9300,6123700
2021-06-14,11.8000,12.2700,11.5700,12.2700,9065900
2021-06-15,12.1600,12.2500,11.8700,11.9300,5688200
2021-06-16,11.9300,12.1000,11.8100,12.1000,4024100
2021-06-17,12.0500,12.7000,12.0300,12.5400,11173200
2021-06-18,12.5400,12.8300,12.1300,12.6000,4925700
2021-06-21,12.5900,12.8400,12.4900,12.8400,4931300
2021-06-22,12.7300,12.9500,12.6200,12.8800,3175500
2021-06-23,12.8500,13.2300,12.8300,12.9300,3780500
2021-06-24,13.0000,13.1500,12.8000,13.0200,4380300
2021-06-25,13.0000,13.0900,12.7000,12.9400,3662900
2021-06-28,12.8900,13.4100,12.8200,13.4100,6771400
2021-06-29,13.2500,13.2500,12.6200,13.1300,10700000
2021-06-30,13.0900,13.2800,12.9400,13.0700,5437200
