date,open,high,low,close,volume
2015-01-02,2.6955,2.7022,2.6225,2.6856,738343
2015-01-05,2.6524,2.6524,2.4930,2.5561,2236417
2015-01-06,2.5163,2.5727,2.4831,2.4831,896796
2015-01-07,2.4930,2.6026,2.4930,2.5295,2387339
2015-01-08,2.5561,2.5959,2.5229,2.5760,2063203
2015-01-09,2.5528,2.5528,2.4133,2.4499,1685747
2015-01-12,2.4233,2.4731,2.4067,2.4233,1088385
2015-01-13,2.4465,2.4665,2.3569,2.4200,1770697
2015-01-14,2.3835,2.3934,2.2938,2.3204,4279136
2015-01-15,2.3304,2.3503,2.2374,2.2374,4145083
2015-01-16,2.2374,2.2872,2.2374,2.2573,1101037
2015-01-19,2.2739,2.2739,2.1909,2.2142,1041090
2015-01-20,2.2374,2.2972,2.1411,2.2075,1429391
2015-01-21,2.2109,2.3901,2.1909,2.3503,2177072
2015-01-22,2.3735,2.4532,2.2806,2.3569,2304799
2015-01-23,2.3104,2.4001,2.2806,2.3901,795277
2015-01-26,2.3370,2.3835,2.2573,2.3403,1568564
2015-01-27,2.3436,2.3436,2.1743,2.3237,3115741
2015-01-28,2.3237,2.3237,2.2241,2.2540,4201717
2015-01-29,2.2241,2.2374,2.1777,2.1909,1153152
2015-01-30,2.1644,2.1743,2.0781,2.1577,1120317
2015-02-02,2.1710,2.1909,2.1013,2.1909,544042
2015-02-03,2.2075,2.2208,2.1345,2.1577,2027054
2015-02-04,2.1312,2.1544,2.0250,2.0250,4278533
2015-02-05,2.0316,2.1411,2.0183,2.1212,1786362
2015-02-06,2.1279,2.1279,2.0283,2.0515,2081579
2015-02-09,2.0349,2.0482,1.9818,2.0050,2755155
2015-02-10,1.9586,2.0283,1.9552,1.9918,1924933
2015-02-11,1.9918,2.0017,1.9121,1.9220,1011267
2015-02-12,1.9287,1.9685,1.8955,1.9420,4458073
2015-02-13,1.9320,2.0283,1.9121,2.0283,2457227
2015-02-18,1.9951,2.1279,1.9951,2.1079,2829260
2015-02-19,2.1079,2.1511,2.0847,2.1345,916979
2015-02-20,2.1445,2.1445,2.0216,2.0382,1164298
2015-02-23,2.0216,2.0416,1.9685,1.9685,1194723
2015-02-24,1.9918,2.0382,1.9718,2.0150,1011267
2015-02-25,2.0017,2.0283,1.9619,2.0150,1234186
2015-02-26,2.0581,2.0681,2.0017,2.0416,2055069
2015-02-27,2.0482,2.0482,1.8457,1.8656,3710693
2015-03-02,1.9453,1.9619,1.8955,1.9054,3232623
2015-03-03,1.9187,1.9552,1.8623,1.8756,2998558
2015-03-04,1.8922,1.8922,1.8225,1.8590,1837573
2015-03-05,1.8590,1.8656,1.7859,1.7859,1803533
2015-03-06,1.7992,1.8590,1.7992,1.8225,647970
2015-03-09,1.8258,1.9220,1.8191,1.8590,1971324
2015-03-10,1.8789,1.9287,1.7660,1.9287,11544178
2015-03-11,1.9220,1.9918,1.8457,1.8557,13076594
2015-03-12,1.8855,1.9586,1.8623,1.9420,4230033
2015-03-13,1.9154,2.0316,1.8888,1.9586,9301435
2015-03-16,2.0084,2.1046,1.9685,2.0449,3869146
2015-03-17,2.0581,2.0581,1.9320,1.9552,5980247
2015-03-18,1.9586,2.0416,1.9353,2.0250,1837874
2015-03-19,2.0250,2.0814,1.9984,2.0449,3039828
2015-03-20,2.0615,2.1079,1.9984,2.0349,3222682
2015-03-23,2.0482,2.0781,2.0183,2.0183,1816787
2015-03-24,2.0349,2.0714,2.0084,2.0581,2428910
2015-03-25,2.0548,2.0747,2.0250,2.0316,3611886
2015-03-26,2.0382,2.1212,1.9984,2.0250,4120080
2015-03-27,2.0416,2.0714,1.9652,2.0050,2586761
2015-03-30,1.9851,2.0515,1.9752,2.0084,3720031
2015-03-31,2.0216,2.0847,2.0117,2.0681,3147070
2015-04-01,2.0913,2.1179,2.0747,2.1013,2856974
2015-04-02,2.1079,2.1943,2.0980,2.1909,4708706
2015-04-06,2.1943,2.3237,2.1743,2.2308,4940060
2015-04-07,2.2341,2.2507,2.1279,2.1843,3323296
2015-04-08,2.2142,2.2341,2.0980,2.1245,3487172
2015-04-09,2.1312,2.1445,2.0250,2.0714,4885535
2015-04-10,2.0747,2.1843,2.0747,2.1710,10492544
2015-04-13,2.1544,2.2075,2.1544,2.1909,1853539
2015-04-14,2.1943,2.2042,2.1577,2.1743,1425474
2015-04-15,2.1843,2.2640,2.1777,2.2407,1533319
2015-04-16,2.2606,2.3104,2.2274,2.2739,4159242
2015-04-17,2.2573,2.2673,2.2009,2.2440,2575313
2015-04-20,2.2009,2.2009,2.1079,2.1511,5794983
2015-04-22,2.1677,2.2075,2.1378,2.1909,2033079
2015-04-23,2.2142,2.2374,2.1611,2.1976,3103390
2015-04-24,2.2109,2.2142,2.1577,2.1876,1976747
2015-04-27,2.2009,2.2009,2.1378,2.1909,1387217
2015-04-28,2.1876,2.1909,2.0747,2.1544,4444819
2015-04-29,2.0781,2.0781,2.0084,2.0183,3227200
2015-04-30,2.0382,2.1179,2.0382,2.1179,3324501
2015-05-04,2.1445,2.1544,2.1079,2.1245,5020491
2015-05-05,2.1079,2.1245,2.0681,2.0913,3376917
2015-05-06,2.0781,2.1146,2.0581,2.1013,6137796
2015-05-07,2.0781,2.0947,2.0382,2.0581,858237
2015-05-08,2.0615,2.0781,2.0382,2.0581,2916921
2015-05-11,2.0615,2.0747,1.9486,1.9486,5471751
2015-05-12,1.9619,1.9918,1.8457,1.9088,5905840
2015-05-13,1.9586,1.9586,1.8756,1.8756,879022
2015-05-14,1.8922,1.9254,1.8723,1.9254,2540972
2015-05-15,1.9453,2.0515,1.9054,1.9918,653694
2015-05-18,1.9420,1.9984,1.9420,1.9918,5309683
2015-05-19,2.0183,2.0515,1.9785,2.0250,1072721
2015-05-20,2.0316,2.0681,2.0117,2.0117,2002955
2015-05-21,1.9951,2.0416,1.9951,1.9951,1966203
2015-05-22,2.0316,2.0416,1.9685,1.9685,1457406
2015-05-25,2.0050,2.0050,1.9121,1.9121,1779433
2015-05-26,1.9187,1.9187,1.8059,1.8590,2684363
2015-05-27,1.8822,1.8822,1.8225,1.8822,1652309
2015-05-28,1.8523,1.8723,1.7926,1.8590,2854564
2015-05-29,1.8590,1.9519,1.8191,1.8391,3028682
2015-06-01,1.8557,1.8557,1.7859,1.8291,1013979
2015-06-02,1.7826,1.8457,1.7793,1.7992,1616462
2015-06-03,1.8158,1.8590,1.7992,1.7992,1020907
2015-06-05,1.8258,1.8258,1.7627,1.7627,889265
2015-06-08,1.7561,1.7859,1.6830,1.7262,1634837
2015-06-09,1.7063,1.7494,1.6498,1.7096,510001
2015-06-10,1.7328,1.7328,1.6698,1.6930,1194121
2015-06-11,1.6996,1.7129,1.6100,1.6233,2453311
2015-06-12,1.6200,1.6565,1.5303,1.5337,9476757
2015-06-15,1.5337,1.5337,1.4938,1.5237,4274015
2015-06-16,1.5204,1.5436,1.4606,1.5436,3299498
2015-06-17,1.5237,1.5868,1.4673,1.4673,3769736
2015-06-18,1.4739,1.4905,1.4473,1.4905,1233584
2015-06-19,1.4772,1.5171,1.4606,1.4938,1090795
2015-06-22,1.5038,1.5370,1.4706,1.4905,1480903
2015-06-23,1.4839,1.5303,1.4673,1.5270,4954820
2015-06-24,1.5237,1.5934,1.5104,1.5403,3050673
2015-06-25,1.5569,1.6100,1.5137,1.5834,2445177
2015-06-26,1.6100,1.6731,1.6034,1.6731,1476686
2015-06-29,1.6598,1.6731,1.6000,1.6233,1473071
2015-06-30,1.6266,1.6996,1.5469,1.6764,3548625
2015-07-01,1.6698,1.6830,1.5768,1.6830,4378545
2015-07-02,1.6897,1.7162,1.6366,1.6598,1732440
2015-07-03,1.6731,1.6731,1.6000,1.6067,643150
2015-07-06,1.6100,1.6166,1.5569,1.5569,1702918
2015-07-07,1.5436,1.5602,1.5038,1.5171,1433307
2015-07-08,1.5171,1.5403,1.4905,1.5403,728100
2015-07-10,1.5436,1.5602,1.5137,1.5602,399145
2015-07-13,1.5602,1.5868,1.4872,1.4872,1429993
2015-07-14,1.4839,1.4938,1.4374,1.4772,2484037
2015-07-15,1.4805,1.5071,1.4639,1.4905,1721595
2015-07-16,1.5071,1.5104,1.4772,1.4938,594650
2015-07-17,1.4938,1.5237,1.4639,1.4772,771178
2015-07-20,1.4772,1.4805,1.4341,1.4706,3623634
2015-07-21,1.4573,1.4706,1.4307,1.4473,1132366
2015-07-22,1.4639,1.4905,1.4341,1.4407,2498196
2015-07-23,1.3577,1.3577,1.3013,1.3112,2804558
2015-07-24,1.3013,1.3013,1.2316,1.2382,1478794
2015-07-27,1.2681,1.2681,1.2017,1.2083,1947526
2015-07-28,1.2183,1.2747,1.1917,1.1951,2715692
2015-07-29,1.1984,1.2747,1.1718,1.2747,4784318
2015-07-30,1.3013,1.3245,1.2017,1.2117,2185808
2015-07-31,1.2216,1.2548,1.1884,1.2316,1570070
2015-08-03,1.2382,1.2415,1.1884,1.2117,1417040
2015-08-04,1.1951,1.1951,1.1021,1.1287,2132488
2015-08-05,1.1287,1.1851,1.1054,1.1619,2189423
2015-08-06,1.1552,1.1851,1.1320,1.1552,2154479
2015-08-07,1.1453,1.1619,1.1021,1.1419,1700809
2015-08-10,1.1619,1.1785,1.1121,1.1287,1483915
2015-08-11,1.1253,1.1751,1.0855,1.1287,2205991
2015-08-12,1.1386,1.1685,1.0955,1.1519,3319681
2015-08-13,1.1486,1.1585,1.1121,1.1253,1896918
2015-08-14,1.1187,1.1785,1.1187,1.1785,3539286
2015-08-17,1.1851,1.2150,1.0988,1.1087,2898244
2015-08-18,1.1121,1.1220,1.0888,1.0888,1361009
2015-08-19,1.1121,1.1253,1.0291,1.0424,3095558
2015-08-20,1.0357,1.0623,1.0058,1.0556,2650323
2015-08-21,1.0523,1.0888,1.0191,1.0457,1948129
2015-08-24,1.0224,1.1220,0.9992,1.0988,3863422
2015-08-25,1.1087,1.1419,1.0457,1.0523,3630563
2015-08-26,1.0457,1.0656,1.0125,1.0656,1484518
2015-08-27,1.0722,1.1187,1.0457,1.1121,2249069
2015-08-28,1.1054,1.1187,1.0589,1.0689,2734670
2015-08-31,1.0689,1.1353,1.0523,1.1187,2271060
2015-09-01,1.1121,1.1121,1.0457,1.0556,2448491
2015-09-02,1.0656,1.0855,1.0191,1.0589,2749130
2015-09-03,1.0656,1.1320,1.0424,1.1187,3271181
2015-09-04,1.1121,1.1320,1.0755,1.0755,1717980
2015-09-08,1.0789,1.0921,1.0324,1.0490,2106883
2015-09-09,1.0556,1.1419,1.0324,1.1121,3086822
2015-09-10,1.0722,1.1054,1.0556,1.0789,1755334
2015-09-11,1.0722,1.1785,1.0523,1.1552,3113030
2015-09-14,1.1619,1.2050,1.0988,1.1486,1656226
2015-09-15,1.1386,1.2548,1.1187,1.2216,1594170
2015-09-16,1.2415,1.2747,1.2216,1.2614,1938790
2015-09-17,1.2581,1.2946,1.2283,1.2780,1547176
2015-09-18,1.2681,1.2681,1.2050,1.2349,2972049
2015-09-21,1.2448,1.2448,1.2017,1.2117,2734670
2015-09-22,1.1951,1.2216,1.1785,1.1851,1766179
2015-09-23,1.1984,1.2083,1.1585,1.1718,1863781
2015-09-24,1.1818,1.1951,1.1353,1.1718,1348055
2015-09-25,1.1785,1.2283,1.1419,1.2083,1364925
2015-09-28,1.1984,1.2349,1.1984,1.2249,1113087
2015-09-29,1.2382,1.2415,1.2017,1.2183,932643
2015-09-30,1.2183,1.2681,1.1951,1.2017,2433730
2015-10-01,1.2083,1.2216,1.1718,1.1951,2531633
2015-10-02,1.1818,1.2216,1.1685,1.2017,1307388
2015-10-05,1.2050,1.2980,1.2050,1.2780,2301786
2015-10-06,1.2880,1.3245,1.2482,1.2614,2418969
2015-10-07,1.2946,1.3378,1.2747,1.3046,3708885
2015-10-08,1.3046,1.3942,1.3046,1.3710,2871434
2015-10-09,1.3942,1.4141,1.3245,1.3511,3163939
2015-10-13,1.3511,1.3677,1.3013,1.3411,2290640
2015-10-14,1.3478,1.3644,1.3146,1.3544,935355
2015-10-15,1.3644,1.4108,1.2714,1.2880,2000243
2015-10-16,1.2946,1.3212,1.2448,1.2714,2676832
2015-10-19,1.2648,1.2847,1.2448,1.2847,656706
2015-10-20,1.2780,1.2980,1.2548,1.2714,777203
2015-10-21,1.2747,1.2747,1.2117,1.2316,1746899
2015-10-22,1.2415,1.2614,1.2316,1.2482,749790
2015-10-23,1.2548,1.2747,1.2117,1.2614,887758
2015-10-26,1.2515,1.2747,1.2117,1.2216,2184001
2015-10-27,1.2150,1.2349,1.1851,1.2117,1405894
2015-10-28,1.2448,1.2581,1.2382,1.2482,267201
2015-10-29,1.2216,1.2249,1.1519,1.1718,3321188
2015-10-30,1.1685,1.2117,1.1585,1.1751,894687
2015-11-03,1.1685,1.2415,1.1652,1.2117,1434512
2015-11-04,1.2117,1.2780,1.2117,1.2515,1127245
2015-11-05,1.2548,1.3212,1.2382,1.3212,1229667
2015-11-06,1.3179,1.3179,1.2515,1.2515,1013677
2015-11-09,1.2548,1.2780,1.2382,1.2648,480781
2015-11-10,1.2548,1.2548,1.1951,1.2349,1102544
2015-11-11,1.2382,1.3112,1.2249,1.3079,701892
2015-11-12,1.3013,1.3278,1.2448,1.2980,667250
2015-11-13,1.2880,1.3577,1.2780,1.2780,807929
2015-11-16,1.2648,1.3046,1.2548,1.2913,580793
2015-11-17,1.2880,1.3577,1.2814,1.3312,1682132
2015-11-18,1.3411,1.3444,1.2648,1.2648,1552297
2015-11-19,1.2814,1.2880,1.2150,1.2880,1073022
2015-11-23,1.2814,1.2814,1.2448,1.2482,568442
2015-11-24,1.2482,1.2581,1.1851,1.2117,1148935
2015-11-25,1.1851,1.2117,1.1685,1.2083,872395
2015-11-26,1.2017,1.2150,1.1851,1.2117,459393
2015-11-27,1.1984,1.2216,1.1818,1.1818,884445
2015-11-30,1.1751,1.2482,1.0755,1.1519,5539229
2015-12-01,1.1552,1.1951,1.1154,1.1951,1851129
2015-12-02,1.2050,1.2083,1.1453,1.1619,1057960
2015-12-03,1.1851,1.2415,1.1619,1.2349,675383
2015-12-04,1.2117,1.2548,1.1685,1.2548,790457
2015-12-07,1.2847,1.2847,1.2283,1.2681,990180
2015-12-08,1.2515,1.2648,1.2216,1.2648,597964
2015-12-09,1.2780,1.2946,1.2150,1.2216,1273348
2015-12-10,1.2083,1.2183,1.1818,1.1951,387697
