date,open,high,low,close,volume
2020-08-10,16.7000,16.7500,15.2000,15.5800,4983900
2020-08-11,15.5100,15.6800,14.3500,14.6000,1908000
2020-08-12,14.7000,14.9900,13.3100,13.3500,2357000
2020-08-13,13.3500,13.5200,12.2500,12.2500,2032000
2020-08-14,12.8600,13.2300,12.7500,12.7500,1140500
2020-08-17,12.9000,13.3700,12.1500,12.7400,706800
2020-08-18,12.7400,12.9800,12.6500,12.7800,426400
2020-08-19,12.7900,12.8300,12.3000,12.3000,407800
2020-08-20,12.3000,12.3000,11.8000,11.8000,737200
2020-08-21,11.8000,12.3400,11.7000,12.2800,861500
2020-08-24,12.5600,12.9400,12.5600,12.9400,203600
2020-08-25,12.9400,13.4000,12.5900,12.5900,520600
2020-08-26,12.8000,13.1200,11.8100,12.0000,494600
2020-08-27,12.3100,12.3100,11.8400,11.9400,364200
2020-08-28,11.9400,12.3000,11.9400,12.1200,177400
2020-08-31,12.1500,12.4600,11.9500,12.1000,197000
2020-09-01,12.1000,12.2600,12.0500,12.1800,213500
2020-09-02,12.2500,12.4500,11.8500,11.8700,202300
2020-09-03,11.9100,12.1200,11.8700,11.9700,126800
2020-09-04,12.0100,12.0200,11.8200,11.8800,122800
2020-09-08,11.8500,12.0000,11.8000,11.9800,163200
2020-09-09,11.9100,12.0000,11.7900,11.8700,147600
2020-09-10,11.9700,11.9700,11.0500,11.8300,247500
2020-09-11,11.7800,11.8000,11.2600,11.3000,450400
2020-09-14,11.3000,11.5100,11.1600,11.3000,559900
2020-09-15,11.5000,11.5600,11.1200,11.1200,192600
2020-09-16,11.1600,11.2600,10.7300,10.7800,429400
2020-09-17,10.7900,10.8900,10.3700,10.6500,290300
2020-09-18,10.5400,10.8900,9.9500,10.0000,598200
2020-09-21,10.3800,12.0200,10.1000,11.5000,1775800
2020-09-22,12.0300,13.2300,12.0300,13.1000,3185100
2020-09-23,13.3500,14.4900,13.3000,14.1800,3940700
2020-09-24,14.1800,14.1800,12.9000,12.9400,1854400
2020-09-25,12.9000,13.6400,12.1400,12.8800,997600
2020-09-28,13.2500,13.4700,12.4200,12.5100,489600
2020-09-29,12.6500,12.9500,11.7500,11.8600,906100
2020-09-30,11.9100,12.1900,11.3600,11.3600,747300
2020-10-01,11.4400,11.6400,10.9100,11.5000,1226000
2020-10-02,11.5000,11.8500,11.1800,11.4400,382400
2020-10-05,11.5800,11.7500,11.2600,11.4000,345000
2020-10-06,11.4900,11.6900,11.1600,11.3700,238600
2020-10-07,11.5300,11.5400,11.0000,11.0500,287700
2020-10-08,11.0600,11.3000,11.0100,11.1400,171100
2020-10-09,11.0900,11.3500,11.0100,11.1000,305000
2020-10-13,11.1000,11.2000,11.0000,11.0000,272500
2020-10-14,11.0100,11.3300,10.9200,11.1500,306200
2020-10-15,11.0100,11.8800,11.0100,11.2300,638900
2020-10-16,11.2500,11.4800,10.9200,10.9200,489600
2020-10-19,10.9600,11.1500,10.8600,10.8900,340900
2020-10-20,10.8900,11.5700,10.8900,11.2200,644800
2020-10-21,11.1800,11.6900,11.1800,11.4800,320000
2020-10-22,11.5300,11.6400,11.3600,11.4000,121500
2020-10-23,11.4000,11.5500,11.1500,11.1600,251500
2020-10-26,11.1500,11.2900,10.8900,10.8900,184200
2020-10-27,10.9400,11.1300,10.8500,11.0100,164300
2020-10-28,10.6900,10.6900,10.2000,10.2000,459500
2020-10-29,10.2400,10.4800,9.9500,10.2700,425200
2020-10-30,10.2700,10.4000,9.9500,9.9900,505800
2020-11-03,10.2000,10.5000,9.7500,10.0000,447200
2020-11-04,10.0900,10.1700,9.9000,10.1700,330400
2020-11-05,10.3600,11.3000,10.3600,10.8500,602900
2020-11-06,10.8200,10.9500,10.5200,10.7800,301200
2020-11-09,11.1100,11.2900,10.6600,10.6600,367000
2020-11-10,10.7000,10.9500,10.5400,10.5600,300100
2020-11-11,10.5400,10.6400,10.4200,10.5400,200700
2020-11-12,10.5600,10.6600,10.3300,10.3500,193600
2020-11-13,10.3700,10.6500,10.2500,10.2800,219200
2020-11-16,10.4300,10.9000,10.4300,10.7500,322200
2020-11-17,10.7100,10.9900,10.6500,10.8500,235000
2020-11-18,10.9000,11.0200,10.6900,10.7800,219000
2020-11-19,10.7700,10.9600,10.5000,10.6400,248100
2020-11-23,10.7100,10.9500,10.7000,10.7700,228000
2020-11-24,10.8600,10.9300,10.6000,10.9100,298500
2020-11-25,10.9100,11.4600,10.8800,10.9800,450700
2020-11-26,11.1000,11.4000,10.9000,11.3000,332000
2020-11-27,11.4200,11.4900,11.1300,11.2800,269100
2020-11-30,11.1500,11.4400,11.1100,11.1100,268400
2020-12-01,11.3300,11.4300,11.0000,11.0900,306900
2020-12-02,11.1000,11.2900,10.9000,10.9500,328100
2020-12-03,11.0800,11.7100,11.0000,11.4900,384500
2020-12-04,11.5700,11.7400,11.2900,11.4000,206100
2020-12-07,11.4600,11.6200,11.4000,11.5000,294100
2020-12-08,11.5000,11.5900,11.1900,11.5500,215800
