date,open,high,low,close,volume
2015-01-02,6.5073,6.5073,6.0843,6.2470,1507353
2015-01-05,6.2470,6.3039,6.0437,6.2958,1669879
2015-01-06,6.2551,6.3853,6.1738,6.2145,1419821
2015-01-07,6.2389,6.5398,6.1982,6.4097,1421665
2015-01-08,6.5317,6.5317,6.3527,6.4666,882332
2015-01-09,6.4016,6.4016,6.2145,6.3772,1349992
2015-01-12,6.2877,6.3039,6.1413,6.1575,1822323
2015-01-13,6.1982,6.4422,6.1819,6.4097,1705654
2015-01-14,6.2795,6.4178,6.2551,6.3853,3442289
2015-01-15,6.3039,6.4422,6.3039,6.3365,4053910
2015-01-16,6.3283,6.4016,6.1657,6.2389,3369017
2015-01-19,6.2389,6.2877,5.8810,5.9379,1489773
2015-01-20,5.9460,6.0518,5.7346,5.7996,2114917
2015-01-21,5.7915,6.0518,5.7590,6.0274,1617507
2015-01-22,6.0518,6.1413,5.9216,6.0843,1079772
2015-01-23,5.9216,6.1250,5.9135,6.0681,3456796
2015-01-26,6.0192,6.2226,5.9786,6.1331,3899744
2015-01-27,6.1006,6.2551,6.0437,6.2470,3213254
2015-01-28,6.1901,6.2063,6.0925,6.1819,2990365
2015-01-29,6.1006,6.2795,6.1006,6.2307,1753969
2015-01-30,6.1575,6.2389,5.9623,6.0192,2380834
2015-02-02,5.9867,6.2714,5.9542,6.2551,1529605
2015-02-03,6.3039,6.4260,6.1901,6.2795,1599558
2015-02-04,6.2389,6.4097,6.2063,6.3039,2719654
2015-02-05,6.3202,6.5236,6.3121,6.4016,1322330
2015-02-06,6.2714,6.3690,6.0599,6.2063,2155241
2015-02-09,6.2063,6.3527,6.1331,6.3283,1042153
2015-02-10,6.3365,6.3690,6.1169,6.1331,1450064
2015-02-11,6.1169,6.1657,6.0274,6.1575,2780755
2015-02-12,6.1413,6.2389,6.0355,6.1169,1833019
2015-02-13,6.1657,6.3039,6.1006,6.3039,1877891
2015-02-18,6.3039,6.5968,6.2958,6.4016,2318013
2015-02-19,6.4260,6.4504,6.1494,6.1982,2042015
2015-02-20,6.2470,6.5236,6.1575,6.3121,1681435
2015-02-23,6.3283,6.3772,6.2063,6.2226,821723
2015-02-24,6.2145,6.4666,6.2063,6.4666,1194351
2015-02-25,6.2958,6.4178,6.2063,6.3039,2286786
2015-02-26,6.3283,6.3446,6.2307,6.2633,1414412
2015-02-27,6.3202,6.3202,6.1087,6.1738,2103730
2015-03-02,6.2226,6.3283,6.1657,6.2145,1426583
2015-03-03,6.1901,6.6700,6.1901,6.5073,3876632
2015-03-04,6.4992,6.8001,6.4422,6.7025,4067064
2015-03-05,6.7920,6.7920,6.4178,6.4260,3255790
2015-03-06,6.4829,6.5480,6.3202,6.3609,1617630
2015-03-09,6.3446,6.4504,6.2958,6.3039,1085796
2015-03-10,6.2714,6.4992,6.2633,6.4260,1961613
2015-03-11,6.3934,6.4829,6.3121,6.4016,1789006
2015-03-12,6.3690,6.5398,6.3690,6.4666,1458178
2015-03-13,6.3690,6.4992,6.3527,6.4748,1429164
2015-03-16,6.4097,6.5642,6.4097,6.4178,791480
2015-03-17,6.4341,6.6293,6.4341,6.5480,1072273
2015-03-18,6.6293,6.9872,6.5561,6.7188,1996158
2015-03-19,6.7432,6.8489,6.6781,6.7106,937655
