date,open,high,low,close,volume
2015-01-02,19.2000,19.2000,18.2171,18.6343,1004850
2015-01-05,18.4457,18.7886,18.0971,18.6571,1048250
2015-01-06,18.6914,19.2457,18.4686,19.0343,1316875
2015-01-07,19.0971,19.7771,19.0400,19.5143,1106875
2015-01-08,19.5200,19.7143,19.4457,19.7143,966700
2015-01-09,19.6114,19.6114,17.9486,18.2000,1598975
2015-01-12,18.2286,18.4571,17.2914,17.6857,1457050
2015-01-13,17.7886,18.0000,17.5771,17.8343,1690850
2015-01-14,17.6000,18.8000,17.6000,18.8000,1328950
2015-01-15,18.8000,19.2971,18.7314,18.7714,2556050
2015-01-16,18.6114,19.5886,18.5829,19.1886,1124900
2015-01-19,18.9257,19.2400,17.9143,17.9771,956200
2015-01-20,18.1143,18.3371,18.0229,18.3143,1168300
2015-01-21,18.5486,18.6457,18.1257,18.4800,1461250
2015-01-22,18.6286,19.2343,18.0057,18.2914,2506700
2015-01-23,18.6286,19.2343,17.8800,18.1429,1343825
2015-01-26,17.9600,18.0000,17.5600,17.7143,1100400
2015-01-27,17.5143,17.9886,17.3657,17.8571,1244600
2015-01-28,17.6800,18.4571,17.6229,18.4571,1262450
2015-01-29,18.2857,18.7886,17.9429,18.6686,1582700
2015-01-30,18.3543,18.5714,17.7429,17.7943,1818950
2015-02-02,17.7943,18.2686,17.7943,18.0286,1180025
2015-02-03,18.2743,18.5143,17.9600,18.0457,947975
2015-02-04,18.0000,18.0457,17.6686,17.7257,1166200
2015-02-05,17.6571,17.9029,17.4457,17.5371,1067675
2015-02-06,17.3257,17.3371,17.0914,17.3029,1194025
2015-02-09,17.1029,17.7086,17.0857,17.6000,666750
2015-02-10,17.4171,17.5714,16.9714,17.0571,1380050
2015-02-11,16.9771,17.4857,16.8057,17.4857,1257375
2015-02-12,17.6971,17.7600,17.3029,17.7429,1815450
2015-02-13,17.5429,18.2229,17.5429,18.1829,1595825
2015-02-18,18.2629,18.8457,18.0286,18.4229,1361675
2015-02-19,18.2343,18.8114,18.1543,18.6286,899500
2015-02-20,18.7657,18.7657,18.0286,18.0571,794850
2015-02-23,17.8457,18.3943,17.7143,17.8914,929600
2015-02-24,17.8114,18.3829,17.7829,18.0000,675675
2015-02-25,17.7829,18.5886,17.7829,18.5714,1286425
2015-02-26,18.5886,19.0000,18.2114,19.0000,1485050
2015-02-27,19.0000,19.2743,18.6400,19.0857,2656675
2015-03-02,19.1543,19.1543,18.5314,18.6457,1161650
2015-03-03,18.7943,18.9657,18.5771,18.8229,720300
2015-03-04,18.5714,18.7029,18.1943,18.4571,835800
2015-03-05,18.3771,18.8914,18.3600,18.8571,1269800
2015-03-06,18.8686,18.9086,18.4514,18.6114,1380575
2015-03-09,18.3714,18.5486,18.1600,18.4114,1048425
2015-03-10,18.0000,18.8457,18.0000,18.2000,1350300
2015-03-11,18.1143,18.5543,18.1143,18.5543,1154825
2015-03-12,18.8000,18.8514,18.3600,18.7543,999425
2015-03-13,18.8000,18.8743,18.4171,18.8743,1205750
2015-03-16,18.8857,19.1200,18.8343,18.8571,676900
2015-03-17,18.8629,19.4171,18.6400,19.2286,1186325
2015-03-18,19.1943,19.9314,19.0286,19.5429,1255800
2015-03-19,19.5029,19.7200,19.3657,19.6286,772800
2015-03-20,19.8971,20.7143,19.7371,20.2857,1996400
2015-03-23,20.3714,20.4514,20.1029,20.3429,689325
2015-03-24,20.3429,20.7429,20.1200,20.5086,829325
2015-03-25,20.6857,20.6857,20.2514,20.2857,1077300
2015-03-26,20.0457,20.2057,19.3657,19.7143,2194150
2015-03-27,19.5714,19.9200,19.0914,19.5486,1474550
2015-03-30,19.4514,20.3600,19.3600,20.2857,1119825
2015-03-31,20.2914,20.5886,20.0343,20.1714,1055075
2015-04-01,20.4514,21.0514,20.2057,20.7429,2216200
2015-04-02,20.9143,21.1714,20.6343,20.6857,2036125
2015-04-06,20.9314,21.2971,20.7657,20.9429,870100
2015-04-07,20.9371,20.9771,20.3257,20.5543,811475
2015-04-08,20.8971,20.9143,20.2286,20.3429,1214325
2015-04-09,20.0686,20.6514,20.0686,20.5600,1577800
2015-04-10,20.5943,20.6343,20.1771,20.4571,1272775
2015-04-13,20.4514,20.6857,20.1600,20.4000,696150
2015-04-14,20.5029,20.6914,20.4857,20.6343,898100
2015-04-15,20.7200,21.0343,20.4000,20.5886,1056650
2015-04-16,20.5771,20.6800,20.2914,20.5371,901775
2015-04-17,20.2743,20.5886,20.2171,20.2857,657475
2015-04-20,20.4114,20.6400,19.9543,20.1429,1211700
2015-04-22,20.2457,20.7086,20.2343,20.2514,1107050
2015-04-23,20.2914,20.6914,20.2914,20.6857,926800
2015-04-24,20.7086,20.8914,20.4971,20.7429,866950
2015-04-27,20.9429,20.9771,20.1714,20.2286,1180025
2015-04-28,20.3486,20.6343,20.1486,20.5600,1173900
2015-04-29,20.2686,20.5086,19.9029,20.2286,1012375
2015-04-30,20.1600,20.4000,19.7257,20.4000,1309175
2015-05-04,20.5029,21.1429,20.2171,21.1429,2010400
2015-05-05,20.9371,21.5429,20.9314,21.5143,1695750
2015-05-06,21.4629,21.6571,21.0000,21.4171,1202075
2015-05-07,21.1429,21.6971,21.0057,21.2286,959350
2015-05-08,21.3371,21.3371,20.8343,21.0286,1040375
2015-05-11,21.0286,21.1257,20.7486,21.0229,1219750
2015-05-12,21.0229,21.0971,20.7143,20.8286,1867425
2015-05-13,20.7429,20.9257,20.0857,20.4000,1212050
2015-05-14,20.6400,21.1657,20.0457,20.9143,1794450
2015-05-15,20.8114,21.1029,20.6171,20.7943,1471400
2015-05-18,20.7943,21.0171,20.5829,20.9086,2150575
2015-05-19,20.8914,20.9257,20.5257,20.8971,728525
2015-05-20,20.7657,21.0000,20.4057,20.5600,1328775
2015-05-21,20.4400,20.4971,19.9200,20.2400,1416800
2015-05-22,20.3314,20.4571,19.7714,20.0971,1240050
2015-05-25,20.1943,20.4571,19.7943,20.2286,637000
2015-05-26,20.1029,20.2229,19.8286,20.0286,1315300
2015-05-27,19.9314,20.3200,19.7371,20.2571,1052975
2015-05-28,20.0114,20.2171,19.9371,20.0857,1330700
2015-05-29,19.9143,20.2286,19.3257,19.3429,4304300
2015-06-01,19.3771,20.3200,19.3714,19.9143,1401925
2015-06-02,20.1143,20.2800,19.7771,20.0343,1297625
2015-06-03,20.2571,20.2571,19.4057,19.7200,1606500
2015-06-05,19.4057,19.9257,19.4000,19.7143,1328425
2015-06-08,19.7486,19.9943,19.5371,19.8286,1666525
2015-06-09,19.8971,19.8971,19.5657,19.7714,2013375
2015-06-10,19.9943,20.0514,19.6857,19.9314,639100
2015-06-11,20.0343,20.0343,19.5829,19.9143,827050
2015-06-12,19.6743,19.8229,19.3771,19.4286,1522325
2015-06-15,19.2914,19.3886,19.0914,19.3429,1136100
2015-06-16,19.4286,19.6457,19.2343,19.2571,1333850
2015-06-17,19.2914,19.3371,18.9943,18.9943,1718675
2015-06-18,18.9257,19.6343,18.9257,19.6000,2082850
2015-06-19,19.4629,19.5600,19.3714,19.5600,1221325
2015-06-22,19.5714,19.9086,19.4800,19.5143,1106175
2015-06-23,19.6514,19.8000,19.5429,19.5429,767025
2015-06-24,19.5429,19.6800,19.3486,19.4286,1321425
2015-06-25,19.3371,19.4743,19.0743,19.2114,1166900
2015-06-26,19.3029,19.5829,19.1543,19.5714,1106350
2015-06-29,19.3314,19.5429,19.2343,19.4286,577675
2015-06-30,19.5200,19.7086,19.2800,19.5371,1577450
2015-07-01,19.6000,19.7200,19.2686,19.5714,1074500
2015-07-02,19.6057,19.8914,19.5429,19.6857,855225
2015-07-03,19.5829,19.8571,19.5429,19.7714,402500
2015-07-06,19.5314,19.9086,19.4457,19.8914,1020075
2015-07-07,19.7657,20.0571,19.6629,20.0571,1240400
2015-07-08,19.9143,20.3429,19.8057,20.3429,1594775
2015-07-10,20.7143,20.7371,20.0629,20.6343,1325975
2015-07-13,20.5829,20.9886,20.5714,20.9429,1132775
2015-07-14,20.8457,21.2857,20.7600,21.2000,1063825
2015-07-15,21.3086,21.3086,20.8629,21.1143,1233750
2015-07-16,21.2000,21.3771,21.0914,21.2286,1892975
2015-07-17,21.2971,21.3371,20.7086,20.8571,1778525
2015-07-20,20.8571,20.9543,20.3143,20.4686,2899225
2015-07-21,20.3714,21.2000,20.3714,21.1429,3090850
2015-07-22,21.0057,21.2114,20.8457,21.1029,1192800
2015-07-23,20.9543,20.9543,20.0057,20.4686,2381575
2015-07-24,20.3257,20.3257,19.6400,19.9886,1615600
2015-07-27,20.1029,20.1143,19.6743,19.9829,1176350
2015-07-28,19.8857,20.1200,19.6514,19.7314,1916950
2015-07-29,19.5943,20.0914,19.5714,20.0914,1631000
2015-07-30,20.1771,20.6057,19.9200,20.3429,1556100
2015-07-31,20.4114,20.7943,20.1943,20.7143,1931300
2015-08-03,20.6000,21.0343,20.4857,20.5543,1481200
2015-08-04,20.5543,20.9429,20.4971,20.5714,678475
2015-08-05,20.8000,20.8457,20.2171,20.2286,718025
2015-08-06,20.1314,20.2914,19.8286,20.0571,1373750
2015-08-07,19.9657,20.0571,19.8286,19.8857,1374450
2015-08-10,19.8857,20.0457,19.8000,19.9829,667800
2015-08-11,19.8857,19.9543,19.4857,19.9429,2494450
2015-08-12,19.8057,20.0743,19.5257,19.8286,1284850
2015-08-13,19.7371,19.9771,19.5086,19.8743,889175
2015-08-14,19.8743,20.0114,19.6286,19.8800,1007125
2015-08-17,19.7600,19.9657,19.7143,19.8571,587825
2015-08-18,19.7600,20.2857,19.6229,19.9486,2408700
2015-08-19,19.9371,20.0457,19.6743,19.9943,1567825
2015-08-20,19.8686,19.8857,19.5714,19.7143,1167600
2015-08-21,19.3486,19.3600,19.0686,19.1257,1907850
2015-08-24,18.9086,18.9143,17.7314,18.6000,2209025
2015-08-25,18.8971,18.9600,18.5257,18.5714,1608775
2015-08-26,18.6800,19.5143,18.4857,19.2800,1890000
2015-08-27,19.4114,19.5429,19.2114,19.4286,1377775
2015-08-28,19.1771,19.4000,18.9257,19.2229,1762425
2015-08-31,18.8571,19.3029,18.6229,19.1657,2851625
2015-09-01,18.6571,19.1029,18.5257,18.6000,1781325
2015-09-02,18.7314,18.7771,18.2114,18.3314,3058475
2015-09-03,18.5029,18.9771,18.2286,18.8057,1697850
2015-09-04,18.2857,18.9200,18.2343,18.2857,2393300
2015-09-08,18.8400,18.8400,18.1543,18.5486,1416275
2015-09-09,18.5543,18.7429,18.4457,18.6571,1390725
2015-09-10,18.1429,18.9829,18.1429,18.7143,1482425
2015-09-11,18.5829,19.1029,18.4971,18.8914,1842400
2015-09-14,18.8000,20.1943,18.8000,19.9143,2028250
2015-09-15,19.6914,19.8857,19.1371,19.4514,1525825
2015-09-16,19.5886,20.0229,19.5714,19.7200,1549975
2015-09-17,19.4571,20.2057,19.3200,19.8286,1508325
2015-09-18,19.5543,19.8686,19.1029,19.2571,1590575
2015-09-21,19.1029,19.4800,18.9086,19.1829,1523375
2015-09-22,18.9600,19.0686,18.6457,18.9657,1074500
2015-09-23,18.9257,19.0000,18.5771,18.6514,1193675
2015-09-24,18.0914,18.9143,17.8514,18.6000,1593200
2015-09-25,18.8514,18.9714,18.5314,18.6686,3080700
2015-09-28,18.7886,18.7886,18.2800,18.4000,1196125
2015-09-29,18.4000,18.9943,18.4000,18.7429,1078525
2015-09-30,19.4000,19.4971,18.7714,19.2914,1948800
2015-10-01,19.3257,19.3943,18.8057,18.8571,1468075
2015-10-02,18.7257,19.2114,18.5657,19.1143,1675800
2015-10-05,19.1200,19.3543,18.6800,18.9714,1207325
2015-10-06,18.9714,19.1486,18.7371,18.8286,904225
2015-10-07,19.0800,19.1486,18.6629,18.7829,1226575
2015-10-08,18.8914,19.0857,18.7943,18.9714,1773275
2015-10-09,19.2514,19.3486,18.7029,18.8000,1366050
2015-10-13,18.8857,19.3314,18.6343,18.7714,977200
