date,open,high,low,close,volume
2015-01-02,5.5255,5.5694,5.4216,5.4935,3028078
2015-01-05,5.4915,5.4935,5.2837,5.2837,5677208
2015-01-06,5.3497,5.5814,5.3277,5.5814,6204832
2015-01-07,5.5814,5.6493,5.4436,5.5335,14875578
2015-01-08,5.5834,5.5934,5.3716,5.4935,9986801
2015-01-09,5.4655,5.4655,5.1239,5.1939,14541183
2015-01-12,5.2218,5.2218,5.0940,5.1359,4052288
2015-01-13,5.1939,5.2917,5.1759,5.1819,3838035
2015-01-14,5.1839,5.3337,5.1299,5.3337,4575907
2015-01-15,5.2518,5.3157,5.1339,5.2438,4854236
2015-01-16,5.1998,5.3017,5.1339,5.2538,5045462
2015-01-19,5.2518,5.2518,4.8982,4.9262,7438790
2015-01-20,4.9561,5.0520,4.8842,5.0081,6797532
2015-01-21,5.0540,5.2178,5.0201,5.1839,7846271
2015-01-22,5.1579,5.2318,5.1159,5.1319,2258168
2015-01-23,5.0940,5.1599,4.9481,5.1419,4897787
2015-01-26,5.0840,5.0960,5.0360,5.0360,4141894
2015-01-27,5.0360,5.1339,4.9661,5.1299,3233320
2015-01-28,5.0960,5.1139,5.0281,5.0520,2109492
2015-01-29,5.0440,5.1998,5.0201,5.1998,2933967
2015-01-30,5.1479,5.1479,4.8523,4.9941,6649858
2015-02-02,5.0221,5.4176,4.9422,5.3637,14890596
2015-02-03,5.3956,5.5335,5.2877,5.3936,11249793
2015-02-04,5.3377,5.4376,5.2458,5.2538,3681850
2015-02-05,5.2358,5.4276,5.1000,5.1599,6765995
2015-02-06,5.1159,5.1799,4.9961,5.1000,7168971
2015-02-09,5.1000,5.3117,5.0241,5.2018,3306907
2015-02-10,5.1439,5.3856,5.0420,5.0420,5612632
2015-02-11,5.0640,5.2138,5.0041,5.2138,5094520
2015-02-12,5.2238,5.3776,5.1579,5.3537,3806498
2015-02-13,5.3776,5.7552,5.2738,5.4096,6996267
2015-02-18,5.5135,5.6233,5.3157,5.4436,1969327
2015-02-19,5.4056,5.5534,5.3836,5.3936,3533175
2015-02-20,5.3976,5.4016,5.2098,5.2837,4077318
2015-02-23,5.2298,5.2578,5.1259,5.1339,5791343
2015-02-24,5.2937,5.4535,5.2678,5.3976,117027291
2015-02-25,5.4236,5.5934,5.3816,5.5035,7464320
2015-02-26,5.5614,5.6154,5.4635,5.5834,5903476
2015-02-27,5.5514,5.6194,5.4975,5.5374,5578091
2015-03-02,5.5734,5.5954,5.3637,5.4735,5891461
2015-03-03,5.4675,5.5095,5.3497,5.4476,3930644
2015-03-04,5.4336,5.4915,5.3756,5.4555,2393828
2015-03-05,5.4555,5.5355,5.4096,5.5015,4629470
2015-03-06,5.4875,5.6034,5.4675,5.4735,3473604
2015-03-09,5.4735,5.4935,5.3816,5.4076,6027122
2015-03-10,5.3876,5.5694,5.3417,5.5035,6158777
2015-03-11,5.4855,5.5834,5.4655,5.5135,3539182
2015-03-12,5.5295,5.7272,5.5295,5.6134,7482341
2015-03-13,5.6034,5.6373,5.5295,5.5674,4185445
2015-03-16,5.5954,5.7292,5.5954,5.6913,3446572
2015-03-17,5.6833,5.8691,5.5994,5.8311,8166650
2015-03-18,5.8131,6.0129,5.7352,5.8990,7533402
2015-03-19,5.9510,6.0429,5.8411,5.9410,5687721
2015-03-20,5.9609,6.0808,5.9609,6.0129,5880448
2015-03-23,6.0009,6.1527,5.9689,6.0389,3118685
2015-03-24,6.0868,6.1887,6.0169,6.1887,4498315
2015-03-25,6.1128,6.1547,6.0389,6.0828,4113861
2015-03-26,6.0588,6.0688,5.9370,5.9490,5521524
2015-03-27,5.9869,6.1467,5.9609,6.0149,8630698
2015-03-30,6.0249,6.2146,6.0249,6.2126,5830890
2015-03-31,6.1707,6.2926,6.1367,6.2426,6659369
2015-04-01,6.2526,6.5203,6.2366,6.4344,9337534
2015-04-02,6.4404,6.5043,6.3824,6.4324,3634795
2015-04-06,6.4104,6.5522,6.3625,6.4024,4771138
2015-04-07,6.4064,6.4344,6.2126,6.2526,8361380
2015-04-08,6.2985,6.3545,6.1367,6.2326,6573768
2015-04-09,6.1987,6.2786,6.1687,6.2586,4939837
2015-04-10,6.2546,6.2726,6.1767,6.2526,4713570
2015-04-13,6.2166,6.3045,6.2027,6.2506,3555701
2015-04-14,6.2526,6.3525,6.2486,6.3525,5055474
2015-04-15,6.3165,6.3725,6.2726,6.3025,14309409
2015-04-16,6.3045,6.4843,6.2646,6.3505,4112860
2015-04-17,6.3325,6.4883,6.2946,6.4584,2769272
2015-04-20,6.3884,6.3884,6.1527,6.3025,2953990
2015-04-22,6.3425,6.4224,6.2646,6.3745,9207880
2015-04-23,6.3864,6.4024,6.3545,6.3824,3449075
2015-04-24,6.3525,6.4444,6.3525,6.4124,4298079
2015-04-27,6.3805,6.4863,6.2746,6.3405,5422407
2015-04-28,6.3445,6.4244,6.3125,6.3924,2700691
2015-04-29,6.3685,6.4224,6.3265,6.4224,2988531
2015-04-30,6.4384,6.4624,6.2486,6.3904,6588285
2015-05-04,6.3725,6.4823,6.3305,6.4763,5378856
2015-05-05,6.4903,6.5982,6.4743,6.5403,4729088
2015-05-06,6.5203,6.5662,6.4084,6.4683,7187994
2015-05-07,6.4843,6.5303,6.4444,6.5223,9434648
2015-05-08,6.5043,6.6781,6.5043,6.6781,9255937
2015-05-11,6.7920,6.8599,6.6541,6.6821,5611130
2015-05-12,6.7121,6.9797,6.6821,6.8559,12144851
2015-05-13,6.8599,6.8599,6.6561,6.6921,8707790
2015-05-14,6.7440,6.9538,6.6581,6.9538,9778054
2015-05-15,6.8958,6.9977,6.8339,6.8439,10285654
2015-05-18,6.7900,6.8898,6.6961,6.7920,3733411
2015-05-19,6.7440,6.8219,6.5363,6.6222,6942704
2015-05-20,6.6082,6.8099,6.5922,6.7620,114504309
2015-05-21,6.8199,6.8639,6.7440,6.7540,4390187
2015-05-22,6.8199,6.8199,6.6361,6.7200,8296303
2015-05-25,6.6841,6.7820,6.6821,6.7021,7485846
2015-05-26,6.7440,6.8199,6.6282,6.7940,6023117
2015-05-27,6.7720,6.8199,6.6841,6.7980,7422270
2015-05-28,6.8159,6.8579,6.7420,6.7940,5547555
2015-05-29,6.8459,6.8459,6.6581,6.7500,5605123
2015-06-01,6.7220,6.8779,6.7061,6.8279,5003412
2015-06-02,6.8898,6.9218,6.7520,6.9218,4412714
2015-06-03,6.9198,6.9698,6.8359,6.9338,5772321
2015-06-05,6.9837,7.0177,6.8779,6.9678,7347182
2015-06-08,6.9418,6.9817,6.8859,6.9618,7049830
2015-06-09,6.9857,7.0277,6.9218,6.9518,5892463
2015-06-10,6.9598,7.0117,6.9038,6.9318,3895603
2015-06-11,6.9658,6.9658,6.7620,6.7620,4414216
2015-06-12,6.8079,6.8779,6.7320,6.7320,21493899
2015-06-15,6.7880,6.8299,6.7680,6.7680,4027259
2015-06-16,6.7880,6.8819,6.7820,6.8619,4759123
2015-06-17,6.8599,7.0117,6.8319,7.0117,4482797
2015-06-18,7.0277,7.0716,6.9258,7.0017,4222990
2015-06-19,6.9837,7.1336,6.9777,7.0836,8554608
2015-06-22,7.0696,7.1835,7.0497,7.1655,5527031
2015-06-23,7.1515,7.1795,7.0896,7.1316,2841858
2015-06-24,7.1396,7.1455,7.0277,7.0716,1874214
2015-06-25,7.0517,7.0537,6.8998,6.9777,4758122
2015-06-26,6.9797,7.0577,6.9498,7.0117,2357786
2015-06-29,6.9638,7.0257,6.8759,6.9897,3072630
2015-06-30,7.0237,7.1056,6.9338,7.0117,9207880
2015-07-01,7.0457,7.2115,6.9458,7.2115,7404249
2015-07-02,7.2215,7.3673,7.1915,7.2314,4765631
2015-07-03,7.1835,7.3034,7.1695,7.2734,3498634
2015-07-06,7.2734,7.3453,7.1715,7.2714,4326112
2015-07-07,7.2894,7.3074,7.1416,7.3074,4877764
2015-07-08,7.3373,7.3373,7.2235,7.2814,4946345
2015-07-10,7.3413,7.3913,7.2474,7.3393,3666332
2015-07-13,7.3633,7.3893,7.2834,7.3273,4389186
2015-07-14,7.2954,7.5151,7.2554,7.3713,4893282
