date,open,high,low,close,volume
2015-01-02,13.3336,13.5683,13.1113,13.3089,507152
2015-01-05,13.1916,13.1978,12.5616,12.5678,719130
2015-01-06,12.6605,12.9940,12.5122,12.8766,646333
2015-01-07,12.8828,13.3274,12.8828,13.2595,1407408
2015-01-08,13.4263,13.5621,13.1607,13.2780,633853
2015-01-09,13.3089,13.3089,12.5493,12.5987,783780
2015-01-12,12.5864,12.6296,12.1170,12.1664,725023
2015-01-13,12.3825,12.6234,12.2776,12.5369,648066
2015-01-14,12.6605,12.6605,12.3517,12.4690,795567
2015-01-15,12.4752,12.6049,11.7897,11.9132,1869842
2015-01-16,12.0923,12.1664,11.6476,12.1664,1054516
2015-01-19,12.1602,12.2220,11.7711,11.7958,301587
2015-01-20,11.7341,12.0491,11.3944,11.4685,757782
2015-01-21,11.5241,11.7897,11.4500,11.7279,871830
2015-01-22,11.6167,12.2158,11.6167,12.2158,864377
2015-01-23,11.9688,12.0491,11.6044,11.6414,410609
2015-01-26,11.6044,11.6106,11.0053,11.3018,1064569
2015-01-27,11.2462,11.2524,10.9992,11.1165,1459579
2015-01-28,11.1103,11.1103,10.3075,10.3075,2425873
2015-01-29,10.3136,10.6348,10.3136,10.4557,1136846
2015-01-30,10.5298,10.5545,10.0172,10.1345,1557162
2015-02-02,10.2210,10.2519,9.9307,10.0048,452727
2015-02-03,10.0296,10.2457,9.9554,10.2025,1387302
2015-02-04,10.1654,10.5113,9.8443,10.4989,1718355
2015-02-05,10.4619,10.8695,10.3383,10.8077,1187630
2015-02-06,10.8077,10.9559,10.3136,10.4063,971839
2015-02-09,10.3445,10.6163,10.1963,10.3754,1294226
2015-02-10,10.3877,10.4557,10.2519,10.3136,884136
2015-02-11,10.3322,10.4310,9.8937,9.8999,1347784
2015-02-12,9.8999,10.3569,9.8566,10.1037,1072195
2015-02-13,10.1531,10.5730,10.1531,10.4989,1304452
2015-02-18,10.5977,10.7398,10.2581,10.4680,442848
2015-02-19,10.4001,10.5545,10.3136,10.4372,466420
2015-02-20,10.4804,10.6842,10.1778,10.6842,688798
2015-02-23,10.6780,10.6780,10.2951,10.3631,984492
2015-02-24,10.3383,10.4619,10.1901,10.4125,725370
2015-02-25,10.3939,10.6533,10.3013,10.6224,426555
2015-02-26,10.5792,10.8942,10.4186,10.7521,953987
2015-02-27,10.8139,11.2956,10.7027,10.8695,1227495
2015-03-02,10.9930,11.3080,10.8448,11.2400,1428034
2015-03-03,11.1906,11.4253,11.0547,11.4253,1068555
2015-03-04,11.3574,11.4315,11.1597,11.3018,1337211
2015-03-05,11.3450,11.7711,11.1783,11.4685,1065782
2015-03-06,11.4500,11.5365,11.0115,11.0115,853458
2015-03-09,10.9621,10.9621,10.6101,10.6224,500219
2015-03-10,10.6224,10.7089,10.5051,10.6224,701451
2015-03-11,10.6224,10.8077,10.6101,10.8077,639573
2015-03-12,10.8077,11.2709,10.8077,11.2709,885696
2015-03-13,11.1783,11.2400,10.7027,10.8695,538177
2015-03-16,10.9312,11.0980,10.7768,10.7768,951387
2015-03-17,10.8201,11.2400,10.7274,11.1350,1014998
2015-03-18,11.1165,11.7464,11.0486,11.4253,1048276
2015-03-19,11.4191,12.0120,11.4191,11.5612,925908
2015-03-20,11.6167,11.9688,11.6167,11.8576,1148805
2015-03-23,11.7341,12.1046,11.7341,12.1046,619987
2015-03-24,12.0738,12.4134,11.9564,12.4134,847391
2015-03-25,12.3517,12.6481,12.3084,12.5061,1337384
2015-03-26,12.4443,12.5431,12.1232,12.2776,757088
2015-03-27,12.2776,12.4567,12.0367,12.4505,552043
2015-03-30,12.3702,12.8704,12.3702,12.4814,751368
2015-03-31,12.5678,12.6852,12.3887,12.3887,614787
2015-04-01,12.5246,13.0928,12.5246,12.9260,774421
2015-04-02,12.8704,13.1298,12.7469,12.8149,793660
2015-04-06,12.8951,13.2039,12.8951,13.0928,701971
2015-04-07,13.0928,13.1792,12.4937,12.7469,620334
2015-04-08,12.8334,13.0125,12.6913,12.6913,544764
2015-04-09,12.7902,13.1978,12.7531,12.8519,665572
2015-04-10,12.9198,13.0804,12.5740,12.6666,565909
2015-04-13,12.7469,12.8890,12.4628,12.7963,417196
2015-04-14,12.7407,12.9754,12.6049,12.8334,339025
2015-04-15,12.8704,13.0742,12.6605,12.7963,499179
2015-04-16,12.7902,13.0619,12.7160,13.0434,718956
2015-04-17,12.8519,12.9693,12.6975,12.7840,507499
2015-04-20,12.8272,12.8581,12.4134,12.4628,450648
2015-04-22,12.4320,12.6110,12.3270,12.3578,808393
2015-04-23,12.3331,12.5802,12.2529,12.4443,1004251
2015-04-24,12.4443,13.0063,12.4320,12.7593,1440167
2015-04-27,12.9137,13.0310,12.6543,12.6666,928854
2015-04-28,12.6605,12.7716,12.0491,12.1664,873043
2015-04-29,12.0614,12.0985,11.6847,11.7958,1409488
2015-04-30,11.7958,11.9255,11.6167,11.8576,1303759
2015-05-04,11.3640,11.4433,11.0202,11.1392,1064147
2015-05-05,10.4927,10.6533,10.3013,10.4186,933476
2015-05-06,10.4742,10.5545,10.2025,10.3878,682822
2015-05-07,10.2025,10.4248,10.0049,10.0975,903683
2015-05-08,10.7213,11.1659,10.5669,10.8077,2456671
2015-05-11,11.0486,11.3265,10.7274,10.8942,1168586
2015-05-12,10.8695,10.9189,10.3136,10.5422,1344109
2015-05-13,10.4372,10.6842,10.3878,10.6718,1160328
2015-05-14,10.6965,10.7954,10.5545,10.7274,415652
2015-05-15,10.7460,11.1474,10.7151,11.0547,958736
2015-05-18,11.0856,11.1289,10.7336,10.7954,403670
2015-05-19,10.7213,10.7645,10.4989,10.5298,627769
2015-05-20,10.5607,10.8448,10.5422,10.6286,775279
2015-05-21,10.6101,10.9806,10.6101,10.9559,818998
2015-05-22,10.9559,11.0733,10.5854,10.6842,484306
2015-05-25,10.6842,10.6842,10.4372,10.4372,654324
2015-05-26,10.4372,10.4495,9.9740,9.9740,1290675
2015-05-27,9.9925,10.2766,9.9802,10.2210,1242584
2015-05-28,10.2087,10.2889,10.0172,10.1098,754391
2015-05-29,10.2704,10.4001,10.1284,10.2334,1759923
2015-06-01,10.2519,10.2642,10.0481,10.1160,654648
2015-06-02,10.2210,10.3198,9.9431,10.0666,1020428
2015-06-03,10.1407,10.2395,9.9493,10.0049,1145431
2015-06-05,10.0543,10.0728,9.9246,9.9246,619025
2015-06-08,10.0296,10.0296,9.9122,9.9369,1181540
2015-06-09,10.0604,10.0913,9.8196,9.9307,608986
2015-06-10,10.0419,10.1345,9.8813,9.8813,1243070
2015-06-11,10.0790,10.0790,9.7825,9.8134,682174
2015-06-12,9.7702,9.7702,9.5108,9.5972,1433652
2015-06-15,9.5972,9.5972,9.3749,9.5293,938658
2015-06-16,9.5355,9.5787,9.3811,9.3873,531102
2015-06-17,9.3996,9.6343,9.3132,9.5911,899635
2015-06-18,9.6652,9.7146,9.3934,9.5417,909512
2015-06-19,9.4367,9.7331,9.4367,9.6528,697719
2015-06-22,9.7702,9.8196,9.5602,9.6961,530616
2015-06-23,9.7393,9.7887,9.5725,9.5725,483335
2015-06-24,9.7022,9.7022,9.5108,9.6158,559438
2015-06-25,9.6158,9.6158,9.1526,9.2205,1279826
2015-06-26,9.3008,9.3440,9.0970,9.1588,1030791
2015-06-29,9.1032,9.1341,8.9550,9.0476,1050546
2015-06-30,9.0476,9.1711,8.8994,8.9426,1396086
2015-07-01,8.9920,9.3255,8.9673,9.2143,969909
2015-07-02,9.2329,9.3317,9.0167,9.0167,742895
2015-07-03,8.9982,9.0538,8.8376,8.9303,556038
2015-07-06,8.9488,8.9488,8.7079,8.7450,777546
2015-07-07,8.8438,8.9117,8.7388,8.7388,1047469
2015-07-08,8.7388,8.9303,8.7388,8.9179,811550
2015-07-10,8.9179,9.0352,8.8561,8.9241,586803
2015-07-13,8.9550,9.0600,8.8870,8.9056,432653
2015-07-14,8.9241,8.9920,8.8561,8.9550,577573
2015-07-15,8.9735,9.0600,8.9673,9.0167,416785
2015-07-16,8.9920,9.2390,8.9920,9.2143,644609
2015-07-17,9.2514,9.3132,8.9611,8.9611,380353
2015-07-20,9.0538,9.1217,8.7573,8.8870,1050222
2015-07-21,8.9426,9.0970,8.8006,8.8129,878585
2015-07-22,8.8129,8.8129,8.6523,8.7265,1330508
2015-07-23,8.6462,8.7512,8.3991,8.4053,1263796
2015-07-24,8.4115,8.5165,8.2571,8.2571,1220563
2015-07-27,8.3250,8.3930,8.1830,8.1830,467952
2015-07-28,8.2509,8.3497,8.1768,8.2200,843934
2015-07-29,8.2509,8.5535,8.2200,8.4671,897692
2015-07-30,8.4856,8.5906,8.3003,8.3003,819969
2015-07-31,8.3436,8.6400,8.2509,8.6400,894615
2015-08-03,8.5721,8.6523,8.5227,8.6462,742085
2015-08-04,8.5782,8.6956,8.3621,8.3683,811064
2015-08-05,8.4485,8.4732,8.1768,8.2633,476858
2015-08-06,8.1768,8.2077,8.0656,8.1459,627607
2015-08-07,8.1521,8.2077,7.9792,7.9792,751315
2015-08-10,8.0162,8.1706,7.9730,8.0039,492564
2015-08-11,7.9854,8.1459,7.9359,8.1459,488678
2015-08-12,8.0780,8.0780,7.7507,7.8927,523977
2015-08-13,7.9915,8.1830,7.9298,8.0286,751639
2015-08-14,8.1212,8.1521,7.9359,8.1521,1399648
2015-08-17,8.0471,8.3868,8.0471,8.2386,637808
2015-08-18,8.2509,8.3374,8.0842,8.2509,726541
2015-08-19,8.1953,8.3497,8.0903,8.2200,747429
2015-08-20,8.2571,8.3250,8.1336,8.3003,748562
2015-08-21,8.2386,8.2386,7.9730,8.0842,903845
2015-08-24,7.8804,7.9915,7.7383,7.9051,1212629
2015-08-25,7.9915,8.1892,7.9174,8.1089,837457
2015-08-26,8.0780,8.3065,8.0780,8.2880,1215220
2015-08-27,8.2633,8.6647,8.2015,8.4918,1508459
2015-08-28,8.4485,8.5165,8.3559,8.4485,787423
2015-08-31,8.3930,8.3930,8.0533,8.1398,971852
2015-09-01,8.0224,8.0224,7.5654,7.6580,1391876
2015-09-02,7.7074,7.7321,7.4110,7.6025,1010065
2015-09-03,7.6395,7.8495,7.5592,7.8495,577735
2015-09-04,7.8680,7.9359,7.6642,7.6642,1684144
2015-09-08,7.7507,7.7939,7.4234,7.5530,801349
2015-09-09,7.7013,7.7568,7.4975,7.5901,477668
2015-09-10,7.4172,7.5345,7.3122,7.4419,693833
2015-09-11,7.4728,7.6827,7.4110,7.6025,458237
2015-09-14,7.6457,7.7445,7.5283,7.5345,683470
2015-09-15,7.6272,7.6457,7.4295,7.6457,783213
2015-09-16,7.7816,8.1706,7.7383,8.0842,902873
2015-09-17,8.0595,8.3991,8.0348,8.2694,1150127
2015-09-18,8.2694,8.2694,7.8124,7.9359,1847523
2015-09-21,7.9421,7.9792,7.6272,7.6272,940439
2015-09-22,7.5839,7.5839,7.3307,7.4851,887815
2015-09-23,7.5098,7.5407,7.4048,7.5345,911131
2015-09-24,7.4789,7.4789,7.2381,7.4234,1167453
2015-09-25,7.4048,7.6333,7.3554,7.4295,706139
2015-09-28,7.4728,7.4728,7.1146,7.1207,431682
2015-09-29,7.1022,7.3431,7.0405,7.2566,566562
2015-09-30,7.4542,7.5778,7.1146,7.1393,1304600
2015-10-01,7.2998,7.6827,7.2072,7.6827,1375198
2015-10-02,7.5469,7.8557,7.5469,7.7507,1002617
2015-10-05,7.8186,8.2447,7.8124,8.1645,517338
2015-10-06,8.2447,8.4115,8.0162,8.1212,788557
2015-10-07,8.2818,8.5659,8.1768,8.3003,1172958
2015-10-08,8.2818,8.4485,8.2509,8.3806,569639
2015-10-09,8.4918,8.6400,8.4300,8.6153,695776
2015-10-13,8.6276,8.6276,8.4547,8.5535,449655
2015-10-14,8.5288,8.6029,8.2447,8.2447,695128
2015-10-15,8.4053,8.5412,8.3188,8.4053,496612
2015-10-16,8.5103,8.5103,8.1521,8.1521,1061556
2015-10-19,8.1953,8.3312,8.0286,8.0286,825637
2015-10-20,8.1398,8.1768,8.0286,8.1150,714559
2015-10-21,8.0409,8.2324,8.0039,8.0101,379381
2015-10-22,8.1274,8.3374,8.0656,8.1521,669383
2015-10-23,8.2015,8.3497,8.0286,8.0286,620158
2015-10-26,7.6951,8.0286,7.6457,7.9051,984967
2015-10-27,7.9545,8.2324,7.8618,8.1212,785156
2015-10-28,8.3250,8.3436,8.3065,8.3127,43880
2015-10-29,8.3374,8.3559,7.9915,7.9915,442207
2015-10-30,7.9977,8.1583,7.8433,7.8433,554418
2015-11-03,7.8433,8.1583,7.8433,8.1521,526244
2015-11-04,8.1583,8.7265,8.0656,8.1150,998407
2015-11-05,8.1212,8.3374,8.0471,8.0595,577573
2015-11-06,8.0656,8.2077,7.7260,7.8001,546160
2015-11-09,7.7630,7.9607,7.6272,7.7260,514910
2015-11-10,7.8063,7.8063,7.5592,7.6086,454675
2015-11-11,7.6889,7.9854,7.6889,7.8124,458399
2015-11-12,7.9051,7.9977,7.6704,7.7074,317689
2015-11-13,7.7507,8.1892,7.7507,7.9359,1110780
2015-11-16,8.0965,8.2139,8.0718,8.1212,1069652
2015-11-17,8.1645,8.2262,7.9545,7.9792,1633139
2015-11-18,7.9730,8.0471,7.8433,7.9792,798434
2015-11-19,8.0595,8.2077,7.9421,8.1521,824018
2015-11-23,8.2509,8.4671,8.2509,8.3497,888138
2015-11-24,8.4115,8.4115,8.0595,8.2386,768478
2015-11-25,8.2571,8.2571,8.0162,8.0965,1060099
2015-11-26,8.1768,8.3497,8.1027,8.3374,800701
2015-11-27,8.3374,8.3868,8.1892,8.2756,1824530
2015-11-30,8.3250,8.3250,7.9483,8.0903,4265657
2015-12-01,8.1150,8.1274,7.7692,7.9730,1065442
2015-12-02,8.0224,8.0224,7.8063,7.9915,837619
2015-12-03,8.0595,8.3374,7.9483,8.1212,1246470
2015-12-04,8.0903,8.0903,7.7507,7.8063,493698
2015-12-07,7.8433,7.8742,7.5654,7.5654,628578
2015-12-08,7.5963,7.6457,7.4666,7.5654,671973
2015-12-09,7.7383,7.8495,7.5778,7.7816,619835
2015-12-10,7.9174,8.1892,7.6951,8.0286,1291647
2015-12-11,7.9607,8.1274,7.8557,7.9977,1319011
2015-12-14,7.9854,7.9977,7.7445,7.7507,587127
2015-12-15,7.8804,7.9359,7.7383,7.7816,307326
2015-12-16,7.8248,7.8618,7.5716,7.8495,752448
2015-12-17,7.8865,8.0718,7.8742,7.9915,477506
2015-12-18,7.8742,7.9607,7.5963,7.5963,661448
2015-12-21,7.6395,7.6704,7.4172,7.5963,880528
2015-12-22,7.6642,7.7568,7.5283,7.5963,1102198
2015-12-23,7.6766,7.8063,7.6025,7.7816,770745
2015-12-28,7.8310,8.0595,7.6766,7.7568,750181
2015-12-29,7.7198,7.9236,7.6519,7.7507,374848
2015-12-30,7.6580,7.8804,7.6086,7.8804,1191579
2016-01-04,7.8433,7.8433,7.4172,7.4357,686870
2016-01-05,7.5036,7.6086,7.4481,7.5654,948535
2016-01-06,7.5345,7.6395,7.4419,7.4419,716987
2016-01-07,7.4604,7.4975,7.2998,7.4110,795196
2016-01-08,7.4913,7.6580,7.4542,7.5963,783861
2016-01-11,7.6519,7.7383,7.5530,7.6580,1205990
2016-01-12,7.6272,7.8618,7.5222,7.5222,629226
2016-01-13,7.5963,7.6827,7.5469,7.5963,754391
2016-01-14,7.6457,7.7383,7.4604,7.5963,396221
2016-01-15,7.5283,7.5901,7.3307,7.5345,665011
2016-01-18,7.5963,7.6395,7.4110,7.5963,229118
2016-01-19,7.6025,7.7754,7.5098,7.6951,437997
2016-01-20,7.6086,7.7074,7.4419,7.5345,585993
2016-01-21,7.5407,7.6210,7.4542,7.5345,434597
2016-01-22,7.5963,7.6272,7.4481,7.4604,331615
2016-01-26,7.4604,7.4604,7.2257,7.2381,633760
2016-01-27,7.2257,7.4419,7.1640,7.1640,506975
2016-01-28,7.2196,7.4419,7.2134,7.3925,634893
2016-01-29,7.3925,7.7260,7.3925,7.6272,637160
2016-02-01,7.6642,7.9607,7.5407,7.8433,885871
2016-02-02,7.8124,7.9607,7.6148,7.7198,465038
2016-02-03,7.7445,8.0039,7.7074,7.9051,568991
2016-02-04,7.9854,8.0842,7.9112,7.9668,378896
2016-02-05,7.9977,8.2077,7.9236,8.1830,645256
2016-02-10,8.1459,8.2015,7.9051,8.0409,380515
2016-02-11,7.9977,7.9977,7.6210,7.6210,628416
2016-02-12,7.6766,7.7816,7.6272,7.6272,350235
2016-02-15,7.6395,7.8310,7.6395,7.7198,291134
2016-02-16,7.8495,7.9051,7.7260,7.8618,793414
2016-02-17,7.8371,8.1089,7.8371,7.9483,420995
2016-02-18,7.9607,8.0718,7.8618,7.9977,415004
2016-02-19,7.9977,8.1274,7.8865,8.0101,338739
2016-02-22,8.1150,8.3621,8.0965,8.1830,551342
2016-02-23,8.2200,8.3374,7.9051,7.9051,438159
2016-02-24,7.8495,7.8557,7.5716,7.6519,506328
2016-02-25,7.6951,8.0224,7.5283,7.9854,788881
2016-02-26,8.0842,8.1645,7.9236,8.1027,482525
2016-02-29,8.1274,8.3374,8.1027,8.2756,2003129
2016-03-01,8.3436,8.4177,8.2200,8.2818,703548
