date,open,high,low,close,volume
2015-01-02,4.0001,4.0001,4.0001,4.0001,0
2015-01-05,4.0001,4.0001,4.0001,4.0001,0
2015-01-06,3.7757,3.7757,3.7562,3.7562,1229
2015-01-07,3.7074,3.7074,3.7074,3.7074,1229
2015-01-08,3.6586,3.7074,3.6586,3.7074,1332
2015-01-09,3.7074,3.7074,3.7074,3.7074,0
2015-01-12,3.6586,3.6586,3.6586,3.6586,1024
2015-01-13,3.6586,3.6586,3.6586,3.6586,0
2015-01-14,3.6586,3.6586,3.6586,3.6586,0
2015-01-15,3.6586,3.6586,3.6586,3.6586,0
2015-01-16,3.7074,3.8049,3.6976,3.7269,6457
2015-01-19,3.7366,3.7366,3.6001,3.6001,1434
2015-01-20,3.7074,3.7562,3.7074,3.7074,11069
2015-01-21,3.7074,3.7074,3.6098,3.6098,6149
2015-01-22,3.7562,3.7562,3.6976,3.6976,5534
2015-01-23,3.7562,3.7562,3.6976,3.6976,5534
2015-01-26,3.7074,3.7074,3.6098,3.7074,1639
2015-01-27,3.7074,3.7074,3.7074,3.7074,123613
2015-01-28,3.6976,3.6976,3.6976,3.6976,127405
2015-01-29,3.7074,3.7074,3.7074,3.7074,129352
2015-01-30,3.7074,3.7074,3.6976,3.6976,133350
2015-02-02,3.7074,3.7074,3.6976,3.6976,136220
2015-02-03,3.7074,3.7074,3.6976,3.6976,69083
2015-02-04,3.6976,3.6976,3.6976,3.6976,0
2015-02-05,3.7854,3.7854,3.7171,3.7562,512
2015-02-06,3.7562,3.7562,3.7562,3.7562,0
2015-02-09,3.7269,3.7269,3.7269,3.7269,204
2015-02-10,3.6293,3.8049,3.6293,3.7952,6969
2015-02-11,3.7952,3.7952,3.7952,3.7952,0
2015-02-12,3.7952,3.7952,3.7952,3.7952,0
2015-02-13,3.6001,3.7074,3.6001,3.7074,6047
2015-02-18,3.7074,3.7074,3.7074,3.7074,0
2015-02-19,3.7074,3.7074,3.7074,3.7074,0
2015-02-20,3.7757,3.7757,3.7757,3.7757,204
2015-02-23,3.7757,3.7757,3.7757,3.7757,0
2015-02-24,3.7757,3.7757,3.7757,3.7757,0
