date,open,high,low,close,volume
2015-01-02,2128.7373,2128.7373,1926.0005,1998.4065,3030
2015-01-05,2012.8877,2012.8877,1926.0005,1954.9629,6899
2015-01-06,1954.9629,2012.8877,1926.0005,1983.9253,2875
2015-01-07,2012.8877,2070.8125,1983.9253,2041.8501,5526
2015-01-08,2070.8125,2099.7749,1998.4065,2085.2937,2428
2015-01-09,2056.3313,2099.7749,2012.8877,2070.8125,1454
2015-01-12,2041.8501,2056.3313,1983.9253,2012.8877,3011
2015-01-13,2012.8877,2027.3689,1926.0005,1940.4817,2804
2015-01-14,1926.0005,1940.4817,1853.5945,1897.0381,3616
2015-01-15,1882.5569,1940.4817,1868.0757,1897.0381,4317
2015-01-16,1911.5193,1954.9629,1882.5569,1911.5193,3613
2015-01-19,1911.5193,1926.0005,1853.5945,1897.0381,1696
2015-01-20,1926.0005,1983.9253,1897.0381,1926.0005,3274
2015-01-21,1969.4441,2041.8501,1954.9629,2012.8877,3272
2015-01-22,2027.3689,2157.6997,2012.8877,2099.7749,5632
2015-01-23,2085.2937,2215.6245,2070.8125,2085.2937,2508
2015-01-26,2070.8125,2085.2937,2012.8877,2056.3313,2533
2015-01-27,2041.8501,2070.8125,1940.4817,1954.9629,3904
2015-01-28,1940.4817,1954.9629,1868.0757,1882.5569,3148
2015-01-29,1882.5569,1940.4817,1839.1132,1911.5193,4053
2015-01-30,1868.0757,1882.5569,1810.1508,1868.0757,3732
2015-02-02,1839.1132,1911.5193,1810.1508,1839.1132,2119
2015-02-03,1897.0381,1983.9253,1897.0381,1954.9629,2915
2015-02-04,1969.4441,1983.9253,1839.1132,1853.5945,3658
2015-02-05,1853.5945,1926.0005,1839.1132,1926.0005,1997
2015-02-06,1897.0381,1897.0381,1839.1132,1897.0381,1564
2015-02-09,1868.0757,1911.5193,1853.5945,1868.0757,1974
2015-02-10,1868.0757,1882.5569,1839.1132,1839.1132,1551
2015-02-11,1839.1132,1868.0757,1810.1508,1810.1508,2561
2015-02-12,1853.5945,1897.0381,1752.2260,1810.1508,2379
2015-02-13,1839.1132,2012.8877,1795.6696,1926.0005,6048
2015-02-18,1954.9629,2114.2561,1954.9629,2099.7749,1943
2015-02-19,2099.7749,2114.2561,2041.8501,2056.3313,1694
2015-02-20,2070.8125,2070.8125,1983.9253,2012.8877,1512
2015-02-23,1998.4065,2041.8501,1983.9253,2027.3689,1741
