date,open,high,low,close,volume
2015-01-02,6.2778,6.5476,6.0476,6.5476,104328
2015-01-05,6.2698,6.2698,5.8571,5.8571,122850
2015-01-06,6.0000,6.3095,5.9206,6.3095,228438
2015-01-07,6.3095,6.7698,6.3095,6.7698,78246
2015-01-08,6.8254,6.8968,6.5556,6.5556,255276
2015-01-09,6.5873,6.5873,6.2302,6.2540,29862
2015-01-12,6.2540,6.2540,5.9921,5.9921,24192
2015-01-13,6.1508,6.2302,5.8016,5.9603,52416
2015-01-14,5.9683,5.9683,5.5952,5.6508,57078
2015-01-15,5.7460,5.9524,5.7222,5.7540,34272
2015-01-16,5.8651,6.2381,5.7381,6.1905,41454
2015-01-19,6.1825,6.2063,5.7222,5.7302,17010
2015-01-20,5.9444,6.0317,5.8810,5.9444,6804
2015-01-21,5.9921,6.0079,5.7698,6.0079,54180
2015-01-22,6.0238,6.0714,5.8333,5.8889,16758
2015-01-23,5.8810,5.9683,5.8254,5.8254,47250
2015-01-26,5.7778,5.8968,5.7222,5.8968,44604
2015-01-27,5.8175,5.9048,5.6032,5.7302,37170
2015-01-28,5.6349,5.8254,5.5635,5.7460,108738
2015-01-29,5.7063,5.9048,5.6984,5.7937,16632
2015-01-30,5.7302,5.9127,5.6111,5.8492,9450
2015-02-02,5.9127,6.2460,5.9048,6.1429,43848
2015-02-03,6.2857,6.4286,6.1825,6.1825,57582
2015-02-04,6.1825,6.3492,6.1825,6.2619,40068
2015-02-05,6.2619,6.3095,6.1587,6.1587,15372
2015-02-06,6.1587,6.3571,5.9841,6.3095,51282
2015-02-09,6.3333,6.7540,6.3333,6.4048,100926
2015-02-10,6.5159,6.6905,6.2778,6.2937,28854
2015-02-11,6.3254,6.5079,6.3016,6.3730,30618
2015-02-12,6.5714,6.6587,6.2460,6.3095,13734
2015-02-13,6.4286,6.7302,6.3968,6.7063,117558
2015-02-18,6.6667,6.8651,6.6667,6.7778,162288
2015-02-19,6.6190,6.7540,6.5873,6.6746,15146964
2015-02-20,6.5873,6.6667,6.5714,6.5952,67914
2015-02-23,6.5873,6.6667,6.4841,6.4841,16380
2015-02-24,6.6190,6.6746,6.4683,6.5635,193536
2015-02-25,6.5635,6.6190,6.5397,6.5556,37044
2015-02-26,6.4683,6.5873,6.4286,6.5317,38178
2015-02-27,6.5079,6.6984,6.5079,6.6429,52290
2015-03-02,6.5159,6.5476,6.3889,6.3889,31374
2015-03-03,6.4286,6.5238,6.4286,6.5238,27342
2015-03-04,6.5317,6.8254,6.5317,6.6667,1190700
2015-03-05,6.7460,6.8175,6.5476,6.6111,1188558
2015-03-06,6.5794,6.6111,6.4127,6.5397,819756
2015-03-09,6.5794,6.7302,6.5079,6.6667,1382598
2015-03-10,6.6508,6.8333,6.5238,6.6270,685062
2015-03-11,6.6667,6.6825,6.4206,6.5873,169722
2015-03-12,6.5794,6.6746,6.4841,6.4841,131796
2015-03-13,6.4206,6.7381,6.4206,6.5238,175518
2015-03-16,6.5079,6.6270,6.4206,6.4286,145782
2015-03-17,6.4524,6.6587,6.4524,6.6270,979902
2015-03-18,6.6190,6.7857,6.4921,6.7778,656586
2015-03-19,6.8175,6.8175,6.6270,6.6825,778302
2015-03-20,6.7222,6.8175,6.4762,6.6746,12632634
2015-03-23,6.6429,6.7222,6.5873,6.5873,888678
2015-03-24,6.6111,6.6190,6.3810,6.5000,97398
2015-03-25,6.5079,6.6746,6.5079,6.6111,334278
2015-03-26,6.5556,6.5873,6.4762,6.5556,135198
2015-03-27,6.5159,6.5159,5.9127,5.9841,375354
2015-03-30,6.0079,6.2302,5.9444,6.1508,219870
2015-03-31,6.1270,6.2302,5.9762,6.2302,74340
2015-04-01,6.1746,6.2063,6.0873,6.2063,55440
2015-04-02,6.1190,6.1429,6.0000,6.0556,147546
2015-04-06,6.0000,6.0794,5.9524,5.9921,120960
2015-04-07,6.0635,6.0635,5.9127,5.9444,60858
2015-04-08,5.9921,6.0079,5.7540,5.8095,132426
2015-04-09,5.7937,5.9127,5.7937,5.8175,30492
2015-04-10,5.8730,5.8810,5.7619,5.8175,27090
2015-04-13,5.7937,5.8254,5.7222,5.8095,55818
2015-04-14,5.8095,5.8889,5.8095,5.8651,35154
2015-04-15,5.9206,6.1032,5.9206,6.0556,37800
2015-04-16,6.0556,6.0556,5.7302,5.8175,185724
2015-04-17,5.7778,5.7937,5.5476,5.6190,215208
2015-04-20,5.6349,5.7063,5.6190,5.6746,42966
2015-04-22,5.7143,5.9444,5.7143,5.9444,213570
2015-04-23,5.9127,6.1349,5.8254,6.0714,84924
2015-04-24,6.1429,6.3254,6.1190,6.1984,530334
2015-04-27,6.3492,6.3571,6.0079,6.0079,319788
2015-04-28,6.0556,6.1746,5.9444,6.0397,258804
2015-04-29,6.0714,6.1825,5.9127,5.9524,142758
2015-04-30,5.8730,6.1905,5.8492,6.1905,257544
2015-05-04,6.1270,6.3095,6.0635,6.1587,225036
2015-05-05,6.1905,6.3571,6.0873,6.1032,508032
2015-05-06,6.1587,6.2540,6.0952,6.1508,782460
2015-05-07,6.2302,6.2302,5.9683,6.1190,277452
2015-05-08,6.1587,6.3651,6.1429,6.3095,545202
2015-05-11,6.3571,6.5238,6.3492,6.4524,385182
2015-05-12,6.4048,6.4524,6.2063,6.2143,252882
2015-05-13,6.2063,6.2063,6.0317,6.1587,137214
2015-05-14,6.1111,6.3333,6.0635,6.2143,226296
2015-05-15,6.1746,6.2222,6.1032,6.1667,38808
2015-05-18,6.0794,6.1111,5.9603,6.1032,175644
2015-05-19,6.0159,6.0159,5.7937,5.7937,143262
2015-05-20,5.8730,5.8810,5.7540,5.8016,154854
2015-05-21,5.8413,5.8571,5.7540,5.8254,71820
2015-05-22,5.9048,6.3095,5.7937,5.9524,1935234
2015-05-25,6.0317,6.1032,5.8889,6.0556,601020
2015-05-26,6.0556,6.1190,5.8730,5.8730,577332
2015-05-27,5.8730,6.0317,5.6984,5.9524,352548
2015-05-28,5.8333,5.8730,5.6587,5.8254,214074
2015-05-29,5.7460,6.0079,5.6905,5.7222,271278
2015-06-01,5.7222,5.8571,5.5635,5.7619,282114
2015-06-02,5.7222,5.9127,5.6508,5.8016,66780
2015-06-03,5.8095,5.8095,5.6587,5.6984,191646
2015-06-05,5.6508,5.7222,5.5714,5.6349,188874
2015-06-08,5.6667,5.6746,5.5714,5.5952,112518
2015-06-09,5.6270,5.7937,5.5714,5.5952,214704
2015-06-10,5.5952,5.7460,5.4921,5.5556,418698
2015-06-11,5.6111,5.7381,5.5476,5.7302,224154
2015-06-12,5.7222,5.7222,5.6190,5.6349,307062
2015-06-15,5.6032,5.6032,5.5159,5.5159,70182
2015-06-16,5.5159,5.5159,5.4048,5.4127,114534
2015-06-17,5.4206,5.4603,5.2381,5.2778,305550
2015-06-18,5.3254,5.3651,5.1984,5.1984,988848
2015-06-19,5.2302,5.3016,5.0952,5.2063,432936
2015-06-22,5.2937,5.2937,5.0635,5.1270,215208
2015-06-23,5.1508,5.1508,5.0397,5.0397,152082
2015-06-24,5.0794,5.0794,4.8175,4.8175,322812
2015-06-25,4.8413,4.8810,4.7222,4.8016,1034586
2015-06-26,4.7698,4.9048,4.7698,4.8571,1426950
2015-06-29,4.8571,4.9603,4.7857,4.9603,355950
2015-06-30,4.9206,4.9444,4.7698,4.8651,727902
2015-07-01,4.8333,4.8413,4.6746,4.7063,469224
2015-07-02,4.7063,4.7063,4.4444,4.4524,468090
2015-07-03,4.4444,4.4603,4.2937,4.4048,476406
2015-07-06,4.3254,4.5794,4.2857,4.4841,757260
2015-07-07,4.5238,4.5952,4.4048,4.5397,398664
2015-07-08,4.5238,4.6111,4.4127,4.5238,372582
2015-07-10,4.5714,4.5952,4.4206,4.4444,224784
2015-07-13,4.4683,4.5952,4.3095,4.5476,552006
2015-07-14,4.4524,4.5317,4.1587,4.2302,311598
2015-07-15,4.2619,4.4206,4.2460,4.4206,1152522
2015-07-16,4.4683,4.6587,4.3810,4.6587,653814
2015-07-17,4.6508,4.7063,4.3651,4.3651,286902
2015-07-20,4.4048,4.4048,4.1032,4.1270,297234
2015-07-21,4.1508,4.2460,4.0873,4.1270,109368
2015-07-22,4.0476,4.0635,3.9365,3.9683,115794
2015-07-23,4.0556,4.1111,3.9603,4.0476,162414
2015-07-24,4.0079,4.0079,3.8413,3.9683,141750
2015-07-27,3.8889,3.9921,3.7063,3.7222,434952
2015-07-28,3.7222,3.9762,3.7222,3.9048,269136
2015-07-29,3.9683,3.9841,3.8651,3.9683,105714
2015-07-30,3.9683,4.0556,3.7698,3.8968,175518
2015-07-31,3.8968,4.0000,3.7778,4.0000,308826
2015-08-03,3.9683,4.0397,3.9286,3.9683,192528
2015-08-04,4.0079,4.0317,3.9683,3.9762,220374
2015-08-05,4.0159,4.2063,4.0159,4.0159,157878
2015-08-06,3.9762,4.1667,3.9762,4.0873,305928
2015-08-07,4.0873,4.1508,3.8651,3.8651,169848
2015-08-10,4.0000,4.0000,3.7936,3.9683,259182
2015-08-11,3.8889,3.9206,3.7698,3.8492,271782
2015-08-12,3.8492,3.8889,3.7619,3.8095,123858
2015-08-13,3.8492,3.8492,3.7381,3.7698,195174
2015-08-14,3.8095,3.8492,3.7698,3.7857,157248
2015-08-17,3.8095,3.8810,3.7381,3.8254,417060
2015-08-18,3.7619,3.8413,3.7302,3.7381,391986
2015-08-19,3.7302,3.7698,3.6111,3.6905,214956
2015-08-20,3.6111,3.7302,3.4921,3.4921,240534
2015-08-21,3.4762,3.5317,3.4524,3.5238,152838
2015-08-24,3.5079,3.5079,3.1349,3.2143,407610
2015-08-25,3.2540,3.3254,3.1349,3.1667,251118
2015-08-26,3.2460,3.3413,3.0873,3.3413,238770
2015-08-27,3.3889,3.7302,3.3889,3.6349,172242
2015-08-28,3.6032,3.7222,3.5159,3.5873,494298
2015-08-31,3.5476,3.6032,3.4048,3.5397,306684
2015-09-01,3.4365,3.6667,3.4365,3.6508,233478
2015-09-02,3.7222,3.9524,3.7222,3.9524,610848
2015-09-03,3.9524,4.1270,3.8254,3.9524,203364
2015-09-04,3.9603,4.0476,3.8413,3.9683,98154
2015-09-08,4.1270,4.1825,4.0397,4.1825,298242
2015-09-09,4.2460,4.3651,4.1349,4.1667,149814
2015-09-10,3.9683,4.3492,3.9683,4.3492,1064952
2015-09-11,4.3651,4.4444,4.2222,4.3254,113022
2015-09-14,4.3254,4.3730,3.9762,4.0476,148806
2015-09-15,3.9603,4.1587,3.8492,4.1429,233604
2015-09-16,4.1508,4.2937,4.0873,4.2857,204876
