date,open,high,low,close,volume
2015-01-02,5.0967,5.1467,4.9033,4.9667,964200
2015-01-05,4.8533,5.0600,4.8167,4.8833,1226400
2015-01-06,4.8833,5.0067,4.7833,4.7833,762600
2015-01-07,4.9433,5.1600,4.9433,5.1600,4521600
2015-01-08,5.1500,5.2100,5.0567,5.1333,855000
2015-01-09,5.1133,5.1733,5.0567,5.0567,402300
2015-01-12,5.0833,5.1233,4.9733,5.0167,631200
2015-01-13,5.0433,5.1667,5.0167,5.1667,443400
2015-01-14,5.1467,5.1467,5.0533,5.0933,518100
2015-01-15,5.1500,5.1800,5.0400,5.1000,441300
2015-01-16,5.0567,5.1500,5.0533,5.1167,358200
2015-01-19,5.1167,5.1633,4.9667,5.0000,597000
2015-01-20,5.0067,5.1300,5.0000,5.0733,1291200
2015-01-21,5.0667,5.0767,4.9467,4.9967,913200
2015-01-22,5.0033,5.0867,4.9033,5.0033,1463100
2015-01-23,5.0167,5.0633,4.9900,5.0633,721500
2015-01-26,5.0333,5.0500,4.8267,4.8533,1793100
2015-01-27,4.8067,4.9367,4.7500,4.8500,1505400
2015-01-28,4.8133,4.8133,4.6833,4.7000,1468500
2015-01-29,4.7000,4.7700,4.6933,4.7033,966300
2015-01-30,4.7067,4.7633,4.6433,4.6433,642600
2015-02-02,4.6300,4.7167,4.6133,4.6333,1695300
2015-02-03,4.6400,4.7533,4.6200,4.6367,2608200
2015-02-04,4.6567,4.6967,4.6167,4.6400,1297200
2015-02-05,4.6500,4.7067,4.5867,4.6000,6455100
2015-02-06,4.6167,4.6433,4.5533,4.6167,1084200
2015-02-09,4.6333,4.7867,4.5733,4.7767,3961800
2015-02-10,4.7867,4.8700,4.7033,4.8000,1335900
2015-02-11,4.7967,4.8267,4.6067,4.6167,588000
2015-02-12,4.6433,4.7400,4.6167,4.6333,736200
2015-02-13,4.7333,5.1700,4.7333,5.1000,1979100
2015-02-18,5.1767,5.3167,5.1100,5.1900,1931700
2015-02-19,5.1900,5.2900,5.1133,5.2500,1820700
2015-02-20,5.2533,5.3033,5.0833,5.1100,724200
2015-02-23,5.1333,5.1833,5.0900,5.1133,665100
2015-02-24,5.1233,5.2467,5.1067,5.2333,1260600
2015-02-25,5.2400,5.4067,5.1733,5.3833,1097400
2015-02-26,5.3833,5.6033,5.3600,5.5400,1544100
2015-02-27,5.5900,5.5900,5.3700,5.4367,2051700
2015-03-02,5.4433,5.5167,5.3500,5.4167,538500
2015-03-03,5.4133,5.4967,5.3100,5.4800,517500
2015-03-04,5.4233,5.5233,5.2667,5.5233,5004600
2015-03-05,5.6000,5.6400,5.5233,5.5667,777600
2015-03-06,5.5367,5.6067,5.4500,5.5333,531000
2015-03-09,5.5000,5.5667,5.4233,5.5333,663000
2015-03-10,5.5000,5.6000,5.4367,5.4367,893400
2015-03-11,5.3767,5.6400,5.3600,5.6400,774900
2015-03-12,5.6400,5.8167,5.6167,5.7733,826800
2015-03-13,5.7767,6.0033,5.5767,6.0000,2188800
2015-03-16,6.0000,6.0000,5.6767,5.6900,831300
2015-03-17,5.6700,5.7400,5.5900,5.6900,651900
2015-03-18,5.6733,5.9600,5.6533,5.8867,817200
2015-03-19,5.8800,5.9900,5.7600,5.8000,252000
2015-03-20,5.8267,5.8767,5.7300,5.7633,662100
2015-03-23,5.6767,5.8767,5.6767,5.8200,454800
2015-03-24,5.8367,5.8633,5.7600,5.7600,226200
2015-03-25,5.7667,5.8333,5.6733,5.8333,1266600
2015-03-26,5.8000,5.8000,5.6667,5.6833,340200
2015-03-27,5.7000,5.7467,5.6167,5.6167,750600
2015-03-30,5.5367,5.7500,5.5267,5.5600,1002000
2015-03-31,5.5667,5.7000,5.4500,5.4500,1511100
2015-04-01,5.5000,5.6467,5.5000,5.6033,879300
2015-04-02,5.6000,5.7133,5.5300,5.5300,529800
2015-04-06,5.5367,5.6267,5.5367,5.6000,652500
2015-04-07,5.6000,5.6833,5.5600,5.6467,547500
2015-04-08,5.6600,5.7600,5.6367,5.6667,603300
2015-04-09,5.6767,5.7000,5.6000,5.6333,608400
2015-04-10,5.5733,5.6033,5.5200,5.6033,431400
2015-04-13,5.6033,5.6233,5.5267,5.5333,439200
2015-04-14,5.5833,5.6200,5.5567,5.6000,532200
2015-04-15,5.6067,5.6500,5.5833,5.6167,610500
2015-04-16,5.6167,5.6333,5.5267,5.5267,812100
2015-04-17,5.5500,5.6267,5.4167,5.5967,433500
2015-04-20,5.5800,5.6333,5.5533,5.6333,606300
2015-04-22,5.6433,5.6467,5.6000,5.6333,921000
2015-04-23,5.6333,5.7967,5.5533,5.7600,1071900
2015-04-24,5.8833,6.1833,5.8667,6.0300,4176300
2015-04-27,6.0167,6.1633,6.0167,6.0400,2646900
2015-04-28,6.0400,6.1267,5.9467,6.0000,4802700
2015-04-29,6.0000,6.0500,5.8700,5.9600,1311600
2015-04-30,6.0100,6.0300,5.8200,6.0000,1451400
2015-05-04,5.9667,6.2167,5.9667,6.1467,1961100
2015-05-05,6.1967,6.2600,5.9400,5.9767,1454100
2015-05-06,6.0033,6.1000,5.8433,6.1000,1197600
2015-05-07,6.1500,6.1500,5.9000,5.9900,920400
2015-05-08,5.9900,6.1133,5.9533,6.0667,965700
2015-05-11,6.0667,6.0933,5.9400,6.0467,1101900
2015-05-12,6.0333,6.0333,5.9367,5.9833,807300
2015-05-13,5.9767,6.0000,5.7667,5.8733,1095300
2015-05-14,5.9000,5.9733,5.8867,5.9100,1353600
2015-05-15,5.9600,6.0067,5.9267,5.9967,1043400
2015-05-18,5.9667,6.0833,5.8433,5.9367,440100
2015-05-19,5.9233,6.0300,5.8767,5.9500,853500
2015-05-20,5.9533,6.0000,5.8767,5.8900,1180200
2015-05-21,5.8967,5.9433,5.8333,5.8500,991500
2015-05-22,5.9000,5.9467,5.8500,5.8933,626700
2015-05-25,5.8933,5.9467,5.8333,5.8933,466500
2015-05-26,5.8633,5.8767,5.7200,5.8333,945600
2015-05-27,5.8333,5.8400,5.7833,5.8333,908700
2015-05-28,5.7933,5.8800,5.7767,5.8000,621300
2015-05-29,5.8533,5.8533,5.7500,5.7900,670800
2015-06-01,5.8433,5.9333,5.7733,5.9000,1882800
2015-06-02,5.8833,5.9900,5.7733,5.8333,1167900
2015-06-03,5.8333,5.8633,5.8000,5.8133,267300
2015-06-05,5.7833,5.8800,5.7833,5.8333,314100
2015-06-08,5.8333,5.8500,5.7500,5.8067,585000
2015-06-09,5.7967,5.8033,5.7467,5.7733,382200
2015-06-10,5.7333,5.8033,5.6667,5.7200,1080600
2015-06-11,5.7000,5.8133,5.6700,5.7333,373800
2015-06-12,5.7133,5.7900,5.6900,5.7500,506400
2015-06-15,5.7400,5.7400,5.6000,5.6333,698700
2015-06-16,5.6200,5.6900,5.6133,5.6333,393900
2015-06-17,5.6633,5.6667,5.6333,5.6400,709200
2015-06-18,5.6467,5.8400,5.6467,5.7433,573300
2015-06-19,5.7467,5.7567,5.6500,5.7000,627000
2015-06-22,5.6500,5.7267,5.6500,5.6667,436200
2015-06-23,5.6900,5.7200,5.6333,5.6667,720600
2015-06-24,5.6533,5.7267,5.6033,5.6033,3105600
2015-06-25,5.6467,5.6467,5.4233,5.5000,676500
2015-06-26,5.5000,5.6333,5.4700,5.6333,773100
2015-06-29,5.5600,5.6633,5.4933,5.5600,980400
2015-06-30,5.5300,5.8267,5.5300,5.5767,1913400
2015-07-01,5.6400,5.7567,5.6000,5.6833,863400
2015-07-02,5.7433,5.7833,5.6867,5.7167,592200
2015-07-03,5.7167,5.7200,5.6567,5.6733,290400
2015-07-06,5.6667,5.7767,5.6633,5.7067,473400
2015-07-07,5.7333,5.7733,5.5833,5.6367,411000
2015-07-08,5.6133,5.7867,5.6033,5.7333,600000
2015-07-10,5.7367,5.7800,5.6533,5.7200,510300
2015-07-13,5.7300,5.8600,5.7067,5.8433,507300
2015-07-14,5.8467,5.9200,5.7733,5.8100,396300
2015-07-15,5.8200,5.9100,5.8100,5.8300,909300
2015-07-16,5.8700,5.9133,5.8300,5.8300,660900
2015-07-17,5.8967,5.8967,5.7867,5.8300,609000
2015-07-20,5.8233,5.8533,5.6733,5.7333,678000
2015-07-21,5.7333,5.8467,5.6967,5.7967,551400
2015-07-22,5.7367,5.8367,5.5000,5.5233,1347000
2015-07-23,5.5333,5.5967,5.2867,5.4000,942300
2015-07-24,5.4700,5.6300,5.4700,5.4900,991200
2015-07-27,5.5500,5.8667,5.4800,5.6100,1122900
2015-07-28,5.7300,5.7733,5.6467,5.7200,802800
2015-07-29,5.7467,5.9667,5.7233,5.9333,844800
2015-07-30,5.9367,5.9900,5.8633,5.9233,573000
2015-07-31,5.9333,6.0133,5.9100,5.9567,577500
2015-08-03,5.9367,6.0400,5.9367,5.9667,528600
2015-08-04,5.9733,6.0167,5.8633,5.9067,556500
2015-08-05,5.9267,6.0333,5.8833,5.9867,767700
2015-08-06,6.0000,6.0300,5.8167,5.9067,908700
2015-08-07,5.8433,5.9267,5.8367,5.9067,589500
2015-08-10,5.9067,5.9067,5.6167,5.6833,818100
2015-08-11,5.6667,5.7633,5.6367,5.6933,508800
2015-08-12,5.6800,5.7233,5.6300,5.6667,532800
2015-08-13,5.7167,5.7167,5.5833,5.6300,291900
2015-08-14,5.6300,5.6700,5.5133,5.6433,381600
2015-08-17,5.6800,5.7433,5.5267,5.5667,466500
2015-08-18,5.5833,5.7500,5.5467,5.6567,664200
2015-08-19,5.7000,5.7233,5.5633,5.6267,3161700
2015-08-20,5.6333,5.6400,5.4267,5.4867,651600
2015-08-21,5.5167,5.5167,5.2433,5.3233,564600
2015-08-24,4.9767,5.4733,4.9767,5.4667,945600
2015-08-25,5.5133,5.5667,5.3100,5.3100,619800
2015-08-26,5.3367,5.6933,5.3367,5.5033,1235400
2015-08-27,5.5700,5.8267,5.5333,5.6867,1104000
2015-08-28,5.6667,5.6667,5.5233,5.5233,416700
2015-08-31,5.5533,5.5533,5.4033,5.4433,511800
2015-09-01,5.4300,5.4433,5.2833,5.4433,722100
2015-09-02,5.4633,5.7100,5.4100,5.6333,1271100
2015-09-03,5.6567,5.7833,5.6267,5.7100,815100
2015-09-04,5.6767,5.7733,5.6767,5.7400,842100
2015-09-08,5.7033,5.8067,5.7033,5.8067,864300
2015-09-09,5.8333,5.8867,5.8033,5.8633,1176300
2015-09-10,5.7000,5.8700,5.7000,5.8700,1126800
2015-09-11,5.8700,5.9667,5.7967,5.8733,834000
2015-09-14,5.8933,6.1367,5.8767,6.0267,1795800
2015-09-15,6.0800,6.1233,5.9767,6.0500,1413000
2015-09-16,6.1100,6.1100,5.9933,6.0000,849900
2015-09-17,6.0300,6.0833,6.0100,6.0633,631500
2015-09-18,6.0833,6.0833,5.7700,5.9733,763500
2015-09-21,5.9767,6.0033,5.8233,5.8667,500400
2015-09-22,5.8367,5.8833,5.8067,5.8300,627000
2015-09-23,5.8333,5.9333,5.7800,5.9333,448500
2015-09-24,5.9067,5.9467,5.8167,5.8833,2714400
2015-09-25,5.9133,5.9700,5.8433,5.8833,902400
2015-09-28,5.8833,5.9167,5.8300,5.8967,233100
2015-09-29,5.8967,5.9700,5.8200,5.8667,1040100
