date,open,high,low,close,volume
2018-04-26,87.0000,87.7500,81.5100,83.5200,1956933
2018-04-27,83.9700,85.9500,82.5000,84.0000,932166
2018-04-30,83.5500,84.0000,82.6500,82.9500,370366
2018-05-02,81.0000,83.8500,81.0000,81.9300,428333
2018-05-03,81.3300,83.7000,80.4000,82.4700,790600
2018-05-04,83.0100,83.0100,79.2000,80.2500,632800
2018-05-07,79.9500,81.0000,79.8000,81.0000,375200
2018-05-08,81.4500,81.9000,80.4000,81.0000,315733
2018-05-09,81.0000,81.2700,79.7100,80.7000,333066
2018-05-10,81.3000,82.9200,80.3400,81.6000,396433
2018-05-11,82.4700,84.6000,82.4400,82.8000,586000
2018-05-14,83.6700,83.8200,81.9600,81.9600,350433
2018-05-15,84.3000,87.3000,84.0000,86.8500,900866
2018-05-16,86.8500,89.4300,85.6500,89.4300,589600
2018-05-17,90.0000,92.9400,90.0000,90.9000,520533
2018-05-18,90.9000,90.9000,87.6900,88.8000,980066
2018-05-21,89.1000,93.2700,87.0000,92.4000,633933
2018-05-22,92.4000,98.4000,92.4000,98.2500,462766
2018-05-23,98.2500,98.2500,93.0000,98.0700,487666
2018-05-24,95.4000,96.0600,91.2600,91.5000,822100
2018-05-25,90.9300,93.0900,90.0900,92.9700,562433
2018-05-28,92.9700,92.9700,87.0900,88.5000,427433
2018-05-29,89.4000,91.0500,86.5500,89.2800,175300
2018-05-30,90.3000,92.2500,87.5700,90.0000,493866
2018-06-01,91.8900,92.9700,86.9700,89.6700,391033
2018-06-04,90.6000,92.4000,88.8300,90.9000,304000
2018-06-05,90.3000,90.3000,86.4000,87.8100,239700
2018-06-06,87.0600,87.5400,83.7000,85.4400,443766
2018-06-07,85.4400,85.4400,80.5500,82.8000,547066
2018-06-08,81.6900,85.1700,81.0000,82.9500,443000
2018-06-11,83.4600,84.7500,80.8500,83.4000,202266
2018-06-12,83.4000,85.4100,82.0200,84.2400,203566
2018-06-13,84.3300,84.3300,79.5900,80.2200,786033
2018-06-14,80.1000,82.1700,79.8000,81.0600,536566
2018-06-15,81.0600,81.1500,76.9500,81.0000,389566
2018-06-18,81.0000,81.0000,78.6000,79.1400,465333
2018-06-19,79.7400,85.1700,78.9000,83.5500,159600
2018-06-20,84.0300,87.6000,83.7000,86.4000,141600
2018-06-21,85.5000,87.5400,82.0500,84.6300,246900
2018-06-22,84.0300,87.6000,83.1900,87.0000,298800
2018-06-25,87.9600,88.5000,86.4000,88.5000,909166
2018-06-26,88.7100,90.0000,87.1500,88.8600,153233
2018-06-27,89.1000,90.7500,87.3300,90.0000,117966
2018-06-28,90.0000,90.8400,87.4500,90.8400,922066
2018-06-29,89.5800,91.5900,87.4500,89.6700,492266
2018-07-02,88.1400,89.0700,87.9600,88.2000,88033
2018-07-03,88.8300,89.3400,85.9800,87.6000,142500
2018-07-04,88.7700,89.1900,86.1900,87.8700,320933
2018-07-05,87.8700,88.4100,86.3400,87.6000,391100
2018-07-06,87.6000,87.6600,85.6500,85.6500,769100
2018-07-10,86.1900,88.1700,85.2000,86.2800,281266
2018-07-11,85.8300,88.3500,84.6600,86.1300,271833
2018-07-12,85.9500,89.2500,84.3600,89.1900,235333
2018-07-13,89.2200,89.7000,86.0100,86.4600,222900
2018-07-16,86.4900,88.1100,84.9300,85.5000,173400
2018-07-17,86.1600,86.6400,84.3600,85.1100,152666
2018-07-18,84.9300,87.9900,84.7500,87.9900,444433
2018-07-19,87.6000,88.6500,85.6500,87.2700,169366
2018-07-20,88.5000,90.9300,87.6300,90.0000,356866
2018-07-23,91.1700,91.4400,88.8300,89.7900,145300
2018-07-24,90.3300,90.8700,89.2200,90.3000,140566
2018-07-25,90.9300,92.1000,86.0400,86.0400,653300
2018-07-26,86.1900,86.9100,81.9000,82.5300,454233
2018-07-27,83.2200,84.6300,81.9900,84.6300,199833
2018-07-30,84.5400,84.6000,81.7500,82.3500,306800
2018-07-31,83.2200,84.5700,81.3000,84.4800,430700
2018-08-01,83.4300,86.0700,83.4000,86.0700,89600
2018-08-02,85.2600,86.8200,85.2600,86.8200,63600
2018-08-03,86.8200,86.8200,85.5600,85.9500,171233
2018-08-06,85.4100,85.5900,83.1000,83.3100,242633
2018-08-07,83.2500,83.4000,81.0600,81.0600,212866
2018-08-08,81.7200,82.2000,78.9900,80.7000,270133
2018-08-09,80.1000,81.0600,78.7200,80.8800,546266
2018-08-10,81.0600,82.3200,80.0700,80.7900,176700
2018-08-13,80.8500,82.0500,79.6500,81.0000,160400
2018-08-14,80.3700,80.3700,76.2600,79.3500,524933
2018-08-15,78.9000,79.5600,78.0000,78.0000,702366
2018-08-16,78.1800,78.5100,74.4600,75.3000,1651000
2018-08-17,74.7300,74.7300,72.0000,73.2000,2138466
2018-08-20,73.7100,74.7900,73.5000,74.1000,425766
2018-08-21,73.3800,74.3400,72.0300,73.3500,1384333
2018-08-22,72.6900,75.4800,72.6900,75.3000,518466
2018-08-23,74.3400,76.1400,73.6500,75.1500,126566
2018-08-24,75.9000,77.4000,75.0000,77.1300,164200
2018-08-27,77.1300,78.3000,75.4500,77.8800,318500
2018-08-28,77.7600,78.0000,75.6900,77.0700,298400
2018-08-29,77.5200,78.0000,75.2400,76.2300,162200
2018-08-30,75.9900,77.7000,75.1800,77.7000,206466
2018-08-31,77.9700,78.3600,76.7400,77.6700,295200
2018-09-03,77.6100,77.9100,75.7800,76.4700,159200
2018-09-04,76.2000,76.2300,73.6200,74.8200,196200
2018-09-05,74.6700,77.4900,74.5800,75.0300,95400
2018-09-06,75.9600,78.3900,73.2000,76.0200,139100
