date,open,high,low,close,volume
2015-01-02,22.2746,22.2746,21.2494,21.2960,46266
2015-01-05,21.3892,21.4358,20.4106,20.7368,120537
2015-01-06,20.6436,21.1562,20.5504,21.1562,73627
2015-01-07,21.4358,22.4144,21.2960,22.2746,78155
2015-01-08,21.6688,22.4144,21.3892,21.9018,67210
2015-01-09,22.0882,22.0882,20.4572,20.6436,148563
2015-01-12,20.7368,20.7368,19.3854,19.5718,142168
2015-01-13,19.7116,20.0844,18.9660,18.9660,89314
2015-01-14,19.0592,19.3854,18.7330,18.8728,62532
2015-01-15,19.1524,19.2922,18.4068,18.4534,61223
2015-01-16,18.5000,19.2922,18.3602,18.8262,189679
2015-01-19,19.0592,19.2922,18.4068,18.6398,76717
2015-01-20,18.6398,18.8262,17.8476,18.2670,56781
2015-01-21,18.0806,18.2670,17.6612,18.1738,52918
2015-01-22,18.1738,19.0126,18.1272,19.0126,125237
2015-01-23,18.8262,18.9194,18.0340,18.7330,109614
2015-01-26,18.4068,18.5466,17.5214,17.9408,72618
2015-01-27,17.7544,17.9408,17.3350,17.9408,32725
2015-01-28,18.1738,18.5000,17.5680,18.5000,65494
2015-01-29,18.5000,19.2922,17.9408,19.2922,96953
2015-01-30,19.2922,19.2922,18.1272,18.2204,232255
2015-02-02,18.1272,18.8728,17.9408,18.8728,160988
2015-02-03,19.0126,19.6650,18.6864,19.1058,283178
2015-02-04,18.9194,19.4320,18.4534,19.0126,96288
2015-02-05,19.0126,20.3174,18.8262,20.3174,311762
2015-02-06,20.3174,20.5970,19.2922,20.1310,163091
2015-02-09,19.9446,20.5038,19.5718,20.5038,372449
2015-02-10,20.5504,20.5504,19.0592,19.0592,86095
2015-02-11,19.2922,19.2922,18.0806,18.7796,110194
2015-02-12,18.8728,18.8728,18.0340,18.0340,87919
2015-02-13,18.1272,18.9194,17.6146,18.9194,144979
2015-02-18,18.8262,19.7116,18.8262,19.2922,27317
2015-02-19,19.7116,19.7116,18.4068,18.4068,132340
2015-02-20,18.4534,18.6398,18.0340,18.1738,48841
2015-02-23,18.2204,18.5932,18.1272,18.3136,55365
2015-02-24,18.4534,18.5932,18.2670,18.3136,46051
2015-02-25,18.3602,19.0592,18.2670,18.4068,158928
2015-02-26,18.5932,19.6650,18.0806,18.8728,164872
2015-02-27,18.9194,19.1524,18.3136,18.5932,126138
2015-03-02,19.0592,19.1524,18.4534,19.1058,160001
2015-03-03,19.0592,19.5718,18.6398,19.0126,72876
