date,open,high,low,close,volume
2021-01-26,19.6900,19.9900,18.1100,18.9000,312200
2021-01-27,19.0000,19.0000,17.6000,18.0000,954900
2021-01-28,17.9600,18.2000,16.9300,17.1000,1267800
2021-01-29,17.3100,17.3900,16.5200,16.9000,310600
2021-02-01,17.0000,17.1500,16.7000,16.7000,254900
2021-02-02,17.0000,17.6000,16.9800,17.2000,274400
2021-02-03,17.3200,17.8000,17.2000,17.6000,62700
2021-02-04,17.4700,18.0000,17.4700,17.9000,47900
2021-02-05,18.1100,19.4300,18.0000,18.5000,90500
2021-02-08,19.0000,19.0000,18.3500,18.3600,36000
2021-02-09,18.9800,18.9800,17.8400,18.6000,80700
2021-02-10,18.3000,18.5000,17.8000,18.1500,161300
2021-02-11,18.1500,18.9900,18.0000,18.7500,80200
2021-02-12,18.3000,18.8000,17.7500,18.2900,294300
2021-02-17,18.7900,18.7900,18.0000,18.3000,233200
2021-02-18,18.6800,18.7500,17.8200,18.4000,306600
2021-02-19,19.1000,19.1000,17.6000,18.2000,245800
2021-02-22,18.0000,18.0000,16.8000,17.3000,341300
2021-02-23,17.8000,17.9900,17.1500,17.4000,301200
2021-02-24,17.5100,18.7900,17.5000,17.8000,1264900
2021-02-25,17.5000,17.7400,17.0000,17.0600,139700
2021-02-26,17.4000,17.5900,17.0100,17.5900,81900
2021-03-01,17.2200,17.2200,16.5200,17.2000,41300
2021-03-02,16.8000,17.0000,16.6300,16.9500,32400
2021-03-03,16.7500,16.7500,16.2800,16.5000,94400
2021-03-04,16.5000,16.7000,15.6500,16.1400,160800
2021-03-05,16.0000,17.0000,15.8000,17.0000,125900
2021-03-08,16.7000,16.9900,16.4400,16.6000,35600
2021-03-09,16.5000,16.5000,15.3000,16.4500,80500
2021-03-10,16.1000,16.1200,15.6200,15.9500,108000
2021-03-11,16.0000,16.3500,15.8100,16.1000,173600
2021-03-12,15.9300,16.1900,15.9000,16.0000,78500
2021-03-15,16.0000,16.0000,15.3100,15.6000,138500
2021-03-16,15.9000,15.9000,15.3600,15.5000,123900
2021-03-17,15.5100,16.3000,15.4000,16.3000,76300
2021-03-18,16.3000,16.6200,15.8500,16.1000,123600
2021-03-19,16.1200,16.4500,16.1000,16.1600,84300
2021-03-22,15.9200,16.1300,15.9200,15.9300,58700
2021-03-23,15.8000,16.4900,15.7100,16.4900,51000
2021-03-24,16.8900,16.8900,16.1200,16.8900,74600
2021-03-25,16.6000,16.7400,16.4000,16.6500,124500
2021-03-26,16.7900,16.8600,16.4700,16.7700,68400
2021-03-29,16.8800,16.8800,16.5100,16.8800,21000
2021-03-30,16.6000,17.1000,16.6000,16.6000,108100
2021-03-31,16.6000,16.7700,16.3500,16.5000,122900
