date,open,high,low,close,volume
2020-09-25,7.5600,7.5600,7.0300,7.4200,67517400
2020-09-28,7.3800,7.4900,7.1200,7.2200,6789100
2020-09-29,7.2100,7.2200,6.8900,7.0500,5687500
2020-09-30,7.0200,7.2500,7.0200,7.2500,4544900
2020-10-01,7.2400,7.3300,7.0500,7.3200,3141300
2020-10-02,7.2200,7.2700,7.1400,7.1400,2467600
2020-10-05,7.1800,7.2000,7.0100,7.0500,2250800
2020-10-06,7.1000,7.1300,6.9100,6.9500,1313300
2020-10-07,7.0000,7.0000,6.6300,6.6500,5389600
2020-10-08,6.6500,6.7500,6.5300,6.6900,1725900
2020-10-09,6.7000,6.8300,6.6000,6.7500,1231200
2020-10-13,6.7600,6.7900,6.6000,6.6100,5017300
2020-10-14,6.6600,6.8200,6.6200,6.8000,2034400
2020-10-15,6.8300,6.9700,6.7600,6.9100,1392200
2020-10-16,6.9000,6.9900,6.8200,6.8900,540800
2020-10-19,6.9300,6.9300,6.7500,6.8000,1069200
2020-10-20,6.8000,6.9000,6.6100,6.7500,1327000
2020-10-21,6.7800,6.7800,6.5700,6.6100,1557200
2020-10-22,6.6200,6.7200,6.5500,6.6100,1265200
2020-10-23,6.6200,6.9600,6.4800,6.8500,13695400
2020-10-26,6.8500,6.8800,6.6100,6.7400,13602100
2020-10-27,6.7500,6.7900,6.5600,6.5600,733900
2020-10-28,6.5000,6.5500,6.0700,6.1500,1810200
2020-10-29,6.1800,6.2600,6.0000,6.1600,2364800
2020-10-30,6.1800,6.2400,5.8800,5.9000,3013400
2020-11-03,6.3000,6.4900,6.1900,6.4500,5906600
2020-11-04,6.5000,6.7500,6.4200,6.5300,3199800
2020-11-05,6.6100,6.9200,6.4400,6.6000,5084500
2020-11-06,6.5000,6.7900,6.4800,6.6300,3796000
2020-11-09,6.8500,6.8500,6.5400,6.5600,1313800
2020-11-10,6.6100,6.7200,6.3700,6.4300,1479500
2020-11-11,6.4600,6.5100,6.2500,6.4000,2748500
2020-11-12,6.3800,6.4300,6.1000,6.3800,2079000
2020-11-13,6.3800,6.5100,6.1100,6.3000,3114000
2020-11-16,6.4800,6.4800,6.1500,6.2000,4541400
2020-11-17,6.2100,6.3500,6.1600,6.2800,2529100
2020-11-18,6.2700,6.4100,6.1500,6.3500,1681100
2020-11-19,6.3200,6.4500,6.1700,6.4500,2085800
2020-11-23,6.6000,6.6100,6.4000,6.4500,1311900
2020-11-24,6.4200,6.5900,6.3800,6.5300,3576800
2020-11-25,6.5300,6.7300,6.4800,6.7300,5466500
2020-11-26,6.7100,6.7900,6.6300,6.7500,1975700
