date,open,high,low,close,volume
2015-01-02,16.6100,16.7500,16.1300,16.1900,2028600
2015-01-05,15.9200,16.3200,15.6800,16.2200,3868000
2015-01-06,16.0700,16.3500,15.7000,15.8500,3074800
2015-01-07,15.9700,16.8000,15.9700,16.8000,2816400
2015-01-08,16.7800,16.9400,16.5300,16.7600,1733700
2015-01-09,16.6700,16.7200,16.4300,16.4800,1249100
2015-01-12,16.3600,16.5600,16.1400,16.2600,1770700
2015-01-13,16.3400,16.6000,16.2600,16.2600,2875300
2015-01-14,16.0000,16.3800,15.9700,16.3000,2626700
2015-01-15,16.3200,17.0900,16.2800,17.0500,3157600
2015-01-16,17.0700,17.6000,16.8000,17.3000,2908900
2015-01-19,17.2400,17.5100,17.0000,17.0200,1558400
2015-01-20,17.1500,17.3000,16.9800,17.3000,1486900
2015-01-21,17.2900,18.1600,17.1600,17.9500,5320600
2015-01-22,18.0900,18.9900,18.0400,18.6600,4612100
2015-01-23,18.4000,18.8300,18.1500,18.1500,2082400
2015-01-26,18.1500,18.5300,17.8700,18.1700,2191900
2015-01-27,18.1200,18.4000,17.9200,18.1600,3097200
2015-01-28,17.8500,18.4000,17.7000,18.3400,1834700
2015-01-29,18.1500,18.4000,18.0200,18.3300,1948200
2015-01-30,18.0500,18.5300,17.8300,18.2000,3233600
2015-02-02,18.2000,18.3600,17.9000,18.0200,2543400
2015-02-03,18.1100,18.2200,17.8600,18.0500,2395400
2015-02-04,18.0500,18.1800,17.4700,17.6400,3080200
2015-02-05,17.5400,17.8100,17.4800,17.7200,2715900
2015-02-06,17.5200,17.6400,17.4200,17.6000,2112800
2015-02-09,17.5500,17.7000,17.2300,17.4500,1577800
2015-02-10,17.3700,18.0300,17.0500,17.5500,3568700
2015-02-11,17.3800,17.6800,17.1700,17.5300,2359100
2015-02-12,17.5700,17.9500,17.4600,17.7800,3044600
2015-02-13,18.0000,18.4000,17.9000,18.4000,2268300
2015-02-18,18.6500,18.7700,18.2000,18.4600,2326000
2015-02-19,18.2100,18.7100,18.2000,18.5700,1542900
2015-02-20,18.4200,18.5200,18.1800,18.2400,1916400
2015-02-23,18.1500,18.6500,18.1500,18.3700,2383600
2015-02-24,18.3000,18.6700,18.3000,18.5700,2549900
2015-02-25,18.4300,18.6900,18.3500,18.6800,4622700
2015-02-26,18.7000,18.9400,18.5500,18.8800,1457000
2015-02-27,18.7000,19.3000,18.6400,19.0800,3841800
2015-03-02,19.0800,19.1200,18.8400,19.0100,2481300
2015-03-03,18.8100,19.2700,18.8100,19.1900,4852400
