date,open,high,low,close,volume
2015-01-02,1.1500,1.2000,1.0000,1.0000,128980
2015-01-05,1.0500,1.1000,1.0000,1.0000,7800
2015-01-06,1.0000,1.0000,1.0000,1.0000,1000
2015-01-07,1.0000,1.0000,1.0000,1.0000,0
2015-01-08,1.0000,1.0000,1.0000,1.0000,200
2015-01-09,1.0000,1.0000,1.0000,1.0000,0
2015-01-12,0.9500,0.9500,0.9500,0.9500,60
2015-01-13,1.0000,1.0000,1.0000,1.0000,720
2015-01-14,1.0500,1.0500,0.9500,1.0500,2320
2015-01-15,1.0500,1.3000,1.0500,1.2500,10200
2015-01-16,1.3000,1.3000,1.1500,1.3000,2240
2015-01-19,1.3000,1.3000,1.3000,1.3000,0
2015-01-20,1.0000,1.2500,1.0000,1.2500,320
2015-01-21,1.2500,1.2500,1.2500,1.2500,220
2015-01-22,1.1000,1.2000,1.1000,1.2000,2500
2015-01-23,1.0500,1.0500,1.0500,1.0500,1600
2015-01-26,1.1000,1.2000,1.0000,1.1000,2820
2015-01-27,1.1000,1.1000,1.1000,1.1000,0
2015-01-28,1.1000,1.1000,1.1000,1.1000,0
2015-01-29,1.0500,1.1000,1.0500,1.0500,4660
2015-01-30,1.1000,1.1000,1.1000,1.1000,200
2015-02-02,1.1500,1.1500,1.0500,1.1000,1620
2015-02-03,1.1000,1.1500,1.1000,1.1500,320
2015-02-04,1.1000,1.2000,1.1000,1.1500,5380
2015-02-05,1.1000,1.1500,1.1000,1.1500,7760
2015-02-06,1.1500,1.1500,1.1500,1.1500,0
2015-02-09,1.1000,1.1000,1.1000,1.1000,260
2015-02-10,1.1000,1.1000,1.1000,1.1000,0
2015-02-11,1.2000,1.2000,1.0500,1.0500,8320
2015-02-12,1.1500,1.1500,1.1500,1.1500,40
2015-02-13,1.1500,1.1500,1.1500,1.1500,0
2015-02-18,1.1500,1.1500,1.1500,1.1500,0
2015-02-19,1.1500,1.1500,1.1500,1.1500,0
2015-02-20,1.1500,1.1500,1.1500,1.1500,0
2015-02-23,1.0500,1.1500,1.0500,1.1500,1760
2015-02-24,1.1500,1.1500,1.0500,1.0500,9820
2015-02-25,1.0000,1.0500,1.0000,1.0500,4140
2015-02-26,1.0500,1.0500,1.0500,1.0500,3020
2015-02-27,1.0000,1.0000,1.0000,1.0000,1800
2015-03-02,1.0000,1.0000,1.0000,1.0000,6640
2015-03-03,1.0000,1.0500,1.0000,1.0500,620
2015-03-04,1.0000,1.0500,1.0000,1.0500,3740
2015-03-05,1.0000,1.0000,1.0000,1.0000,3820
2015-03-06,0.9500,1.0000,0.9500,1.0000,9440
2015-03-09,1.0000,1.0000,1.0000,1.0000,340
2015-03-10,0.9500,1.0000,0.9500,0.9500,6600
2015-03-11,1.0000,1.0000,0.9500,1.0000,280
2015-03-12,0.9000,1.0000,0.8500,1.0000,45220
2015-03-13,1.0000,1.0000,1.0000,1.0000,200
2015-03-16,1.0000,1.0000,0.9000,0.9000,13600
2015-03-17,0.9000,0.9000,0.9000,0.9000,9240
2015-03-18,0.9000,0.9000,0.8000,0.9000,57180
2015-03-19,0.9000,0.9000,0.9000,0.9000,0
2015-03-20,0.9000,0.9000,0.9000,0.9000,0
2015-03-23,0.9500,0.9500,0.9000,0.9000,7740
2015-03-24,0.9500,1.0000,0.9000,0.9500,21700
2015-03-25,0.9500,0.9500,0.9500,0.9500,0
2015-03-26,0.9000,0.9500,0.9000,0.9500,100
2015-03-27,0.9500,0.9500,0.9500,0.9500,120
2015-03-30,0.9000,1.0000,0.9000,1.0000,14200
2015-03-31,1.0000,1.0000,1.0000,1.0000,0
2015-04-01,1.0000,1.0000,1.0000,1.0000,0
2015-04-02,0.9500,1.0000,0.9000,0.9500,8560
2015-04-06,0.9500,0.9500,0.9000,0.9500,4620
2015-04-07,0.9500,0.9500,0.9500,0.9500,120
