date,open,high,low,close,volume
2015-01-02,5.4528,5.4528,5.3067,5.3123,39135
2015-01-05,5.2842,5.2842,5.2280,5.2280,16721
2015-01-06,5.1942,5.3348,5.1436,5.3348,24904
2015-01-07,5.3910,5.5259,5.3910,5.4753,29885
2015-01-08,5.6158,5.6158,5.4472,5.5090,38246
2015-01-09,5.3966,5.5034,5.3404,5.5034,19745
2015-01-12,5.3404,5.3629,5.1774,5.2280,22236
2015-01-13,5.2785,5.3404,5.2785,5.2785,17966
2015-01-14,5.1436,5.3404,5.1436,5.3404,2846
2015-01-15,5.3460,5.3685,5.1886,5.1886,38246
2015-01-16,5.1998,5.3910,5.1998,5.3910,13697
2015-01-19,5.2898,5.2954,5.0705,5.0818,64929
2015-01-20,5.2111,5.2673,5.1380,5.2280,16899
2015-01-21,5.2280,5.3966,5.2280,5.3123,21880
2015-01-22,5.4528,5.5596,5.3854,5.5596,22592
2015-01-23,5.4528,5.5596,5.3404,5.4191,6759
2015-01-26,5.4247,5.4247,5.3854,5.3966,6048
2015-01-27,5.3797,5.4303,5.3797,5.4303,5514
2015-01-28,5.2561,5.5652,5.2561,5.5652,1601
2015-01-29,5.2954,5.3291,5.2336,5.2561,14586
2015-01-30,5.1717,5.3291,5.1155,5.3291,15298
2015-02-02,5.2336,5.2336,5.0593,5.1998,29173
2015-02-03,5.2842,5.3404,5.2842,5.2954,18500
2015-02-04,5.3404,5.5652,5.2280,5.5540,55679
2015-02-05,5.4809,5.5709,5.4303,5.5709,26327
2015-02-06,5.4809,5.5484,5.4528,5.5484,20991
2015-02-09,5.5259,5.5765,5.4865,5.5596,35044
2015-02-10,5.5315,5.5652,5.4697,5.5652,42871
2015-02-11,5.3192,5.3417,5.1839,5.3417,22361
2015-02-12,5.3586,5.4657,5.3586,5.4657,1075474
2015-02-13,5.4600,5.6291,5.4262,5.6291,31412
2015-02-18,5.6235,5.7249,5.6235,5.6911,36026
2015-02-19,5.7305,5.7305,5.6235,5.7305,10115
2015-02-20,5.7249,5.7249,5.7249,5.7249,532
2015-02-23,5.7136,5.7474,5.6066,5.6404,30170
2015-02-24,5.6629,5.7474,5.6347,5.7474,55725
2015-02-25,5.6404,5.8038,5.6404,5.8038,41350
2015-02-26,5.7474,5.8038,5.7249,5.8038,140024
2015-02-27,5.8038,5.9165,5.6404,5.8827,155287
