date,open,high,low,close,volume
2021-02-08,9.5765,9.9656,8.7386,9.0179,14125154
2021-02-09,9.0777,9.2673,8.5391,8.6787,4962439
2021-02-10,8.5889,8.6089,8.2996,8.4792,3212759
2021-02-11,8.4792,8.5790,8.2797,8.3795,1650637
2021-02-12,8.3994,8.4293,8.1799,8.3695,1638808
2021-02-17,8.5790,9.1575,8.3795,8.6787,1176678
2021-02-18,8.8284,8.9481,8.4892,8.8782,658109
2021-02-19,8.7186,8.9680,8.6987,8.8284,535309
2021-02-22,8.6787,8.6787,8.3795,8.4493,1210160
2021-02-23,8.4892,8.7884,8.3096,8.6288,1427191
2021-02-24,8.6288,8.7685,8.4293,8.5690,530096
2021-02-25,8.7086,8.7685,8.4393,8.5490,647283
2021-02-26,8.4393,8.5391,8.1999,8.2797,2556754
2021-03-01,8.5889,8.6588,8.1999,8.1999,836245
2021-03-02,8.2198,8.4792,8.1799,8.2797,736902
2021-03-03,8.2897,8.4792,8.0303,8.2996,3385080
2021-03-04,8.3695,8.4593,8.1899,8.2797,430853
2021-03-05,8.4194,8.4194,8.2298,8.2797,589341
2021-03-08,8.2597,8.2697,7.9006,8.0802,1079440
2021-03-09,7.9106,8.1201,7.9106,8.0004,924461
2021-03-10,8.1101,8.2797,7.8607,8.2797,1093174
2021-03-11,8.2797,8.4393,7.6911,7.9106,1424785
2021-03-12,7.9804,8.0303,7.6812,7.6812,499722
2021-03-15,7.6812,7.8208,7.6812,7.7111,276075
2021-03-16,7.7310,7.7809,7.5116,7.5914,778404
2021-03-17,7.4517,7.8108,7.3520,7.7310,1007063
2021-03-18,7.7111,7.7809,7.3320,7.3819,770885
2021-03-19,7.5116,7.9505,7.3320,7.6911,683271
2021-03-22,7.8807,8.2996,7.8807,8.2996,1390100
2021-03-23,8.3196,8.8284,8.3196,8.5889,1449445
2021-03-24,8.5889,8.6787,8.2298,8.3296,992327
2021-03-25,8.3695,8.4393,8.0503,8.1400,872033
2021-03-26,8.1600,8.2398,7.9206,8.0303,687181
2021-03-29,7.9206,8.0203,7.8108,7.8208,570796
2021-03-30,7.8707,7.9505,7.7809,7.9505,699310
2021-03-31,7.8607,7.9505,7.5615,7.8408,302840
2021-04-01,7.8607,8.0203,7.7510,8.0203,898397
2021-04-05,7.9804,8.1301,7.8308,7.8308,407597
2021-04-06,7.9306,8.0802,7.7709,7.8108,618011
2021-04-07,7.8607,8.4692,7.8507,8.0104,1273715
2021-04-08,8.0802,8.1201,7.9306,7.9306,229561
2021-04-09,7.9405,8.0602,7.9405,7.9904,192470
2021-04-12,7.9904,8.2996,7.9904,8.0802,368701
2021-04-13,8.0802,8.2597,8.0602,8.0802,300434
2021-04-14,8.1201,8.2897,8.0602,8.1600,400980
2021-04-15,8.2298,8.3695,8.0802,8.1201,681968
2021-04-16,8.1400,8.2797,8.1301,8.1999,283794
2021-04-19,8.2298,8.2697,8.0902,8.2498,242092
2021-04-20,8.2498,8.5790,8.1999,8.3795,1155526
2021-04-22,8.4792,8.5790,8.3994,8.4593,687381
2021-04-23,8.4792,8.9780,8.4792,8.9481,1445937
2021-04-26,8.9181,8.9780,8.5391,8.7585,883060
2021-04-27,8.8284,9.2573,8.7585,8.7585,1054980
2021-04-28,8.7585,9.1176,8.3795,8.7984,683872
2021-04-29,8.8683,8.9381,8.5889,8.8284,296826
2021-04-30,8.8483,8.9580,8.6787,8.8284,304043
2021-05-03,8.8383,8.9281,8.7785,8.8782,577713
2021-05-04,8.8782,9.0578,8.5989,8.7186,473859
2021-05-05,8.8782,9.0578,8.7186,8.9281,840355
2021-05-06,8.9680,9.0279,8.7186,8.8284,472756
2021-05-07,8.8782,9.0678,8.7785,8.7785,1517812
2021-05-10,8.8084,9.0279,8.8084,8.9580,3337163
2021-05-11,8.9281,9.1276,8.7785,8.9580,697005
2021-05-12,8.9580,9.0777,8.8782,9.0279,1050569
2021-05-13,8.9880,9.0378,8.7785,8.8383,491101
2021-05-14,8.8882,8.9780,8.7286,8.7585,453409
2021-05-17,8.9181,8.9281,8.7386,8.9082,247806
2021-05-18,8.9381,9.0179,8.7386,8.9281,288706
2021-05-19,8.8782,9.1176,8.4892,8.7785,1037939
2021-05-20,8.7884,8.8782,8.7086,8.8284,677958
2021-05-21,8.8782,8.9780,8.7186,8.7186,555960
2021-05-24,8.7685,8.9181,8.4493,8.7186,734597
2021-05-25,8.6987,8.8284,8.6189,8.8284,404890
2021-05-26,8.8483,8.8583,8.6388,8.6488,462030
2021-05-27,8.7286,8.9680,8.6288,8.7386,496614
2021-05-28,8.8184,8.8383,8.7386,8.7585,234674
2021-05-31,8.8284,8.8383,8.7286,8.8184,261038
2021-06-01,8.8084,9.0777,8.7785,8.9780,655403
2021-06-02,9.0378,9.0578,8.8782,8.8782,1915987
2021-06-04,8.9082,9.0478,8.8683,8.9082,562576
2021-06-07,8.9082,9.3770,8.9082,9.2772,1187705
