date,open,high,low,close,volume
2015-01-02,2.3600,2.4000,2.2300,2.2300,433200
2015-01-05,2.2500,2.2500,2.1500,2.1500,232500
2015-01-06,2.2000,2.2000,2.1000,2.1600,547300
2015-01-07,2.1800,2.2400,2.1600,2.1600,144000
2015-01-08,2.2100,2.3800,2.1700,2.3600,491100
2015-01-09,2.3800,2.4000,2.3000,2.3400,218500
2015-01-12,2.4000,2.4000,2.2400,2.2500,1735400
2015-01-13,2.2600,2.3700,2.2600,2.3400,370500
2015-01-14,2.3400,2.3400,2.2700,2.3300,236200
2015-01-15,2.3100,2.3500,2.2900,2.3200,75100
2015-01-16,2.3200,2.3400,2.2900,2.3200,139100
2015-01-19,2.3300,2.3400,2.2900,2.3000,199400
2015-01-20,2.3400,2.3400,2.2700,2.3100,363300
2015-01-21,2.3300,2.3800,2.3000,2.3500,113500
2015-01-22,2.3500,2.4000,2.2900,2.2900,453800
2015-01-23,2.3400,2.3400,2.2600,2.2700,250700
2015-01-26,2.2500,2.2500,2.1000,2.2100,1085800
2015-01-27,2.1900,2.2700,2.1700,2.1900,1114000
2015-01-28,2.1900,2.2000,2.1700,2.1800,589200
2015-01-29,2.1900,2.2000,2.1400,2.1900,150700
2015-01-30,2.2000,2.2000,2.1100,2.1500,628200
2015-02-02,2.1500,2.1900,2.1400,2.1700,107600
2015-02-03,2.1700,2.2200,2.1700,2.1900,148100
2015-02-04,2.2200,2.2400,2.1600,2.1700,88800
2015-02-05,2.1700,2.2600,2.1500,2.1900,740400
2015-02-06,2.2000,2.2100,2.1600,2.1800,161600
2015-02-09,2.2000,2.2000,2.1700,2.1700,1148100
2015-02-10,2.1400,2.1600,2.1000,2.1000,582900
2015-02-11,2.1000,2.1100,2.0000,2.0300,1934900
2015-02-12,2.0500,2.1000,2.0500,2.0800,418900
2015-02-13,2.1000,2.1000,2.0200,2.0300,2241300
2015-02-18,2.0300,2.0700,2.0300,2.0600,608800
2015-02-19,2.0800,2.0900,2.0300,2.0500,79600
2015-02-20,2.0600,2.0800,2.0400,2.0700,111300
2015-02-23,2.0700,2.0700,2.0300,2.0300,53300
2015-02-24,2.0500,2.0900,2.0400,2.0600,110600
2015-02-25,2.0900,2.1200,2.0500,2.0700,422300
2015-02-26,2.0800,2.0800,2.0500,2.0600,263200
2015-02-27,2.0700,2.1000,2.0200,2.0400,1178500
2015-03-02,2.0500,2.0800,2.0200,2.0300,560800
2015-03-03,2.0300,2.0500,2.0200,2.0300,5015100
2015-03-04,2.0200,2.0500,2.0200,2.0300,2584600
2015-03-05,2.0300,2.0500,2.0100,2.0100,830600
2015-03-06,2.0200,2.0500,2.0000,2.0500,336900
2015-03-09,2.0500,2.0700,1.9700,1.9800,247300
2015-03-10,2.0300,2.0300,1.9500,2.0000,119400
2015-03-11,2.0000,2.0100,1.9500,1.9900,180800
2015-03-12,1.9800,2.0500,1.9600,2.0500,237900
2015-03-13,1.9000,2.0400,1.8900,2.0400,571700
2015-03-16,2.0400,2.0400,1.9800,1.9900,149900
2015-03-17,1.9900,2.0000,1.9600,1.9800,119000
2015-03-18,1.9800,2.0000,1.9700,2.0000,159000
2015-03-19,1.9700,1.9700,1.9300,1.9600,188900
2015-03-20,1.9600,2.0600,1.9600,2.0100,783300
2015-03-23,2.0200,2.0200,2.0000,2.0000,74500
2015-03-24,2.0300,2.0300,2.0100,2.0200,54700
2015-03-25,2.0200,2.0400,2.0100,2.0200,3878600
2015-03-26,2.0000,2.0300,2.0000,2.0200,246600
2015-03-27,2.0300,2.0300,1.9900,2.0000,78500
2015-03-30,2.0100,2.0200,2.0000,2.0200,4228100
2015-03-31,2.0100,2.0300,1.9900,2.0000,573700
2015-04-01,1.9900,2.0300,1.9700,2.0200,2401000
