date,open,high,low,close,volume
2020-09-10,9.6500,9.9800,9.2200,9.4900,2780800
2020-09-11,9.3000,9.5700,9.0000,9.1200,835100
2020-09-14,9.1200,9.2700,9.1200,9.2000,496100
2020-09-15,9.5000,9.5000,9.0500,9.2000,626300
2020-09-16,9.8000,9.8000,9.2000,9.3000,264700
2020-09-17,9.2500,9.4600,9.1300,9.3500,1084500
2020-09-18,9.3500,9.4000,8.8200,9.0500,748500
2020-09-21,9.2000,9.2000,8.7100,8.8700,441600
2020-09-22,8.9100,9.1200,8.7000,8.7700,339300
2020-09-23,8.7700,9.1900,8.4100,8.6500,267000
2020-09-24,8.6500,8.7000,7.9100,8.6000,368700
2020-09-25,8.5000,8.5000,8.3000,8.5000,350600
2020-09-28,8.8000,8.9200,7.9500,8.1500,247600
2020-09-29,8.3000,8.3000,8.0500,8.1200,702700
2020-09-30,8.1400,8.7000,8.0700,8.3300,379100
2020-10-01,8.3300,8.5200,8.1800,8.3000,478500
2020-10-02,8.3000,8.3000,8.0200,8.2000,253600
2020-10-05,8.2100,8.4300,8.0600,8.2000,459800
2020-10-06,8.2000,8.6000,8.2000,8.4400,271600
2020-10-07,8.6000,8.8900,8.1500,8.6000,462600
2020-10-08,8.6000,9.4000,8.6000,9.1500,494600
2020-10-09,9.3300,9.6500,8.4100,9.3200,991300
2020-10-13,9.2000,9.2000,8.9200,9.0000,171000
2020-10-14,9.1500,9.1500,8.9200,9.0500,56400
2020-10-15,9.1000,9.1100,8.9300,8.9700,60400
2020-10-16,9.0000,9.0000,8.2700,8.4700,115200
2020-10-19,8.6500,9.0400,8.4000,8.4300,508300
2020-10-20,8.5800,8.5900,8.3200,8.5200,79700
2020-10-21,8.9000,9.1900,8.8300,8.9500,42900
2020-10-22,8.8800,9.3800,8.8800,9.1400,201800
2020-10-23,9.2000,9.3300,9.1000,9.1000,139400
2020-10-26,9.1500,9.2000,9.0000,9.0700,35500
2020-10-27,9.1900,9.1900,9.0100,9.0100,27600
2020-10-28,8.9000,8.9000,8.5600,8.7400,365500
2020-10-29,8.8900,8.8900,8.4000,8.8000,120000
2020-10-30,8.7000,9.3500,8.5200,8.5200,136800
2020-11-03,9.2000,9.2000,8.7200,9.0000,120000
2020-11-04,9.1300,9.1500,8.9100,8.9200,585700
2020-11-05,9.0500,9.0500,8.8400,8.8400,33500
2020-11-06,8.8100,9.3000,8.8000,9.0300,70500
2020-11-09,9.3400,9.4600,8.9200,8.9600,46100
2020-11-10,9.3400,9.4000,9.0300,9.1000,21900
2020-11-11,9.3000,10.0000,8.6000,9.2700,100700
2020-11-12,9.3500,9.8500,9.3500,9.6700,91800
2020-11-13,9.8400,9.9900,9.6600,9.9100,66700
2020-11-16,9.9400,10.0000,9.7300,9.7800,65700
2020-11-17,9.9000,10.0100,9.8000,9.8600,42300
2020-11-18,9.8200,9.8400,9.5600,9.7500,71400
2020-11-19,9.7000,9.8800,9.5600,9.6500,60600
2020-11-23,10.0100,10.2500,9.7000,9.8500,203700
2020-11-24,9.8100,9.9500,9.8100,9.8500,163200
2020-11-25,9.8500,9.9700,9.8500,9.9500,55900
2020-11-26,9.9500,10.0000,9.8700,9.8800,48000
2020-11-27,9.8200,9.9900,9.8200,9.9500,134300
2020-11-30,9.9500,10.4000,9.8500,10.1500,142200
2020-12-01,10.1000,10.4200,10.0200,10.1100,177600
2020-12-02,10.0600,10.3900,9.9000,9.9400,193600
2020-12-03,10.1400,10.1400,9.9100,9.9500,177200
2020-12-04,9.9600,10.0000,9.8300,9.8300,133400
2020-12-07,9.9900,10.1700,9.8600,10.1000,112700
2020-12-08,10.1100,10.7500,9.9600,10.7500,1315700
2020-12-09,10.7500,10.9900,10.5000,10.7000,845400
2020-12-10,10.9400,10.9800,10.6000,10.9400,112200
2020-12-11,10.8300,11.0000,10.6700,11.0000,205400
2020-12-14,11.0400,11.5000,10.7100,10.9900,353800
2020-12-15,10.9900,11.2700,10.7100,10.8000,343500
2020-12-16,10.8100,10.9000,10.7100,10.8400,152900
2020-12-17,10.8700,10.9600,10.5300,10.7100,230600
2020-12-18,10.7200,11.0700,10.3800,10.7700,746600
2020-12-21,10.6000,11.0300,10.3100,11.0300,173900
2020-12-22,10.9500,11.2300,10.6900,10.9800,229800
2020-12-23,10.9700,11.0200,10.7700,10.9900,211000
2020-12-28,11.0000,11.1400,10.8300,10.8400,352700
2020-12-29,10.8400,10.9200,10.6900,10.7000,331100
2020-12-30,10.8600,10.9100,10.7100,10.8200,152800
2021-01-04,10.9300,10.9800,10.7200,10.7500,193900
2021-01-05,10.7400,10.8900,10.3500,10.3600,298200
2021-01-06,10.5600,10.5600,9.9500,9.9600,1346300
2021-01-07,9.9000,9.9300,9.4400,9.7800,1349400
2021-01-08,9.7800,10.0600,9.6800,10.0000,398700
2021-01-11,9.9900,9.9900,9.6000,9.7900,572800
2021-01-12,9.7900,9.9900,9.6100,9.6100,247400
2021-01-13,9.6200,9.7300,9.5000,9.5200,183800
2021-01-14,9.5200,9.6300,9.2200,9.4500,585500
2021-01-15,9.4300,9.5200,9.2600,9.3000,378300
2021-01-18,9.3900,9.3900,9.1000,9.1000,244200
2021-01-19,9.1400,9.2000,8.8300,9.0500,258400
2021-01-20,9.0500,9.1300,8.9100,9.0000,188200
2021-01-21,9.0100,9.2700,9.0000,9.1500,373000
2021-01-22,9.1500,9.1900,8.9100,9.0300,233200
2021-01-26,9.0300,9.2400,8.7500,8.7900,310300
2021-01-27,9.0000,9.7300,9.0000,9.4500,896700
2021-01-28,9.4200,9.6400,9.3600,9.4100,299600
2021-01-29,9.2600,9.5600,9.2400,9.5600,309200
2021-02-01,9.5700,9.8000,9.4000,9.7500,475100
2021-02-02,9.8600,10.1600,9.4500,9.8200,465400
2021-02-03,9.9900,9.9900,9.7500,9.8400,820600
2021-02-04,9.9800,10.1500,9.7700,9.9600,366800
2021-02-05,10.0000,10.0700,9.6700,10.0300,1294600
2021-02-08,10.0900,10.0900,9.6000,9.7500,636400
2021-02-09,9.8000,9.8000,9.1100,9.2600,1546100
2021-02-10,9.3000,9.4000,9.1500,9.4000,306900
2021-02-11,9.4000,9.6400,9.2500,9.5000,683100
2021-02-12,9.5000,9.7400,9.3700,9.6800,722300
2021-02-17,9.6700,9.6800,9.4300,9.5300,254100
2021-02-18,9.5300,9.5600,9.3300,9.4200,247600
2021-02-19,9.5900,9.5900,9.3500,9.4400,318200
2021-02-22,9.3100,9.3600,9.0000,9.0700,528300
2021-02-23,9.1000,9.2000,8.9600,9.0500,1123400
2021-02-24,9.3800,9.6400,9.2800,9.6200,450500
2021-02-25,9.7300,10.1000,9.4400,9.5300,538200
2021-02-26,9.5700,9.6800,9.2200,9.4300,321400
2021-03-01,9.6300,10.0900,9.2700,9.9000,837200
2021-03-02,10.0200,10.0200,9.6200,9.7900,856800
2021-03-03,9.7900,9.9700,9.3300,9.4400,368000
2021-03-04,9.4400,9.7000,9.3500,9.6000,307900
2021-03-05,9.5900,9.8000,9.2600,9.3000,461700
2021-03-08,9.3000,9.6400,8.6100,9.3100,510300
2021-03-09,9.2200,9.6200,8.9700,9.6200,563000
2021-03-10,9.5800,9.5800,9.1000,9.4400,332900
2021-03-11,9.5200,9.7000,9.2700,9.6500,444900
2021-03-12,9.5400,9.6900,9.1100,9.1100,331000
2021-03-15,9.1200,9.2500,8.9500,8.9500,406700
2021-03-16,9.0600,9.0600,8.8600,8.9000,209500
2021-03-17,9.0300,9.0300,8.7600,8.7600,425000
2021-03-18,8.8500,8.8700,8.5200,8.8700,478200
2021-03-19,8.8700,8.9900,8.6000,8.8800,412200
2021-03-22,8.8500,8.9800,8.7300,8.7900,234500
2021-03-23,8.8200,8.9500,8.7700,8.7800,157000
2021-03-24,8.8000,8.9500,8.6100,8.6300,200000
2021-03-25,8.7700,8.7900,8.2200,8.5000,676400
2021-03-26,8.6000,8.6400,8.2100,8.2100,396700
2021-03-29,8.2000,8.2900,8.1200,8.1500,241100
2021-03-30,8.1300,8.3400,8.1100,8.3000,188400
2021-03-31,8.4300,8.4400,8.2000,8.3200,281900
2021-04-01,8.4200,8.4500,8.2100,8.3700,318700
2021-04-05,8.6900,8.6900,8.3700,8.4000,249000
2021-04-06,8.5700,8.5700,8.3500,8.5700,242300
2021-04-07,8.5100,8.7400,8.4800,8.6700,443200
2021-04-08,8.6200,8.7200,8.4100,8.4800,457700
2021-04-09,8.4800,8.5300,8.3300,8.4800,697200
2021-04-12,8.5500,8.5700,8.3300,8.4600,251900
2021-04-13,8.5200,8.8700,8.3200,8.7800,528100
2021-04-14,8.8700,8.9500,8.7100,8.8500,643600
2021-04-15,8.9000,9.1500,8.7100,8.8000,679100
2021-04-16,8.8100,8.9000,8.6000,8.8200,464900
2021-04-19,8.8200,9.2500,8.7000,9.1500,645800
2021-04-20,9.2400,9.2400,8.9800,9.1900,327200
2021-04-22,9.2500,9.5000,9.1300,9.5000,414500
2021-04-23,9.5800,9.6500,9.3500,9.6400,317200
2021-04-26,9.5100,9.7400,9.4500,9.7000,282800
2021-04-27,9.7000,9.9900,9.4200,9.9500,699500
2021-04-28,9.8600,10.2000,9.8600,10.1800,503100
2021-04-29,10.1800,10.2000,10.0000,10.0500,453700
2021-04-30,10.0000,10.1000,9.7100,9.9700,343900
2021-05-03,10.0300,10.6400,9.9500,10.4300,796100
2021-05-04,10.5000,10.9500,10.3000,10.4200,761400
2021-05-05,10.4500,10.6600,10.4100,10.6100,423900
2021-05-06,10.6400,10.8300,10.5500,10.8300,426500
2021-05-07,10.8500,11.2000,10.8100,11.0000,431900
2021-05-10,11.4700,11.4800,11.0600,11.2000,559100
2021-05-11,11.2400,11.7200,11.0000,11.5500,405100
2021-05-12,11.7000,11.7000,11.1800,11.2500,323200
2021-05-13,11.2500,11.3400,10.7200,11.1000,521500
2021-05-14,11.2400,11.2700,10.8700,11.2000,237600
2021-05-17,11.2000,11.2500,11.0600,11.1900,216800
2021-05-18,11.2500,11.3000,10.9100,11.1600,277800
2021-05-19,11.1000,11.2100,10.9500,11.1700,381500
2021-05-20,11.2000,11.2000,10.8100,11.0600,481700
2021-05-21,11.0500,11.1400,10.7000,11.0000,405600
2021-05-24,11.0900,11.0900,10.7200,10.8300,287200
2021-05-25,10.9000,10.9200,10.6500,10.7300,248200
2021-05-26,10.6700,10.9200,10.5400,10.6800,172600
2021-05-27,10.6900,10.8000,10.5400,10.8000,200700
2021-05-28,10.8500,10.9900,10.7100,10.7900,238200
2021-05-31,11.0000,11.0200,10.7100,10.9200,249400
2021-06-01,11.0600,11.5000,10.9200,11.2500,972000
2021-06-02,11.2700,11.4300,11.0400,11.1200,602300
2021-06-04,11.2600,11.2900,11.0300,11.2400,318600
2021-06-07,11.3900,11.4700,11.0100,11.0300,1045700
2021-06-08,11.0200,11.1000,10.7600,10.9800,582100
2021-06-09,10.9600,11.0400,10.6300,10.7000,447900
2021-06-10,11.2200,12.0000,11.1300,11.6100,2307700
2021-06-11,11.7800,11.7800,11.1600,11.6600,690500
2021-06-14,11.7500,12.1000,11.5400,11.6200,559400
2021-06-15,11.8000,11.8300,11.2500,11.4000,541000
2021-06-16,11.5000,11.8300,11.2000,11.7000,1532000
2021-06-17,11.7000,12.0600,11.5500,11.6000,1382500
2021-06-18,11.6700,11.8000,11.4700,11.7000,1676000
2021-06-21,11.6900,11.8000,11.5400,11.6900,486400
2021-06-22,11.5900,11.8500,11.5500,11.8200,350600
2021-06-23,11.7500,12.2600,11.7500,11.9900,524400
2021-06-24,12.1400,12.1600,11.8000,11.9400,293100
2021-06-25,11.9400,11.9400,11.5200,11.8800,270400
2021-06-28,11.8800,11.8800,11.6400,11.7900,206700
2021-06-29,11.7900,11.9200,11.2000,11.9200,499600
2021-06-30,11.8800,12.0000,11.7100,12.0000,378300
2021-07-01,12.0000,12.0600,11.7600,11.9000,528500
2021-07-02,12.5600,13.3800,12.4100,12.6100,2159900
2021-07-05,12.8100,12.8600,12.3200,12.4700,533900
2021-07-06,12.5100,12.5800,12.1500,12.1500,423100
2021-07-07,12.2300,12.3800,12.0000,12.1900,508900
2021-07-08,12.0000,12.1500,11.6200,12.1500,829200
2021-07-12,12.0700,12.2900,11.8100,12.1000,581700
2021-07-13,12.0200,12.3300,11.9200,12.1300,386000
2021-07-14,12.1800,12.4800,12.0800,12.4200,377600
2021-07-15,12.4200,12.6000,12.2900,12.4000,246700
2021-07-16,12.4300,12.5800,12.3000,12.4900,229800
2021-07-19,12.1100,12.3600,11.8300,12.2200,424100
2021-07-20,12.2200,12.5700,12.1200,12.4800,213100
2021-07-21,12.5300,12.5600,12.2100,12.3000,770000
2021-07-22,12.2100,12.4000,12.0800,12.3100,353100
2021-07-23,12.2500,12.3200,12.1500,12.2500,328100
2021-07-26,12.2500,12.2500,11.9300,12.0900,832400
2021-07-27,11.9300,12.1100,11.4700,11.8000,521200
2021-07-28,11.8400,11.8500,11.4100,11.4200,576000
2021-07-29,11.4400,11.5900,10.9700,11.2800,400000
2021-07-30,11.3800,11.5000,11.0700,11.4900,523200
2021-08-02,11.8000,11.8200,11.3100,11.3400,612700
2021-08-03,11.2800,11.8700,10.8900,11.6200,734300
2021-08-04,11.8100,11.9400,11.5800,11.8500,516300
2021-08-05,11.9400,11.9400,11.5200,11.6600,457700
2021-08-06,11.6000,11.9200,11.4000,11.7000,581800
2021-08-09,11.7000,11.8700,11.5500,11.5900,425500
2021-08-10,11.6900,11.6900,11.1500,11.3900,1661000
2021-08-11,11.4700,11.4700,10.9300,11.0100,532000
2021-08-12,11.0200,11.1000,10.9000,11.0000,267200
2021-08-13,10.7400,10.7400,10.5300,10.7400,329700
2021-08-16,10.7800,10.7800,9.9500,9.9500,566300
2021-08-17,10.0200,10.1400,9.6300,9.9000,965300
2021-08-18,10.1000,10.1600,9.6800,9.9000,1159100
2021-08-19,9.7300,9.9900,9.5000,9.8700,570100
2021-08-20,9.9700,10.0900,9.6800,10.0500,254900
2021-08-23,10.0400,10.0600,9.8200,9.8200,272500
2021-08-24,10.0000,10.3000,9.9500,10.1900,463800
2021-08-25,10.2900,10.7400,10.1300,10.7400,475400
2021-08-26,10.8900,10.9200,10.4100,10.4100,417900
2021-08-27,10.4400,11.0600,10.3700,11.0500,691800
2021-08-30,11.0500,11.0500,10.5200,10.6300,354400
2021-08-31,10.7400,10.7400,10.1900,10.3500,593400
2021-09-01,10.4500,10.8500,10.2100,10.6900,1292000
2021-09-02,10.6700,10.6700,9.9000,10.1300,1066300
2021-09-03,10.1500,10.1500,9.7100,9.8500,1080900
2021-09-06,9.8000,10.0000,9.5600,10.0000,488500
2021-09-08,9.7600,10.0300,9.2800,9.3500,999800
2021-09-09,9.3900,9.6200,9.1100,9.6200,494700
2021-09-10,9.7200,9.9000,9.2800,9.3000,497600
2021-09-13,9.5500,9.7000,9.2900,9.7000,433400
2021-09-14,9.7000,9.7400,9.5000,9.5500,338800
2021-09-15,9.5800,9.6100,9.2400,9.5200,216400
2021-09-16,9.4600,9.4700,9.1800,9.2000,576200
2021-09-17,9.3900,9.5000,9.0200,9.5000,380800
2021-09-20,9.2700,9.3900,8.7000,8.7500,854300
2021-09-21,8.8200,9.2200,8.7700,9.1100,1013800
2021-09-22,9.4000,9.4400,9.1700,9.2600,346500
2021-09-23,9.4100,9.5600,9.2300,9.4500,384300
2021-09-24,9.3000,9.3500,9.0800,9.3500,372400
2021-09-27,9.5200,9.9000,9.3700,9.9000,568500
2021-09-28,9.8500,9.8500,9.2800,9.5000,638800
2021-09-29,9.5700,9.7000,9.2500,9.3200,565400
2021-09-30,9.3000,9.4900,9.2600,9.3000,300100
2021-10-01,9.3000,9.6900,9.3000,9.6900,355500
2021-10-04,9.7100,9.7200,9.1000,9.1000,314900
2021-10-05,9.1000,9.1400,8.8900,9.1000,416100
2021-10-06,8.9000,8.9000,8.6200,8.7000,707400
2021-10-07,8.7600,8.9900,8.5300,8.5300,473400
2021-10-08,8.5900,8.9900,8.5800,8.7000,586700
2021-10-11,8.8900,9.0100,8.6800,8.9000,367900
2021-10-13,8.9400,9.1600,8.8200,9.1600,487700
2021-10-14,9.1600,9.2100,8.7400,8.9000,1164300
2021-10-15,8.9500,9.2300,8.8900,9.2300,769300
2021-10-18,9.0700,9.2600,8.9900,9.1500,212400
2021-10-19,9.1500,9.1500,8.5600,8.6600,453700
2021-10-20,8.7400,8.7400,8.4300,8.6200,656700
2021-10-21,8.5000,8.5000,7.8000,7.8500,1167400
2021-10-22,7.9300,7.9300,7.2700,7.7300,1313300
2021-10-25,7.9000,7.9200,7.6100,7.8300,877700
2021-10-26,7.8000,7.8000,7.3300,7.3600,606200
