date,open,high,low,close,volume
2015-01-02,16.5325,16.5325,15.7059,16.5325,574292
2015-01-05,16.3672,16.3672,15.8323,15.8518,619845
2015-01-06,15.9490,16.8632,15.8518,16.5325,537686
2015-01-07,16.5422,16.5617,16.2116,16.4936,462518
2015-01-08,16.5714,16.9215,16.3186,16.7270,386837
2015-01-09,16.7270,16.7270,15.5114,15.5114,1375217
2015-01-12,15.5114,15.7837,15.1224,15.6086,638560
2015-01-13,15.6670,16.0171,15.3266,15.5017,563084
2015-01-14,15.3558,15.6378,15.1029,15.3266,640205
2015-01-15,15.2585,15.5017,15.0349,15.3169,1157942
2015-01-16,15.3169,15.4822,15.1418,15.3558,741079
2015-01-19,15.3169,15.3169,14.2569,14.3444,608020
2015-01-20,14.5486,14.5875,14.0332,14.1110,1317017
2015-01-21,14.1985,14.7042,14.1013,14.3930,1004318
2015-01-22,14.4805,15.0543,14.0429,14.1013,1048019
2015-01-23,14.4805,15.0543,13.7609,13.7609,483187
2015-01-26,13.7123,13.7123,13.2455,13.5664,605141
2015-01-27,13.3719,13.6150,12.8856,13.4302,882570
2015-01-28,13.5080,13.6734,13.2260,13.5178,391465
2015-01-29,13.4400,14.6750,13.4011,14.2666,1180050
2015-01-30,14.2958,14.3736,13.5858,13.7706,1225706
2015-02-02,13.7317,15.1224,13.7317,14.5875,3167915
2015-02-03,15.0932,15.1418,13.5178,13.6150,2862517
2015-02-04,13.6928,14.0040,13.3038,13.4400,808328
2015-02-05,13.3427,13.5469,13.0315,13.1677,1111978
2015-02-06,13.1190,13.2357,12.6911,13.1677,713932
2015-02-09,13.2260,13.2455,12.7009,12.8370,1047917
2015-02-10,12.9440,13.0607,12.6814,12.7300,1287402
2015-02-11,12.6911,12.8176,12.1757,12.3021,1369150
2015-02-12,12.3702,13.6150,12.3702,13.6150,1570693
2015-02-13,13.4886,13.8776,13.3622,13.7123,946426
2015-02-18,13.8095,14.5681,13.7414,14.1985,1072904
2015-02-19,14.2860,14.7042,14.0818,14.4319,1585191
2015-02-20,14.4125,14.6361,13.8387,13.9651,723392
2015-02-23,13.9846,14.0429,13.5275,13.5664,644318
2015-02-24,13.5178,13.9068,13.4302,13.9068,603701
2015-02-25,13.7901,14.0818,13.6539,14.0235,987865
2015-02-26,13.9943,14.6945,13.5567,14.5778,1249870
2015-02-27,14.5681,14.8695,13.5761,13.5761,1247608
2015-03-02,13.6053,13.7220,12.9829,13.5664,945603
2015-03-03,13.5664,13.7609,13.2163,13.5956,704164
2015-03-04,13.3913,13.4594,12.9440,13.1968,958559
2015-03-05,13.2066,13.3622,12.4577,12.9343,2388276
2015-03-06,12.9148,12.9829,12.6425,12.9343,657685
2015-03-09,13.1288,13.1579,12.1952,12.1952,1523392
2015-03-10,12.1563,12.8273,12.0007,12.0007,1304472
2015-03-11,12.0785,12.8370,12.0785,12.8370,1274960
2015-03-12,13.0315,13.2455,12.8273,13.1288,1123803
2015-03-13,12.7106,13.2746,12.7009,13.0412,1312287
2015-03-16,13.2941,13.4886,13.1385,13.3038,732236
2015-03-17,13.1677,13.3233,13.0218,13.1190,1633623
2015-03-18,13.0121,14.2082,13.0023,13.8679,1931207
2015-03-19,13.9457,14.2277,13.8095,14.1693,1548173
2015-03-20,14.3736,14.9182,14.1499,14.9182,8095316
2015-03-23,14.8793,14.9765,14.1110,14.1110,1689870
2015-03-24,14.1304,14.4416,14.0137,14.1207,1408945
2015-03-25,14.1110,14.2958,13.7123,13.8290,1146734
2015-03-26,13.7706,13.7901,13.5275,13.5372,733984
2015-03-27,13.4691,13.9651,13.3135,13.6636,1118868
2015-03-30,13.7609,14.1791,13.4691,14.0818,1320102
2015-03-31,14.0429,14.0915,13.7706,14.0040,1274754
2015-04-01,14.0040,14.4416,13.9165,14.1596,1057274
2015-04-02,14.2374,14.6848,13.9943,14.5972,708380
2015-04-06,14.6361,15.3072,14.6361,14.8695,893264
2015-04-07,14.9765,15.2585,14.2180,14.3930,1135629
2015-04-08,14.8015,15.0446,14.4903,14.5000,1230024
2015-04-09,14.3444,14.7917,14.3444,14.4903,908277
2015-04-10,14.4903,14.8306,14.4319,14.5583,1081233
2015-04-13,13.1579,14.5972,13.1579,14.5875,1471567
2015-04-14,14.7334,14.7723,14.0137,14.0235,1238559
2015-04-15,14.1207,14.6848,14.1207,14.5389,882775
2015-04-16,14.5000,15.3266,14.4514,15.0446,1631669
2015-04-17,15.1516,15.4433,14.9182,15.3655,806580
2015-04-20,15.3558,15.4919,14.9376,15.3169,602159
2015-04-22,15.3266,15.3461,14.8306,15.1224,1164215
2015-04-23,15.0154,15.3947,14.8987,15.3947,504678
2015-04-24,15.4725,15.7740,15.3266,15.6573,1178302
2015-04-27,15.6573,15.9004,15.6086,15.7545,1481335
2015-04-28,15.8615,16.8048,15.6767,16.7270,1203084
2015-04-29,16.8048,17.2522,16.3380,17.1549,1246271
2015-04-30,17.0285,17.3591,16.0657,17.3591,5098197
2015-05-04,17.2133,17.5439,16.7659,17.1646,1024061
2015-05-05,17.1646,17.7968,17.1646,17.7481,877840
2015-05-06,17.6120,17.7870,17.2813,17.4564,828688
2015-05-07,17.3300,17.4467,17.1355,17.1452,648020
2015-05-08,17.3300,17.6509,17.0188,17.5925,972338
2015-05-11,17.5925,18.2733,17.2230,18.1371,1389613
2015-05-12,18.0399,18.6331,17.7481,18.0107,1401747
2015-05-13,17.9718,18.2830,16.9993,16.9993,923084
2015-05-14,16.9312,17.9718,16.8632,17.6314,974703
2015-05-15,17.7481,17.8940,17.4272,17.5050,430642
2015-05-18,17.5147,18.3705,17.5050,18.1663,1549613
2015-05-19,18.2636,18.7984,17.7968,18.4775,775423
2015-05-20,18.4775,18.7012,17.4564,17.7384,1128945
2015-05-21,17.7481,18.3414,17.5147,17.8843,771413
2015-05-22,17.8162,17.8454,16.9312,17.3008,874241
2015-05-25,16.9993,17.7968,16.8243,17.7870,403290
2015-05-26,17.7968,17.7968,17.2133,17.3105,607197
2015-05-27,17.3105,17.5050,17.0382,17.5050,473418
2015-05-28,17.3689,17.6023,17.0577,17.1646,660359
2015-05-29,17.1549,17.2619,16.5131,16.5325,715886
2015-06-01,16.4839,17.1549,16.3477,17.0188,359382
2015-06-02,17.1160,17.1355,16.6492,16.6687,665603
2015-06-03,16.7854,17.1160,16.4547,16.4547,1764626
2015-06-05,16.5714,16.6589,16.1921,16.2310,658302
2015-06-08,16.1435,17.0479,16.1435,16.5422,1101079
2015-06-09,16.6978,16.9312,16.0560,16.5325,951876
2015-06-10,16.6784,16.9118,16.6784,16.7756,557223
2015-06-11,16.9215,17.1257,16.5617,16.6687,675577
2015-06-12,16.4450,16.7270,16.4450,16.5325,1339947
2015-06-15,16.5131,16.9701,16.3672,16.7173,537686
2015-06-16,16.9118,16.9118,16.4936,16.5714,908996
2015-06-17,16.6395,16.7854,16.5131,16.5325,767814
2015-06-18,16.5325,16.9312,16.4255,16.7270,559588
2015-06-19,16.5422,16.7076,16.3964,16.5422,758662
2015-06-22,16.6492,16.9410,16.6395,16.6881,591053
2015-06-23,16.8437,17.1744,16.4644,16.6395,572750
2015-06-24,16.6103,16.8048,16.4644,16.6784,484215
2015-06-25,16.7270,16.7659,16.1630,16.1630,390539
2015-06-26,16.3186,16.7659,16.3088,16.7659,462107
2015-06-29,16.4936,16.5909,16.1046,16.2602,392698
2015-06-30,16.3380,16.7076,16.3380,16.4644,404729
2015-07-01,16.5325,16.8437,16.5033,16.6395,413058
2015-07-02,16.6589,17.2230,16.5909,17.2133,5325652
2015-07-03,17.3591,17.3591,16.9604,17.1646,689665
2015-07-06,17.1257,17.1841,16.7659,16.8243,546015
2015-07-07,16.4450,16.8729,16.1921,16.8145,817583
2015-07-08,16.8437,17.0966,16.3672,16.4839,593727
2015-07-10,16.6006,16.6784,15.8518,15.9101,910333
2015-07-13,15.9101,16.1241,15.7059,15.7253,664986
2015-07-14,15.6573,15.9198,15.6573,15.6670,731413
2015-07-15,15.7448,15.9490,15.6962,15.7156,639691
2015-07-16,15.8226,15.9296,15.5989,15.7448,481027
2015-07-17,15.6864,15.7740,15.2391,15.3655,617891
2015-07-20,15.4628,15.5114,14.8987,14.8987,642261
2015-07-21,14.9960,15.1710,14.7723,15.0057,704472
2015-07-22,14.8598,15.4044,14.8598,15.0835,753521
2015-07-23,14.9765,15.2002,14.4611,14.5389,498097
2015-07-24,14.5000,14.5875,13.5469,13.6247,834343
2015-07-27,13.6150,13.9359,13.4205,13.7025,545500
2015-07-28,13.6345,13.9068,13.3913,13.6150,739948
2015-07-29,13.6636,13.6734,13.0315,13.0315,1609767
2015-07-30,13.0121,13.9068,12.9926,13.3135,996194
2015-07-31,13.3330,13.9943,13.1579,13.7025,927094
2015-08-03,13.7998,14.2666,13.7512,13.9943,940873
2015-08-04,13.9262,14.2180,13.7220,13.8095,430128
2015-08-05,13.8873,13.8873,13.4497,13.6539,441644
2015-08-06,13.6150,13.6150,13.0801,13.0801,511876
2015-08-07,13.0607,13.4108,13.0607,13.1968,558868
2015-08-10,13.2649,13.3427,12.7689,12.8856,426426
2015-08-11,12.7884,13.0704,12.3994,12.8273,901181
2015-08-12,12.7884,13.3233,12.7203,13.3233,319074
2015-08-13,13.0801,13.2260,12.5842,12.6911,703649
2015-08-14,12.6814,12.9148,12.3799,12.4675,764832
2015-08-17,12.4091,12.6911,12.2146,12.3216,412339
2015-08-18,12.2535,12.3216,11.9131,11.9618,727094
2015-08-19,11.8451,11.8937,11.5047,11.7867,529254
2015-08-20,11.7089,11.9618,11.4755,11.8937,471053
2015-08-21,11.8742,11.9131,11.1838,11.1838,499022
2015-08-24,10.9698,10.9698,10.3280,10.6392,813881
2015-08-25,10.9893,11.6992,10.8920,11.3491,1235166
2015-08-26,11.3880,11.6408,11.1449,11.2907,668174
2015-08-27,11.3880,11.7381,11.1935,11.6214,1115577
2015-08-28,11.5047,11.6019,11.2907,11.4366,519177
2015-08-31,11.3199,11.3783,10.9504,11.3685,1312904
2015-09-01,11.3199,11.5436,11.0087,11.2713,1065911
2015-09-02,11.1643,11.8645,11.0282,11.8645,1090693
2015-09-03,11.9618,12.2049,11.4463,12.0007,980050
2015-09-04,11.9229,11.9229,11.2324,11.3783,1176246
2015-09-08,11.3588,11.6603,10.8045,10.9893,811721
2015-09-09,10.9601,11.3296,10.9601,11.3296,521439
2015-09-10,10.9893,11.0379,10.7267,10.8045,944575
2015-09-11,10.8628,11.1546,10.7267,10.9795,439279
2015-09-14,10.9795,11.0282,10.4252,10.6392,612955
2015-09-15,10.6489,11.0573,10.3085,11.0573,545809
2015-09-16,11.1838,11.8645,11.1740,11.7089,1088122
2015-09-17,11.9618,12.0493,11.5144,11.6603,691516
2015-09-18,11.6992,11.6992,10.9115,11.2616,904678
2015-09-21,11.1838,11.4172,11.0087,11.1643,718457
2015-09-22,11.0865,11.1351,10.5516,11.1351,812955
