date,open,high,low,close,volume
2020-09-29,8.4000,8.4000,8.0500,8.2000,1090600
2020-09-30,8.0900,8.2300,8.0900,8.2000,1255900
2020-10-01,8.2200,8.4700,8.2000,8.4500,402700
2020-10-02,8.3200,8.4100,8.2100,8.2600,440100
2020-10-05,8.2700,8.3500,8.1700,8.3000,109400
2020-10-06,8.3800,8.3800,7.8800,7.9400,970900
2020-10-07,7.9500,8.0600,7.7500,7.9400,1276800
2020-10-08,8.0000,8.0000,7.8600,7.9400,131500
2020-10-09,7.9000,8.0300,7.9000,7.9500,241300
2020-10-13,8.0000,8.2900,7.8100,7.8600,310600
2020-10-14,7.8600,7.9900,7.8100,7.9900,111200
2020-10-15,7.9700,8.0500,7.8000,8.0500,118800
2020-10-16,8.0900,8.0900,7.8400,7.8900,477300
2020-10-19,7.9700,8.0700,7.7600,7.7600,132100
2020-10-20,7.7600,7.9000,7.5400,7.5400,447600
2020-10-21,7.5200,7.5200,7.2400,7.5000,335500
2020-10-22,7.5000,7.5000,7.3000,7.3200,1047000
2020-10-23,7.3300,7.4700,7.2600,7.4000,940600
2020-10-26,7.3700,7.4800,7.3700,7.4800,296600
2020-10-27,7.5000,7.9900,7.5000,7.7500,1213400
2020-10-28,7.7000,7.7000,7.2600,7.2900,226800
2020-10-29,7.3000,7.3000,7.0700,7.1900,388400
2020-10-30,7.1100,7.4000,6.6300,6.7200,1015300
2020-11-03,6.8800,7.0900,6.5300,6.5300,547700
2020-11-04,6.5600,6.9400,6.5200,6.9400,365700
2020-11-05,6.9900,7.0800,6.8200,6.9700,370900
2020-11-06,6.9700,7.3000,6.7600,7.3000,283400
2020-11-09,7.3400,7.5400,6.9800,7.5000,370500
2020-11-10,7.5000,7.7500,7.2700,7.3000,343800
2020-11-11,7.3400,7.5300,7.0100,7.0300,573800
2020-11-12,7.1900,7.1900,6.8500,6.9000,522000
2020-11-13,7.0600,7.0600,6.8200,6.9500,491900
2020-11-16,7.0600,7.2700,7.0000,7.2000,467700
2020-11-17,7.2900,7.2900,7.0700,7.1100,223700
2020-11-18,7.1000,7.1900,6.9600,6.9600,351200
2020-11-19,6.9600,7.0700,6.8500,6.9900,326500
2020-11-23,7.0100,7.2400,6.9200,7.0200,696800
2020-11-24,7.1000,7.2700,7.0400,7.1200,264600
2020-11-25,7.2000,7.7900,7.2000,7.6000,792300
2020-11-26,7.6000,7.9700,7.6000,7.8500,379800
2020-11-27,7.9700,8.0600,7.9000,7.9600,1149100
2020-11-30,7.9900,8.1800,7.7000,8.0000,936500
2020-12-01,8.1000,8.1500,7.7200,7.8100,578100
2020-12-02,7.8800,8.1000,7.8700,8.1000,573800
2020-12-03,8.1000,8.1000,7.9600,8.0800,789300
2020-12-04,8.1000,8.1000,7.9300,7.9400,404000
2020-12-07,7.9200,8.1000,7.9000,8.0300,557800
2020-12-08,8.0300,8.0800,7.9700,8.0600,241300
2020-12-09,8.0600,8.1000,7.9400,8.0900,210000
2020-12-10,8.1000,8.1000,7.8300,7.9900,309800
2020-12-11,8.0100,8.0100,7.7800,7.9200,406700
2020-12-14,7.9000,8.5000,7.7800,8.0800,568500
2020-12-15,8.0800,8.2700,7.8900,8.1000,438600
2020-12-16,8.1800,8.1800,7.8600,7.9300,596400
2020-12-17,7.9500,7.9800,7.6000,7.7900,672200
2020-12-18,7.7600,7.8700,7.6200,7.7800,464200
2020-12-21,7.7100,7.8800,7.5400,7.7900,446600
2020-12-22,7.8800,7.8800,7.5000,7.5800,605800
2020-12-23,7.5300,7.7400,7.4800,7.5500,489800
2020-12-28,7.5800,7.7400,7.4000,7.6000,686400
2020-12-29,7.6700,7.6700,7.4500,7.5400,747400
2020-12-30,7.5400,7.6900,7.4900,7.6900,457800
2021-01-04,7.7600,7.8200,7.5100,7.7800,910800
2021-01-05,7.7800,7.7800,7.5400,7.5400,526200
2021-01-06,7.5500,7.6500,7.0100,7.2400,1188300
2021-01-07,7.2600,7.2800,6.9000,6.9500,1085600
2021-01-08,6.9400,7.2100,6.9400,7.1900,698900
2021-01-11,7.3700,7.4000,6.9400,7.3700,1286900
2021-01-12,7.3700,7.3800,7.0900,7.1900,505900
2021-01-13,7.2500,7.2800,6.9800,6.9800,744200
2021-01-14,7.0000,7.1400,6.9600,6.9600,912200
2021-01-15,6.9600,6.9600,6.6800,6.7100,923100
2021-01-18,6.7800,6.9800,6.5200,6.5900,911600
2021-01-19,6.6400,6.7500,6.3100,6.3800,2251800
2021-01-20,6.4100,6.5200,6.2600,6.4000,1027300
2021-01-21,6.4600,6.6100,6.1600,6.2200,873400
2021-01-22,6.1800,6.2000,6.0600,6.0900,632300
2021-01-26,6.1000,6.2000,6.0600,6.2000,259800
2021-01-27,6.1700,6.3300,6.0100,6.1300,319800
2021-01-28,6.1600,6.3600,6.1000,6.3000,311600
2021-01-29,6.2800,6.3600,6.1500,6.3600,403500
2021-02-01,6.3900,6.5800,6.2300,6.3000,358500
2021-02-02,6.3100,6.3600,6.2600,6.2600,1740900
2021-02-03,6.2500,6.5200,6.2200,6.4400,4927300
2021-02-04,6.5000,6.5900,6.4200,6.5900,570100
2021-02-05,6.6000,6.7500,6.6000,6.7500,622100
2021-02-08,6.8400,6.9300,6.7200,6.8300,653600
2021-02-09,6.8500,6.9000,6.7500,6.8400,430400
2021-02-10,6.8300,6.8900,6.5500,6.7200,533200
2021-02-11,6.7200,6.7900,6.6300,6.7700,463100
2021-02-12,6.7800,6.9200,6.5500,6.6900,586100
2021-02-17,6.7000,6.7000,6.4000,6.4500,326500
2021-02-18,6.4600,6.5600,6.2200,6.4000,522600
2021-02-19,6.4400,6.4900,6.2400,6.2800,494700
2021-02-22,6.2000,6.3400,5.9500,6.0100,785800
2021-02-23,6.0800,6.3000,6.0300,6.2600,310100
2021-02-24,6.3000,6.3600,6.1000,6.2300,995200
2021-02-25,6.3500,6.3500,5.9500,6.0800,249500
2021-02-26,6.2400,6.2400,5.9100,5.9700,452300
2021-03-01,6.0700,6.0700,5.6800,5.7000,758600
2021-03-02,5.6800,5.9000,5.4300,5.9000,889300
2021-03-03,5.8400,5.8400,5.5500,5.7600,439700
2021-03-04,5.7800,6.1800,5.5800,5.7000,749000
2021-03-05,5.7300,5.8900,5.5500,5.7900,595100
2021-03-08,5.7500,5.8000,5.5000,5.5500,360900
2021-03-09,5.5600,5.5900,5.3000,5.3000,558500
2021-03-10,5.4000,5.5000,5.2100,5.5000,438400
2021-03-11,5.5000,5.6700,5.3800,5.6100,520900
2021-03-12,5.5700,5.6000,5.4200,5.5500,414500
2021-03-15,5.4800,5.7000,5.4800,5.7000,337100
2021-03-16,5.7000,5.7000,5.4500,5.5400,503600
2021-03-17,5.5600,5.8700,5.5200,5.8700,596800
2021-03-18,5.8000,5.8200,5.5500,5.6100,425000
2021-03-19,5.5000,5.7000,5.4900,5.5000,1824100
2021-03-22,5.5200,5.6900,5.4900,5.6000,1107500
2021-03-23,5.6000,5.7000,5.5300,5.7000,430300
2021-03-24,5.6500,5.7500,5.5000,5.5000,486500
2021-03-25,5.4700,5.7300,5.3500,5.6400,768500
2021-03-26,5.6100,5.6500,5.4600,5.5900,516700
2021-03-29,5.5000,5.5900,5.3000,5.3000,1385700
2021-03-30,5.3100,5.5100,5.2600,5.3500,1219600
2021-03-31,5.3500,5.4400,5.2800,5.3900,909500
2021-04-01,5.3600,5.5900,5.3000,5.5400,1697800
2021-04-05,5.5400,5.6800,5.4700,5.5000,1079300
2021-04-06,5.5500,5.6200,5.5000,5.6200,377900
2021-04-07,5.6500,5.6500,5.4800,5.5800,348200
2021-04-08,5.5800,5.5800,5.4500,5.4500,294700
2021-04-09,5.5500,5.6600,5.4100,5.5000,1318900
2021-04-12,5.5300,5.9900,5.5200,5.9800,914800
2021-04-13,5.9500,6.1300,5.7500,5.8500,1019400
2021-04-14,5.8800,5.9800,5.6700,5.8200,612700
2021-04-15,5.8400,6.0400,5.7500,5.8900,688700
2021-04-16,5.8500,5.9400,5.7900,5.9400,369200
2021-04-19,6.3000,6.3100,6.1300,6.1800,2217900
2021-04-20,6.1800,6.2800,6.1400,6.2500,603700
2021-04-22,6.3000,6.4400,6.2700,6.4200,1260800
2021-04-23,6.4100,6.4800,6.3300,6.3500,598700
2021-04-26,6.3600,6.3800,6.1500,6.3500,790200
2021-04-27,6.2800,6.4200,6.1500,6.1900,611100
2021-04-28,6.1900,6.2600,6.0000,6.0700,399900
2021-04-29,6.1100,6.4400,6.0400,6.2000,682200
2021-04-30,6.1900,6.1900,6.0000,6.0000,394700
2021-05-03,5.9700,6.1700,5.9000,6.1500,491800
2021-05-04,6.1800,6.2400,5.9900,6.0700,368200
2021-05-05,6.0900,6.1500,5.9500,6.0300,422700
2021-05-06,6.0300,6.0700,5.9500,6.0000,301700
2021-05-07,6.0000,6.3400,5.9800,6.3000,871000
2021-05-10,6.3500,6.3900,6.0900,6.1400,548200
2021-05-11,6.0900,6.1500,6.0100,6.0500,359700
2021-05-12,6.0000,6.0800,5.9300,6.0600,389600
2021-05-13,6.0800,6.1100,5.9300,6.0900,370800
2021-05-14,6.1200,6.1800,5.9600,6.0000,576000
2021-05-17,6.0100,6.0900,5.9700,6.0900,490100
2021-05-18,6.0900,6.2500,6.0300,6.1900,488300
2021-05-19,6.1200,6.2200,6.0700,6.2000,357400
2021-05-20,6.1700,6.4400,6.0800,6.2600,1804900
2021-05-21,6.2500,6.2900,6.1000,6.1500,461600
2021-05-24,6.1500,6.1900,6.0300,6.1500,392400
2021-05-25,6.1900,6.3000,6.0900,6.1500,309300
2021-05-26,6.1900,6.2700,6.1200,6.1500,470400
2021-05-27,6.1500,6.2300,6.1200,6.2300,376000
2021-05-28,6.2700,6.3500,6.2100,6.2600,520100
2021-05-31,6.2700,6.4400,6.1000,6.2400,802600
2021-06-01,6.4100,6.5700,6.3000,6.4000,940200
2021-06-02,6.4200,7.0200,6.3400,6.9000,2374400
