date,open,high,low,close,volume
2015-01-02,2.2799,2.2799,2.1659,2.1775,676044
2015-01-05,2.2039,2.2506,2.1483,2.2185,1104046
2015-01-06,2.2302,2.2302,2.1805,2.1892,1344219
2015-01-07,2.2214,2.2652,2.1951,2.2623,690071
2015-01-08,2.2389,2.2652,2.2214,2.2448,897400
2015-01-09,2.2331,2.2682,2.1337,2.1688,1606631
2015-01-12,2.1717,2.2185,2.1600,2.1922,672623
2015-01-13,2.2009,2.2243,2.1688,2.1688,514560
2015-01-14,2.1688,2.1805,2.1249,2.1337,1140653
2015-01-15,2.1249,2.1571,2.1045,2.1279,792709
2015-01-16,2.1396,2.1746,2.1308,2.1454,1092071
2015-01-19,2.1396,2.1775,2.1045,2.1337,981906
2015-01-20,2.1600,2.1600,2.0402,2.0460,1983314
2015-01-21,2.0489,2.0986,2.0226,2.0606,2052081
2015-01-22,2.0577,2.0928,2.0314,2.0519,1266556
2015-01-23,2.0460,2.0899,2.0051,2.0606,1170418
2015-01-26,2.0636,2.0665,1.9496,2.0460,1503651
2015-01-27,2.0460,2.0548,1.9408,1.9876,1976813
2015-01-28,1.9379,1.9700,1.8794,1.9320,1882386
2015-01-29,1.9262,2.0168,1.8940,2.0022,1246028
2015-01-30,1.9554,1.9876,1.9233,1.9876,1100624
2015-02-02,1.9525,2.0109,1.9525,1.9993,843686
2015-02-03,2.0109,2.0226,1.9057,1.9174,1469096
2015-02-04,1.9408,1.9554,1.8853,1.8970,1086939
2015-02-05,1.8911,1.9086,1.8297,1.8706,1845778
2015-02-06,1.8590,1.9116,1.7567,1.7800,2173879
2015-02-09,1.7567,1.8034,1.7450,1.7625,2096900
2015-02-10,1.7771,1.8093,1.7596,1.7947,1422224
2015-02-11,1.8122,1.8151,1.6748,1.6953,3039804
2015-02-12,1.6953,1.7450,1.6719,1.7245,3281688
2015-02-13,1.7245,1.7888,1.7128,1.7800,2298413
2015-02-18,1.8005,1.8122,1.7508,1.7888,1791722
2015-02-19,1.7947,1.8706,1.7771,1.8590,1091045
2015-02-20,1.8590,1.8823,1.8443,1.8560,2066109
2015-02-23,1.8765,1.8940,1.8414,1.8765,1843726
2015-02-24,1.8765,1.9496,1.8765,1.9291,1274767
2015-02-25,1.9291,1.9291,1.8560,1.8823,2266937
2015-02-26,1.9057,2.0080,1.8443,1.9233,3170155
2015-02-27,1.9291,1.9349,1.7537,1.7683,6561324
2015-03-02,1.7683,1.8093,1.7420,1.7771,1566944
2015-03-03,1.7742,1.7976,1.7099,1.7187,1764010
2015-03-04,1.7157,1.7245,1.6222,1.6222,1901203
2015-03-05,1.6368,1.6368,1.5930,1.6047,5890754
2015-03-06,1.5842,1.6017,1.4907,1.5579,4688859
2015-03-09,1.5404,1.5404,1.4410,1.4819,4627276
2015-03-10,1.4790,1.5900,1.4761,1.5462,3472253
2015-03-11,1.5784,1.5900,1.5287,1.5345,2197486
2015-03-12,1.5374,1.6105,1.5374,1.6076,3043225
2015-03-13,1.6047,1.6047,1.5141,1.5374,2778418
2015-03-16,1.5637,1.5637,1.4673,1.4907,1464306
2015-03-17,1.4877,1.4965,1.4410,1.4731,2228961
2015-03-18,1.4644,1.4877,1.4439,1.4585,2979589
2015-03-19,1.4498,1.5141,1.4498,1.4877,3119178
2015-03-20,1.4965,1.5141,1.4761,1.4936,1815329
2015-03-23,1.4994,1.5053,1.4790,1.4936,631225
2015-03-24,1.5024,1.5053,1.4614,1.4819,1519731
2015-03-25,1.4761,1.4936,1.4527,1.4614,2886189
2015-03-26,1.4498,1.4556,1.4176,1.4556,3199578
2015-03-27,1.4585,1.4614,1.4351,1.4468,1506046
2015-03-30,1.4498,1.4877,1.4498,1.4731,3551627
2015-03-31,1.4907,1.5053,1.4410,1.4877,2018211
2015-04-01,1.4877,1.5550,1.4848,1.5316,3617658
