date,open,high,low,close,volume
2015-01-02,11.8999,11.9589,11.3693,11.6739,216047
2015-01-05,11.4872,11.5069,11.0057,11.1040,219915
2015-01-06,10.9566,11.0548,10.7797,10.9074,1827503
2015-01-07,11.0647,11.4872,10.8878,11.3988,2165160
2015-01-08,11.4184,11.8508,11.4184,11.8508,2490708
2015-01-09,11.8213,11.9785,11.6444,11.8311,769346
2015-01-12,11.7230,11.8017,11.4872,11.8017,207906
2015-01-13,11.8311,11.8508,11.5953,11.7427,1010530
2015-01-14,11.7132,11.7132,11.2710,11.3005,273545
2015-01-15,11.2907,11.3300,10.8583,10.8583,653333
2015-01-16,10.8092,10.9271,10.4751,10.9271,408486
2015-01-19,10.9762,11.0057,10.4652,10.6519,299800
2015-01-20,10.8485,10.9959,10.2687,10.6028,311198
2015-01-21,10.7011,10.7699,10.2785,10.7109,494376
2015-01-22,10.6126,11.3103,10.6126,11.2514,579655
2015-01-23,11.2022,11.5363,10.8976,11.3496,437692
2015-01-26,11.1924,11.1924,10.9369,11.1138,376430
2015-01-27,10.9762,11.1629,10.7207,10.9369,372664
2015-01-28,10.8387,11.0155,10.6618,11.0057,188673
2015-01-29,10.9173,11.1236,10.8092,11.0352,202207
2015-01-30,11.0057,11.0057,10.8190,10.9861,422733
2015-02-02,11.1826,11.4872,10.9467,11.3889,259603
2015-02-03,11.2317,11.6739,11.2317,11.3005,469952
2015-02-04,11.6149,11.6149,11.1138,11.3496,314760
2015-02-05,11.4774,11.9785,11.3496,11.7427,706964
2015-02-06,11.6149,11.9785,11.5658,11.7820,694854
2015-02-09,11.9294,12.0277,11.7623,11.8901,198137
2015-02-10,11.8901,12.0178,11.6936,11.6936,169744
2015-02-11,11.6936,11.7427,10.8780,10.8780,422224
2015-02-12,10.9369,11.1531,10.8681,11.1040,186535
2015-02-13,11.0254,11.7427,11.0254,11.6936,444613
2015-02-18,11.6444,12.1751,11.3889,11.4479,267134
2015-02-19,11.4872,11.6051,11.3103,11.3988,296239
2015-02-20,11.3300,11.7329,11.3300,11.6936,470156
