date,open,high,low,close,volume
2021-09-21,14.6367,15.4265,14.4267,14.7666,400891
2021-09-22,15.2865,15.4265,14.8466,15.3965,321073
2021-09-23,15.4465,15.9164,15.1265,15.4065,360182
2021-09-24,15.1965,15.3865,14.8666,15.0965,406492
2021-09-27,15.0366,15.0766,14.6466,14.9966,518318
2021-09-28,14.9566,15.0766,14.3867,14.5967,1585462
2021-09-29,14.7066,15.0865,14.0668,14.2067,1649577
2021-09-30,14.2967,14.3667,13.3769,13.4669,668452
2021-10-01,14.5967,14.7966,14.2767,14.7366,4176154
2021-10-04,14.2767,15.3165,13.7169,14.0468,1396419
2021-10-05,14.1968,14.4267,13.6569,13.7968,802483
2021-10-06,13.6769,13.7469,12.8071,13.2570,823488
2021-10-07,13.4169,13.5169,13.0070,13.3569,325974
2021-10-08,13.4969,13.9968,13.3569,13.9968,983424
2021-10-11,13.6469,13.7369,12.6771,12.8571,8707091
2021-10-13,12.8970,12.9170,12.3372,12.6071,2047868
2021-10-14,12.7171,12.7371,12.2072,12.3872,879601
2021-10-15,12.3772,12.4671,12.0173,12.2772,580032
2021-10-18,12.2572,12.4971,12.1972,12.2772,367283
2021-10-19,12.1972,12.3172,11.4974,11.4974,1102152
2021-10-20,11.7073,11.8373,11.1974,11.4974,991026
2021-10-21,11.4974,11.5374,10.3176,10.7375,1751400
2021-10-22,10.8175,11.1075,10.0977,10.6076,4362397
2021-10-25,10.6476,11.1574,10.6176,11.1475,358281
2021-10-26,10.9975,10.9975,10.3776,10.7375,419395
2021-10-27,10.6776,10.8575,10.5176,10.6176,271462
2021-10-28,10.5576,10.8375,10.1977,10.1977,547725
2021-10-29,10.0977,10.5076,9.8278,10.1377,571230
2021-11-01,10.1377,10.4676,9.9977,10.0977,394590
2021-11-03,10.1277,10.9375,10.0377,10.7076,1150963
2021-11-04,10.7375,10.8275,10.3376,10.6676,1064543
2021-11-05,10.6576,11.3174,10.5576,11.3174,2235511
2021-11-08,11.2374,11.4874,10.9075,11.1874,1887231
2021-11-09,11.0175,11.4674,10.5076,10.8475,2261217
2021-11-10,10.9475,11.5374,10.6276,11.1774,2313829
2021-11-11,11.2874,11.5274,10.9975,11.0775,865397
2021-11-12,11.1974,11.2474,10.0077,10.0177,2943873
2021-11-16,10.0977,10.2477,9.4178,9.6078,1653978
2021-11-17,9.7978,9.8677,8.5280,8.8880,3850680
2021-11-18,8.9080,9.6878,8.7680,9.3579,1604967
2021-11-19,9.4878,9.7178,9.2079,9.2279,2216806
2021-11-22,9.2279,9.3079,8.3081,8.5280,2826446
2021-11-23,8.6180,8.8080,8.0782,8.2081,1690986
2021-11-24,8.2281,8.4881,8.1381,8.4781,840592
2021-11-25,8.4681,8.6780,8.2281,8.6080,1112954
2021-11-26,8.2581,8.4481,7.8382,8.3981,2091978
2021-11-29,8.4981,8.6780,8.3581,8.6380,1020133
2021-11-30,8.4981,8.8680,7.7582,7.7582,5259002
2021-12-01,7.8782,7.9582,7.5183,7.6483,3124214
2021-12-02,7.7682,8.4181,7.7382,8.3381,2974880
2021-12-03,8.3381,9.4978,8.3381,9.3479,3050397
2021-12-06,9.3379,9.3479,8.6080,8.9480,2066872
2021-12-07,9.0679,9.3379,8.9679,9.1579,791781
2021-12-08,9.1579,10.3776,9.0779,10.1677,2587291
2021-12-09,10.4876,10.7875,9.8877,10.4476,2256115
2021-12-10,10.4176,11.1574,10.2776,11.1574,1489040
2021-12-13,11.2374,11.9473,11.0375,11.6673,3301354
2021-12-14,11.7073,11.8073,11.1175,11.2874,1454032
2021-12-15,11.1075,12.0073,11.1075,11.7873,1853823
2021-12-16,11.8073,12.1472,11.4574,11.6973,1416723
2021-12-17,11.6973,11.8973,11.4374,11.7773,4065529
2021-12-20,11.6973,12.0772,11.5474,11.9473,1659279
2021-12-21,12.1072,12.3272,11.7073,11.9673,746770
2021-12-22,11.9073,12.0073,11.4974,11.8373,1465935
2021-12-23,11.9473,12.0272,11.5274,11.6573,768975
2021-12-27,11.8773,11.8773,11.3374,11.3974,590334
2021-12-28,11.3974,11.5374,11.1075,11.3274,586834
2021-12-29,11.3374,11.3774,10.8875,10.8875,468607
2021-12-30,10.9975,11.6373,10.6376,11.2474,1713891
2022-01-03,11.2474,11.3974,10.7275,10.9875,1162165
2022-01-04,10.9975,11.1375,10.3876,10.4476,1252786
2022-01-05,10.3176,10.3976,9.7178,9.9577,1643875
2022-01-06,9.9577,10.0677,9.5378,9.7478,1022733
2022-01-07,9.7878,10.1577,9.4578,9.6278,859596
2022-01-10,9.6278,9.7578,9.1279,9.6678,1097851
2022-01-11,9.6478,10.0077,9.4978,9.8178,1039737
2022-01-12,9.7578,10.0977,9.5878,9.9277,715463
2022-01-13,9.9177,10.0077,9.3479,9.4178,1717892
2022-01-14,9.4578,9.9677,9.0579,9.6078,1332404
2022-01-17,9.6178,9.8677,9.4378,9.5378,730467
2022-01-18,9.4678,9.5578,9.1879,9.4978,1187171
2022-01-19,9.5778,9.9177,9.4478,9.6678,1540452
2022-01-20,9.6678,10.5076,9.6678,10.1177,1749600
2022-01-21,10.2577,10.7375,9.9377,10.4876,1494941
2022-01-24,10.4376,10.4376,9.7878,9.9177,599837
2022-01-25,9.8377,10.1877,9.1879,10.0077,2095879
2022-01-26,10.1877,10.8875,10.0777,10.5776,956618
2022-01-27,10.6576,10.7975,10.3476,10.3676,354180
2022-01-28,10.4176,10.6176,10.1877,10.4676,517518
2022-01-31,10.6476,10.9975,10.3476,10.8475,564329
2022-02-01,10.9475,11.1974,10.5576,10.7175,441500
2022-02-02,10.7975,11.1175,10.6076,11.1175,947116
2022-02-03,11.1574,11.1574,10.7575,10.7575,931913
2022-02-04,10.8075,11.3274,10.4576,11.3274,966020
2022-02-07,11.2974,11.3074,10.9075,10.9675,731967
2022-02-08,10.9475,11.0575,10.5876,10.6676,655749
2022-02-09,10.6976,10.7975,10.2277,10.3976,755572
2022-02-10,10.3776,10.9175,9.9677,10.7076,1404421
2022-02-11,10.7275,10.9475,10.4276,10.4876,1277292
2022-02-14,10.4876,10.7076,10.1177,10.1877,645447
2022-02-15,10.2377,10.4776,9.8677,10.2577,2183799
2022-02-16,10.3176,10.5976,10.1377,10.1877,756973
2022-02-17,10.3276,11.0175,9.9077,9.9477,1417724
2022-02-18,10.0377,10.0377,9.4778,9.5878,1449731
2022-02-21,9.5978,9.8477,9.3979,9.5478,1247085
2022-02-22,9.6378,10.5076,9.6378,9.8477,1574159
2022-02-23,9.7478,10.2377,9.7478,10.0377,795681
2022-02-24,9.5378,10.2876,9.5378,9.9877,1059342
2022-02-25,9.9677,10.1877,9.6078,10.0177,717464
2022-03-02,9.8977,9.8977,9.5578,9.6278,969421
2022-03-03,9.6278,10.4776,9.6278,10.2077,1031535
2022-03-04,10.4576,10.4576,9.6078,9.6078,953017
2022-03-07,9.5678,9.6878,9.0579,9.0579,1025934
2022-03-08,9.1779,9.5478,8.6480,8.9979,991826
2022-03-09,9.0079,9.8877,9.0079,9.6578,1368913
2022-03-10,9.5978,9.7378,9.2979,9.5378,656250
2022-03-11,9.5978,9.6678,9.2279,9.4378,752572
2022-03-14,9.5678,9.5678,8.9879,8.9879,535322
2022-03-15,8.9879,9.0779,8.7680,9.0579,441100
2022-03-16,9.0979,9.6478,8.9480,9.2079,881201
2022-03-17,9.0079,9.4078,9.0079,9.3879,398391
2022-03-18,9.3379,10.2976,9.2679,10.2976,1489040
2022-03-21,10.2976,10.3376,10.0377,10.0877,1730295
2022-03-22,10.1077,10.4576,10.0777,10.2077,1044838
2022-03-23,10.2277,10.5376,10.1877,10.3676,847393
2022-03-24,10.4176,10.6976,10.2477,10.4776,373685
2022-03-25,10.5176,10.8475,10.4276,10.5976,718764
2022-03-28,10.6476,10.7175,10.3676,10.5976,557627
2022-03-29,10.7076,10.9575,10.7076,10.9075,956718
2022-03-30,11.0275,11.2574,10.5976,10.7475,753372
2022-03-31,10.6876,10.8475,10.4176,10.5576,733367
2022-04-01,10.5576,10.7975,10.4576,10.7975,409993
2022-04-04,10.8575,10.9475,10.6376,10.7975,474608
2022-04-05,10.7975,10.7975,10.5076,10.5776,548925
2022-04-06,10.4876,10.4876,9.8178,10.0277,636245
2022-04-07,10.1677,10.1977,9.8078,10.1077,308770
2022-04-08,10.0877,10.1277,9.6978,9.8377,319172
2022-04-11,9.8078,9.9177,9.5578,9.8377,516618
2022-04-12,9.8677,10.2776,9.8377,10.2776,1858625
2022-04-13,10.2976,10.8875,10.2577,10.7375,1282793
2022-04-14,10.7675,10.9275,10.2876,10.2876,384587
2022-04-18,10.2976,10.3176,9.8178,10.1477,439800
2022-04-19,10.0977,10.1977,9.5378,9.5778,2067872
2022-04-20,9.6178,9.6178,8.1181,8.3581,5084662
2022-04-22,8.2181,8.2781,7.5683,7.5683,1692987
2022-04-25,7.5583,7.7482,7.2283,7.5583,1604566
2022-04-26,7.4983,7.5983,7.1784,7.2283,1797611
2022-04-27,7.3583,7.4483,7.0884,7.3983,1814214
2022-04-28,7.4783,7.4783,7.0484,7.0984,5377529
2022-04-29,7.2283,7.5783,7.1384,7.2483,7326775
2022-05-02,7.2483,7.3183,6.9284,7.1684,1173468
2022-05-03,7.1584,7.3183,6.9584,7.1484,1353109
2022-05-04,7.0984,7.5083,6.9884,7.3483,2904764
2022-05-05,7.2683,7.3283,6.8084,7.0184,959919
2022-05-06,6.9784,7.1984,6.8784,7.0684,1104852
2022-05-09,6.8584,6.8984,6.6985,6.7485,865898
2022-05-10,6.7984,7.1684,6.6985,7.0984,770376
2022-05-11,7.0984,7.0984,6.6085,6.6485,746670
2022-05-12,6.5985,6.9184,6.3485,6.7685,1087948
2022-05-13,6.9084,6.9284,6.6785,6.6885,511416
2022-05-16,6.8084,7.0084,6.6985,6.9384,580532
2022-05-17,6.8484,6.8984,5.9586,6.4485,3668338
2022-05-18,6.3685,6.3785,5.6987,5.7987,2091078
2022-05-19,5.8487,5.9786,5.7287,5.9086,935113
2022-05-20,5.9886,6.0486,5.7287,5.9186,474708
2022-05-23,5.9486,6.1586,5.9186,6.0286,976923
2022-05-24,6.0086,6.1986,5.9486,6.1286,945816
2022-05-25,6.0086,6.3086,6.0086,6.0286,1754301
2022-05-26,6.0086,6.2286,5.9486,6.0586,2267718
2022-05-27,6.0786,6.1686,5.9586,6.0386,879501
2022-05-30,6.0986,6.1586,5.8787,5.8787,406492
2022-05-31,5.8687,5.9086,5.4687,5.5387,8732296
2022-06-01,5.5587,5.7387,5.4288,5.4488,1431727
2022-06-02,5.4787,5.8887,5.3988,5.7387,3079204
2022-06-03,5.5987,5.6487,5.3288,5.3288,1616669
2022-06-06,5.4388,5.4388,4.9889,4.9989,3649434
2022-06-07,4.9689,5.0388,4.8289,4.9289,2364540
2022-06-08,4.9289,4.9789,4.7189,4.8189,2481067
