date,open,high,low,close,volume
2021-02-12,11.0900,11.4800,10.7500,11.1500,19543200
2021-02-17,11.1500,11.1600,10.8500,11.1400,1027200
2021-02-18,11.1400,11.1500,10.8200,11.1400,820300
2021-02-19,11.0600,11.2400,10.8300,11.1500,764400
2021-02-22,10.9200,10.9200,10.2100,10.8500,2633300
2021-02-23,10.9600,11.1900,10.6700,11.1400,1693600
2021-02-24,11.1000,11.1800,10.8700,11.0800,1074800
2021-02-25,11.0800,11.1800,11.0100,11.1400,542800
2021-02-26,11.1300,11.1300,10.7600,10.9700,803200
2021-03-01,11.0000,11.0100,10.6600,10.9000,915700
2021-03-02,10.9000,10.9000,10.3000,10.8800,2057400
2021-03-03,10.8800,10.8800,10.3500,10.7400,3620100
2021-03-04,10.7600,10.9900,10.4300,10.7000,2401000
2021-03-05,10.7100,10.7100,10.0700,10.4800,1506000
2021-03-08,10.4800,10.4800,9.9200,10.1000,1481900
2021-03-09,10.1000,10.2500,9.4200,9.8400,1791400
2021-03-10,9.8600,9.9400,9.5000,9.9000,1274800
2021-03-11,10.0000,10.4000,9.9300,10.4000,985200
2021-03-12,10.4000,10.6400,10.2000,10.2600,1277200
2021-03-15,10.3700,10.4900,10.0000,10.4500,321800
2021-03-16,10.4400,10.4700,10.2000,10.4400,129700
2021-03-17,10.1500,10.4500,10.1300,10.3200,247200
2021-03-18,10.3700,10.4000,9.4400,9.4400,968000
2021-03-19,9.5400,9.5400,8.9100,9.0000,2936000
2021-03-22,9.0000,9.1800,8.8400,8.9100,346200
2021-03-23,8.8900,9.3500,8.7800,9.1600,725500
2021-03-24,9.2800,9.3600,9.0200,9.1800,362500
2021-03-25,9.1800,9.3300,9.0600,9.2500,568300
2021-03-26,9.3000,9.7500,9.2000,9.5700,653200
2021-03-29,9.7200,9.7800,9.0600,9.5500,724300
2021-03-30,9.6300,9.9000,9.2600,9.4800,1110000
2021-03-31,9.4300,9.5500,8.9000,8.9000,2062600
2021-04-01,8.9500,8.9600,8.6400,8.7800,548100
2021-04-05,8.9000,8.9000,8.2500,8.2500,1339700
2021-04-06,8.2700,8.3400,7.6800,7.7500,2384000
2021-04-07,7.8000,7.8700,7.4400,7.5500,3859300
2021-04-08,7.6000,7.6400,7.0500,7.1400,2882300
2021-04-09,7.2500,8.1100,7.0900,8.0700,4349800
2021-04-12,8.1400,8.9300,8.1400,8.8000,4141200
2021-04-13,8.8000,9.0900,8.2600,8.4800,2797500
2021-04-14,8.5300,8.7800,8.3200,8.5300,1208300
2021-04-15,8.5300,8.7600,8.3100,8.5300,1139900
2021-04-16,8.5600,8.7600,8.4000,8.6500,458500
2021-04-19,8.7800,9.2600,8.5100,8.9900,1790700
2021-04-20,8.9800,9.2400,8.6500,8.7900,892500
2021-04-22,8.8300,8.9900,8.6400,8.6500,694500
2021-04-23,8.8000,8.8300,8.3600,8.4900,874000
2021-04-26,8.4900,8.5900,8.0200,8.1700,895500
2021-04-27,8.1500,8.2300,7.7200,7.8900,1514800
2021-04-28,7.8900,8.0600,7.7000,7.8700,1447800
2021-04-29,7.8700,8.0000,7.7300,7.8900,722000
2021-04-30,7.9200,8.0600,7.8500,7.9900,1003800
2021-05-03,7.8500,8.0200,7.8500,7.9900,480600
2021-05-04,7.9900,8.1000,7.7500,7.8500,379800
2021-05-05,7.8800,7.9500,7.7000,7.7800,560600
2021-05-06,7.9500,7.9500,7.5500,7.7000,786100
2021-05-07,7.7200,8.1000,7.6800,8.1000,333300
2021-05-10,8.1400,8.3000,7.8600,8.1200,485100
2021-05-11,8.0500,8.0700,7.7500,7.8900,834700
2021-05-12,7.8800,7.9600,7.4500,7.5900,625500
2021-05-13,7.6100,7.6700,7.3200,7.4100,993200
2021-05-14,7.4800,8.0900,7.4000,7.9000,2548600
2021-05-17,7.9200,8.0400,7.5100,7.9000,576500
2021-05-18,7.9100,8.0800,7.7600,7.8500,633700
2021-05-19,7.8300,7.9100,7.6400,7.8800,1149000
2021-05-20,7.8900,7.9200,7.5600,7.6500,1967200
2021-05-21,7.7800,8.1800,7.7800,8.0700,1488000
2021-05-24,8.1500,8.1500,7.7200,7.8800,906200
2021-05-25,7.9400,7.9400,7.7100,7.7200,695000
2021-05-26,7.7600,7.8500,7.6600,7.8300,350900
2021-05-27,7.8300,7.9700,7.7600,7.8700,494900
2021-05-28,7.9000,7.9500,7.7700,7.9500,501400
2021-05-31,7.9500,8.0800,7.9100,7.9500,878000
2021-06-01,8.0200,8.4500,7.9500,8.3700,1567300
