date,open,high,low,close,volume
2015-01-02,9.9900,9.9900,9.3500,9.3600,49559500
2015-01-05,9.1400,9.1900,8.5300,8.5600,78385100
2015-01-06,8.7100,8.8300,8.0400,8.2800,84723300
2015-01-07,8.5600,8.7300,8.3600,8.6700,85531000
2015-01-08,8.7900,9.3900,8.7400,9.2300,83306300
2015-01-09,9.2000,9.5100,8.9300,9.5100,50813100
2015-01-12,9.2700,9.5800,8.7900,8.8400,58728900
2015-01-13,8.9000,9.3900,8.8500,9.0900,65834800
2015-01-14,8.8800,8.9600,8.6400,8.9100,55736500
2015-01-15,9.0000,9.3900,8.8700,9.3100,80907800
2015-01-16,9.4600,9.6300,9.2400,9.4400,56978300
2015-01-19,9.3500,9.5400,9.1500,9.1700,30873100
2015-01-20,9.6000,9.8500,9.1500,9.3100,72842900
2015-01-21,9.4500,9.9200,9.3200,9.9000,48003500
2015-01-22,10.1000,10.4600,9.9700,10.2300,74782400
2015-01-23,10.1100,10.4100,9.8800,9.9800,43659400
2015-01-26,9.7900,9.9700,9.6600,9.8300,33202100
2015-01-27,9.7200,10.3700,9.5300,10.1400,58750400
2015-01-28,9.4300,9.5400,8.9500,9.1100,106337900
2015-01-29,9.0500,9.0800,8.3400,8.6700,111506300
2015-01-30,8.2000,8.3400,8.0800,8.3000,87497200
2015-02-02,8.4600,8.7900,8.1300,8.7900,57585100
2015-02-03,9.0100,10.0000,9.0100,9.9700,98061700
2015-02-04,10.3000,10.7800,9.5600,10.0200,117595000
2015-02-05,9.8600,10.2900,9.7000,9.8300,78992700
2015-02-06,9.8000,9.8100,8.8700,9.1200,117747100
2015-02-09,8.8000,9.4700,8.7200,9.4000,72534200
2015-02-10,9.2200,9.8000,8.8900,8.9100,75478700
2015-02-11,8.9400,9.1900,8.8100,9.0800,48681100
2015-02-12,9.3500,9.5400,9.2700,9.4500,61706000
2015-02-13,9.6800,10.1000,9.6600,10.0300,72282500
2015-02-18,10.1600,10.3400,10.0100,10.0400,42896700
2015-02-19,9.9600,9.9700,9.6500,9.7100,38492400
2015-02-20,9.8200,9.9000,9.5300,9.6400,35272700
2015-02-23,9.5500,9.5900,9.3900,9.5000,41168500
2015-02-24,9.6500,9.9000,9.5900,9.9000,48578000
2015-02-25,9.1000,9.4000,9.0000,9.4000,96303900
2015-02-26,9.4000,9.5200,9.1600,9.2300,44179900
2015-02-27,9.3000,9.6400,9.1000,9.5500,46969600
2015-03-02,9.4400,9.7100,9.2700,9.4200,38009000
2015-03-03,9.6900,9.8000,9.5200,9.5700,42133600
2015-03-04,9.4100,9.4500,9.2100,9.2700,48308500
2015-03-05,9.3100,9.3800,9.1600,9.2400,52913800
2015-03-06,9.2000,9.3500,9.1700,9.2500,27181900
2015-03-09,9.1300,9.1800,8.9000,8.9200,37625700
2015-03-10,8.8300,8.9800,8.5100,8.5200,72090500
