date,open,high,low,close,volume
2015-01-02,6.1700,6.1700,6.0000,6.0400,10200
2015-01-05,6.0000,6.0000,5.5000,5.5300,109500
2015-01-06,5.5900,5.6700,5.4900,5.6300,12400
2015-01-07,5.6300,5.6500,5.5700,5.5900,19900
2015-01-08,5.6000,5.8700,5.6000,5.7600,5200
2015-01-09,5.7700,5.7700,5.5100,5.5100,3800
2015-01-12,5.7400,5.7400,5.1200,5.1200,51600
2015-01-13,5.1700,5.2700,5.1500,5.1500,30500
2015-01-14,5.1600,5.2400,4.8400,4.9500,79300
2015-01-15,4.9900,5.1300,4.8300,4.8300,45000
2015-01-16,4.9400,4.9900,4.8700,4.9900,21100
2015-01-19,5.0500,5.1500,4.8300,5.0200,41000
2015-01-20,5.0000,5.0800,4.7800,4.7800,38600
2015-01-21,4.8700,4.8700,4.7600,4.7600,64600
2015-01-22,4.8500,4.9000,4.7200,4.7300,22100
2015-01-23,4.7400,4.7400,4.5200,4.5600,114900
2015-01-26,4.6800,4.6800,4.2700,4.3100,60600
2015-01-27,4.3900,4.3900,4.0800,4.2800,106500
2015-01-28,4.5100,4.5100,4.1800,4.1800,47500
2015-01-29,4.1500,4.1500,3.9100,3.9100,42800
2015-01-30,3.9000,3.9400,3.6300,3.6700,62000
2015-02-02,3.7500,4.2000,3.7400,4.0500,141200
2015-02-03,3.9400,4.5000,3.9400,4.3400,207900
2015-02-04,4.4700,4.6100,4.0700,4.4700,149700
2015-02-05,4.4100,4.6300,4.3800,4.6200,43600
2015-02-06,4.6300,4.7500,4.4700,4.5500,62500
2015-02-09,4.5600,4.5600,4.3500,4.5500,143800
2015-02-10,4.5500,4.6600,4.4300,4.5100,51700
2015-02-11,4.4200,4.5800,4.2700,4.4500,305700
2015-02-12,4.5400,4.5400,4.4100,4.5200,66400
2015-02-13,4.4400,4.5500,4.3400,4.5500,39700
2015-02-18,4.5000,4.6500,4.4200,4.6500,14200
2015-02-19,4.4300,4.6500,4.4000,4.6500,92600
2015-02-20,4.5500,4.7400,4.4500,4.7000,45000
2015-02-23,4.7200,4.7200,4.5300,4.7000,91200
2015-02-24,4.5600,4.6000,4.5000,4.6000,140400
2015-02-25,4.5300,4.6000,4.4700,4.6000,155000
2015-02-26,4.5500,4.6500,4.4900,4.5800,257600
2015-02-27,4.5200,4.7500,4.4800,4.7500,145100
2015-03-02,4.6500,4.7500,4.5600,4.7500,110700
2015-03-03,4.6700,4.8400,4.6300,4.8300,199100
2015-03-04,4.7400,4.7400,4.6400,4.7300,169100
2015-03-05,4.7200,4.7800,4.6900,4.7500,31900
2015-03-06,4.7000,5.0000,4.6800,5.0000,44600
2015-03-09,5.0000,5.0500,4.8400,5.0000,39200
2015-03-10,4.9500,5.0000,4.9000,5.0000,23700
2015-03-11,4.9600,5.1500,4.9600,5.1500,15300
2015-03-12,5.0200,5.2500,5.0200,5.2500,39700
2015-03-13,5.1600,5.4800,5.1600,5.3500,38500
2015-03-16,5.2600,5.5000,5.2600,5.5000,18600
2015-03-17,5.5300,5.8000,5.5000,5.6500,35500
2015-03-18,5.6300,5.8400,5.5500,5.8400,47600
2015-03-19,5.7100,5.8900,5.6700,5.8900,41400
2015-03-20,5.8500,5.8900,5.8200,5.8900,32200
2015-03-23,5.6100,5.8800,5.6100,5.7900,59800
2015-03-24,5.7400,5.7700,5.6900,5.6900,19600
2015-03-25,5.6600,5.7700,5.6000,5.6800,47800
2015-03-26,5.6100,5.6800,5.5300,5.5900,27000
2015-03-27,5.5500,5.6900,5.5000,5.6900,21900
2015-03-30,5.5800,5.7300,5.5400,5.7300,17000
2015-03-31,5.6300,5.7300,5.5700,5.5800,71200
2015-04-01,5.6000,5.6000,5.5200,5.5900,12200
2015-04-02,5.6000,5.7200,5.6000,5.7200,9800
2015-04-06,5.7200,5.7900,5.6000,5.6700,53300
2015-04-07,5.6000,5.6700,5.5800,5.6700,19100
2015-04-08,5.6300,5.7000,5.6300,5.6800,4200
2015-04-09,5.6100,5.6100,5.5900,5.6000,11300
2015-04-10,5.6100,5.6100,5.4800,5.5400,38300
2015-04-13,5.3500,5.5200,5.1800,5.4600,103300
2015-04-14,5.4600,5.4600,5.3600,5.4200,16700
2015-04-15,5.4300,5.4400,5.4100,5.4300,35700
2015-04-16,5.4500,5.4500,5.3800,5.4300,13800
2015-04-17,5.4500,5.4500,5.3000,5.4300,108200
2015-04-20,5.4400,5.5500,5.3700,5.4700,12400
2015-04-22,5.4000,5.5000,5.3500,5.5000,17300
2015-04-23,5.4200,5.4700,5.3000,5.4700,102600
2015-04-24,5.4000,5.5800,5.4000,5.5700,13800
2015-04-27,5.5800,5.5800,5.3500,5.3500,8300
2015-04-28,5.2600,5.2600,5.0500,5.0500,25900
2015-04-29,5.0000,5.2000,4.9200,5.2000,45600
2015-04-30,5.2200,5.3000,5.1100,5.2300,19100
2015-05-04,5.4000,5.4000,5.3300,5.3800,11700
2015-05-05,5.3600,5.4600,5.3600,5.4600,10700
2015-05-06,5.4600,5.4600,5.1800,5.4000,50700
2015-05-07,5.3000,5.4600,5.2500,5.4600,12300
2015-05-08,5.3400,5.4600,5.3300,5.4600,8100
2015-05-11,5.4000,5.4600,5.3700,5.4000,14100
2015-05-12,5.3700,5.4500,5.1800,5.3300,51200
2015-05-13,5.3200,5.3300,5.1500,5.3000,61400
2015-05-14,5.2200,5.3700,5.1900,5.3700,25200
2015-05-15,5.3000,5.3500,5.2700,5.3500,57800
2015-05-18,5.3100,5.3500,5.2200,5.2500,66300
2015-05-19,5.2100,5.2200,5.0800,5.2000,54100
2015-05-20,5.1000,5.1000,4.8300,5.1000,90300
2015-05-21,5.0000,5.1700,4.9800,5.1700,28000
2015-05-22,5.0600,5.0800,4.9800,5.0700,33200
2015-05-25,4.9400,5.1000,4.9400,5.1000,26700
2015-05-26,5.0200,5.0900,4.9300,5.0500,67900
2015-05-27,4.9800,5.1800,4.8600,5.1800,46200
2015-05-28,5.1300,5.1300,5.0200,5.0200,54000
2015-05-29,5.0100,5.0800,4.9200,5.0000,507200
2015-06-01,5.0100,5.1500,4.9000,5.1500,163400
2015-06-02,5.1000,5.1700,5.1000,5.1700,50900
2015-06-03,5.1900,5.1900,5.1000,5.1700,9400
2015-06-05,5.0400,5.1700,5.0300,5.1700,20400
2015-06-08,5.1000,5.1000,5.0000,5.0500,61100
2015-06-09,5.0100,5.0900,5.0000,5.0000,62400
2015-06-10,4.9800,5.0300,4.9200,5.0000,35700
2015-06-11,4.9600,4.9800,4.9000,4.9500,15100
2015-06-12,4.9100,4.9500,4.8400,4.9500,18200
2015-06-15,4.8300,4.9400,4.6100,4.7900,188400
2015-06-16,4.7800,4.9400,4.7600,4.8900,13300
2015-06-17,4.8100,4.9200,4.7500,4.8400,73200
2015-06-18,4.9500,5.0000,4.8300,4.9200,18800
2015-06-19,4.9200,4.9300,4.8700,4.8700,9400
