date,open,high,low,close,volume
2015-01-02,3.4000,3.4000,3.0000,3.0000,13800
2015-01-05,3.0300,3.1400,2.9000,3.0600,41000
2015-01-06,3.1000,3.1000,3.0600,3.0600,1400
2015-01-07,3.1000,3.2000,3.1000,3.2000,1800
2015-01-08,3.2500,3.2500,3.2000,3.2200,3500
2015-01-09,3.3000,3.3000,3.1300,3.2200,13000
2015-01-12,3.1700,3.1900,3.1100,3.1100,13300
2015-01-13,3.0900,3.1100,3.0500,3.1100,10900
2015-01-14,3.0700,3.1800,3.0700,3.1600,6100
2015-01-15,3.2100,3.2300,3.2000,3.2300,724600
2015-01-16,3.2300,3.2300,3.2300,3.2300,0
2015-01-19,3.2300,3.2300,3.0100,3.0100,5800
2015-01-20,3.0400,3.0400,2.9500,2.9500,6700
2015-01-21,3.0300,3.0300,2.8600,2.9000,6000
2015-01-22,3.0000,3.0000,2.9000,2.9000,4400
2015-01-23,2.9100,2.9100,2.8000,2.8000,224900
2015-01-26,2.7500,2.8100,2.7500,2.8100,1100
2015-01-27,2.7600,2.8800,2.7200,2.7200,4700
2015-01-28,2.7200,2.7500,2.7200,2.7500,700
2015-01-29,2.7900,2.7900,2.7900,2.7900,600
2015-01-30,2.7000,2.7000,2.6400,2.6600,7300
2015-02-02,2.6200,2.6900,2.6200,2.6400,1000
2015-02-03,2.6800,2.6900,2.6700,2.6800,125500
2015-02-04,2.6800,2.7000,2.6400,2.6800,71100
2015-02-05,2.6400,2.6800,2.6400,2.6400,1400
2015-02-06,2.6000,2.6000,2.5200,2.5200,4400
2015-02-09,2.5200,2.5200,2.3700,2.4100,11100
2015-02-10,2.4200,2.4200,2.2600,2.3000,22700
2015-02-11,2.3000,2.3000,2.1600,2.1600,16800
2015-02-12,2.2000,2.2200,2.1800,2.1800,70100
2015-02-13,2.2000,2.2500,2.1800,2.2200,67500
2015-02-18,2.3500,2.3900,2.2200,2.2200,28700
2015-02-19,2.3000,2.4100,2.2500,2.4000,49500
2015-02-20,2.5000,2.5000,2.3500,2.4000,49700
2015-02-23,2.4000,2.4000,2.3200,2.3500,7900
2015-02-24,2.3000,2.4400,2.3000,2.4400,11300
2015-02-25,2.4500,2.4500,2.3800,2.3900,12000
2015-02-26,2.4300,2.4300,2.3500,2.3600,26000
2015-02-27,2.3400,2.3500,2.2200,2.2300,46500
2015-03-02,2.2700,2.3000,2.2400,2.2400,84800
2015-03-03,2.2500,2.2500,2.1500,2.1500,5100
2015-03-04,2.1700,2.1700,2.0100,2.0100,18600
2015-03-05,2.0900,2.1000,2.0800,2.0900,4900
2015-03-06,2.0900,2.1300,2.0900,2.1300,589100
2015-03-09,2.0900,2.0900,2.0700,2.0700,2100
2015-03-10,2.0100,2.0200,1.9800,1.9800,17900
2015-03-11,2.0300,2.0300,1.9700,1.9800,518300
2015-03-12,2.1400,2.1900,2.0600,2.1000,207900
2015-03-13,2.1500,2.2200,2.0500,2.0500,79100
2015-03-16,2.1000,2.1500,2.0200,2.0200,22600
2015-03-17,2.0300,2.0800,2.0300,2.0500,31600
2015-03-18,2.0500,2.0700,2.0200,2.0300,84000
2015-03-19,2.0900,2.1000,2.0100,2.0200,52900
2015-03-20,2.0700,2.1000,2.0200,2.0200,35900
2015-03-23,2.0300,2.0300,1.9700,2.0100,95300
2015-03-24,2.0000,2.0200,1.9900,1.9900,119700
2015-03-25,2.0200,2.0300,1.9800,1.9800,231600
2015-03-26,2.0000,2.0100,1.9700,1.9700,32500
2015-03-27,1.9700,2.0000,1.9500,1.9500,40700
2015-03-30,1.9500,1.9900,1.9500,1.9500,55900
2015-03-31,1.9600,2.0000,1.9000,1.9500,433400
2015-04-01,1.9500,2.0000,1.9500,2.0000,32300
2015-04-02,1.9500,1.9500,1.8700,1.9200,532700
2015-04-06,1.9200,1.9400,1.9100,1.9200,95800
2015-04-07,1.9300,1.9400,1.9000,1.9000,370700
2015-04-08,1.9500,1.9600,1.9400,1.9500,58400
2015-04-09,1.9800,2.0600,1.9800,1.9900,426300
2015-04-10,2.0100,2.0500,1.9600,2.0200,160700
2015-04-13,2.0200,2.0400,2.0200,2.0200,17000
2015-04-14,2.0200,2.1800,2.0200,2.1800,63700
2015-04-15,2.1200,2.3000,2.1200,2.2500,492700
2015-04-16,2.2000,2.2600,2.1600,2.1800,445500
2015-04-17,2.2000,2.2100,2.1600,2.2000,410500
