date,open,high,low,close,volume
2015-01-02,0.4600,0.4670,0.4400,0.4400,840000
2015-01-05,0.4360,0.4380,0.4070,0.4070,1912000
2015-01-06,0.4070,0.4190,0.3670,0.3670,2154000
2015-01-07,0.3750,0.3890,0.3650,0.3660,1501000
2015-01-08,0.3830,0.3830,0.3650,0.3780,1622000
2015-01-09,0.3670,0.4850,0.3670,0.4380,10658000
2015-01-12,0.4340,0.4370,0.3790,0.3790,8526000
2015-01-13,0.3820,0.3950,0.3710,0.3730,3161000
2015-01-14,0.3710,0.3750,0.3370,0.3450,2177000
2015-01-15,0.3600,0.3630,0.3380,0.3460,1672000
2015-01-16,0.3620,0.3620,0.3160,0.3180,4553000
2015-01-19,0.3150,0.3220,0.2850,0.2860,4831000
2015-01-20,0.3040,0.3430,0.3040,0.3260,12316000
2015-01-21,0.3670,0.4430,0.3540,0.4430,17748000
2015-01-22,0.5000,0.6780,0.5000,0.6290,24813000
2015-01-23,0.5000,0.7700,0.5000,0.6280,30502000
2015-01-26,0.6000,0.6830,0.5740,0.5740,19402000
2015-01-27,0.5620,0.5800,0.4410,0.4410,25595000
2015-01-28,0.4540,0.4820,0.4060,0.4300,15675000
2015-01-29,0.4290,0.4450,0.3870,0.4040,13350000
2015-01-30,0.4050,0.4120,0.3730,0.3900,5805000
2015-02-02,0.3950,0.4860,0.3850,0.4820,13115000
2015-02-03,0.5350,0.5770,0.4950,0.4990,19037000
2015-02-04,0.5180,0.5370,0.4910,0.5000,8404000
2015-02-05,0.5000,0.5200,0.4990,0.5020,3291000
2015-02-06,0.5000,0.5080,0.4730,0.4780,4142000
2015-02-09,0.4650,0.5120,0.4650,0.4910,3062000
2015-02-10,0.5000,0.5070,0.4800,0.4860,1469000
2015-02-11,0.4860,0.5020,0.4650,0.4790,2264000
2015-02-12,0.4840,0.5130,0.4840,0.4900,5740000
2015-02-13,0.5020,0.5530,0.5020,0.5430,8542000
2015-02-18,0.5520,0.5970,0.5480,0.5550,4639000
2015-02-19,0.5690,0.5690,0.5390,0.5530,3181000
2015-02-20,0.5690,0.5750,0.5460,0.5600,4045000
2015-02-23,0.5540,0.5700,0.5480,0.5570,2066000
2015-02-24,0.5610,0.5690,0.5500,0.5600,2439000
2015-02-25,0.5540,0.5620,0.5400,0.5410,2079000
2015-02-26,0.5450,0.5540,0.5320,0.5450,2429000
2015-02-27,0.5460,0.5520,0.5380,0.5380,2224000
2015-03-02,0.5380,0.5420,0.4850,0.4860,3193000
2015-03-03,0.4900,0.5050,0.4860,0.5000,1980000
2015-03-04,0.4940,0.5060,0.4880,0.5000,1667000
2015-03-05,0.5020,0.5020,0.4820,0.4880,1403000
2015-03-06,0.4910,0.4950,0.4830,0.4890,1206000
2015-03-09,0.4890,0.4890,0.4640,0.4750,1770000
2015-03-10,0.4650,0.4700,0.4370,0.4490,2662000
2015-03-11,0.4510,0.4630,0.4510,0.4610,809000
2015-03-12,0.4700,0.4720,0.4500,0.4500,902000
2015-03-13,0.4500,0.4500,0.4260,0.4310,1677000
2015-03-16,0.4310,0.4420,0.4100,0.4160,2216000
2015-03-17,0.4100,0.5010,0.4100,0.4920,4165000
2015-03-18,0.5200,0.5670,0.5020,0.5100,9823000
2015-03-19,0.5060,0.5150,0.4710,0.4720,4224000
2015-03-20,0.4750,0.4980,0.4620,0.4620,2616000
2015-03-23,0.4590,0.4930,0.4580,0.4840,2293000
2015-03-24,0.4890,0.5120,0.4850,0.4980,4582000
2015-03-25,0.5080,0.5310,0.5070,0.5070,3222000
2015-03-26,0.5170,0.5200,0.4870,0.5010,3098000
2015-03-27,0.4960,0.5010,0.4820,0.4820,2012000
2015-03-30,0.4830,0.4960,0.4570,0.4720,3680000
2015-03-31,0.4550,0.4740,0.4400,0.4510,3966000
2015-04-01,0.4540,0.4700,0.4540,0.4610,1441000
2015-04-02,0.4600,0.5010,0.4500,0.4870,3438000
2015-04-06,0.4950,0.5030,0.4800,0.4840,1425000
2015-04-07,0.4860,0.4940,0.4650,0.4650,987000
2015-04-08,0.4790,0.4820,0.4550,0.4690,1272000
2015-04-09,0.4560,0.4740,0.4560,0.4570,781000
2015-04-10,0.4650,0.4770,0.4620,0.4640,1368000
2015-04-13,0.4650,0.4740,0.4500,0.4570,1847000
2015-04-14,0.4580,0.4640,0.4510,0.4510,1023000
2015-04-15,0.4530,0.4650,0.4530,0.4610,1335000
2015-04-16,0.4600,0.4630,0.4450,0.4450,1276000
2015-04-17,0.4500,0.4600,0.4420,0.4570,884000
2015-04-20,0.4580,0.4590,0.4460,0.4500,581000
2015-04-22,0.4550,0.4570,0.4460,0.4470,595000
2015-04-23,0.4470,0.4520,0.4350,0.4360,1059000
