date,open,high,low,close,volume
2015-01-02,4.8000,4.8000,4.8000,4.8000,0
2015-01-05,4.7500,4.8000,4.6900,4.8000,16700
2015-01-06,4.7900,4.7900,4.6100,4.7300,11700
2015-01-07,4.7200,4.7200,4.3100,4.6800,215400
2015-01-08,4.6800,4.6800,4.6800,4.6800,0
2015-01-09,4.6900,4.6900,4.6200,4.6900,4400
2015-01-12,4.6600,4.6600,4.6600,4.6600,600
2015-01-13,4.6000,4.6500,4.6000,4.6300,1300
2015-01-14,4.6300,4.6300,4.5200,4.6300,1400
2015-01-15,4.6000,4.6300,4.5000,4.6000,4000
2015-01-16,4.5500,4.6000,4.4100,4.5000,31400
2015-01-19,4.4200,4.4900,4.3500,4.3500,33200
2015-01-20,4.3600,4.4000,4.3500,4.4000,8100
2015-01-21,4.4000,4.5000,4.3800,4.4500,22500
2015-01-22,4.3200,4.4100,4.3200,4.3600,64800
2015-01-23,4.3600,4.3600,4.2300,4.2600,44300
2015-01-26,4.2600,4.2600,4.2600,4.2600,300
2015-01-27,4.1700,4.2000,4.1200,4.2000,14400
2015-01-28,4.2000,4.2000,4.0000,4.2000,11400
2015-01-29,4.1800,4.1800,4.0000,4.1200,52900
2015-01-30,4.0400,4.0400,3.9800,3.9800,88400
2015-02-02,3.9200,4.0900,3.9200,4.0900,400
2015-02-03,4.0000,4.0800,3.9700,4.0700,3500
2015-02-04,4.0100,4.0100,3.9800,4.0000,25600
2015-02-05,3.9400,4.0000,3.8800,3.8800,69100
2015-02-06,3.8300,3.9000,3.7700,3.9000,5500
2015-02-09,3.7900,3.8900,3.7000,3.7400,34600
2015-02-10,3.7200,3.8800,3.7200,3.8800,2400
2015-02-11,3.7200,3.7200,3.5800,3.5800,25400
2015-02-12,3.6500,3.7800,3.6500,3.7300,57900
2015-02-13,3.7000,3.7000,3.7000,3.7000,50800
2015-02-18,3.7000,3.8800,3.6700,3.7800,3000
2015-02-19,3.7800,3.8000,3.7800,3.8000,800
2015-02-20,3.8500,3.8500,3.8500,3.8500,4600
2015-02-23,3.7300,3.8000,3.6100,3.8000,28500
2015-02-24,3.8000,3.8000,3.8000,3.8000,0
2015-02-25,3.7000,3.8000,3.7000,3.7900,1200
2015-02-26,3.7900,3.7900,3.7900,3.7900,200
2015-02-27,3.7800,3.7900,3.6200,3.6200,57900
2015-03-02,3.5700,3.7000,3.4600,3.7000,20100
