date,open,high,low,close,volume
2015-01-02,4.7511,4.7832,4.5607,4.7115,5812653
2015-01-05,4.7153,4.7775,4.6305,4.6795,4902487
2015-01-06,4.6889,4.8774,4.6889,4.8152,6163778
2015-01-07,4.7738,4.9208,4.7700,4.8982,4411336
2015-01-08,4.8793,4.9284,4.8492,4.9114,2363992
2015-01-09,4.8718,4.9302,4.8077,4.8360,2052117
2015-01-12,4.7964,5.0566,4.7945,5.0566,3770613
2015-01-13,5.0151,5.0415,4.9038,4.9491,8672570
2015-01-14,4.9548,5.1357,4.9038,4.9038,4069759
2015-01-15,4.9227,4.9962,4.8963,4.9020,4007702
2015-01-16,4.9227,5.0792,4.8963,5.0660,3737728
2015-01-19,5.0264,5.0905,4.9208,4.9227,5361283
2015-01-20,4.9548,5.0339,4.9359,5.0019,2057952
2015-01-21,5.0245,5.0716,4.9227,4.9491,5547984
2015-01-22,4.9736,5.0038,4.8360,4.9208,5716120
2015-01-23,4.8699,4.8982,4.7945,4.8869,3252943
2015-01-26,4.8284,4.9585,4.8284,4.9302,2211237
2015-01-27,4.8756,4.9001,4.7323,4.8454,3800846
2015-01-28,4.8454,4.9302,4.7983,4.8869,2432944
2015-01-29,4.8774,4.9189,4.8454,4.8831,3996564
2015-01-30,4.8944,4.9208,4.7870,4.8737,6543014
2015-02-02,4.8680,4.9001,4.8265,4.8831,3448130
2015-02-03,4.8831,4.9962,4.8643,4.9774,7128576
2015-02-04,4.9491,5.0283,4.7606,4.7851,6418370
2015-02-05,4.7870,4.9020,4.7775,4.8077,3260368
2015-02-06,4.8096,4.9001,4.7700,4.8586,2358688
2015-02-09,4.8567,4.9585,4.8133,4.9585,5075928
2015-02-10,4.9378,5.0566,4.8888,4.9020,4299422
2015-02-11,4.9057,5.0075,4.8624,4.8680,3599824
2015-02-12,4.9321,4.9962,4.8643,4.9962,6289483
2015-02-13,4.9566,5.0151,4.8869,4.9397,4668050
2015-02-18,5.0075,5.1678,4.9453,5.1188,8489582
