date,open,high,low,close,volume
2021-08-05,7.4800,7.6000,7.1800,7.2400,98849900
2021-08-06,7.2500,7.3500,7.0300,7.1000,28799900
2021-08-09,7.1800,7.3100,7.0700,7.0700,14491100
2021-08-10,7.1200,7.1600,7.0500,7.1000,9988600
2021-08-11,7.1300,7.1400,6.8000,6.8700,31978000
2021-08-12,6.9700,6.9800,6.7500,6.9600,17054100
2021-08-13,6.9800,7.0400,6.8600,7.0100,21141500
2021-08-16,6.9700,7.1200,6.7800,7.0200,13434600
2021-08-17,6.9300,6.9900,6.7600,6.8200,17772000
2021-08-18,6.8300,7.0000,6.7200,6.8100,8841700
2021-08-19,6.7000,6.9300,6.4200,6.9300,5423700
2021-08-20,6.8900,7.0500,6.8300,6.9800,3109200
2021-08-23,7.0400,7.2000,7.0100,7.1700,6128800
2021-08-24,7.2400,7.4000,7.1800,7.2500,6054100
2021-08-25,7.3200,7.3800,7.2600,7.3400,5190100
2021-08-26,7.3400,7.3800,7.1000,7.1000,7968100
2021-08-27,7.1500,7.2400,7.1200,7.1900,5881000
2021-08-30,7.2500,7.2800,7.0900,7.1100,4966000
2021-08-31,7.1500,7.1500,7.0100,7.1000,3704100
2021-09-01,7.1000,7.1500,7.0300,7.0700,6468600
2021-09-02,7.0700,7.0900,6.7700,6.8000,3746900
2021-09-03,6.8400,7.0000,6.7300,7.0000,3705400
2021-09-06,6.9400,7.0200,6.8800,6.9300,1654400
2021-09-08,6.9300,6.9300,6.4200,6.5300,10251100
2021-09-09,6.5300,6.6200,6.3500,6.4100,5428200
2021-09-10,6.5400,6.6900,6.3700,6.5000,5905500
2021-09-13,6.7500,7.0000,6.7200,6.9500,8999600
2021-09-14,7.0600,7.3800,7.0600,7.1900,9730300
2021-09-15,7.2400,7.3800,7.1400,7.2400,7265900
2021-09-16,7.2000,7.2900,7.0000,7.1200,6142600
2021-09-17,7.1000,7.2400,6.7800,7.2400,16008100
2021-09-20,6.9900,7.1700,6.8800,7.1100,9065700
2021-09-21,7.2000,7.4000,7.1100,7.2800,11102500
2021-09-22,7.3300,7.4400,7.2600,7.3100,10254600
2021-09-23,7.3800,7.4200,7.1900,7.2300,6341600
2021-09-24,7.1900,7.2300,6.9900,7.0000,5138200
2021-09-27,7.0000,7.1900,6.9200,7.1500,6343700
2021-09-28,7.1000,7.1200,6.9400,6.9400,6782400
2021-09-29,7.0500,7.0900,6.8500,6.8500,6482600
2021-09-30,6.9000,7.2000,6.8700,7.1000,15990100
2021-10-01,7.1800,7.4500,7.1800,7.3700,15528000
2021-10-04,7.4000,7.4300,7.0200,7.0200,12019000
2021-10-05,7.1400,7.2200,7.0800,7.1300,12888200
2021-10-06,7.0700,7.1000,6.8800,6.9900,10376100
2021-10-07,7.1100,7.3300,7.0300,7.1300,18438800
2021-10-08,7.2000,7.5300,7.1200,7.1400,20480700
2021-10-11,7.2000,7.2500,7.0300,7.0300,10407400
2021-10-13,7.0700,7.1200,7.0300,7.0500,8146000
2021-10-14,7.0700,7.2200,7.0600,7.1500,10992200
2021-10-15,7.1700,7.1900,7.0400,7.1000,34203500
2021-10-18,7.0800,7.0900,6.9600,6.9800,7596500
2021-10-19,6.9800,7.0000,6.6700,6.6900,11473400
2021-10-20,6.8000,6.8400,6.6100,6.6800,6234400
2021-10-21,6.5600,6.6100,6.1900,6.4300,12472300
2021-10-22,6.3400,6.4000,5.8800,6.3700,18890200
2021-10-25,6.4300,6.6500,6.2800,6.6300,11428100
2021-10-26,6.6000,6.6400,6.4300,6.5800,8470300
2021-10-27,6.6000,6.7500,6.5500,6.6300,7675900
2021-10-28,6.5100,6.8200,6.4800,6.7800,8299700
2021-10-29,6.7400,6.8100,6.6100,6.7800,3926300
2021-11-01,6.7500,6.8600,6.7300,6.7900,5059700
2021-11-03,6.7700,7.0000,6.7000,6.9000,5711600
2021-11-04,6.9000,6.9700,6.6100,6.7500,8687600
2021-11-05,6.7900,6.8500,6.7200,6.7500,3123600
2021-11-08,6.8000,6.8300,6.7200,6.7700,3898000
2021-11-09,6.7800,6.9800,6.7300,6.7300,5176300
2021-11-10,6.7400,6.8000,6.5000,6.5000,10074000
2021-11-11,6.6000,6.8300,6.5700,6.8000,8604300
2021-11-12,6.8800,6.8800,6.2600,6.5200,20568500
2021-11-16,6.5500,6.5800,5.9100,6.0200,27445700
2021-11-17,6.0700,6.1800,5.6600,5.8500,24600900
2021-11-18,5.9000,6.0400,5.7400,5.8400,17735600
2021-11-19,5.8400,5.9800,5.7600,5.9300,11364600
2021-11-22,5.9200,6.0300,5.6300,5.6300,8516000
2021-11-23,5.6600,5.7700,5.4100,5.6700,9084200
2021-11-24,5.5700,5.6800,5.4600,5.5700,8397000
2021-11-25,5.6000,6.0800,5.4300,6.0800,20546100
2021-11-26,5.7000,6.0400,5.6800,5.9100,8564200
2021-11-29,5.9800,6.1000,5.7900,5.7900,7811800
2021-11-30,5.7400,5.8000,5.4200,5.4600,11282700
2021-12-01,5.5400,5.8300,5.4900,5.4900,12492100
2021-12-02,5.5500,5.6900,5.3700,5.6900,18379200
2021-12-03,5.6800,6.0300,5.6300,6.0200,10548200
2021-12-06,6.0800,6.1300,5.8300,5.8300,5884400
2021-12-07,5.9300,5.9500,5.5600,5.9200,9906100
2021-12-08,5.9100,6.0400,5.8000,5.9800,9204000
2021-12-09,5.8900,6.1500,5.8600,5.9200,9205900
2021-12-10,5.9600,6.3000,5.9300,6.1600,8741300
2021-12-13,6.1600,6.3600,6.1400,6.2200,8265100
2021-12-14,6.2200,6.3400,6.1400,6.1700,6640900
2021-12-15,6.2000,6.2500,6.0300,6.2000,4791400
2021-12-16,6.2400,6.2800,6.0500,6.1100,9238300
2021-12-17,6.0200,6.0500,5.9300,5.9300,50153800
2021-12-20,5.8600,5.8600,5.6000,5.8200,8433600
2021-12-21,5.8500,5.9100,5.6800,5.7500,5049800
2021-12-22,5.7200,5.7400,5.5600,5.6700,4649500
2021-12-23,5.6500,5.7400,5.6200,5.7200,3174500
2021-12-27,5.7100,5.9200,5.6700,5.9200,4493500
2021-12-28,5.9000,6.0500,5.8700,6.0500,4379800
2021-12-29,6.0200,6.0900,5.9000,6.0100,5394800
2021-12-30,6.0200,6.4600,5.9500,6.4500,23096200
2022-01-03,6.4400,6.5000,6.2300,6.2700,7451800
2022-01-04,6.2600,6.3500,6.1600,6.3300,10613100
2022-01-05,6.2800,6.3000,5.7900,5.7900,7203400
2022-01-06,5.8000,5.8500,5.4900,5.5600,8427100
2022-01-07,5.6100,5.9500,5.5700,5.8200,10961100
2022-01-10,5.7000,5.7800,5.5300,5.7000,11253600
2022-01-11,5.6600,5.9000,5.6600,5.9000,5425200
2022-01-12,5.9300,6.2200,5.8900,6.1300,9077500
2022-01-13,6.0400,6.2100,6.0400,6.1100,4388600
2022-01-14,6.1100,6.2000,6.0100,6.1900,4745900
2022-01-17,6.1400,6.3400,6.1400,6.1800,3137800
2022-01-18,6.1700,6.2400,6.0600,6.1800,3854900
2022-01-19,6.2100,6.4800,6.2100,6.3700,12660500
2022-01-20,6.3700,6.5800,6.3500,6.4400,9343500
2022-01-21,6.4000,6.4100,6.1800,6.2300,7609900
2022-01-24,6.1600,6.1900,6.0300,6.1500,8531700
2022-01-25,6.0800,6.2800,6.0500,6.2000,8097000
2022-01-26,6.3100,6.4000,6.1900,6.2200,11610000
2022-01-27,6.2900,6.4800,6.2300,6.2500,8501200
2022-01-28,6.2100,6.4600,6.2100,6.3800,15566700
2022-01-31,6.3200,6.5300,6.2800,6.4200,7514700
2022-02-01,6.5000,6.5300,6.2400,6.4000,8050400
2022-02-02,6.4500,6.6300,6.3700,6.3900,8808600
2022-02-03,6.4000,6.5300,6.3300,6.4600,8390300
2022-02-04,6.4500,6.5600,6.3500,6.3800,8483700
2022-02-07,6.4300,6.5100,6.2600,6.2700,7178800
2022-02-08,6.2900,6.4200,6.1800,6.3300,9770800
2022-02-09,6.3300,6.4700,6.3000,6.3500,8867400
2022-02-10,6.4000,6.4700,6.2700,6.4300,9667400
2022-02-11,6.4600,6.5100,6.3000,6.3500,8001300
2022-02-14,6.3600,6.5000,6.3600,6.4200,12680200
2022-02-15,6.5500,6.5500,6.2200,6.4200,17426200
2022-02-16,6.4400,6.5500,6.3700,6.4300,12029900
2022-02-17,6.4600,6.4700,6.2100,6.2900,16171600
2022-02-18,6.3100,6.3300,5.9800,6.1100,12852100
2022-02-21,6.1400,6.1500,5.7200,5.7700,8726900
