date,open,high,low,close,volume
2015-01-02,4.6416,4.7196,4.4466,4.5246,545162
2015-01-05,4.4953,4.4953,4.2418,4.3198,830459
2015-01-06,4.3490,4.4368,4.2125,4.4076,842765
2015-01-07,4.4368,4.6708,4.4368,4.6708,1160777
2015-01-08,4.6611,4.7879,4.5928,4.7781,410204
2015-01-09,4.7098,4.7293,4.5051,4.6026,979466
2015-01-12,4.6318,4.6318,4.4466,4.5148,396770
2015-01-13,4.5051,4.5441,4.3783,4.3881,1522987
2015-01-14,4.3490,4.3978,4.3100,4.3490,338316
2015-01-15,4.4173,4.4173,4.2223,4.2223,797027
2015-01-16,4.2320,4.3783,4.1540,4.3588,778568
2015-01-19,4.3295,4.3295,4.0273,4.1443,921319
2015-01-20,4.1638,4.1735,3.9492,4.0078,1559803
2015-01-21,4.0273,4.0565,3.9102,3.9297,1313885
2015-01-22,3.9395,4.1540,3.9395,4.0858,1096374
2015-01-23,4.0955,4.2125,3.9395,3.9395,1154726
2015-01-26,3.9297,4.0175,3.8615,3.9005,1023768
2015-01-27,3.9687,3.9883,3.8615,3.9492,1011359
2015-01-28,3.9395,3.9785,3.8615,3.9492,711500
2015-01-29,3.9005,4.0760,3.8907,4.0175,699194
2015-01-30,4.0078,4.0078,3.9005,3.9200,1349471
2015-02-02,3.9005,3.9200,3.8030,3.8225,1359931
2015-02-03,3.8420,4.0468,3.8322,3.9590,1089298
2015-02-04,3.9395,4.1833,3.8712,4.0955,2906608
2015-02-05,4.1540,4.2905,4.1150,4.2613,1313373
2015-02-06,4.2613,4.2613,3.9395,4.0175,1842332
2015-02-09,4.0370,4.0565,3.8907,3.9687,2389442
2015-02-10,3.9590,3.9687,3.8225,3.8517,2324117
2015-02-11,3.8420,3.8615,3.6470,3.6665,1220154
2015-02-12,3.6567,3.7152,3.5885,3.6080,2851128
2015-02-13,3.6470,3.8615,3.6372,3.8615,9374923
2015-02-18,3.8615,4.0760,3.8615,3.9980,1046432
2015-02-19,3.9980,4.2125,3.9980,4.1638,2302992
2015-02-20,4.2125,4.2125,4.0175,4.0955,951982
2015-02-23,4.0565,4.0565,3.9200,3.9980,777543
2015-02-24,3.9980,4.0273,3.9102,3.9687,1176569
2015-02-25,3.9297,3.9590,3.8517,3.9005,1631384
2015-02-26,3.9005,3.9492,3.8712,3.9005,940086
2015-02-27,3.9200,3.9883,3.7640,3.7737,1667585
2015-03-02,3.7932,3.8420,3.7445,3.7835,672633
2015-03-03,3.7737,3.8420,3.6860,3.6860,310525
2015-03-04,3.6665,3.7542,3.4617,3.4812,1515091
2015-03-05,3.5007,3.5299,3.4129,3.4617,3152116
2015-03-06,3.4129,3.5299,3.3934,3.4519,2143114
2015-03-09,3.4617,3.4617,3.1691,3.2277,1706862
2015-03-10,3.2374,3.3837,3.1789,3.2959,2154190
2015-03-11,3.3349,3.4909,3.2667,3.3349,2045588
2015-03-12,3.3642,3.5689,3.3252,3.5202,2861588
2015-03-13,3.4909,3.5982,3.3544,3.5592,1879148
2015-03-16,3.5104,3.6470,3.4129,3.5007,1515911
2015-03-17,3.4617,3.4617,3.3252,3.3447,1178210
2015-03-18,3.3447,3.4129,3.2277,3.4032,2603672
2015-03-19,3.3934,3.4909,3.2667,3.2667,1112783
2015-03-20,3.3154,3.3252,3.1691,3.2374,1998517
2015-03-23,3.2472,3.3057,3.1691,3.2569,1493658
2015-03-24,3.3154,3.4032,3.2764,3.3837,978543
2015-03-25,3.3934,3.4812,3.3837,3.4129,1291940
2015-03-26,3.4129,3.4422,3.3252,3.3544,779594
2015-03-27,3.3252,3.3447,3.2082,3.2862,1184261
2015-03-30,3.2667,3.2959,3.2374,3.2569,1767777
2015-03-31,3.2374,3.3252,3.1887,3.1887,1689736
2015-04-01,3.2277,3.3252,3.2179,3.3252,1652304
2015-04-02,3.3252,3.5885,3.2472,3.5202,3952425
2015-04-06,3.5397,3.7542,3.5397,3.7542,3309019
2015-04-07,3.7542,3.8030,3.5787,3.6080,2427386
2015-04-08,3.6372,3.7250,3.5689,3.6177,1231639
2015-04-09,3.6275,3.6567,3.3934,3.5982,1519296
2015-04-10,3.6080,3.6567,3.5299,3.5982,891477
2015-04-13,3.6177,3.7542,3.6080,3.7055,1860894
2015-04-14,3.7152,3.7250,3.5787,3.6470,758571
2015-04-15,3.6372,3.6762,3.6080,3.6275,768005
2015-04-16,3.6080,3.7250,3.5982,3.6080,1058020
2015-04-17,3.6372,3.6470,3.5104,3.5104,1296862
2015-04-20,3.5494,3.5787,3.4422,3.5007,738060
2015-04-22,3.4812,3.6275,3.4617,3.6080,1753830
2015-04-23,3.6080,3.7932,3.5885,3.7250,2137064
2015-04-24,3.7542,4.0175,3.7445,3.9785,3460385
2015-04-27,4.0175,4.0565,3.8127,3.9005,1378390
2015-04-28,3.9297,3.9687,3.8225,3.9297,1553548
2015-04-29,3.9102,3.9102,3.7445,3.8225,1020179
2015-04-30,3.8420,3.9492,3.7932,3.8810,1300656
2015-05-04,3.9492,4.0078,3.8907,3.9883,1486582
2015-05-05,3.9687,4.1638,3.9590,4.0175,2138910
2015-05-06,4.0858,4.1150,3.9005,3.9492,1254201
2015-05-07,3.9102,4.0273,3.9005,3.9980,1243433
2015-05-08,4.0273,4.0370,3.8322,3.9687,1636409
2015-05-11,4.0078,4.0955,3.9200,3.9590,546700
2015-05-12,3.9297,3.9883,3.9297,3.9492,553161
2015-05-13,3.9590,3.9687,3.8810,3.9200,1390696
2015-05-14,3.7250,3.8907,3.4714,3.8615,3843003
2015-05-15,3.8225,3.8907,3.7737,3.8127,560852
2015-05-18,3.8127,3.9102,3.6665,3.7055,1137087
2015-05-19,3.6665,3.6762,3.5202,3.6665,1291324
2015-05-20,3.6080,3.6470,3.5104,3.5494,1890633
2015-05-21,3.5494,3.6567,3.5299,3.6177,928190
2015-05-22,3.6567,3.6957,3.5299,3.5982,498193
2015-05-25,3.5592,3.6080,3.5299,3.5592,894759
2015-05-26,3.5592,3.5592,3.3934,3.4519,1482377
2015-05-27,3.4129,3.5397,3.3739,3.5397,2190288
2015-05-28,3.4714,3.5494,3.4519,3.5299,2392827
2015-05-29,3.4324,3.5104,3.3837,3.3934,2153575
2015-06-01,3.4129,3.4617,3.3837,3.3934,1069506
2015-06-02,3.4129,3.5885,3.3934,3.5885,1160366
2015-06-03,3.5885,3.6470,3.5007,3.5885,1913810
2015-06-05,3.5885,3.6470,3.4714,3.5104,1276557
2015-06-08,3.5104,3.5397,3.4129,3.4129,857020
