date,open,high,low,close,volume
2020-12-15,66.3344,67.3635,65.7449,66.5342,3282948
2020-12-16,66.7441,67.4335,66.1446,67.1937,2830870
2020-12-17,67.0238,70.8306,66.9939,69.7416,3838013
2020-12-18,69.7316,71.4202,68.2528,68.2528,9740255
2020-12-21,66.9539,67.3835,65.7449,66.1246,2001776
2020-12-22,66.6441,67.2536,66.0147,67.2437,1743960
2020-12-23,67.4335,68.1629,66.9439,68.0829,859119
2020-12-28,68.4426,68.6125,67.3436,67.9431,1377453
2020-12-29,67.9431,68.1429,67.4435,67.9431,968110
2020-12-30,67.9531,68.2428,66.6441,68.2428,1305192
2021-01-04,68.4926,68.4926,65.6450,65.9447,1353533
2021-01-05,65.9447,66.4343,63.4968,65.0455,1236034
2021-01-06,65.0555,65.1654,62.3178,62.3478,1224225
2021-01-07,62.3577,63.3269,60.4493,60.8990,1920908
2021-01-08,61.5484,63.0072,60.9589,62.1779,2331151
2021-01-11,62.1379,62.8973,59.5701,61.1887,3476110
2021-01-12,61.4485,64.9456,60.0097,64.1163,2695256
2021-01-13,63.9464,66.2944,62.9772,66.2944,2332352
2021-01-14,66.1646,67.4035,65.9947,67.0438,1954436
2021-01-15,67.0438,67.9431,65.5451,67.3436,1459021
2021-01-18,67.2437,68.3227,65.4551,67.1937,3533858
2021-01-19,67.6833,68.8723,66.9539,67.8431,2202344
2021-01-20,68.2528,68.9422,67.6433,67.9431,2119574
2021-01-21,67.9331,68.6425,66.8240,67.8631,1763676
2021-01-22,67.2437,67.9131,65.8448,67.2437,1626862
2021-01-26,67.2437,67.9131,65.4651,66.3344,1401473
2021-01-27,66.6042,66.6042,63.0472,63.8365,2672437
2021-01-28,63.9464,65.1354,63.5467,64.9556,1762575
2021-01-29,64.5859,66.8240,63.5467,65.6450,2215655
2021-02-01,66.9439,67.9431,66.0646,67.7432,1905095
2021-02-02,67.9730,69.6816,67.6433,68.4926,2230667
2021-02-03,68.5825,70.9406,68.3028,70.9406,3830607
2021-02-04,71.0904,73.4285,70.4709,73.3385,4126354
2021-02-05,73.4385,74.8373,72.1795,74.8373,2781228
2021-02-08,74.8373,74.8872,73.2986,73.4385,2138390
2021-02-09,72.9289,74.4976,71.5900,74.1878,2660127
2021-02-10,74.1878,74.1878,71.6899,72.5392,1813218
2021-02-11,72.5392,73.6183,71.0005,72.2994,7591756
2021-02-12,71.8298,73.8981,71.4501,73.7382,1295584
2021-02-17,73.9380,74.9372,72.5792,73.6183,1187994
2021-02-18,73.9880,74.0779,71.5201,71.9397,1150363
2021-02-19,71.2703,73.2186,71.2603,72.9589,685173
2021-02-22,71.4301,71.9197,67.7432,70.9006,1776787
2021-02-23,71.4401,72.8889,69.3319,72.4393,1706328
2021-02-24,72.8390,72.9189,70.7307,72.6691,1060888
2021-02-25,73.4385,73.8281,70.0313,70.7807,1651983
2021-02-26,71.6400,71.9297,69.0421,69.0421,1784293
2021-03-01,69.7416,72.3793,69.4618,70.1612,1423491
2021-03-02,69.8115,70.7107,68.4626,69.1720,2089249
2021-03-03,69.4918,70.1312,66.9439,67.9930,2882113
2021-03-04,68.1129,68.8423,65.9747,67.8631,2507299
2021-03-05,67.8332,67.8431,64.5359,66.4243,2794139
2021-03-08,65.8848,65.8848,61.9581,62.1080,3243215
2021-03-09,62.9473,63.6666,60.3594,60.8490,2315438
2021-03-10,61.4485,62.5576,59.7200,59.9498,1903593
2021-03-11,61.9481,63.5168,60.4693,62.9473,4639184
2021-03-12,62.7874,64.3661,61.9681,62.4477,1233833
2021-03-15,62.7674,64.6458,62.5876,63.9264,732213
2021-03-16,63.9464,65.1954,63.9264,65.1154,765140
2021-03-17,64.3061,65.1354,62.8473,63.6267,2111467
2021-03-18,63.6267,64.8157,61.4385,62.4677,1289980
2021-03-19,62.3577,63.8465,62.1979,63.7066,1996972
2021-03-22,63.6966,64.5959,61.7383,63.0871,847809
2021-03-23,62.7374,62.7474,61.7183,62.0980,1703126
2021-03-24,62.4976,62.4976,60.4793,60.5493,1476436
2021-03-25,61.0988,62.5276,59.9997,62.4477,3066367
2021-03-26,62.1179,62.7374,60.9689,61.7483,1168978
2021-03-29,61.4485,61.8682,60.2495,61.2886,1164374
2021-03-30,60.9489,63.2270,60.6092,62.9373,2170517
2021-03-31,63.3369,64.8557,62.4077,64.8557,2249983
2021-04-01,63.8565,66.4443,63.8565,64.2761,1826429
2021-04-05,64.2661,65.4452,62.6575,64.7158,1702425
2021-04-06,65.8948,67.2536,65.4052,66.5043,2081142
2021-04-07,67.4435,68.3327,66.6941,67.5034,1547896
2021-04-08,67.9331,67.9431,66.1446,66.1446,1091614
2021-04-09,65.9447,66.4643,64.9456,65.8748,1141956
2021-04-12,66.6441,69.1720,66.6441,68.9422,2210550
2021-04-13,68.7424,70.9406,68.1029,69.5717,2530919
2021-04-14,69.5717,70.8906,69.2120,69.4418,2227665
2021-04-15,69.4518,70.0413,68.7424,69.2420,1514868
2021-04-16,69.6416,69.9414,68.7924,69.9414,728710
2021-04-19,69.5817,69.8315,68.8423,69.5217,951396
2021-04-20,69.4218,69.8115,68.1229,68.7724,1983760
2021-04-22,68.4526,69.9414,66.6941,67.4435,1729247
2021-04-23,67.8431,69.3519,67.2536,69.2919,1036968
2021-04-26,68.9322,70.2611,68.0730,69.3619,1270964
2021-04-27,69.5717,69.5917,67.7632,68.5825,1719039
2021-04-28,68.5825,70.1412,67.9531,69.2120,1514167
2021-04-29,69.2120,69.9214,68.8223,69.4418,1291781
2021-04-30,69.4418,71.8398,68.9123,71.8398,2721478
2021-05-03,71.5700,71.6000,68.9922,69.5417,1670298
2021-05-04,69.5317,69.5317,68.2828,68.6924,1210713
2021-05-05,68.9422,69.8714,67.9531,69.5417,1335518
2021-05-06,69.7416,71.5301,69.1421,70.8406,2403012
2021-05-07,71.1404,72.4393,70.0113,71.5301,2010583
2021-05-10,71.9397,73.2886,71.6100,72.3394,1437203
2021-05-11,71.3502,72.8390,70.7507,71.5800,971513
2021-05-12,73.9380,74.9172,72.1495,72.1495,8001199
2021-05-13,72.1495,73.4085,70.6808,72.9189,1319004
2021-05-14,73.1287,73.7582,72.2794,73.6383,1211414
2021-05-17,74.1379,75.9364,74.1379,75.9364,3154541
2021-05-18,75.8100,76.4100,70.1000,71.9000,5818800
2021-05-19,70.4700,72.3800,69.0000,72.0800,3483600
2021-05-20,72.0800,74.4400,72.0800,73.7200,2074900
2021-05-21,74.2000,74.9800,73.3600,74.4000,1710900
2021-05-24,74.8000,75.6600,72.4400,73.1500,2201700
2021-05-25,73.1400,74.7000,72.6800,73.8900,1544600
2021-05-26,74.9000,74.9000,72.5000,73.5000,2795000
2021-05-27,72.0000,72.0000,70.2000,71.0000,27879800
2021-05-28,71.8200,71.8200,69.8500,71.0000,3681500
2021-05-31,71.0000,71.3900,70.1100,70.2200,1346200
2021-06-01,70.9700,70.9700,68.0200,68.5700,4030800
2021-06-02,68.8400,69.8100,68.2800,69.2700,3011400
2021-06-04,69.3000,69.9700,68.7500,69.0000,2006300
2021-06-07,68.9500,69.2800,66.7700,68.5000,3491800
2021-06-08,68.5100,69.0000,67.4100,69.0000,1637000
2021-06-09,68.9900,69.7600,68.5500,68.9400,1350700
2021-06-10,69.0000,70.0700,68.1500,70.0700,1227600
2021-06-11,69.9100,69.9100,68.9700,69.7100,984600
2021-06-14,69.7400,70.0500,68.6800,69.4500,1573800
2021-06-15,69.6100,69.7500,67.8200,68.2300,1452700
2021-06-16,68.5500,68.7300,67.5800,68.3200,1788000
2021-06-17,68.4000,68.8600,67.9500,68.5100,1547200
2021-06-18,68.4900,68.6200,66.9400,66.9400,4105500
2021-06-21,67.0800,67.5800,66.5000,66.9000,1918000
2021-06-22,67.0000,69.8000,66.6500,69.7500,1713900
2021-06-23,69.3600,69.6800,68.3300,68.8000,1114000
2021-06-24,69.3600,69.5300,67.7200,68.1900,1644800
2021-06-25,68.4600,69.8100,67.4000,68.6700,2028100
2021-06-28,68.8000,69.5800,67.9900,69.4400,1034400
2021-06-29,69.3100,69.5900,68.0300,69.4500,1569800
2021-06-30,69.3000,69.5000,67.7300,69.0300,1981700
2021-07-01,69.4200,70.5000,68.2600,69.3200,2142900
2021-07-02,69.7500,71.4000,68.8500,71.4000,1556000
2021-07-05,71.1000,71.7100,70.5000,70.7200,1142200
2021-07-06,70.6000,70.6100,69.5500,69.8600,1893600
2021-07-07,70.0800,70.9400,69.4600,70.9300,1246600
2021-07-08,69.9000,70.6300,69.6000,70.6000,1150000
2021-07-12,70.6000,71.1000,69.6900,69.9500,1434600
2021-07-13,69.9500,70.3800,69.0300,69.8000,1308100
2021-07-14,69.8100,70.6200,68.7600,69.9900,2300200
2021-07-15,69.9900,70.0000,68.3700,68.8600,1788500
2021-07-16,69.3700,69.9800,68.2900,68.5500,1395600
2021-07-19,68.3700,68.3700,66.7300,66.8500,1419200
2021-07-20,67.2000,67.5000,65.4900,66.6800,2157200
2021-07-21,66.8400,67.8200,65.8400,66.2700,1811700
2021-07-22,66.5000,69.9200,66.0900,69.9200,3301200
2021-07-23,69.4500,69.4500,68.5800,69.2000,1145300
2021-07-26,69.0600,69.2300,66.7000,67.1300,1679100
2021-07-27,67.2400,67.3600,65.7100,67.3600,1468200
2021-07-28,67.3900,67.7300,66.4200,67.7200,1537600
2021-07-29,68.0000,69.6500,67.4000,69.4100,1755000
2021-07-30,68.7000,69.7900,67.7300,69.0000,2459200
2021-08-02,69.3100,70.4700,69.1000,70.2500,1566600
2021-08-03,70.4000,71.6900,69.2800,71.6900,1746700
2021-08-04,73.0000,73.0000,69.2100,70.4800,3771900
2021-08-05,71.0000,71.0900,69.5000,70.3300,2028200
2021-08-06,70.5000,70.5500,68.7900,69.8900,1777700
2021-08-09,69.7000,70.8000,69.0500,69.7200,2702100
2021-08-10,69.7400,70.6800,69.5700,69.9400,1799500
2021-08-11,70.1300,70.1300,68.4400,69.9300,2474500
2021-08-12,69.9600,73.5800,69.9200,73.5000,7066200
2021-08-13,73.0000,73.9700,72.2300,73.0000,3207300
2021-08-16,72.8900,73.9100,71.4500,73.0000,4768900
2021-08-17,73.5000,73.8600,70.7800,72.3800,4195600
2021-08-18,72.1700,74.1400,70.4100,73.3800,2696200
2021-08-19,72.2000,73.8000,72.0600,73.4600,2710600
2021-08-20,73.0000,75.7600,72.7700,75.7000,2082900
2021-08-23,75.4900,76.9300,75.4600,75.8400,3164300
2021-08-24,75.4800,77.3000,75.3600,76.2500,2259200
2021-08-25,75.4900,76.9700,75.1200,76.2400,3077300
2021-08-26,75.5700,76.5000,73.8000,74.5400,4241000
2021-08-27,74.7600,76.2700,73.8200,75.7600,4195700
2021-08-30,76.0300,76.0300,73.0400,73.3000,5559700
2021-08-31,70.0000,70.3900,68.8200,68.8200,65798400
2021-09-01,68.9800,69.3300,67.2300,68.0000,4332800
2021-09-02,68.4400,70.0000,68.0000,68.9800,5704400
2021-09-03,69.6200,69.8500,68.1100,68.5000,18240700
2021-09-06,68.7000,71.3200,68.7000,71.3200,5922600
2021-09-08,71.2000,71.2500,69.0600,70.0000,5430300
2021-09-09,69.8600,70.9500,68.7100,70.8100,4354800
2021-09-10,70.0100,70.2200,68.0000,68.0000,3037300
2021-09-13,69.2000,70.9500,68.1900,70.5000,4136100
2021-09-14,70.2600,71.3400,69.9700,70.3000,3269200
2021-09-15,70.6500,70.6500,68.9500,69.6600,2439500
2021-09-16,69.6600,71.1900,68.7900,69.9300,2647700
2021-09-17,69.8400,70.1000,68.2400,69.0400,15349000
2021-09-20,68.7500,68.8400,65.6000,67.7000,4069300
2021-09-21,67.5800,70.2500,67.4000,69.3200,2224000
2021-09-22,69.1000,69.3000,67.8100,68.8400,3691400
2021-09-23,69.0000,69.5500,67.7600,69.5500,2349800
2021-09-24,68.5400,69.3900,68.2400,69.0500,2122600
2021-09-27,69.3800,69.3800,66.8200,67.7700,2863800
2021-09-28,66.9700,67.3900,65.8500,66.6900,2250800
2021-09-29,66.6200,67.6700,66.1600,66.8800,1810700
2021-09-30,67.5000,68.2500,66.5700,67.9100,3106500
2021-10-01,67.9100,68.8300,67.3400,68.6100,1653400
2021-10-04,67.4500,67.8900,66.4100,67.1000,3291600
2021-10-05,67.1000,67.4500,66.1200,66.4200,1952900
2021-10-06,66.0000,67.3000,65.0000,67.0300,2788300
2021-10-07,66.2800,67.0300,65.5100,65.5100,1714000
2021-10-08,65.9900,67.6900,65.5800,66.4800,2018200
2021-10-11,65.9300,66.5000,64.7200,64.7200,1805100
2021-10-13,64.8100,66.4900,64.7200,66.0500,3435300
2021-10-14,66.0900,66.2500,64.9900,65.7700,1852800
2021-10-15,65.9000,66.9100,65.1000,65.6900,2231500
2021-10-18,65.0200,66.0100,64.6600,65.3500,1658600
2021-10-19,65.3400,65.3400,62.8400,63.5900,2344100
