date,open,high,low,close,volume
2015-01-02,16.7500,17.9500,15.3000,16.7500,1604100
2015-01-05,16.7500,16.8000,14.1500,14.3500,929780
2015-01-06,14.2000,15.1000,13.7000,13.7000,543240
2015-01-07,13.9000,14.4500,13.6000,13.9500,545800
2015-01-08,14.0500,14.1500,13.2500,13.6000,285560
2015-01-09,13.5000,13.5000,12.8500,13.0000,160940
2015-01-12,13.0000,14.4000,12.6500,14.2000,448240
2015-01-13,14.2000,15.2000,13.2500,13.3500,544520
2015-01-14,13.4000,13.4000,12.1000,12.1500,541480
2015-01-15,12.2000,12.9500,11.6500,12.3000,423300
2015-01-16,12.2500,12.4000,11.8500,12.0000,231200
2015-01-19,11.9000,12.1500,11.2500,11.7000,388820
2015-01-20,11.7500,12.2500,11.7500,11.9000,342400
2015-01-21,11.7000,13.4000,11.6000,12.9500,596780
2015-01-22,13.1500,13.9000,13.0500,13.1000,455580
2015-01-23,13.1500,13.9000,12.7500,13.6000,147440
2015-01-26,13.6000,13.9500,13.2000,13.6500,181680
2015-01-27,13.5000,13.7500,12.7500,12.9500,240500
2015-01-28,12.8500,13.0000,12.0500,12.1000,260240
2015-01-29,12.0500,12.1500,11.5500,11.7500,229300
2015-01-30,11.5500,11.7000,10.6500,10.6500,297960
2015-02-02,10.8500,11.1500,10.2500,10.3500,393220
2015-02-03,10.5000,11.6500,10.3000,11.4000,402260
2015-02-04,11.6000,11.8500,10.6000,10.7000,540320
2015-02-05,10.6500,11.8500,10.4000,11.8500,427280
2015-02-06,11.7500,11.7500,11.0500,11.2500,153580
2015-02-09,11.2000,12.2000,10.9500,11.5000,385080
2015-02-10,11.4500,11.9500,11.1500,11.4500,244000
2015-02-11,11.4500,12.4500,11.2500,12.0500,371240
2015-02-12,12.2500,12.7500,12.2000,12.6000,145580
2015-02-13,12.8500,13.4000,12.3500,13.2500,242780
2015-02-18,13.3000,15.2000,13.0500,14.8500,440640
2015-02-19,14.9500,15.1500,14.2500,14.4000,272040
2015-02-20,14.4500,14.7000,13.9000,14.2500,135980
2015-02-23,14.1500,14.3500,13.2000,13.2000,171400
2015-02-24,13.3000,13.8500,12.7000,12.8500,201340
2015-02-25,12.7000,13.3500,12.4500,13.1000,202360
2015-02-26,13.4000,14.1000,13.0000,14.0000,240380
2015-02-27,14.0500,14.8000,13.6500,14.4500,236960
2015-03-02,14.5000,14.8500,14.2500,14.4500,151880
2015-03-03,14.4500,14.9000,14.2500,14.9000,138580
2015-03-04,14.6500,14.7500,14.2500,14.3000,134520
2015-03-05,14.3000,14.5500,13.3000,13.7500,570820
2015-03-06,13.8500,14.2000,13.6500,14.0000,108980
2015-03-09,14.0000,14.0000,13.3000,13.5000,92440
2015-03-10,13.5500,13.6500,13.1000,13.1000,95300
2015-03-11,13.2000,13.3500,12.8000,13.0500,137680
2015-03-12,13.1500,14.1000,13.1500,13.6000,233500
2015-03-13,13.5500,14.6000,13.3000,14.4500,136420
2015-03-16,14.4500,15.0000,13.3500,13.3500,225940
2015-03-17,13.4500,14.3500,13.2500,14.3500,137680
2015-03-18,14.1000,16.7500,13.9000,16.7500,443000
2015-03-19,15.7500,15.9500,14.0000,14.0000,758380
2015-03-20,13.9500,14.5000,13.2500,13.2500,677980
2015-03-23,13.5000,13.5500,12.8500,13.4000,264380
2015-03-24,13.5000,13.7500,13.2500,13.5000,218360
2015-03-25,13.7500,14.2500,13.5500,13.6000,285400
2015-03-26,13.4000,13.5500,12.9000,13.2500,314620
2015-03-27,13.1000,13.6500,12.8500,13.4000,301860
2015-03-30,13.3500,13.6500,12.9500,12.9500,213640
2015-03-31,13.0000,13.2500,12.6000,13.0500,242860
2015-04-01,13.1500,13.3500,13.0000,13.0500,176380
2015-04-02,13.1000,13.3000,12.9000,13.1500,176020
2015-04-06,13.2500,13.7500,13.2500,13.3000,842160
2015-04-07,13.4500,13.6000,12.9500,12.9500,290580
2015-04-08,13.0000,13.0500,12.6000,12.6000,256260
2015-04-09,12.3500,12.9500,12.1500,12.6500,252280
2015-04-10,12.7000,12.9000,12.5000,12.5500,146800
2015-04-13,12.5500,12.6000,12.1000,12.2500,205340
2015-04-14,12.2500,12.4000,12.0000,12.1500,66180
2015-04-15,12.1000,12.5500,12.1000,12.4500,120680
2015-04-16,12.5000,12.5000,12.0500,12.1000,70360
2015-04-17,12.1500,12.2000,11.9500,11.9500,102380
2015-04-20,12.0000,12.1000,11.3500,11.4000,188480
2015-04-22,11.5000,11.7500,11.3500,11.6000,134600
2015-04-23,11.6500,11.6500,11.3500,11.5500,76020
2015-04-24,11.6500,12.8000,11.5500,12.2500,538640
2015-04-27,12.6000,12.8500,11.8500,11.9000,336200
2015-04-28,12.0500,12.1000,11.5000,11.5500,220960
2015-04-29,11.5000,11.5000,11.0500,11.1000,390200
