date,open,high,low,close,volume
2020-09-18,7.5500,7.7500,7.1275,7.3500,1078800
2020-09-21,7.0325,7.2250,7.0250,7.1050,2647600
2020-09-22,7.0200,7.2050,7.0125,7.1000,3396000
2020-09-23,7.0025,7.3300,6.9100,7.1375,3934800
2020-09-24,7.1375,7.2450,7.0000,7.0250,1142800
2020-09-25,7.0250,7.0475,6.9500,6.9750,2136400
2020-09-28,7.0125,7.0575,6.5325,6.5325,3048000
2020-09-29,6.6750,6.6750,6.2500,6.3725,1795200
2020-09-30,6.3650,6.4850,6.3150,6.3525,1528400
2020-10-01,6.3325,6.5900,6.1650,6.5900,3453200
2020-10-02,6.4950,6.5175,6.3175,6.3725,1757200
2020-10-05,6.4500,6.5750,6.2775,6.5750,1190800
2020-10-06,6.5375,6.8000,6.4200,6.4525,945600
2020-10-07,6.5600,6.6700,6.4050,6.5900,874400
2020-10-08,6.5900,6.7150,6.4250,6.5000,1190400
2020-10-09,6.5075,6.9350,6.5050,6.8275,1344800
2020-10-13,6.9775,7.0225,6.8750,6.8750,881600
2020-10-14,6.8750,7.1250,6.7725,6.8425,883600
2020-10-15,6.7850,6.9925,6.6450,6.7575,966800
2020-10-16,6.8050,7.0475,6.7575,7.0250,1170400
2020-10-19,7.0000,7.2125,6.9425,7.0725,1042400
2020-10-20,7.0725,7.2600,7.0025,7.2500,1458400
2020-10-21,7.2500,7.3025,7.0575,7.2500,1002400
2020-10-22,7.1925,7.4525,7.1625,7.3725,1927200
2020-10-23,7.3825,7.4350,7.2550,7.3000,1087200
2020-10-26,7.2475,7.2625,7.0050,7.1075,615200
2020-10-27,7.1500,7.2075,6.8775,6.8975,1304800
2020-10-28,6.7275,6.7275,6.3750,6.4525,1720800
2020-10-29,6.4275,6.7000,6.2100,6.6025,1366800
2020-10-30,6.6625,6.6625,6.2100,6.4225,1814400
2020-11-03,6.6000,6.7500,6.4975,6.6875,2076400
2020-11-04,6.7500,7.2100,6.7150,7.0950,1240800
2020-11-05,7.2125,7.3500,7.1300,7.2175,1365200
2020-11-06,7.1875,7.7250,7.1400,7.6475,1896400
2020-11-09,7.7500,7.8800,7.4025,7.5000,1301600
2020-11-10,7.3775,7.6600,7.3775,7.4225,979200
2020-11-11,7.4750,7.5700,7.2750,7.5000,1172800
2020-11-12,7.4025,7.5325,7.1925,7.3000,1313200
2020-11-13,7.5000,7.6325,7.2450,7.3950,1440800
2020-11-16,7.4500,7.5425,7.1375,7.3450,1263600
2020-11-17,7.2950,7.3850,7.1625,7.3450,1569600
2020-11-18,7.3975,7.4400,7.1425,7.1875,1064800
2020-11-19,7.1875,7.3750,7.0400,7.3300,1422800
2020-11-23,7.4100,7.6000,7.3725,7.5325,1462800
2020-11-24,7.6000,7.8000,7.4875,7.7500,1597600
2020-11-25,7.6800,7.7700,7.5250,7.7000,1448400
2020-11-26,7.7000,7.7500,7.5850,7.6325,419600
2020-11-27,7.6325,7.7375,7.5525,7.5550,1020000
2020-11-30,7.5525,7.7450,7.4100,7.4100,2186400
2020-12-01,7.7475,8.1250,7.6025,8.0000,4702000
2020-12-02,8.0000,8.1075,7.8600,8.0000,1535600
2020-12-03,8.0750,8.1475,7.9300,8.1000,2066400
2020-12-04,8.1500,8.1500,7.8675,7.9375,1503200
2020-12-07,7.9325,8.1050,7.8000,8.0400,1565200
2020-12-08,7.9500,8.2000,7.8400,7.9500,1534400
2020-12-09,7.9800,8.0375,7.7050,7.8350,1141600
2020-12-10,7.8325,7.9550,7.6250,7.9000,1079200
2020-12-11,7.8525,7.8750,7.5600,7.7975,1047200
2020-12-14,7.7525,7.9300,7.6800,7.7600,1050000
2020-12-15,7.7600,7.9675,7.6550,7.9450,1465600
2020-12-16,7.9750,7.9975,7.7375,7.8500,1129200
2020-12-17,7.8500,7.9725,7.7125,7.7500,1266000
2020-12-18,7.6825,7.8050,7.4950,7.5625,1840000
2020-12-21,7.4175,7.5250,7.2025,7.4175,1744000
2020-12-22,7.4600,7.6750,7.3025,7.3375,1823200
2020-12-23,7.5900,7.9825,7.5600,7.9225,4080000
2020-12-28,7.9725,8.5350,7.9400,8.5250,3343600
2020-12-29,8.5375,8.6575,8.3200,8.5725,3073200
