date,open,high,low,close,volume
2015-01-02,2.9050,2.9380,2.7996,2.8099,1162568
2015-01-05,2.7872,2.8306,2.7397,2.8099,577896
2015-01-06,2.8202,2.8946,2.8058,2.8430,562408
2015-01-07,2.8533,2.9607,2.8409,2.9339,647592
2015-01-08,2.9669,2.9669,2.9112,2.9421,686796
2015-01-09,2.9587,2.9587,2.8926,2.9132,828124
2015-01-12,2.9132,2.9835,2.8905,2.9835,242484
2015-01-13,2.9483,3.0930,2.9483,3.0682,486420
2015-01-14,3.0682,3.0682,3.0207,3.0579,656788
2015-01-15,3.0992,3.1157,3.0620,3.0682,479644
2015-01-16,3.0413,3.0847,2.9029,2.9029,1014464
2015-01-19,2.9070,2.9215,2.8409,2.9029,677600
2015-01-20,2.9339,2.9360,2.8533,2.8822,967516
2015-01-21,2.8988,3.0537,2.8905,2.9917,1276792
2015-01-22,3.0145,3.0971,2.9752,3.0331,753588
2015-01-23,3.0227,3.0785,3.0145,3.0517,298144
2015-01-26,3.0579,3.0579,2.9979,2.9979,248292
2015-01-27,2.9752,3.0558,2.9649,3.0289,302984
2015-01-28,3.0083,3.0165,2.9566,2.9690,203280
2015-01-29,2.9814,2.9938,2.8719,2.9442,272008
2015-01-30,2.8926,2.9897,2.8926,2.9545,494648
2015-02-02,2.9814,3.0682,2.8967,2.9401,279752
2015-02-03,2.9339,2.9339,2.8740,2.8926,1092872
2015-02-04,2.9070,2.9360,2.8802,2.9339,339768
2015-02-05,2.9070,2.9814,2.8781,2.9070,302016
2015-02-06,2.8967,2.9091,2.7583,2.8306,716320
2015-02-09,2.8430,2.8781,2.8140,2.8781,182952
2015-02-10,2.8802,2.8802,2.8306,2.8616,366872
2015-02-11,2.8595,2.8595,2.8140,2.8306,916212
2015-02-12,2.8471,2.8554,2.7975,2.8120,976228
2015-02-13,2.8099,2.8306,2.7934,2.8017,266684
2015-02-18,2.7996,2.9711,2.7707,2.9194,405592
2015-02-19,2.9029,2.9380,2.8926,2.9070,616132
2015-02-20,2.9194,3.0351,2.9194,2.9814,601612
2015-02-23,3.0165,3.0269,2.9463,3.0145,865876
2015-02-24,2.9876,2.9938,2.9504,2.9545,236676
2015-02-25,2.9587,3.0083,2.9442,2.9959,512556
2015-02-26,2.9938,3.0083,2.9421,2.9649,319924
2015-02-27,2.9711,2.9711,2.8533,2.8533,609356
2015-03-02,2.8554,2.8822,2.8058,2.8058,432696
2015-03-03,2.8120,2.8368,2.7541,2.7665,547888
2015-03-04,2.7562,2.8698,2.7417,2.8512,321860
2015-03-05,2.8120,2.9421,2.8058,2.9215,468028
2015-03-06,2.9174,2.9504,2.8822,2.9091,272976
2015-03-09,2.8926,2.9070,2.8430,2.8698,227480
2015-03-10,2.8492,2.9318,2.8120,2.8574,388168
2015-03-11,2.9070,2.9174,2.8202,2.9174,550792
2015-03-12,3.0269,3.0579,2.9298,3.0165,1303412
2015-03-13,3.0000,3.1612,2.9566,3.1488,2223980
2015-03-16,3.1467,3.2955,3.0868,3.0992,1483944
2015-03-17,3.1012,3.3017,3.1012,3.2893,1033824
2015-03-18,3.2748,3.3554,3.2479,3.2789,1041084
2015-03-19,3.2459,3.3988,3.2438,3.3678,656304
2015-03-20,3.3678,3.4566,3.3430,3.4566,477224
2015-03-23,3.4463,3.4587,3.3884,3.4587,1308736
2015-03-24,3.4504,3.4814,3.4194,3.4421,481580
2015-03-25,3.4690,3.4855,3.3616,3.4711,527560
2015-03-26,3.4483,3.4587,3.4194,3.4298,339768
2015-03-27,3.3967,3.6322,3.3946,3.5764,896368
2015-03-30,3.5992,3.6178,3.5124,3.5434,598224
2015-03-31,3.5248,3.6591,3.5083,3.6178,919600
2015-04-01,3.7087,3.7087,3.6054,3.6570,796180
2015-04-02,3.6467,3.7459,3.5640,3.6591,561440
2015-04-06,3.6467,3.6777,3.5847,3.5847,518848
2015-04-07,3.6033,3.6281,3.4876,3.5558,345576
2015-04-08,3.5455,3.6694,3.5393,3.6219,629684
2015-04-09,3.6095,3.6860,3.5909,3.6240,570152
2015-04-10,3.6240,3.7665,3.6074,3.7665,677116
2015-04-13,3.7645,3.7665,3.6095,3.6095,578864
2015-04-14,3.6074,3.7397,3.5930,3.7190,327668
2015-04-15,3.7004,3.7541,3.5145,3.6364,765204
2015-04-16,3.6343,3.6756,3.5640,3.6446,315084
2015-04-17,3.6612,3.6880,3.5888,3.6467,865876
2015-04-20,3.6488,3.7397,3.6219,3.7397,340252
2015-04-22,3.7252,3.7583,3.6818,3.7211,1933580
2015-04-23,3.7397,3.7603,3.6736,3.7521,464640
2015-04-24,3.7583,3.7810,3.6839,3.6839,634524
2015-04-27,3.6860,3.7686,3.6570,3.6777,438020
2015-04-28,3.6777,3.6839,3.6198,3.6198,395912
2015-04-29,3.6219,3.6240,3.5682,3.6157,331540
2015-04-30,3.5764,3.6054,3.5165,3.6054,533852
2015-05-04,3.6591,3.6591,3.5682,3.5682,293788
2015-05-05,3.5785,3.6136,3.5434,3.5640,211508
2015-05-06,3.5888,3.6033,3.4401,3.5640,698896
2015-05-07,3.5103,3.6157,3.4112,3.5640,699380
2015-05-08,3.5764,3.6054,3.5310,3.5517,357192
2015-05-11,3.5579,3.5579,3.4091,3.4091,1129172
2015-05-12,3.4504,3.4504,3.3388,3.3388,403172
2015-05-13,3.3430,3.3740,3.2893,3.2893,722128
2015-05-14,3.2066,3.4442,3.0785,3.4360,633072
2015-05-15,3.3884,3.4814,3.3471,3.3884,473352
2015-05-18,3.3967,3.4566,3.3967,3.4545,268136
2015-05-19,3.4525,3.4835,3.4091,3.4835,294272
2015-05-20,3.4607,3.5062,3.3988,3.3988,750684
2015-05-21,3.4132,3.4256,3.3388,3.3471,451572
2015-05-22,3.3616,3.3884,3.2624,3.3388,871684
2015-05-25,3.3512,3.4029,3.3037,3.3471,188276
2015-05-26,3.3450,3.3988,3.2376,3.3285,687280
2015-05-27,3.3161,3.3347,3.2769,3.3202,478192
2015-05-28,3.3140,3.3781,3.2583,3.2624,854744
2015-05-29,3.3347,3.3388,3.2438,3.2645,384780
2015-06-01,3.2624,3.5537,3.2624,3.4793,1517824
2015-06-02,3.4525,3.5558,3.4525,3.4628,361548
2015-06-03,3.4711,3.5393,3.4504,3.4917,423500
2015-06-05,3.5124,3.5661,3.4504,3.4876,468996
2015-06-08,3.5331,3.5847,3.4669,3.5847,389136
2015-06-09,3.5826,3.5826,3.4752,3.5083,449636
2015-06-10,3.5537,3.5702,3.4752,3.4835,539660
2015-06-11,3.5186,3.5186,3.4112,3.5000,510620
2015-06-12,3.4917,3.5227,3.4360,3.5021,500456
2015-06-15,3.5372,3.5393,3.4917,3.4917,392040
2015-06-16,3.5165,3.5496,3.4793,3.5207,442376
2015-06-17,3.5207,3.6798,3.5207,3.5888,595804
2015-06-18,3.5496,3.6178,3.5496,3.5744,600644
2015-06-19,3.5930,3.6157,3.5331,3.5517,601612
2015-06-22,3.5517,3.6426,3.5475,3.6157,2905936
2015-06-23,3.6508,3.6591,3.5847,3.6157,348964
2015-06-24,3.6405,3.6550,3.5640,3.5744,557568
2015-06-25,3.5992,3.6405,3.5372,3.5661,881364
2015-06-26,3.5909,3.6736,3.5682,3.6157,617584
2015-06-29,3.6136,3.6136,3.4979,3.5124,727452
2015-06-30,3.5041,3.5764,3.4132,3.5744,763752
2015-07-01,3.5888,3.6860,3.5517,3.6591,845064
2015-07-02,3.6364,3.6839,3.5723,3.5744,404624
2015-07-03,3.5517,3.6508,3.5000,3.5930,274428
2015-07-06,3.5888,3.6508,3.5269,3.6054,368324
2015-07-07,3.6178,3.6219,3.5475,3.5640,629684
2015-07-08,3.5640,3.5702,3.4835,3.5124,500456
2015-07-10,3.5640,3.7500,3.5186,3.7500,1284536
2015-07-13,3.7521,3.7521,3.5372,3.5971,1030920
2015-07-14,3.5702,3.6653,3.5702,3.5950,528528
2015-07-15,3.5537,3.6942,3.5434,3.6942,363000
2015-07-16,3.6983,3.7045,3.6591,3.6880,239096
2015-07-17,3.6302,3.7273,3.6302,3.7273,341220
2015-07-20,3.6921,3.8099,3.6901,3.7748,1393920
2015-07-21,3.7727,3.8037,3.6570,3.6777,404140
2015-07-22,3.6570,3.6901,3.5723,3.6364,1204192
2015-07-23,3.6136,3.7397,3.5558,3.5785,404140
2015-07-24,3.5785,3.5909,3.4360,3.4814,754072
2015-07-27,3.4711,3.5269,3.4194,3.4545,461252
2015-07-28,3.4566,3.5000,3.3285,3.3781,1035276
2015-07-29,3.3223,3.5744,3.3099,3.5744,425920
2015-07-30,3.5868,3.5930,3.4607,3.5165,307824
2015-07-31,3.5289,3.7025,3.4938,3.6364,685828
2015-08-03,3.6033,3.6860,3.4773,3.5103,446732
2015-08-04,3.5248,3.6983,3.5227,3.6095,376552
2015-08-05,3.6405,3.7603,3.5785,3.6983,515944
2015-08-06,3.6983,3.9153,3.6818,3.8946,689216
2015-08-07,3.8988,3.9091,3.7583,3.8223,1021240
2015-08-10,3.8616,3.8781,3.7293,3.7293,553212
2015-08-11,3.7190,3.7500,3.5971,3.5971,739552
2015-08-12,3.5434,3.7190,3.5124,3.6570,469964
2015-08-13,3.6715,3.7397,3.6488,3.7397,1644632
2015-08-14,3.7417,3.7603,3.7087,3.7190,623876
2015-08-17,3.6508,3.7190,3.5950,3.6777,989780
2015-08-18,3.6983,3.7893,3.5537,3.5744,1537668
2015-08-19,3.5434,3.6074,3.4566,3.5165,804408
2015-08-20,3.5248,3.6488,3.4959,3.6426,165528
2015-08-21,3.6219,3.6467,3.5186,3.5847,502392
2015-08-24,3.5640,3.5640,3.4008,3.4277,543048
2015-08-25,3.4525,3.4917,3.3512,3.3554,935572
2015-08-26,3.3843,3.4814,3.3616,3.4091,1089484
2015-08-27,3.4380,3.4401,3.2707,3.3058,958804
2015-08-28,3.3120,3.3388,3.2727,3.3182,427372
2015-08-31,3.2748,3.3554,3.2397,3.3244,823284
2015-09-01,3.2789,3.3037,3.2686,3.2996,558536
