date,open,high,low,close,volume
2021-07-14,29.0200,31.8600,28.6000,31.0000,31978100
2021-07-15,30.7900,33.1900,29.3600,31.9500,9410000
2021-07-16,32.0000,32.2400,30.3500,32.2000,2654500
2021-07-19,31.2200,32.1400,30.2800,30.7000,1528300
2021-07-20,30.8100,30.8700,29.5300,30.5700,1404000
2021-07-21,30.8900,31.4000,29.7200,29.9900,1305200
2021-07-22,30.0000,30.3100,29.1500,30.0000,885100
2021-07-23,29.9900,30.4200,29.4200,29.5000,1799300
2021-07-26,29.5000,29.7500,28.7700,28.7700,2070200
2021-07-27,28.4900,28.6500,27.7800,28.4000,2151100
2021-07-28,28.6400,28.6400,27.8400,27.8400,1086300
2021-07-29,27.7200,28.2000,27.0100,28.0000,3683000
2021-07-30,28.0000,28.0000,26.5100,27.4900,1461600
2021-08-02,27.5400,28.7300,27.5000,27.8000,581700
2021-08-03,27.8900,28.5700,27.0000,28.0400,591600
2021-08-04,28.0400,28.8700,27.8000,28.4000,636700
2021-08-05,28.3000,29.5000,27.6800,27.8000,750700
2021-08-06,27.9500,28.2500,27.8400,28.2000,738200
2021-08-09,28.2500,28.4900,27.6500,28.0000,421000
2021-08-10,27.8200,28.5900,27.8200,27.9000,198600
2021-08-11,27.9200,28.0000,27.4900,28.0000,563900
2021-08-12,27.8500,27.8500,27.0000,27.0000,882100
2021-08-13,26.9800,27.5900,26.1800,27.1500,1034800
2021-08-16,26.5300,27.0900,25.3900,25.6500,1278000
2021-08-17,25.5800,27.2400,24.6600,26.6600,2939000
2021-08-18,26.6500,27.1400,25.8200,26.5200,607500
2021-08-19,25.9300,28.0000,25.2200,27.6500,1678300
2021-08-20,27.2100,29.8500,27.0200,28.1000,1118400
2021-08-23,28.9000,29.0300,27.0300,27.7400,546500
2021-08-24,28.0800,28.4900,27.6000,28.0000,537000
2021-08-25,27.8700,28.1700,27.1300,27.4000,18195500
2021-08-26,27.3500,27.3900,26.5000,27.0900,723700
2021-08-27,27.1800,27.5300,26.5100,27.1000,1333300
2021-08-30,26.8600,27.5000,26.3700,27.0000,1228700
2021-08-31,26.9800,27.0600,26.5600,27.0000,1044800
2021-09-01,27.2400,27.4000,26.5600,27.0000,628600
2021-09-02,26.8300,26.9900,26.1100,26.1500,548100
2021-09-03,26.3000,26.4900,25.3200,25.9500,1040800
2021-09-06,25.6700,26.5300,25.6700,26.0900,272400
2021-09-08,25.9100,26.0000,24.8800,25.0000,1110700
2021-09-09,25.0000,25.2300,24.7000,25.0000,1292700
2021-09-10,24.9600,26.0900,24.9500,26.0700,726600
2021-09-13,26.3100,27.4300,26.1000,27.2900,927800
2021-09-14,27.2600,27.2600,26.4000,26.9100,798500
2021-09-15,26.7600,26.7600,26.0000,26.5300,460100
2021-09-16,26.2500,26.5000,25.3100,26.5000,1307500
2021-09-17,26.2600,26.6400,25.5300,26.5000,857100
2021-09-20,26.0000,26.2500,25.1200,25.5000,905000
2021-09-21,25.5100,26.2600,25.3100,25.9000,1262400
2021-09-22,26.2400,26.4100,25.9600,26.2500,637700
2021-09-23,26.0100,26.6000,26.0100,26.5000,752900
2021-09-24,26.1900,26.4400,25.8500,26.3000,1022700
2021-09-27,26.0200,26.1600,25.2700,25.4700,768100
2021-09-28,25.2100,25.3100,24.5300,25.2200,2480100
2021-09-29,25.0400,25.5000,24.5000,25.0000,629800
2021-09-30,25.1900,25.6000,25.0100,25.6000,844000
2021-10-01,25.5700,25.7900,25.0600,25.7900,663500
2021-10-04,25.6400,25.6400,24.6600,24.6600,1127000
2021-10-05,24.7000,24.9500,23.6500,24.9500,1206900
2021-10-06,24.6700,24.6700,23.4000,24.1100,1901800
2021-10-07,24.2000,24.9800,24.0300,24.4800,758600
2021-10-08,24.7000,25.2000,24.6000,24.6000,583200
2021-10-11,24.6000,24.7000,23.9700,24.4000,418400
2021-10-13,24.3000,24.7000,24.2100,24.3000,563100
2021-10-14,24.3000,24.5700,24.2200,24.2500,332200
2021-10-15,24.1300,24.5400,23.7800,24.4900,724000
2021-10-18,24.1600,24.3700,23.7400,23.7400,438800
2021-10-19,23.5100,23.6600,23.0600,23.5000,1775100
2021-10-20,23.5100,23.5300,23.1800,23.4000,622200
2021-10-21,23.0500,23.0500,21.7700,22.1700,889800
2021-10-22,22.0100,22.2100,19.9300,20.9100,2655700
2021-10-25,20.9200,23.2400,20.9200,23.2400,1243600
2021-10-26,22.9100,22.9200,21.3100,21.7000,914200
2021-10-27,21.7800,22.5000,21.4400,21.6900,774700
2021-10-28,21.4800,21.6300,20.7400,20.9000,675300
2021-10-29,20.5200,21.0000,20.0600,20.1700,980800
2021-11-01,20.5000,21.1500,20.3700,20.8100,641100
2021-11-03,20.5300,21.5400,20.5300,21.0100,1659100
2021-11-04,21.1500,21.3500,20.5900,20.9800,653600
2021-11-05,21.3000,21.3000,20.1500,20.7200,1890800
2021-11-08,20.7800,20.7900,20.1900,20.3100,427500
2021-11-09,20.3500,21.1400,20.3500,20.4500,1448700
2021-11-10,20.4800,22.3500,20.4700,21.8600,1473200
2021-11-11,22.3000,23.2400,22.0100,23.1700,3378200
2021-11-12,22.9900,24.5300,22.6200,22.9500,902300
2021-11-16,23.4200,23.4400,21.8000,22.1500,712100
2021-11-17,22.4200,22.4200,21.5000,21.5900,1612100
2021-11-18,21.5700,22.2100,21.1000,21.6000,1695800
2021-11-19,21.7600,23.4400,21.6100,22.7200,3704600
2021-11-22,22.7400,23.4100,21.6100,21.9100,764600
2021-11-23,22.0100,22.2100,20.4500,21.0600,1820400
