date,open,high,low,close,volume
2015-01-02,2.3600,2.4100,2.3500,2.3500,17300
2015-01-05,2.3500,2.3500,2.2500,2.2800,132100
2015-01-06,2.2800,2.2800,2.2000,2.2700,114500
2015-01-07,2.2000,2.3500,2.2000,2.2500,41600
2015-01-08,2.2800,2.3600,2.2800,2.3600,11800
2015-01-09,2.3900,2.4000,2.2600,2.2600,23200
2015-01-12,2.3600,2.4000,2.2900,2.4000,9900
2015-01-13,2.4200,2.4300,2.3100,2.4300,29600
2015-01-14,2.4400,2.4500,2.2400,2.2400,88500
2015-01-15,2.2300,2.3100,2.2100,2.3000,43200
2015-01-16,2.3500,2.3500,2.2300,2.3500,42200
2015-01-19,2.3700,2.3700,2.2200,2.2200,65700
2015-01-20,2.2400,2.2800,2.2200,2.2200,27500
2015-01-21,2.2700,2.2900,2.2200,2.2200,36800
2015-01-22,2.2300,2.2800,2.2200,2.2200,18500
2015-01-23,2.2300,2.2500,2.2000,2.2500,14600
2015-01-26,2.2600,2.2800,2.2000,2.2000,34400
2015-01-27,2.2000,2.2500,2.1500,2.1600,42500
2015-01-28,2.1600,2.2100,2.1500,2.1500,51600
2015-01-29,2.1700,2.2800,2.1500,2.2700,56800
2015-01-30,2.2600,2.2600,2.1000,2.1100,51200
2015-02-02,2.1200,2.1200,2.0000,2.0000,118700
2015-02-03,2.0500,2.0600,1.9900,2.0200,50400
2015-02-04,2.0500,2.0500,1.9400,1.9600,72900
2015-02-05,1.9500,1.9700,1.9400,1.9600,46500
2015-02-06,1.9800,1.9900,1.9300,1.9300,24400
2015-02-09,1.9300,1.9300,1.8700,1.8800,56600
2015-02-10,1.9500,1.9800,1.9400,1.9500,39500
2015-02-11,1.9400,1.9400,1.9100,1.9100,21400
2015-02-12,1.9500,1.9600,1.8600,1.9000,68500
2015-02-13,1.9100,1.9100,1.7400,1.7700,129900
2015-02-18,1.7700,1.8100,1.7600,1.7600,24900
2015-02-19,1.8000,1.8600,1.7600,1.8500,14200
2015-02-20,1.8300,1.8300,1.7600,1.8100,41400
2015-02-23,1.8200,1.8600,1.7900,1.7900,18600
2015-02-24,1.8100,1.8500,1.7800,1.7900,28400
2015-02-25,1.7700,1.7900,1.7600,1.7600,36900
2015-02-26,1.7800,1.7900,1.7400,1.7800,172500
2015-02-27,1.8000,1.9400,1.7600,1.8000,197500
2015-03-02,1.8300,1.8300,1.7700,1.7700,201300
2015-03-03,1.7800,1.8100,1.7700,1.7700,29800
2015-03-04,1.7600,1.8000,1.7500,1.7500,287300
2015-03-05,1.7900,1.8300,1.7500,1.8100,88300
2015-03-06,1.8100,1.8100,1.7300,1.7300,46400
2015-03-09,1.7400,1.7400,1.7300,1.7400,4100
2015-03-10,1.7500,1.8200,1.7300,1.7800,57500
2015-03-11,1.7400,1.8400,1.7400,1.8200,77500
2015-03-12,1.7900,1.8300,1.7800,1.8200,13200
2015-03-13,1.8300,1.8300,1.7200,1.7200,69400
2015-03-16,1.7700,1.7800,1.7000,1.7200,24000
2015-03-17,1.7500,1.7700,1.7300,1.7700,6000
2015-03-18,1.7500,1.8400,1.7400,1.8400,90300
2015-03-19,1.8400,1.8400,1.8000,1.8000,35600
2015-03-20,1.8600,1.8900,1.7300,1.7300,231400
2015-03-23,1.7500,1.7500,1.6400,1.6700,177700
2015-03-24,1.7100,1.7800,1.6200,1.7800,3528700
2015-03-25,1.7900,1.8800,1.7300,1.7700,792700
2015-03-26,1.7700,1.8300,1.7700,1.8000,175700
2015-03-27,1.7700,1.8000,1.7500,1.8000,195500
2015-03-30,1.7600,1.8600,1.7600,1.8200,1760300
2015-03-31,1.8700,1.9900,1.8700,1.9900,260400
2015-04-01,2.0300,2.0900,1.9000,1.9300,230000
2015-04-02,1.9800,1.9800,1.9100,1.9100,34000
2015-04-06,1.9000,2.0200,1.9000,2.0100,402700
2015-04-07,2.0000,2.1000,1.9800,2.0600,120700
2015-04-08,2.0900,2.2300,2.0900,2.2300,231100
