date,open,high,low,close,volume
2015-01-02,11.7715,11.8360,11.5550,11.6702,5720977
2015-01-05,11.4375,11.5757,11.3477,11.3592,6493237
2015-01-06,11.3661,11.4813,11.2601,11.3753,10614564
2015-01-07,11.4605,11.8637,11.4145,11.6840,9241078
2015-01-08,11.6679,11.7854,11.4675,11.5642,3756249
2015-01-09,11.4721,11.5389,11.2670,11.4237,5796944
2015-01-12,11.2924,11.4030,11.1795,11.2048,4260671
2015-01-13,11.3154,11.4767,11.2048,11.3131,4782457
2015-01-14,11.3315,11.4905,11.2532,11.4053,3622113
2015-01-15,11.4122,11.6080,11.3868,11.4398,5643708
2015-01-16,11.4444,11.8337,11.3661,11.5988,4370064
2015-01-19,11.5780,11.6978,11.3016,11.5181,3462365
2015-01-20,11.6564,11.7301,11.5642,11.6863,4787666
2015-01-21,11.7485,12.1701,11.6679,12.0318,6891739
2015-01-22,12.1655,12.3935,11.8683,12.0871,5465727
2015-01-23,12.0940,12.2461,12.0295,12.0802,4482495
2015-01-26,12.0042,12.1839,11.9305,11.9766,3906882
2015-01-27,11.9627,12.1585,11.6679,12.0963,5964940
2015-01-28,11.9259,12.1079,11.7070,11.9927,5955824
2015-01-29,11.9904,12.2069,11.8453,12.1056,5137115
2015-01-30,11.9167,12.2852,11.9167,12.1908,7940086
2015-02-02,12.2115,12.6031,12.1217,12.5456,5486998
2015-02-03,12.6239,12.6930,12.3843,12.5663,6979427
2015-02-04,12.5479,12.7206,12.3428,12.5732,10820760
2015-02-05,12.4511,12.8773,12.4511,12.8773,6619560
2015-02-06,12.8773,12.9740,12.5778,12.9026,9496327
2015-02-09,12.9003,13.2896,12.6907,13.0063,9149483
2015-02-10,12.9280,13.0109,12.8358,12.9349,7844584
2015-02-11,12.8565,12.8934,12.5617,12.8197,5251717
2015-02-12,12.8957,13.1883,12.8450,13.1215,8457531
2015-02-13,13.1261,13.3610,13.0754,13.3380,8122407
2015-02-18,13.2804,13.5522,13.2251,13.3495,7557212
2015-02-19,13.3610,13.3818,13.1307,13.3679,5949747
2015-02-20,13.3610,13.4532,13.0616,13.1422,6791897
2015-02-23,12.9786,13.4117,12.9786,13.2205,4370932
2015-02-24,13.2781,13.4601,13.1076,13.3564,6256220
2015-02-25,13.3564,13.5914,13.1122,13.4509,6528833
2015-02-26,13.7987,13.8172,13.2482,13.6421,9286658
2015-02-27,13.6260,14.0521,13.5131,13.7043,8004333
2015-03-02,13.6098,13.6951,13.4578,13.5891,4468170
2015-03-03,13.6052,13.8609,13.5937,13.8517,6753262
2015-03-04,13.7296,13.7296,13.4186,13.5661,6323505
2015-03-05,13.5131,13.5476,13.3034,13.4716,6959459
2015-03-06,13.4716,13.5960,13.3610,13.4071,9894395
2015-03-09,13.5522,13.5522,13.1330,13.1767,7237281
2015-03-10,13.1307,13.2297,12.9809,13.0754,6909971
2015-03-11,13.0385,13.2389,13.0155,13.2389,9770243
2015-03-12,13.3610,13.5246,13.2689,13.4993,10595463
2015-03-13,13.1537,13.3864,13.1192,13.3610,7233374
2015-03-16,13.4532,13.6144,13.4232,13.6144,9344393
2015-03-17,13.5914,13.9531,13.5039,13.7895,8059897
2015-03-18,13.7273,14.2341,13.6882,14.1650,11057778
2015-03-19,14.1397,14.1742,13.9369,14.1420,14748479
2015-03-20,14.2364,14.3769,14.1466,14.2871,15134826
2015-03-23,14.3769,14.4207,14.0636,14.2825,7402239
2015-03-24,14.2894,14.4069,14.0406,14.3263,10028097
2015-03-25,14.3516,14.5082,14.2595,14.4783,14889995
2015-03-26,14.3332,14.3931,14.1765,14.2502,9250628
2015-03-27,14.2042,14.4207,14.1880,14.3516,11570882
2015-03-30,14.4645,14.9045,14.4299,14.7755,6619994
2015-03-31,14.7893,14.9713,14.6188,14.9621,10440490
2015-04-01,15.0657,15.3698,14.9759,15.3583,7848491
2015-04-02,15.3099,15.4343,14.8515,15.1348,8915504
2015-04-06,15.1602,15.3698,14.8814,15.3007,5084155
2015-04-07,15.3422,15.3537,15.0358,15.0772,6176780
2015-04-08,15.2961,15.3813,15.0634,15.2500,5350691
2015-04-09,15.1717,15.3974,15.1671,15.2661,6755867
2015-04-10,15.1924,15.2869,15.1348,15.1463,7579351
2015-04-13,15.0243,15.3376,15.0104,15.3376,5584670
2015-04-14,15.3422,15.3675,15.1487,15.3145,6433332
2015-04-15,15.4228,15.5956,15.3191,15.5126,8621186
2015-04-16,15.4642,15.5426,15.2846,15.4274,7056697
2015-04-17,15.1556,15.2730,15.0565,15.2062,8205754
2015-04-20,15.1348,15.3099,15.0104,15.1510,7299357
2015-04-22,15.2062,15.3882,15.1510,15.3698,7811159
2015-04-23,15.2938,15.6877,15.2500,15.6232,8717121
2015-04-24,15.6647,15.7453,15.4297,15.7200,4981708
2015-04-27,15.7775,15.8121,15.3997,15.3997,6295723
